A		生活必需品	HUMAN NECESSITIES	
A45D		理美容器具またはひげそり器具（かつら，入れ毛，またはその類似物Ａ４１Ｇ３／００，Ａ４１Ｇ５／００；理髪用の椅子Ａ４７Ｃ１／０４；散髪用具，かみそりＢ２６Ｂ）；化粧用備品または化粧品，例．マニキュアまたはペディキュア<br><b><ul>サブクラス内の索引</ul></b><br>理美容<br>洗髪または髪染め；乾燥　１９／００；２０／００<br>カーリングまたはウェービング　１／００〜７／００<br>ストレイトニング　７／００<br>髪止め　８／００<br>他の理美容　２４／００，２６／００<br>ひげそり用具　２７／００<br>マニキュアまたはペディキュア　２９／００，３１／００<br>他の美容手入れ　２／４８，４０／００<br>付属品<br>容器または塗布器　３３／００〜４０／００<br>鏡　４２／００<br>他の化粧用備品　４４／００	HAIRDRESSING OR SHAVING EQUIPMENT  (wigs, toupees or the like A41G3/00, A41G5/00;   hairdressers' chairs A47C1/04;   hair cutting appliances, razors B26B);EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS, e.g. FOR MANICURING OR PEDICURING; <br><br><b><u>Subclass indexes</u></b><br><br><br>HAIRDRESSING<br>Washing or colouring; dryingA45D19/00; A45D20/00<br>Curling or wavingA45D1/00 to A45D7/00 <br>StraighteningA45D7/00<br>Hair-holdingA45D8/00<br>Other hairdressingA45D24/00, A45D26/00<br>SHAVING ACCESSORIESA45D27/00<br>MANICURING OR PEDICURINGA45D29/00, A45D31/00<br>OTHER BEAUTY CARESA45D2/48, A45D40/00<br>ACCESSORIES<br>Containers or applicatorsA45D33/00 to A45D40/00 <br>MirrorsA45D42/00<br>OTHER COSMETIC OR PERSONAL CARE ARTICLESA45D44/00	3055
A45F		旅行または露営用品；体で運ぶザックまたはパック［１，８］<br><b><ul>注</ul></b><br>このサブクラスは以下の細分項目に特徴をもつ設備のみ包含する。旅行または露営設備は通常関連する設備の分類に分類される，例．露営用家具Ａ４７。	TRAVELLING OR CAMP EQUIPMENT; SACKS OR PACKS CARRIED ON THE BODY; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> only the equipment specified in its subdivisions. Travelling or camp equipment is normally classified in the classes for the equipment concerned, e.g. camp furniture in class A47.	1167
A46		ブラシ製品	BRUSHWARE	
A46B		ブラシ（ブラシ製品と一体でない柄Ｂ２５Ｇ）<br><b><ul>サブクラス内の索引</ul></b><br>ブラシ　１／００，１１／００，１３／００，１５／００<br>ブラシの細部　１／００〜９／００<br>付属品　１７／００	BRUSHES(handles not integral with brushware B25G);<br><br><b><u>Subclass indexes</u></b><br><br><br>BRUSHES A46B1/00, A46B11/00, A46B13/00A46B15/00<br>DETAILS OF BRUSHES A46B1/00 to A46B9/00 <br>ACCESSORIES A46B17/00	1483
A46D		ブラシの製法	MANUFACTURE OF BRUSHES	166
A47		家具；家庭用品または家庭用設備；コーヒーひき；香辛料ひき；真空掃除機一般<br><b><ul>注</ul></b><br>このクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“家具”はイーゼルまたはスタンド，例．黒板用または製図テーブル，をも包含する。	FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL; <br><br><b><u>Note(s)</u></b><br><br>In this class, the following term is used with the meaning indicated:"furniture" covers also easels or stands, e.g. for blackboards or drawing tables.	
A47B		テーブル；机；事務用家具；キャビネット；たんす；家具の一般的細部（家具の接続Ｆ１６Ｂ１２／００）<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“テーブル”は家庭用以外のテーブルまたはそのための下枠をも包含する；<br>―“キャビネット”または“ラック”は貯蔵一般用のキャビネットまたはラックをも包含する。<br><b><ul>サブクラス内の索引</ul></b><br>構造形態に特徴があるテーブル<br>拡張可能なテーブル；折り畳みまたは収納可能なテーブル；積み重ね可能なテーブル　１／００；３／００，５／０４；７／０２<br>その他のテーブル　５／００〜１１／００<br>細部　１３／００<br>特定目的への適合に特徴があるテーブルまたは机<br>筆記，読書または製図用　１７／００〜２３／００，２７／００<br>コンピュータワークステーション用　２１／００［８］<br>家庭用　２９／００〜３５／００<br>その他のテーブル　２３／００，２５／００，３７／００<br>学校用ベンチまたは机　３９／００，４１／００<br>構造形態に特徴があるキャビネット，ラックまたは類似のもの<br>剛性構造　５３／００，５５／００<br>折りたたみ，折り重ねまたは拡張可能なキャビネット，たなまたは類似のもの　４３／００，４５／００，４７／００<br>調節できるシェルフまたは部分を有するもの　５７／００<br>その他のキャビネット，ラックまたは類似のもの　４６／００，４９／００，５１／００，５３／００<br>特定目的への適合に特徴があるキャビネット，ラックまたは類似のもの<br>本に適合したもの　６３／００，６５／００<br>台所用または飲食物の貯蔵用　７１／００〜７７／００<br>その他のキャビネット，たなまたは類似のもの　６１／００，６７／００，６９／００，７９／００，８１／００<br>家具の組み合わせ　８３／００，８５／００，８７／００<br>家具の細部または付属具　８８／００〜９６／００<br>その他の家具　９７／００	TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE(jointing of furniture F16B12/00);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following terms are used with the meanings indicated:"tables" covers also tables or underframes therefor for other than domestic use;"cabinets" or "racks" cover also cabinets or racks for storage in general.<br><br><b><u>Subclass indexes</u></b><br><br><br>TABLES CHARACTERISED BY STRUCTURAL FEATURES<br>Extensible tables; folding or stowable tables; stackable tables A47B1/00; A47B3/00, A47B5/04; A47B7/02<br>Other tables A47B5/00 to A47B11/00 <br>Details A47B13/00<br>TABLES OR DESKS CHARACTERISED BY ADAPTATION FOR PARTICULAR PURPOSE<br>For writing, reading or drawing purposes A47B17/00 to A47B23/00 , A47B27/00<br>For computer workstations A47B21/00<br>For domestic use A47B29/00 to A47B35/00 <br>Other tables A47B23/00, A47B25/00, A47B37/00<br>SCHOOL BENCHES OR DESKS A47B39/00, A47B41/00<br>CABINETS, RACKS, OR THE LIKE CHARACTERISED BY STRUCTURAL FEATURES<br>Of rigid construction A47B53/00, A47B55/00<br>Foldable, collapsible, or extensible cabinets, racks, or the like A47B43/00, A47B45/00, A47B47/00<br>With adjustable shelves or partitions A47B57/00<br>Other cabinets, racks, or the like A47B46/00, A47B49/00, A47B51/00A47B53/00<br>CABINETS, RACKS, OR THE LIKE CHARACTERISED BY ADAPTATION FOR PARTICULAR PURPOSE<br>For books A47B63/00, A47B65/00<br>For kitchen use or for storing food or drink A47B71/00 to A47B77/00 <br>Other cabinets, racks, or the like A47B61/00, A47B67/00, A47B69/00, A47B79/00, A47B81/00<br>FURNITURE COMBINATIONS A47B83/00, A47B85/00, A47B87/00<br>DETAILS OF FURNITURE A47B88/00 to A47B96/00 <br>MISCELLANEOUS FURNITURE, MISCELLANEOUS ACCESSORIES FOR FURNITURE A47B95/00, A47B97/00	8764
A47C		いす；ソファー；寝台<br><b><ul>サブクラス内の索引</ul></b><br>腰掛用家具<br>一般構造　３／００，１１／００<br>特殊材質によるいす　５／００<br>折りたたみまたは折り重ねができるいす　４／００<br>特殊用途のいす　１／００，９／００，１１／００<br>ステップストゥール，転換できるいす，他の腰掛用家具　１２／００〜１５／００<br>細部または付属具　７／００，１６／００<br>ソファ，カウチ，ベッド<br>一般構造　１７／００，１９／００<br>細部；付属具　１９／００，２０／００，２３／００；２１／００<br>腰掛用家具および寝台に共通な細部または付属具　２５／００〜３１／００	CHAIRS; SOFAS; BEDS; <br><br><b><u>Subclass indexes</u></b><br><br><br>SEATING FURNITURE<br>General structure A47C3/00, A47C11/00<br>Chairs of special materials A47C5/00<br>Folding or collapsible chairs A47C4/00<br>For special uses A47C1/00, A47C9/00, A47C11/00<br>Step-stools, convertible chairs, other seating furniture A47C12/00 to A47C15/00 <br>Details or accessories A47C7/00, A47C16/00<br>SOFAS, COUCHES, BEDS<br>General structure A47C17/00, A47C19/00<br>Details; accessories A47C19/00, A47C20/00, A47C23/00; A47C21/00<br>DETAILS OR ACCESSORIES COMMON TO SEATING FURNITURE AND BEDS A47C23/00 to A47C31/00	7949
A47D		子供に特に適合する家具（学校用ベンチまたは机Ａ４７Ｂ３９／００，Ａ４７Ｂ４１／００）<br><b><ul>サブクラス内の索引</ul></b><br>いす；ベッドまたはゆりかご　１／００，１１／００；７／００，９／００，１１／００<br>その他の家具　３／００，５／００，１３／００<br>付属品　１５／００	FURNITURE SPECIALLY ADAPTED FOR CHILDREN(school benches or desks A47B39/00, A47B41/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>CHAIRS; BEDS OR CRADLES A47D1/00, A47D11/00; A47D7/00, A47D9/00, A47D11/00<br>OTHER FURNITURE A47D3/00, A47D5/00, A47D13/00<br>ACCESSORIES A47D15/00	1283
A47F		商店，倉庫，酒場，料理店または類似の場所に用いる特殊な家具，備品，または付属品；支払カウンター<br><b><ul>サブクラス内の索引</ul></b><br>特定の商品または生産品に適合される家具および備品　７／００<br>構造に特徴のある家具および備品　１／００，３／００，５／００，９／００，１１／００<br>特殊な形のサービス系列に特に適応した家具または設備　１０／００<br>商店，倉庫または酒場の付属品；飾り人形または胸像　１３／００；８／００	SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS, OR THE LIKE; PAYING COUNTERS; <br><br><b><u>Subclass indexes</u></b><br><br><br>FURNITURE AND FITTINGS CHARACTERISED BY THEIR CONSTRUCTION A47F1/00, A47F3/00, A47F5/00, A47F9/00, A47F11/00<br>FURNITURE AND FITTINGS ADAPTED TO PARTICULAR ARTICLES OR PRODUCTS A47F7/00<br>FURNITURE OR INSTALLATIONS ADAPTED TO PARTICULAR TYPES OF SERVICE SYSTEMS A47F10/00<br>ACCESSORIES FOR SHOPS, STORES, OR BARS; DUMMIES OR BUSTS A47F13/00; A47F8/00	4120
A47G		家庭用具または食卓用具（ブックエンドＡ４７Ｂ６５／００；ナイフＢ２６Ｂ）<br><b><ul>注</ul></b><br>このサブクラスは，ホテル，化粧室，乗物または類似のものに同様に用いられる用具であって，他に分類されないものを包含する。<br><b><ul>サブクラス内の索引</ul></b><br>装飾用具　１／００〜７／００，３３／００<br>寝具；テーブル掛け　９／００；１１／００<br>食卓用具　１９／００〜２３／００<br>サポート，ホルダー，容器，用具<br>衣服のためのもの　２５／００<br>家庭用のためのもの　２９／００<br>床用織物　２７／００<br>宗教または祭礼用具　３３／００<br>その他の用具　３５／００	HOUSEHOLD OR TABLE EQUIPMENT(book-ends A47B65/00; knives B26B);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> equipment for similar use in hotels, dressing rooms, vehicles, or the like, not otherwise provided for.<br><br><b><u>Subclass indexes</u></b><br><br><br>DECORATIVE EQUIPMENT A47G1/00 to A47G7/00 , A47G33/00<br>BEDDING; TABLE LINEN A47G9/00; A47G11/00<br>TABLE EQUIPMENT A47G19/00 to A47G23/00 <br>SUPPORTS, HOLDERS, CONTAINERS, IMPLEMENTS<br>for wearing apparel A47G25/00<br>for household use A47G29/00<br>FLOOR FABRICS A47G27/00<br>RELIGIOUS OR RITUAL EQUIPMENT A47G33/00<br>OTHER EQUIPMENT A47G35/00	6390
A47H		窓または戸の付帯設備（戸または窓の機能に関するものＥ０５；ローラ式日よけＥ０６Ｂ；戸または窓に関連した特別な配置または方法、例．換気または密閉のためのものＥ０６Ｂ７／００）<br><b><ul>サブクラス内の索引</ul></b><br>カーテン　２１／００，２３／００<br>吊り下げ式カーテン　１／００，２／００，７／００，１３／００，１５／００，１９／００<br>カーテンの操作　３／００，５／００，１１／００，１５／００<br>その他の窓または戸の備品　２７／００，９９／００	FURNISHINGS FOR WINDOWS OR DOORS(concerned with the functioning of the door or window E05; roller blinds E06B; special arrangements or measures in connection with doors or windows, e.g. for ventilation or sealing, E06B7/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>CURTAINS A47H21/00, A47H23/00<br>SUSPENDING CURTAINS A47H1/00, A47H2/00, A47H7/00, A47H13/00, A47H15/00, A47H19/00<br>OPERATING CURTAINS A47H3/00, A47H5/00, A47H11/00, A47H15/00<br>OTHER WINDOW OR DOOR FURNISHINGS A47H27/00, A47H99/00	1218
A47J		台所用具；コーヒーひき器；香辛料ひき器；飲料を作る装置［６］<br><b><ul>サブクラス内の索引</ul></b><br>食物を調整するための道具または機械<br>皮はぎまたは皮むき用；濾過用　１７／００；１９／００<br>バター成形用　９／００<br>果物調製用　１７／００〜２５／００<br>コーヒーひき器，香辛料ひき器　４２／００<br>その他の道具または機械　４３／００，４４／００<br>加熱料理；飲料を作る装置；断熱容器<br>一般に用いられる加熱調理容器　２７／００<br>卵加熱調理器；キャンプ用加熱調理器　２９／００；３３／００<br>飲料を作る装置　３１／００<br>加熱調理容器の細部　３６／００<br>ベーキング，ロースティング，グリル，油揚げ　３７／００<br>加熱調理室，加温食器棚　３９／００<br>断熱容器　４１／００<br>用具を固定またはつかむもの　４５／００<br>容器，台，まな板　４７／００	KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES; <br><br><b><u>Subclass indexes</u></b><br><br><br>IMPLEMENTS OR MACHINES FOR PREPARING FOOD<br>For peeling or paring; for straining A47J17/00; A47J19/00<br>For shaping butter A47J9/00<br>For preparing fruit A47J17/00 to A47J25/00 <br>Coffee mills, spice mills A47J42/00<br>Other implements or machines A47J43/00, A47J44/00<br>COOKING; APPARATUS FOR MAKING BEVERAGES; THERMALLY-INSULATED VESSELS<br>Cooking-vessels for general use A47J27/00<br>Egg-cookers; Camp cookers A47J29/00; A47J33/00<br>Apparatus for making beverages A47J31/00<br>Details of cooking-vessels A47J36/00<br>Baking, roasting, grilling, frying A47J37/00<br>Cooking chambers, warming cupboards A47J39/00<br>Thermally-insulated vessels A47J41/00<br>FASTENING OR GRIPPING UTENSILS A47J45/00<br>CONTAINERS, STANDS, CUTTING-BOARDS A47J47/00	8254
A47K		他に分類されない衛生設備（給水または排水管と連結しているもの，流しＥ０３Ｃ；便所Ｅ０３Ｄ）；化粧室付属品（化粧用具Ａ４５Ｄ）<br><b><ul>サブクラス内の索引</ul></b><br>化粧室付属器具　１／００〜１０／００<br>便所；便所付属品　１１／００；１０／００，１３／００<br>その他の設備　１７／００	SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR(connecting to water supply or waste pipe, sinks E03C; water-closets E03D);TOILET ACCESSORIES(cosmetic equipment A45D);<br><br><b><u>Subclass indexes</u></b><br><br><br>TOILET FITTINGS A47K1/00 to A47K10/00 <br>CLOSETS; ACCESSORIES THEREFOR A47K11/00; A47K10/00, A47K13/00<br>OTHER EQUIPMENT A47K17/00	3964
A47L		家庭の洗浄または清浄（ブラシＡ４６Ｂ；一種類の多量のびんまたはその他の中空容器の清浄Ｂ０８Ｂ９／００；洗濯Ｄ０６Ｆ）；吸引掃除機一般（清掃一般Ｂ０８）<br><b><ul>注</ul></b><br>床，カーペット，家具，壁または壁を被覆するものと同じく，窓，ブラインド，窓網，板すだれを清掃するためにも使用できる機械あるいは道具は，１１／００または１３／００に分類する［３］<br><b><ul>サブクラス内の索引</ul></b><br>窓，ブラインド，ウインドスクリーン，または板すだれの清掃　１／００，３／００，４／００<br>吸引掃除機　５／００，７／００，９／００<br>床，カーペット，家具，または壁の清掃　１１／００，１３／００<br>家庭用品の清掃またはつや出し　１５／００〜２１／００<br>はき物の清掃　２３／００<br>その他の家庭用清掃装置　２５／００	DOMESTIC WASHING OR CLEANING(brushes A46B; cleaning quantities of bottles or of other hollow articles of one kind B08B9/00; laundry D06F);SUCTION CLEANERS IN GENERAL(cleaning in general B08);<br><br><b><u>Note(s)</u></b><br><br>Machines or implements which can be used for cleaning windows, window shades, window screens, venetian blinds, as well as floors, carpets, furniture, walls, or wall coverings are classified in group A47L11/00 or A47L13/00. <br><br><b><u>Subclass indexes</u></b><br><br><br>CLEANING WINDOWS, THEIR SHADES, SCREENS, OR VENETIAN BLINDS A47L1/00, A47L3/00, A47L4/00<br>SUCTION CLEANERS A47L5/00, A47L7/00, A47L9/00<br>CLEANING FLOORS, CARPETS, FURNITURE OR WALLS A47L11/00, A47L13/00<br>CLEANING OR POLISHING HOUSEHOLD ARTICLES A47L15/00 to A47L21/00 <br>CLEANING FOOTWEAR A47L23/00<br>OTHER DOMESTIC CLEANING DEVICES A47L25/00	4026
A61		医学または獣医学；衛生学	MEDICAL OR VETERINARY SCIENCE; HYGIENE	
A61C		歯科；口腔または歯科衛生のための用具または方法（駆動装置のない歯ブラシＡ４６Ｂ；歯科用製剤Ａ６１Ｋ６／００，歯または口腔の清掃のための製剤Ａ６１Ｋ８／００，Ａ６１Ｑ１１／００）<br><b><ul>サブクラス内の索引</ul></b><br>口腔外科　１／００〜８／００<br>歯科補綴；人工歯　９／００〜１３／００<br>歯または口の清掃のための装置　１５／００，１７／００<br>歯科用補助器具　１９／００	DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE(non-driven toothbrushes A46B; preparations for dentistry A61K6/00;  preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>DENTAL SURGERY A61C1/00 to A61C8/00 <br>DENTAL PROSTHETICS; ARTIFICIAL TEETH A61C9/00 to A61C13/00 <br>DEVICES FOR CLEANING OF TEETH OR MOUTH A61C15/00, A61C17/00<br>DENTAL AUXILIARY APPLIANCES A61C19/00	2947
A61D		獣医用器具，器械，器具または用法<br><b><ul>注</ul></b><br>このサブクラスは動物用医科具，器具，器械またはその用法のみを包含する。<br><b><ul>サブクラス内の索引</ul></b><br>外科および歯科処理　１／００，５／００<br>動物の管理　７／００〜１３／００<br>拘束用具，開口用保定具　３／００，１５／００<br>使役中の事故表示具　１７／００<br>繁殖または受精のための器具または用法　１９／００<br>このサブクラスの他のグループに分類されない主題事項　９９／００	VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> only instruments, implements, tools, or methods specially adapted for use with animals.<br><br><b><u>Subclass indexes</u></b><br><br><br>SURGERY AND DENTAL TREATMENT A61D1/00, A61D5/00<br>CARE OF ANIMALS A61D7/00 to A61D13/00 <br>IMPLEMENTS FOR RESTRAINING, FOR MOUTH-OPENING A61D3/00, A61D15/00<br>DEVICES FOR INDICATING TROUBLE DURING LABOUR A61D17/00<br>INSTRUMENTS OR METHODS FOR REPRODUCTION OR FERTILISATION A61D19/00<br>SUBJECT MATTER NOT PROVIDED FOR IN OTHER GROUPS OF THIS SUBCLASS A61D99/00	431
A61F		血管へ埋め込み可能なフィルター；補綴；人体の管状構造を開存させるまたは虚脱を防ぐ装置，例．ステント；整形外科用具，看護用具または避妊用具；温湿布；眼目または耳の処置治療または保護；包帯；被覆用品または吸収性パッド；救急箱（歯科用補綴Ａ６１Ｃ）［２００６．０１］<br>血管へ植込み可能なフィルター；補綴または補助具　２／００，３／００<br>病弱者に操作される装置または用具　４／００<br>整形外科，看護，避妊用具　５／００，６／００<br>温湿布，温熱または冷却　７／００<br>眼または耳の治療または保護，その他の感覚による置換　９／００，１１／００<br>包帯，被覆用品または吸収性パッド；救急箱　１３／００，１５／００；１７／００<br><b><ul>サブクラス内の索引</ul></b><br>血管へ植込み可能なフィルター；補綴または補助具　２／００，３／００<br>病弱者に操作される装置または用具　４／００<br>整形外科，看護，避妊用具　５／００，６／００<br>温湿布，温熱または冷却　７／００<br>眼または耳の治療または保護，その他の感覚による置換　９／００，１１／００<br>包帯，被覆用品または吸収性パッド；救急箱　１３／００，１５／００；１７／００	FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS(dental prosthetics A61C);<br><br><b><u>Subclass indexes</u></b><br><br><br>FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES OR ACCESSORIES A61F2/00, A61F3/00<br>INVALID OPERATED APPARATUS OR DEVICES A61F4/00<br>ORTHOPAEDICS, NURSING, CONTRACEPTIVE DEVICES A61F5/00, A61F6/00<br>FOMENTATION, HEATING OR COOLING A61F7/00<br>TREATMENT OR PROTECTION OF THE EYES OR EARS, SUBSTITUTION BY OTHER SENSES A61F9/00, A61F11/00<br>BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS A61F13/00, A61F15/00; A61F17/00	6565
A61G		病人または身体障害者に特に適した輸送，乗りもの，または設備（病人又は身体障害者歩行補助器具Ａ６１Ｈ３／００）；手術用台またはいす；歯科用のいす；葬儀用具（死体の防腐処置Ａ０１Ｎ１／００））<br><b><ul>サブクラス内の索引</ul></b><br>身体障害者または病人を移動させるもの　１／００〜７／００<br>ベッド；処置室；看護設備　７／００；１０／００；９／００，１２／００<br>早産児保育器または保温器　１１／００<br>手術室または歯科室の用具　１３／００，１５／００<br>葬儀用具　１７／００〜２１／００<br>このサブクラスの他のグループに分類されない主題事項　９９／００	TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS(appliances for aiding patients or disabled persons to walk A61H3/00);OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES(embalming corpses A01N1/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>MEANS FOR DISPLACING DISABLED PERSONS OR PATIENTS A61G1/00 to A61G7/00 <br>BEDS; TREATMENT ROOMS; NURSING FACILITIES A61G7/00; A61G10/00; A61G9/00, A61G12/00<br>INCUBATORS OR COUVEUSES FOR BABIES A61G11/00<br>APPLIANCES FOR OPERATING ROOMS OR DENTISTS ROOMS A61G13/00, A61G15/00<br>FUNERAL DEVICES A61G17/00 to A61G21/00 <br>SUBJECT MATTER NOT PROVIDED FOR IN OTHER GROUPS OF THIS SUBCLASS A61G99/00	1959
A61H		物理的な治療装置，例．人体のつぼの位置を検出または刺激する装置；人工呼吸；マッサージ；特別な治療または人体の特定の部分のための入浴装置（電気治療，磁気治療，放射線治療，超音波治療Ａ６１Ｎ）<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の表現は以下に示す意味で用いる；<br>―“物理的な治療”という言葉は薬剤または手術に相対するような方法，例．機械的方法，による病気または不具の処置を含む。それは，例えばマッサージ，渦流浴，および受動的な身体訓練のための装置を含む。<br><b><ul>サブクラス内の索引</ul></b><br>病人または身体障害者歩行補助器具　３／００<br>受動的な身体訓練のための装置，目の訓練器具　１／００，５／００<br>マッサージ<br>マッサージの手法　７／００，９／００，１５／００，２３／００<br>マッサージ用のベルト，ひも，くし　１１／００<br>身体の特定な部分のマッサージおよびその用具　１３／００，１９／００，２１／００<br>マッサージ用補助具　３７／００<br>人工呼吸　３１／００<br>治療または衛生のための入浴　３３／００，３５／００，３６／００<br>人体のつぼの位置を検出または刺激する装置　３９／００<br>このサブクラスの他のグループに分類されない主題事項　９９／００	PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY(electrotherapy, magnetotherapy, radiation therapy, ultrasound therapy A61N);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following expression is used with the meaning indicated:"physical therapy" covers the treatment of disease or disability by means, e.g. mechanical means, as opposed to drugs or surgery. It includes, by way of example, massage, whirlpool baths and devices for exercising a passive body member.<br><br><b><u>Subclass indexes</u></b><br><br><br>APPLIANCES FOR AIDING PATIENTS OR DISABLED PERSONS TO WALK ABOUT A61H3/00<br>APPARATUS FOR PASSIVE EXERCISING, FOR EXERCISING THE EYES A61H1/00, A61H5/00<br>MASSAGE<br>Techniques of massage A61H7/00, A61H9/00, A61H15/00, A61H23/00<br>Belts, strips or combs for massage A61H11/00<br>Massage of particular parts of the body and devices therefor A61H13/00, A61H19/00, A61H21/00<br>Accessories for massage A61H37/00<br>ARTIFICIAL RESPIRATION A61H31/00<br>THERAPEUTIC OR HYGIENIC BATHING A61H33/00, A61H35/00, A61H36/00<br>DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS OF THE BODY A61H39/00<br>SUBJECT MATTER NOT PROVIDED FOR IN OTHER GROUPS OF THIS SUBCLASS A61H99/00	2702
A61J		医療または製剤目的のために特に適合させた容器；医薬品を特定の物理的形態または服用形態にするために特に適合させた装置または方法；食品または医薬品の経口投与装置；おしゃぶり；唾受け用具<br><b><ul>サブクラス内の索引</ul></b><br>医療または製剤目的のため特に適合させた容器　１／００<br>薬品を特定の物理的形態または服用形態にするため特に適合させた装置または方法　３／００<br>食品または医薬品の服用<br>哺乳びん，乳首，給送管　９／００，１１／００，１５／００<br>その他の装置　７／００<br>乳首あて　１３／００<br>おしゃぶり　１７／００<br>唾受け用具　１９／００	CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE; <br><br><b><u>Subclass indexes</u></b><br><br><br>CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES A61J1/00<br>DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS A61J3/00<br>ADMINISTRATION OF FOOD OR MEDICINE<br>Feeding-bottles, teats, feeding-tubes A61J9/00, A61J11/00, A61J15/00<br>Other devices A61J7/00<br>Breast-nipple shields A61J13/00<br>BABY COMFORTERS A61J17/00<br>DEVICES FOR RECEIVING SPITTLE A61J19/00	1806
