E04G  11/08	・・	コンクリートの硬化した後に完全に取りはずされ次の打設用に再組み立てされる型枠（型枠のための連結または支持手段Ｅ０４Ｇ１７／００）	Forms which are completely dismantled after setting of the concrete and re-built for the next pouring(connecting or supporting means for forms E04G17/00)	5498
E04G  11/10	・・・	梁を用いない型枠からなるもの（Ｅ０４Ｇ１１／１８が優先）	of elements without beams(E04G11/18 takes precedence)	595
E04G  11/12	・・・	型枠と梁からなるもの（Ｅ０４Ｇ１１／１８が優先）	of elements and beams(E04G11/18 takes precedence)	1318
E04G  11/14	・・・・	型枠の間に介在し，直線状に配置された梁を有するもの	with beams arranged in alignment with, and between the, elements	242
E04G  11/16	・・・・	壁の中におかれた梁をもつもの	with beams placed within the wall	81
E04G  11/18	・・・	二重壁のためのもの	for double walls	372
E04G  11/20	・・	可動型枠；型に入れて作る円筒状，円錐状または双曲線状構造物のための可動型枠；位置決めブロックまたは類似物のための型枠として有効な型板（Ｅ０４Ｇ１１／０４が優先）	Movable forms; Movable forms for moulding cylindrical, conical, or hyperbolical structures; Templates serving as forms for positioning blocks or the like(E04G11/04 takes precedence)	1351
E04G  11/22	・・・	上昇中打設されたコンクリートと接触しながら連続的にまたは一歩一歩上昇する可動型枠；そのための上昇手段の装置	Sliding forms raised continuously or step-by-step and being in contact with the poured concrete during raising; Arrangements of lifting means therefor	2316
E04G  11/24	・・・・	可動型枠のための扛上ジャッキまたは上昇ロッドの構造（上昇形式のホイストユニット一般Ｂ６６Ｆ）	Construction of lifting jacks or climbing rods for sliding forms(climbing-type hoisting units in general B66F)	714
E04G  11/26	・・・	ローラの駆動によって案内されるリボン，無端状エプロンまたは類似のものからなる覆い	the sheathing of which consists of ribbons, endless aprons, or the like, guided by driven rollers	82
E04G  11/28	・・・	上昇型枠，すなわち層から層へ上昇中に打設されたコンクリートと接触しない型枠	Climbing forms, i.e. forms which are not in contact with the poured concrete during lifting from layer to layer	2476
E04G  11/30	・・・・	水平軸に対して回転，傾斜または類似した上向きの運動によって層から層へ上昇されるもの	which are lifted from layer to layer by turning, tilting, or similar moving upwards about a horizontal axis	114
E04G  11/32	・・・	現場において全体または一部の壁を作るために傾斜しうる型枠または傾斜する平板	Tiltable forms or tilting tables for making walls as a whole or in parts <u>in situ</u>	126
E04G  11/34	・・・	ブロック状または部分状に壁を作るため水平方向に移動するもの（Ｅ０４Ｇ１１／２６が優先）	Horizontally-travelling moulds for making walls blockwise or sectionwise(E04G11/26 takes precedence)	872
E04G  11/36	・	平面または曲面の床，天井または屋根のためのもの	for floors, ceilings, or roofs of plane or curved surfaces	4465
E04G  11/38	・・	コンクリートの平面天井のためのもの	for plane ceilings of concrete	1223
E04G  11/40	・・	格（ごう）天井またはリブ天井のためのもの	for coffered or ribbed ceilings	852
E04G  11/42	・・・	金属または既製コンクリートの梁をもつもの	with beams of metal or prefabricated concrete	205
