F16B7/025	｛楔または円錐要素への軸方向移動により管内において要素の拡張をもつもの（入れ子式に係合した棒または管用Ｆ１６Ｂ７／１４６３）｝
F16B7/04	クランプまたはクリップ結合（摩擦握り締めによるはめはずしできる締め付け一般Ｆ１６Ｂ２／００）
F16B7/0406	｛同軸の棒または管用（Ｆ１６Ｂ７／１０が優先）｝
F16B7/0413	｛その内部を用いた管用（Ｆ１６Ｂ７／０２５が優先）｝
F16B7/042	｛固定要素をもつもの，例．少なくとも１本の管の壁面にある穴に係合するピン，ボール，またはプッシュボタン｝
F16B7/0426	｛その内側を用いない棒または管用｝
F16B7/0433	｛平行関係にある棒または管用｝
F16B7/044	｛傾斜関係にある棒または管用｝
F16B7/0446	｛その内側を用いた管用（Ｆ１６Ｂ７／０２５が優先）｝
F16B7/0453	｛互いに引き寄せられる管（Ｆ１６Ｂ７／０４７３が優先）｝
F16B7/046	｛偏心機構の回転によるもの｝
F16B7/0466	｛傾斜面に作用する円錐形の先端を備えたねじ山を持つ植え込みボルトによるもの｝
F16B7/0473	｛フック状部品をもつもの，例．ある形状のフランジ背後を拡張することによるもの｝
F16B7/048	｛その内側を使用しない棒または管体用｝
F16B7/0486	｛少なくとも１本の管の突合せ接続を形成するもの｝
F16B7/0493	｛交差接続を形成するもの｝
F16B7/06	ターンバックル（ケーブル，ロープまたはワイヤ用のものＦ１６Ｇ１１／１２）
F16B7/10	抜き差し自在な機構　｛縦に調節可能ないすＡ４７Ｃ３／２０；抜き差し自在なステアリングコラムＢ６２Ｄ１／１８｝；足場用Ｅ０４Ｇ２５／０４；　｛伸縮マスト，さおまたは類似のものＥ０４Ｈ１２／１８２；抜き差し自在な扉または窓の保持具Ｅ０５Ｃ１７／３０｝；鉱山用の入れ子式支柱Ｅ２１Ｄ１５／１４からＥ２１Ｄ１５／４６；その上に器具または物品をのせるための支持体としての台または脚立　｛Ｆ１６Ｍ１１／２６]）
F16B7/105	｛分離した位置に固定するもの，例．端部伸張位置におけるもの｝
F16B7/14	中間位置にロックするもの　｛非分離｝位置｛（傾斜したクリップによりロックされる棒または管Ｆ１６Ｂ２／２４６）｝
F16B7/1409	｛楔または円錐部材の軸方向変位により付勢されるボールまたはローラーを備えたもの｝
F16B7/1418	｛締め付けカラー，またはネジまたはカム式掛け金部材により締められた２個の分割した締め付けリングを備えたもの｝
F16B7/1427	｛調節具の相対回転または外部鍔の回転により協働するカム式または偏心表面を備えたもの｝
F16B7/1436	｛ローラーまたはボールを備えたもの｝
F16B7/1445	｛軸圧縮に起因する放射状拡張による外部入れ子部材の内部にゴムブッシュ握りを備えたもの（Ｆ１６Ｂ７／１４６３が優先）｝
F16B7/1454	｛ロックカムを備えた取っ手を揺動することにより入れ子部材をロックするクランプを備えたもの（Ｆ１６Ｂ７／１４１８が優先）｝
F16B7/1463	｛楔または円錐部材の方への軸方向移動による外部入れ子部材の内側に要素の拡張をもつもの｝
F16B7/1472	｛入れ子部材の軸線に垂直な締め付けねじをもつもの｝
F16B7/1481	｛握り締めつるまきばねをもつもの｝
F16B7/149	｛先細または円錐の表面を有するスリーブまたはリングを備えたもの（Ｆ１６Ｂ７／１４６３が優先）｝
F16B7/16	
F16B7/18	ねじ山をもつ要素を用いるもの　｛（Ｆ１６Ｂ７／０２５が優先；ターンバックル用Ｆ１６Ｂ７／０６）｝
F16B7/182	｛２本の棒または管の同軸接続用｝
F16B7/185	｛結節要素をもつもの｝
F16B7/187	｛溝又はチャンネル材を備えた側面を接合するための摺動ナットまたは他の付加接続部材を備えたもの（チャンネルナットそれ自体Ｆ１６Ｂ３７／０４５）｝
F16B7/20	差し込み結合を用いるもの
F16B7/22	フックまたは同様な要素を用いるもの
F16B9/00	平らな面に角度をもつ棒または管状部品の結合　（｛Ｆ１６Ｂ１７／００２が優先｝；摩擦握り締めによるはめはずしできる締め付け一般Ｆ１６Ｂ２／００；プレス嵌めによる結合Ｂ２３Ｐ１１／００，Ｂ２３Ｐ１９／００；水槽，シートまたは類似のもののためのパイプの流体の漏れ止め結合Ｆ１６Ｌ，例．壁に管を連結するものＦ１６Ｌ４１／００）
F16B9/01	
F16B9/02	分解できる結合
F16B9/05	
F16B9/052	
F16B9/054	
F16B9/056	
F16B9/058	
F16B9/07	
F16B9/09	
F16B11/00	相互に貼り付けまたは圧縮することによる構造部材または機械部品の結合，例．冷間圧接（非電気的溶接一般Ｂ２３Ｋ；表面の接続の形状に関係なく粘着性物質を使用する方法Ｃ０９Ｊ５／００）
F16B11/002	｛要素を共に塑性変形することによるもの（収縮結合，圧力バメＦ１６Ｂ４／００；ピンと穴の結合Ｆ１６Ｂ１７／００）｝
F16B11/004	｛冷間圧接によるもの｝
F16B11/006	｛接着によるもの（プラスチック材の接着Ｂ２９Ｃ６５／４８）｝
F16B11/008	｛同軸係合している管状要素または棒からなるもの｝
F16B12/00	家具または同様なものの接続，例．外面からかくれたもの（Ｆ１６Ｂ２／００からＦ１６Ｂ１１／００が優先；締め付けそれ自体Ｆ１６Ｂ１３／００からＦ１６Ｂ４７／００；木工Ｂ２７）
F16B12/02	パネルとコーナーポストとの接続
F16B12/04	非金属製家具用部品のための一体的な接続，例．接着剤によるもの
F16B2012/043	｛かま継ぎ継手以外の継ぎ手を用いるもの，例．複数のほぞを用いるもの｝
F16B2012/046	｛かま継ぎ継手を用いるもの｝
F16B12/06	金属製家具用部品のための一体的な接続
F16B12/08	分離する結合要素を用いないもの
F16B12/10	合くぎ，ボルト，ほぞ，クランプまたは同様なものを用いるもの（接着剤によるものＦ１６Ｂ１２／０４；締め付け手段それ自体Ｆ１６Ｂ１５／００からＦ１６Ｂ４７／００）
F16B2012/103	｛接続用のスリーブやダボ｝
F16B2012/106	｛接続用の接続ボルト｝
F16B12/12	非金属製家具用部品のためのもの，例．木または合成樹脂製
F16B12/125	｛かま継ぎ継手を用いるもの｝
F16B12/14	ねじつきボルトまたはねじを用いるもの
F16B2012/145	｛かどの接続｝
F16B12/16	タッピンねじを用いるもの
F16B12/18	引張り棒を用いるもの
F16B12/20	クランプ，クリップ，くさび，すべりボルトまたは同様なものを用いるもの
F16B12/2009	｛回転運動により作動するもの｝
F16B2012/2018	｛ピンとドラムによる固定装置；ピンの頭部と係合するカム面を有するドラム｝
F16B12/2027	｛偏心またはくさびの回転によるもの｝
F16B12/2036	｛ピンまたはねじの頭部に作用する偏心またはくさびの回転をともなうもの｝
F16B2012/2045	｛ピンとドラムによる固定装置；ピンの頭に係合するネジを有するドラム｝
F16B12/2054	｛移動制限用固定手段としてのねじ山の係合をともなうもの｝
F16B12/2063	｛締結手段としてのねじ山の係合をともなうもの｝
F16B2012/2072	｛ピンとドラムによる固定装置；ピンの頭部とカム面で係合するレバーを有するドラム｝
F16B2012/2081	｛アクチュエータとしてドライバーのために係合する傾斜を有するもの｝
F16B2012/209	｛アクチュエータとして統合されたレバーを持つもの｝
F16B12/22	キーみぞ形みぞとピンを用いるもの
F16B12/24	割りピン，ジベルまたは同様なものを用いるもの
F16B12/26	スナップ作用をする要素を用いるもの
F16B12/28	金属製家具部品のためのもの
F16B12/30	ねじつきボルトを用いるもの
F16B12/32	クランプ，クリップ，くさび，すべりボルトまたは同様なものを用いるもの
F16B12/34	キーみぞ形みぞおよびピンを用いるもの
F16B12/36	割りピン，ジベルまたは同様なものを用いるもの
F16B12/38	スナップ作用をする要素を用いるもの
F16B12/40	家具用管の接続
F16B2012/403	｛管を同軸状に接続するためのそう入具をもつもの｝
F16B2012/406	｛２つの円筒形部材の湾曲した接続｝
F16B12/42	家具用管の非管状部材への結合　｛（テーブル面の台枠への結合Ａ４７Ｂ１３／００３）｝
F16B12/44	脚の接続；かどの接続
F16B2012/443	｛２方のかどの接続，脚が中空の枠部材にそう入されるもの｝
F16B2012/446	｛３方のかどの接続，脚が中空の枠部材にそう入されるもの｝
F16B12/46	非金属製かど部材の結合
F16B2012/463	｛付加的な要素のない木製部材のためのもの｝
F16B2012/466	｛かま継ぎ継手を用いるもの｝
F16B12/48	非金属製脚の結合（Ｆ１６Ｂ１２／４６が優先）
F16B12/50	金属製かど部材の結合
F16B2012/505	｛かど部そう入部材をもつもの｝
F16B12/52	金属製脚の結合（Ｆ１６Ｂ１２／５０が優先）
F16B12/54	ベッドの骨組みまたは同様なもののはめ合わせ
F16B12/56	ベッドの骨組み用のブラケット；ボルトあるいはそれに類するものからなる継ぎ手；それらのための掛け金
F16B12/58	ベッドの横木用のテーパ結合
F16B12/60	分解できる側板用のはめ合わせ
