A22C5/00	食肉，ソーセージ肉，または肉製品の混合装置（混合一般Ｂ０１Ｆ）
A22C25/16	魚骨の除去；魚のフイレ作り　｛（魚頭切り，内卒きを兼ねての処理Ａ２２Ｃ２５／００Ｂ(ＥＣＬＡ)；　手使用の器具Ａ２２Ｃ２５／００Ｂ２(ＥＣＬＡ)）｝
A22C25/163	｛魚のひれ除去｝
A22C25/166	｛ピン状の骨の除去，例．魚の切り身から｝
A22C25/17	魚の皮剥ぎ
A22C25/18	切身作り
A22C25/185	｛魚切断のための手作業具｝
A22C25/20	截断；さいの目切り；薄片切り
A22C25/22	ロールがけ装置
A22C29/00	貝類の加工　｛または二枚貝｝，例．牡蠣，ロブスター；｛そのための装置，例．鉤爪形の錠，鉤爪形の粉砕器，選別装置；加工ライン｝
A22C29/005	｛甲殻類又は二枚貝の等級付け又は分類｝
A22C29/02	小海老，ロブスターまたは類似物の加工；　｛貝類の脱殻用の方法または機械｝
A22C29/021	｛甲殻類の洗浄工程，例．内卒き，ブラッシング｝
A22C29/022	｛甲殻類の背わたの除去｝
A22C29/023	｛甲殻類の運搬、餌やり又は整列｝
A22C29/024	｛甲殻類を開くこと、殻取り又は殻剥き｝
A22C29/025	｛カニ、ロブスター又は他の堅い殻で覆われた甲殻類の機械的な開き及び殻?き｝
A22C29/026	｛エビ、車エビ又は他の柔らかい殻で覆われた甲殻類の機械的な殻剥き及び殻取り｝
A22C29/027	｛甲殻類の殻取りのための手動具｝
A22C29/028	｛甲殻類の頭切り｝
A22C29/04	二枚貝の加工，例．牡蠣（開け具付き牡蠣割りナイフＡ４７Ｇ２１／０６）
A22C29/043	｛二枚貝の洗浄工程，例．内卒き，ブラッシング，身と貝殻との分離｝
A22C29/046	｛二枚貝を開くこと又は殻剥き｝
