G01C21/20	航行の計算を行う機器（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）
G01C21/203	｛航海船に特に適合するもの｝
G01C21/206	｛屋内の航行に特に適合するもの｝
G01C21/22	海図板
G01C21/24	宇宙航行に特に適合するもの
G01C21/26	道路網における航行に特に適合したもの
G01C21/265	｛航行装置の構造的な観点，例．筐体，取付け，表示器（Ｇ０１Ｃ２１／３６８８が優先）｝
G01C21/28	航行計器からのデータを修正するもの
G01C21/30	マップマッチングまたは等高線との一致
G01C21/32	地図のデータの構造または書式<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／３２はグループＧ０１Ｃ２１／３８−Ｇ０１Ｃ２１／３８９６への再分類の影響を受ける。<br>グループＧ０１Ｃ２１／３２およびＧ０１Ｃ２１／３８−Ｇ０１Ｃ２１／３８９６はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/34	経路探索；経路案内
G01C21/3407	｛特定の用途に特に適合したもの｝
G01C21/3415	｛動的な経路再探索，例．ユーザが探索された経路を外れた際にまたはリアルタイムな交通情報や事故を検知した後における経路の再探索｝
G01C21/3423	｛複数の移動手段を組み合わせた経路探索，すなわち任意の２以上の交通手段，例．車両の運転，徒歩，自転車，公共交通機関，の組合せによる経路探索｝
G01C21/343	｛旅程の計算，すなわちグローバルな経路制約を使用した，スタート地点から一連の明確な目的地に通じる経路，往復旅行，観光旅行（巡回セールスマン問題Ｇ０６Ｑ１０／１４；経路の最適化Ｇ０６Ｑ１０／０４７）｝
G01C21/3438	｛待ち合わせ，すなわち複数のユーザが会合するための目的地の探索，およびそれらのユーザのための目的地までの経路；乗合い，すなわち複数人のユーザーが経路の少なくとも一部のために車両を共有できる経路の探索｝
G01C21/3446	｛経路探索アルゴリズムの細部，例．ダイクストラ，Ａ＊，アークフラグ，事前に計算された経路の使用｝
G01C21/3453	｛特別なコストの機能，すなわち道路における距離または法定速度以外の分野｝
G01C21/3461	｛好ましいまたは好ましくない地域，例．危険地帯，課金されるまたは排出制限される地帯，交差点，運転困難箇所，自動車専用道路，有料道路，フェリーなどの区間｝
G01C21/3469	｛燃料消費；エネルギーの使用；排出の観点｝
G01C21/3476	｛興味ある地点（ＰＯＩ）の情報を用いるもの，例．沿道から見えるＰＯＩを通過する経路｝
G01C21/3484	｛個人に適合されたもの，例．ユーザの行動からの学習またはユーザが定義した情報によるもの｝
G01C21/3492	｛速度のデータまたは交通のデータ，例．リアルタイムまたは履歴のもの，を用いるもの（車両にナビゲーション指示を伝えることを含む道路上の車両に対する交通制御システムＧ０８Ｇ１／０９６８）｝
G01C21/36	車載コンピュータの入出力装置
G01C21/3602	｛画像解析を用いた目的地以外の情報の入力，例．カメラを用いた道路標識，車線，建物，先行車両の検出｝
G01C21/3605	｛目的地の入力または検索｝
G01C21/3608	｛音声入力を用いるもの，例．音声認識を用いるもの｝
G01C21/3611	｛文字の入力またはメニュー，例．ＰＯＩのメニュー，の利用（文字入力手段一般Ｇ０６Ｆ３／０２３３）｝
G01C21/3614	｛道路地図との相互作用を通じてのもの，例．道路地図上のＰＯＩアイコンの選択｝
G01C21/3617	｛ユーザの履歴，行動，状態または好み，例．過去の利用または現在の挙動からの予測または推定，を用いるもの｝
G01C21/362	｛外部の装置または機器，例．ＰＤＡ，携帯電話またはカレンダー機能，から受信されるもの｝
G01C21/3623	｛カメラまたは符号読取機を用いるもの，例．光学的または磁気的な符号のためのもの｝
G01C21/3626	｛経路の案内指示の出力に関する細部（車両にナビゲーション指示を伝えることを含む道路上の車両に対する交通制御システムＧ０８Ｇ１／０９６８）｝
G01C21/3629	｛音声または音響の出力を用いる案内，例．テキストを音声に変換するもの（テキストを音声に変換するシステムＧ１０Ｌ１３／００）｝
G01C21/3632	｛単純化されたまたはアイコン化された指示を用いる案内，例．矢印を用いるもの（Ｇ０１Ｃ２１／３６５が優先）｝
G01C21/3635	｛３Ｄまたは遠近法による道路地図を用いる案内｝
G01C21/3638	｛３Ｄの対象物および建築物を含むもの（三次元（３Ｄ）モデリング，例．三次元対象物のデータ記述Ｇ０６Ｔ１７／００；地理的なモデルＧ０６Ｔ１７／０５）｝
G01C21/3641	｛個人に適合された案内，例．以前に通過した経路における案内の制限）｝
G01C21/3644	｛目印となるものの案内，例．ＰＯＩまたは他の人目につく物体を用いるもの｝
G01C21/3647	｛蓄積されたまたは中継のカメラ画像またはビデオ映像の出力をともなう案内｝
G01C21/365	｛ヘッドアップディスプレイまたはプロジェクターを用いる案内，例．フロントガラスまたは道路上に投影された仮想の車両または矢印｝
G01C21/3652	｛視聴覚以外の出力，例．手触り，触覚または電気的刺激，を用いた案内｝
G01C21/3655	｛案内を指示するタイミング｝
G01C21/3658	｛車線の案内｝
G01C21/3661	｛外部装置，例．カーラジオ，における案内の出力｝
G01C21/3664	｛ユーザが入力するインターフェイス，例．ボタン，ノブまたはスライダ，の細部，タッチスクリーン上に配置されたこれらのものを含む；遠隔制御；身振り手振りを用いる入力｝
G01C21/3667	｛道路地図の表示（Ｇ０１Ｃ２１／３６１４が優先；３Ｄまたは遠近法による道路地図を用いる案内Ｇ０１Ｃ２１／３６３５）｝
G01C21/367	｛細部，例．道路地図の縮尺，方位，拡大，照明，詳細度，道路地図のスクロールまたは現在位置の表示の位置づけ｝
G01C21/3673	｛道路地図データの項目，例．道路名，ＰＯＩ名，の文字情報を用いる標識づけ｝
G01C21/3676	｛道路地図における経路の全体像｝
G01C21/3679	｛ＰＯＩ情報，例．ホテル，レストラン，店舗，ガソリンスタンド，駐車設備，の探索，検索および出力（Ｇ０１Ｃ２１／３６１１が優先）｝
G01C21/3682	｛道路地図上へのＰＯＩ情報の出力（Ｇ０１Ｃ２１／３６１４，Ｇ０１Ｃ２１／３６８５が優先）｝
G01C21/3685	｛ＰＯＩが駐車設備であるもの｝
G01C21/3688	｛多数の部品または多数の出力装置からなるシステム（クライアントサーバではないもの），例．取外し可能な画面，キーフォブまたは多画面出力装置｝
G01C21/3691	｛リアルタイムの交通，天候，または環境の状況に関する情報の探索，検索および出力（可変の交通指令をあたえるための装置Ｇ０８Ｇ１／０９）｝
G01C21/3694	｛道路地図上におけるそれらの出力｝
G01C21/3697	｛付加的な，案内に関連しない情報，例．燃料残量の低下，の出力（Ｇ０１Ｃ２１／３６７９が優先）｝
G01C21/38	｛航行に特に適合した電子地図；それらの更新｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／３８−Ｇ０１Ｃ２１／３８９６はグループＧ０１Ｃ２１／００およびＧ０１Ｃ２１／３２からの文献の再分類が未完成であり保留されている。<br>グループＧ０１Ｃ２１／００，Ｇ０１Ｃ２１／３２，およびＧ０１Ｃ２１／３８−Ｇ０１Ｃ２１／３８９６はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/3804	｛地図データの作成または更新｝
G01C21/3807	｛データの種類に特徴のあるもの｝
G01C21/3811	｛地点データ，例．興味ある地点（ＰＯＩ）｝
G01C21/3815	｛道路データ｝
G01C21/3819	｛道路形状のデータ，例．経路の概要｝
G01C21/3822	｛道路特性のデータ，例．勾配のデータ｝
G01C21/3826	｛地形のデータ｝
G01C21/383	｛屋内のデータ｝
G01C21/3833	｛データの源に特徴のあるもの｝
G01C21/3837	｛単一の水面のからデータが得られるデータ｝
G01C21/3841	｛２以上の源，例．探索車両，から得られるデータ｝
G01C21/3844	｛位置センサのみから得られるデータ，例．慣性航行からのもの｝
G01C21/3848	｛位置センサと付加的なセンサの両方から得られるデータ｝
G01C21/3852	｛航空または衛星画像から引き出されたデータ｝
G01C21/3856	｛ユーザの入力から得られたデータ｝
G01C21/3859	｛増分更新地図データ｝
G01C21/3863	｛地図データの構造｝
G01C21/3867	｛幾何的な地図の特徴，例．形状点，ポリゴンまたは単純化地図のためのもの｝
G01C21/387	｛地図データの組織，例．版の管理またはデータベース構造｝
G01C21/3874	｛データの探索または検索に特に適合された構造｝
G01C21/3878	｛階層構造，例．階層化｝
G01C21/3881	｛表題に基づいた構造｝
G01C21/3885	｛地図データの顧客装置への伝達；顧客装置による地図データの受信｝
G01C21/3889	｛選択された地図データの伝達｝
G01C21/3893	｛分散された源からの地図データの伝送，例，道路脇の地点からのもの｝
G01C21/3896	｛中央データベースからの地図データの伝送｝
G01C22/00	乗物，人間，動物またはその他の移動物体の対地移動距離の測定，例．歩行距離計を用いるもの，歩数計を用いるもの
G01C22/002	｛自転車のためのもの｝
G01C22/004	｛ゴルフカートのためのもの｝
G01C22/006	｛歩数計｝
G01C22/008	｛スケートのためのもの｝
G01C22/02	電気的波形とその積算値への変換によるもの，例．回転速度計用発電機を使用するもの｛（Ｇ０１Ｃ２２／００２，Ｇ０１Ｃ２２／００４，Ｇ０１Ｃ２２／００６が優先）｝
G01C22/025	｛差動歩行距離計｝
G01C23/00	２個以上の航行用数値を指示する組合せ計器，例．航空機用；２またはそれ以上の運動変量，例．距離，速度，加速度，を測定する組合せ測定装置
G01C23/005	｛フライトディレクター（回転体ジャイロスコープに特に適合する指示装置Ｇ０１Ｃ１９／３２）｝
G01C25/00	このサブクラスの他のグループに関する計器または装置の製造，較正，清掃，修理（コンパスの試験，較正または補償Ｇ０１Ｃ１７／３８）
G01C25/005	｛慣性装置の初期心合せ，較正または起動｝
