D	繊維；紙
D06F	布帛製品の洗たく，乾燥，アイロンかけ，プレス又は折り畳み<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する：<br>−揮発性溶剤を用いた家庭又は営業用ドライクリーニング装置；<br>−衣料，リンネル製品又はその他の布帛製品の家庭，洗濯業又は仕立業用アイロンかけ又はその他の熱プレス。<br>２．このサブクラスは以下のものを包含しない：<br>−Ｄ０６Ｂ，Ｄ０６Ｃに包含される布帛製造工程中の絞搾，洗濯，ドライクリーニング，アイロンかけ又はその他の熱プレス。<br>−サブクラスＤ０６Ｌ，Ｄ０６Ｍに包含される，純粋な化学的方法による布帛の処理。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D06G	敷物，袋状物，その他の皮革または繊維の製品または織物の機械式または圧力式清浄；可とう性の筒状または袋状物の内外裏返し
D06H	繊維材料のマーク付け，検査，接合または切断（縫製による接合Ｄ０５Ｂ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D06J	布帛または衣類のひだ付け（｛紙または材料を変えないで紙に類似した方法で加工した物を波形またはその他の形状に変形させるものＢ３１Ｆ｝；縫製によるものＤ０５Ｂ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D06L	繊維，フィラメント，より糸，糸，布帛，羽毛または繊維製品のドライクリーニング，洗浄または漂白；皮革または毛皮の漂白<br><br><u>注</u><br><br>このサブクラスでは，「漂白」という用語は，「けい光漂白」を包含する。<br>このサブクラスは，純粋に機械的な手段による布帛の処理を包含しない。それはサブクラスＤ０６Ｂ，Ｄ０６ＣまたはＤ０６Ｆに包含される。
D06M	繊維，より糸，糸，織物，羽毛またはこのような材料から製造された繊維製品のクラスＤ０６の他に分類されない処理<br><br><u>注</u><br><br>１．Ｄ０６Ｍ１１／００〜Ｄ０６Ｍ１５／００の各グループにおいては，ラストプレイス優先ルールが適用される，すなわち各階層レベルにおいて相反する指示のない限り，物質は最後の適切な箇所に分類される。<br>２．このサブクラスにおいては，：<br>ａ．Ｄ０６Ｍ１１／００〜Ｄ０６Ｍ１５／００の各メイングループにおいては，物質の混合物は少なくとも必須な成分に従って分類される。複数の成分が必須である場合は，相反する指示がない限り，一連の物質の中で最後の適切な箇所に属する必須成分に従って分類される。<br>ｂ．メイングループＤ０６Ｍ１１／００〜Ｄ０６Ｍ１５／００の２つ以上に包含される物質の混合物による処理は，それぞれの適切なメイングループに分類される。<br>３．このサブクラスにおいては，布地の処理は，クラスＤ０６に分類されていないため，以下の原理に従って分類される。<br>ａ．処理剤に特徴のある繊維製品の処理はグループＤ０６Ｍ１１／００〜Ｄ０６Ｍ１６／００；<br>ｂ．プロセスに特徴のある繊維製品の処理はグループＤ０６Ｍ２３／００<br>４．ＩＰＣがどの版の化学元素周期表を参照しているかを示すセクションＣのタイトルに続く注（３）に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D06N	壁，床または類似の被覆材料，例．リノリュウム，オイルクロス，人造皮革，ルーフィングフェルト，高分子材料の層によって被覆された繊維ウェブからなるもの；他に分類されない柔軟なシート材料<br><br><u>注</u><br><br>このサブクラスに分類された層状生成物はＢ３２Ｂにも分類する。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに分類される：<br>Ｄ０６Ｎ７／０２ は Ｄ０６Ｎ７／０００２−Ｄ０６Ｎ７／００９７ に分類される。<br>Ｄ０６Ｎ７／０４ は Ｄ０６Ｎ７／０００２−Ｄ０６Ｎ７／００９７ に分類される。<br>Ｄ０６Ｎ７／０６ は Ｄ０６Ｎ７／０００２−Ｄ０６Ｎ７／００９７ に分類される。<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D06P	繊維製品の染色またはなっ染色；皮革，毛皮または種々の形態の固体状高分子物質の染色<br><br><u>注</u><br><br>このサブクラスは，サブクラスＤ０６Ｂ，Ｄ０６Ｃに包含される純粋に機械的手段による布帛の処理を包含しない。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに分類される：<br>Ｄ０６Ｐ３／８４ は Ｄ０６Ｐ３／８２ に分類される。<br>Ｄ０６Ｐ３／８５ は Ｄ０６Ｐ３／８２ に分類される。<br>Ｄ０６Ｐ３／８５２ は Ｄ０６Ｐ３／８２ に分類される。<br>Ｄ０６Ｐ３／８６ は Ｄ０６Ｐ３／８２ に分類される。<br>Ｄ０６Ｐ３／８７ は Ｄ０６Ｐ３／８２ に分類される。<br>Ｄ０６Ｐ３／８７２ は Ｄ０６Ｐ３／８２ に分類される。<br>Ｄ０６Ｐ３／８７４ は Ｄ０６Ｐ３／８２ に分類される。<br>Ｄ０６Ｐ５／２４〜Ｄ０６Ｐ５／２８ は Ｄ０６Ｐ５／００３ およびサブグループに分類される。<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D06Q	繊維製品の装飾（高分子材料上ににかわ付けした繊維より糸，フィラメント，糸またはトウＤ０６Ｎ７／００）<br><br><u>注</u><br><br>１．このサブクラスにおいては，下記の用語は以下の意味で用いる：<br>―装飾とは，繊維材料の外観または性質を，例．視覚的に，変化させるための部分的な処理または生成される部分的な効果を意味する。<br>２．このサブクラスは，サブクラスＤ０６Ｂ−Ｄ０６Ｊに包含される純粋に機械的手段による布帛の処理を包含しない。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D07	ロープ；電気的なもの以外のケーブル
