C08J9/283	｛連続した高分子相中における乳化された不連続な液相｝
C08J9/286	｛液相が，単量体の溶媒で，目的の高分子組成物の溶媒ではないもの，すなわち，マクロ孔質または結晶性巨大網状ポリマー　｝
C08J9/30	液状組成物またはプラスチゾルにガスを混合するもの，例．空気の吹込み
C08J9/32	高内部相の乳化物調合による発泡
C08J9/33	発泡体片を塊状化するもの，例．廃発泡体
C08J9/34	発泡高分子芯体およびそれより高密度の高分子表面層からなる物品の製造における化学的特徴
C08J9/35	複合発泡体，すなわち，不連続多孔性粒子または断片を含む高分子連続発泡体
C08J9/36	後処理
C08J9/365	｛コーティング｝
C08J9/38	セル膜の破壊
C08J9/40	含浸
C08J9/405	｛重合性化合物を使用するもの｝
C08J9/42	高分子化合物を使用するもの
C08J11/00	廃物の回収または処理（廃重合体またはその解重合生産物の精製または再使用を包含する重合プロセスＣ０８Ｂ，Ｃ０８Ｃ，Ｃ０８Ｆ，Ｃ０８Ｇ，Ｃ０８Ｈ；機械的処理Ｂ２９）
C08J11/02	溶媒，可塑剤または未反応単量体
C08J11/04	ポリマーの
C08J11/06	化学反応を伴わないもの
C08J11/08	ポリマー成分に対する選択的溶媒を使用するもの（選択的溶媒を用いる抽出によるタールの処理Ｃ１０Ｃ１／１８；選択的抽出によるピッチ，アスファルト，ビチューメンの処理Ｃ１０Ｃ３／０８）
C08J11/10	ポリマーの分子鎖を化学的に切断することまたは架橋を切断することによるもの，例．脱加硫（原単量体への解重合Ｃ０７；ゴムまたは屑ゴムからの液体炭化水素混合物の製造Ｃ１０Ｇ１／１０；｛ハロゲン化炭化水素ポリマーの解重合Ｃ０７Ｃ１７／３６７；ポリエステルの解重合，Ｃ０７Ｃ５１／０９，Ｃ０７Ｃ６３／２６；ポリアミドの解重合Ｃ０７Ｄ２０１／１２；ゴムの解重合Ｃ０８Ｃ１９／０８｝）
C08J11/105	｛酵素を用いる処理によるもの｝
C08J11/12	乾熱処理のみによるもの（ガス，コークス，タールまたはこれらの類似物を製造するための炭素質物の分解乾留Ｃ１０Ｂ）
C08J11/14	蒸気または水を用いる処理によるもの
C08J11/16	無機材料を用いる処理によるもの（Ｃ０８Ｊ１１／１４が優先）
C08J11/18	有機材料を用いる処理によるもの
C08J11/20	炭化水素またはハロゲン化炭化水素を用いる処理によるもの
C08J11/22	酸素含有有機化合物を用いる処理によるもの
C08J11/24	水酸基を有するもの
C08J11/26	カルボン酸基，その無水物，またはエステルを有するもの
C08J11/28	窒素，いおうまたはりんを含有する有機化合物を用いる処理によるもの
C08J99/00	このサブクラスの他のグループに分類されない主題事項
C08J2201/00	発泡工程に特徴がある発泡体
C08J2201/02	機械的な前または後処理に特徴があるもの
C08J2201/022	発泡性組成物の一部を予混合または予調合するもの，例．発泡剤，界面活性剤および触媒を用いてポリオールを予混合し発泡時にイソシアン酸のみを追加するもの
C08J2201/024	発泡剤濃縮物の調合または使用，すなわち発泡性成分中のマスターバッチ
C08J2201/026	発泡前または発砲後の架橋
C08J2201/028	
C08J2201/03	湾曲発泡体の抽出
C08J2201/032	ガスで形成された物体の含浸（発泡性粒子，例．ポリスチレンビーズＣ０８Ｊ９／１８）
C08J2201/034	発泡ビーズまたはシートの後発泡
C08J2201/036	発泡体を含侵，結合またはコーティングするため有機，非重合体化合物の使用，例．脂肪酸エステル
C08J2201/038	発泡体を含侵，結合またはコーティングするため無機化合物の使用，例．水ガラス
C08J2201/04	液体または固体成分の除去に特徴があるもの，例．沈殿，浸出，蒸発<br><br><u>注</u><br><br>除去が数段階にわたり行われる場合，第一段階のみがコードＣ０８Ｊ２２０１／０４２〜Ｃ０８２２０１／０５４７を使用して示される 
C08J2201/042	有機固形相の除去
C08J2201/0422	酸素原子を含有するもの，例．サッカロース
C08J2201/0424	ハロゲン，窒素，硫黄またはリン原子を含有するもの
C08J2201/044	無機固形相の除去
C08J2201/0442	無機相が金属，その酸化物または水酸化物であるもの
C08J2201/0444	塩
C08J2201/0446	塩化ナトリウムのみの除去
C08J2201/046	高分子相の除去
C08J2201/0462	有機溶媒を用いるもの
C08J2201/0464	水または無機流体を用いるもの
C08J2201/048	冷凍液層の除去
C08J2201/0482	液層が有機であるもの
C08J2201/0484	液層が水溶性であるもの
C08J2201/05	液層の蒸発または熱劣化による除去
C08J2201/0502	液層が有機であるもの
C08J2201/0504	液層が水溶性であるもの
C08J2201/052	熱処理により相の分離を誘発するもの，例．溶液の冷却
C08J2201/0522	液層が有機であるもの
C08J2201/0524	液層が水溶性であるもの
C08J2201/054	非溶媒または異なる溶媒を加えることでポリマーを沈殿させること
C08J2201/0542	有機溶媒に基づくポリマ−成分からのもの
C08J2201/0543	非溶媒が有機のもの
C08J2201/0544	非溶媒が水溶性のもの
