F16F3/02	鋼または低内部摩擦をもつ他の材料よりなるばねをもつもの
F16F3/023	｛板ばねからのみなるもの｝
F16F3/026	｛ゼロばね比特性を与えること｝
F16F3/04	つる巻きばねのみよりなるもの
F16F3/06	互いの摩擦により減衰しあうように一方のばねが他のばねの外周に配置されたもの
F16F3/08	高内部摩擦をもつ材料からなるばねをもつもの，例．ゴム｛（複数座金型弾性の装着部品Ｆ１６Ｆ１／３７３５）｝
F16F3/087	樹脂または類似の材料で作った数個のばねからなる構成単位（Ｆ１６Ｆ１／４０が優先，｛Ｆ１６Ｆ１／５４５｝が優先）
F16F3/0873	｛同じ材料のものまたは指定されない材料のもの｝
F16F3/0876	｛および同じ形状のもの｝
F16F3/093	ばねが異なる材料からなるもの，例．異なる種類のゴムを有するもの｛（Ｆ１６Ｆ１／３８３５が優先）｝
F16F3/0935	｛および同じ形状のもの｝
F16F3/10	低内部摩擦をもつ鋼鉄またはその他の材料で作られたばねと組み合わされたもの
F16F3/12	鋼鉄ばねがゴムばねと接触しているもの｛（Ｆ１６Ｆ１／１２が優先）｝
F16F5/00	液体が圧縮，例．絞り作用と結合した，によりばねのような作用をする液体ばね；液体ばねを含む装置の組み合わせ｛（固体または半固体材料を有する減衰装置Ｆ１６Ｆ９／３０｝
F16F6/00	磁石ばね；｛（系における振動抑制のための磁気ばね配置Ｆ１６Ｆ１５／０３）｝；流体磁気ばね，｛すなわち流体と結合した磁気ばね｝
F16F6/005	｛永久磁石のみ使用するもの｝
F16F7/00	振動減衰装置；緩衝装置（流体を用いるものＦ１６Ｆ５／００，Ｆ１６Ｆ９／００；回転機構に対して特性をもつものＦ１６Ｆ１５／１０；｛ベルト・テンショナーＦ１６Ｈ７／１２｝）
F16F7/003	｛一回限りの緩衝装置（部材の可塑性変形を用いるもの，例．使い捨て繊維強化複合部材を使用するものＦ１６Ｆ７／１２）｝
F16F7/006	｛織物手段を用いるもの（安全ベルトまたはエネルギー吸収手段を取り入れた体につける装帯Ａ６２Ｂ３５／０４｝
F16F7/01	遊離粒子間の摩擦を用いるもの，例．砂
F16F7/015	｛球形，円筒状，または同様の形状の粒子｝
F16F7/02	共に押しつけあう相対的に回転可能な摩擦表面をもつもの（Ｆ１６Ｆ７／０１が優先；部品の１つがばねであればＦ１６Ｆ１３／０２；｛蝶番の相対的移動部分間の摩擦装置Ｅ０５Ｄ１１／０８；ウィング用制動装置Ｅ０５Ｆ５／００｝）
F16F7/023	｛減衰力調整手段によって特徴付けられるもの｝
F16F7/026	｛回転方向に従って異なる減衰効果となるもの｝
F16F7/04	回転軸の方向にもつもの｛（Ｆ１６Ｆ７／０２３が優先）｝
F16F7/06	回転軸に垂直または傾いた方向にもつもの｛（Ｆ１６Ｆ７／０２３が優先）｝
F16F7/065	｛摩擦によって相互に重なった要素がらせん状のバンド形状をしているもの｝
