C09B11/08	フタレイン；　｛フェノールフタレイン；　フルオレスセイン｝
C09B11/10	トリアリールメタンのアミノ誘導体
C09B11/12	アリール核にＯＨ基を持たないもの
C09B11/14	芳香族アルデヒド，芳香族カルボン酸またはその誘導体および芳香族アミンからの製造
C09B11/16	ジアリールケトンまたはジアリールカルビノールからの製造　｛例．ベンズヒドロール｝
C09B11/18	酸化による製造
C09B11/20	他のトリアリールメタン誘導体からの製造　｛例．　置換によるもの，置換基の置換によるもの（トリアリルメタン染料の染料塩のためのもの　Ｃ０９Ｂ６９／０６）｝
C09B11/22	アリール核にＯＨ基を含むもの　｛およびそのエーテルおよびエステル｝
C09B11/24	アミノ基を含むフタレイン；　｛フタレイン；　フルオラン；　フタライド；　ローダミン染料；　複素芳香環を持つフタレイン；　トリアリールメタン染料のラクトンまたはラクタム形｝
C09B11/245	｛アリール環にＯＨとアミノ基の置換を持つフタレイン｝
C09B11/26	少くとも１個の芳香族核が複素環であるトリアリールメタン染料　｛フタレイン　Ｃ０９Ｂ１１／２４｝
C09B11/28	ピロニン；　｛キサントン，　チオキサントン，　セレノキサントン，　テルロキサントン染料｝
C09B13/00	オキシケトン染料
C09B13/02	ナフタレン系，例．ナフタザリン
C09B13/04	ピレン系
C09B13/06	アセトフェノン系
C09B15/00	アクリジン染料
C09B17/00	アジン染料
C09B17/005	｛環系に少なくとも２個の環窒素原子を持つ少なくとも４個のオルト縮合環を含む染料，例．　フルオフラビン　（【式】）　フルオルビン（【式】）　（フルオリンジン（【式】）　Ｃ０９Ｂ１７／０６）　｝
C09B17/02	ベンゼン系
C09B17/04	ナフタレン系
C09B17/06	フルオリンジンおよびその誘導体
C09B19/00	オキサジン染料
C09B19/005	｛ガロシアニン染料｝
C09B19/02	アミノキノンから製造されたビスオキサジン
C09B21/00	チアジン染料
C09B23/00	メチン又はポリメチン染料，例．シアニン染料
C09B23/0008	｛ポリメチン鎖が置換されたもの｝
C09B23/0016	｛置換基がハロゲン原子であるもの｝
C09B23/0025	｛置換基が酸素原子を介して結合しているもの｝
C09B23/0033	｛置換基が硫黄原子を介して結合されているもの｝
C09B23/0041	｛置換基が窒素原子を介して結合しているもの｝
C09B23/005	｛置換基が　ＣＯＯＨ　および／またはその官能性誘導体であるもの｝
C09B23/0058	｛置換基が　ＣＮであるもの｝
C09B23/0066	｛ポリメチン鎖が炭素環の一部であるもの　（例．ベンゼン，ナフタレン，シクロヘキセン，シクロブテン−二酸）｝
C09B23/0075	｛ポリメチン鎖が複素環の一部であるもの｝
C09B23/0083	｛複素環が鎖中のロダニン（【式】）であるもの｝
C09B23/0091	｛メチン鎖の末端に１個のみの複素環を持つもの例．　ヘミシアミン，ヘミオキソノール（スチリル染料はＣ０９Ｂ２３／１４を参照）｝
C09B23/02	奇数個の（【式】）ＣＨ基を有するポリメチン鎖　｛またはＣ　（アルキル）｝　基
C09B23/04	１個の（【式】）ＣＨ基，例．シアニン，イソシアニン，プソイドシアニン
C09B23/06	３個の（【式】）ＣＨ基，例．カルボシアニン
C09B23/08	４個以上の（【式】）ＣＨ基，例．ポリカーボシアニン
C09B23/083	｛５個の　（【式】）　ＣＨ−基｝
C09B23/086	｛６個以上の（【式】）　ＣＨ−基｝
C09B23/10	偶数個のＣＨ基を有するポリメチン鎖　｛スチリル染料　Ｃ０９Ｂ２３／１４）　（Ｃ０９Ｂ２３／１４　が優先）｝
C09B23/102	｛炭素−炭素結合で結合された２個の複素環（Ｃ０９Ｂ７／００が優先）｝
C09B23/105	｛２個の（【式】）　ＣＨ−基｝
C09B23/107	｛４個の（【式】）　ＣＨ−基｝
C09B23/12	ポリメチン鎖が分岐しているもの　｛分岐とは，ポリメチン鎖上の置換基が新たな共役系を形成しているものを意味する，例．　ほとんどの三核シアニン染料｝
C09B23/14	スチリル染料
C09B23/141	｛２個のＣ６Ｈ５−ＣＨ＝ＣＨ−基を含むビススチリル染料｝
C09B23/143	｛エチレン鎖が　ＣＯＯＨまたはその官能変性誘導体，例．−ＣＮ，　−ＣＯＲ，　−ＣＯＯＲ，　−ＣＯＮ＝，　Ｃ６Ｈ５−ＣＨ＝Ｃ−ＣＮ，を有するもの｝
C09B23/145	｛エチレン鎖が複素環残基を有するもの，例．　複素環−ＣＨ＝ＣＨ−Ｃ６Ｈ５｝
C09B23/146	｛（ベンゾ）チアゾールスチリルアミノ染料（【式】）　｝
C09B23/148	｛−Ｃ６Ｈ５−ＣＨ＝ＣＨ−Ｃ６Ｈ５部を含むスチルベン染料　（スチルベンアゾ染料　Ｃ０９Ｂ２９／００）｝
C09B23/16	ポリメチン鎖がヘテロ原子を含むもの
C09B23/162	｛窒素原子のみ　（アゾメチン染料Ｃ０９Ｂ５５／００，　例．　式アリール−ＣＨ＝Ｎ−アリールのもの；　ホルマザン染料　Ｃ０９Ｂ５０／００，例．−Ｎ−Ｎ＝ＣＲ−Ｎ＝Ｎ−部を含む染料｝
C09B23/164	｛１個の窒素原子を含むもの｝
C09B23/166	｛２個以上の窒素原子を含むもの　（ヒドラゾン染料　−ＣＨ＝Ｎ−Ｎ−　Ｃ０９Ｂ２６／０２）｝
C09B23/168	｛りん原子のみを含むもの，すなわち，ホスファシアニン｝
C09B25/00	キノフタロン
C09B26/00	ヒドラゾン染料；トリアゼン染料
C09B26/02	ヒドラゾン染料（ヒドラゾン−アゾ染料Ｃ０９Ｂ５６／１８）
