F05D2250/323	収束
F05D2250/324	発散
F05D2250/33	対称
F05D2250/34	移動されたもの
F05D2250/35	回転したもの
F05D2250/36	内部と外部との関係におけるもの，例．軸−軸受装置
F05D2250/37	円周方向
F05D2250/38	角度のあるもの，例．スイープ角
F05D2250/40	構成部品の動き
F05D2250/41	自由度を１つもつもの
F05D2250/411	回転におけるもの
F05D2250/42	自由度を２つもつもの
F05D2250/43	自由度を３つもつもの
F05D2250/44	スピンターンによるもの
F05D2250/50	吸入口または流出口
F05D2250/51	吸入口
F05D2250/511	増大するもの，すなわち，遮断流体流の断面積が吸入口後方の機械の残りの部分より大きいもの
F05D2250/512	集束するのみのもの，すなわち，遮断流体流の断面積が吸入口後方の機械の残りの部分より大きくないもの
F05D2250/52	流出口
F05D2250/53	再生式ポンプであるもの
F05D2250/60	構造体；表面組織
F05D2250/61	波形のもの
F05D2250/611	うねり形状のもの
F05D2250/62	平滑なものまたは緻密なもの
F05D2250/621	研磨されたもの
F05D2250/63	粗いもの
F05D2250/70	形状
F05D2250/71	湾曲したもの
F05D2250/711	凸状のもの
F05D2250/712	凹状のもの
F05D2250/713	内曲したもの
F05D2250/72	対称形のもの
F05D2250/73	非対称形のもの
F05D2250/74	一組または一図のＸＹＺ座標により与えられるもの
F05D2250/75	文字に類似していることにより与えられるもの，例．Ｔ字状
F05D2250/80	機械の寸法または出力領域
F05D2250/82	マイクロ機械
F05D2250/84	ナノ機械
F05D2250/90	可変な幾何学的形状
F05D2260/00	機能
F05D2260/02	保守および修理における輸送および取扱い
F05D2260/10	特定の周期
F05D2260/12	試験台での試験
F05D2260/14	事前旋回
F05D2260/15	負荷平衡
F05D2260/16	特定周波数における流体変調
F05D2260/20	熱伝達，例．冷却
F05D2260/201	流体の衝突によるもの
F05D2260/202	膜冷却によるもの
F05D2260/203	蒸散冷却によるもの
F05D2260/204	マイクロ回路の使用によるもの
F05D2260/205	冷却流体の再循環，すなわち，１つ以上の構成部品を冷却した後，冷却流体が回収されて他の目的のために他の場所で用いられるもの
F05D2260/207	相変化塊を用いるもの，例．溶解または沸騰による熱吸収
F05D2260/208	熱パイプを用いるもの
F05D2260/209	渦チューブを用いるもの
F05D2260/211	中間冷却によるもの，例．圧縮周期中のもの
F05D2260/212	水噴射によるもの
F05D2260/213	冷却回路内における熱交換器の装備によるもの
F05D2260/221	熱伝達の改善
F05D2260/2212	乱流の発生によるもの（混合用の渦発生器，攪拌器または類似のものＦ０５D２２４０／１２７）
F05D2260/2214	熱を伝達する表面の増加によるもの
F05D2260/22141	ひれまたはリブを用いるもの
F05D2260/231	熱の伝達の防止
F05D2260/232	冷却媒体に特徴のあるもの
F05D2260/2322	蒸気
F05D2260/234	圧縮機吸入空気により発生するもの
F05D2260/24	太陽光または他の熱源を用いる，煙突における通風の促進のためのもの
F05D2260/30	所望の相互の位置での構成部品の保持
F05D2260/31	ボルトまたはナットの保持
F05D2260/311	脆弱または剪断型のもの
F05D2260/32	磁力または電磁力の手段によるもの
F05D2260/33	バヨネット式軸継手をもつもの
F05D2260/34	再生回転子にかかる径方向または軸方向の力の平衡をとるもの
F05D2260/35	再生羽車円板とケーシング壁との間の摩擦の減少
F05D2260/36	形状が合致する接合によるもの，例．連結によるもの
F05D2260/37	圧入によるもの
F05D2260/38	ばねによるもの，すなわち，所定の位置に向かうばねの負荷または付勢
F05D2260/39	Ｖ字状のリングによって２つの円筒状部分のフランジを接合するもの，例．ターボ過給機のケーシング部分
F05D2260/40	動力の伝達
F05D2260/402	摩擦式駆動装置を通してのもの
F05D2260/4021	ベルト式駆動装置を通してのもの
F05D2260/4022	無端チェーンを通してのもの
F05D2260/4023	摩擦クラッチを通してのもの
F05D2260/403	駆動部品の形状を通してのもの
F05D2260/4031	歯車伝動装置内のものとしてのもの
F05D2260/40311	周転円，遊星または差動型のもの
F05D2260/404	磁気的駆動継手を通してのもの
F05D2260/4041	駆動磁石の周りを取り囲む従動磁石
F05D2260/406	液圧系統を通してのもの
F05D2260/407	圧電変換を通してのもの
F05D2260/408	磁気流体力学的変換を通してのもの
F05D2260/42	エネルギーの蓄積
F05D2260/43	回転運動エネルギーの形態でのもの，例．フライホィール
F05D2260/50	運動学的連結，すなわち，位置の伝達
F05D2260/52	ばねを含むもの
F05D2260/53	歯車を用いるもの
F05D2260/532	傘型または角度付きの型のもの
F05D2260/54	平またはＶベルトおよびプーリを用いるもの
F05D2260/55	チェーンおよびスプロケットを用いるもの；歯付きベルトを用いるもの
F05D2260/56	カムまたは偏心体を用いるもの
F05D2260/57	サーボモータ，独立したアクチュエータ等を用いるもの
F05D2260/60	流体の伝達
F05D2260/601	イジェクタまたはジェットポンプを用いるもの
F05D2260/602	排水
F05D2260/6022	シール材を通過した漏洩のもの（シール材Ｆ０５D２２４０／５７；腺Ｆ０５D２２４０／６３）
F05D2260/604	渦状非閉塞型ポンプ
F05D2260/605	雰囲気または類似のものへの通気
F05D2260/606	流体の迂回
F05D2260/607	ごみ，粉塵または異物の微粒子による流路の詰まりまたは障害の防止
F05D2260/608	閉空間の通気，換気，除湿または湿気の除去
F05D2260/609	脱油または曇りの除去
F05D2260/61	ＣＯ２の除去（排ガスからのＣＯ２の除去Ｂ０１Ｄ５３／６２）
F05D2260/611	二酸化炭素の隔離
F05D2260/70	回転翼の入射角または迎角の調整
F05D2260/71	流速の関数としてのもの
F05D2260/72	回転子の中心線に平行な軸心の周りの回動によるもの
F05D2260/74	回転子の中心線に垂直な軸心の周りの回動によるもの
F05D2260/75	調整機構が補助動力源を用いないもの，例．サーボ機構によるもの
F05D2260/76	調整機構が補助動力源を用いるもの
F05D2260/77	調整機構が遠心力により駆動または始動されるもの
F05D2260/78	調整機構が動的空気力により駆動または始動されるもの
F05D2260/79	それらのための軸受，支持体または差動装置
F05D2260/80	診断
F05D2260/81	モデリングまたはシミュレーション
F05D2260/82	予測
F05D2260/821	パラメータの評価または予測
F05D2260/83	試験，例．それらのための方法，構成部品または道具
F05D2260/84	冗長性
F05D2260/85	始動
F05D2260/90	制動
F05D2260/901	動的空気力，すなわち，揚力または抗力，を用いるもの
F05D2260/902	摩擦機械力を用いるもの
F05D2260/903	電気力または磁力を用いるもの
F05D2260/904	動圧力を用いるもの
F05D2260/94	高サイクル疲労［ＨＣＦ］の低サイクル疲労［ＬＣＦ］などの観点の機械的なストレスに関する機能
F05D2260/941	とりわけ機械的または熱的なストレスの低減を目的としたもの
F05D2260/95	腐食の防止（被覆または表面処理Ｆ０５D２２３０／９０）
F05D2260/96	振動または騒音の防止，相殺または減少
F05D2260/961	不規則なインターブレードの間隔，翼の形状をともなう回転子翼または固定子羽根の誤調整によるもの
F05D2260/962	耐騒音を生成する手段によるもの
F05D2260/963	ホルムヘルツ共鳴器によるもの
F05D2260/964	熱音響の騒音の防止
F05D2260/97	風損の低減
F05D2260/972	径方向流機械におけるもの
F05D2260/98	潤滑
F05D2260/99	点火，例．反響する音響空洞内の燃料または酸化剤の暖機による点火
F05D2270/00	制御
F05D2270/01	制御系の目的
F05D2270/02	回転速度（ｎ）を制御するためのもの
F05D2270/021	速度超過を防止するためのもの
F05D2270/022	速度不足を防止するためのもの
F05D2270/023	異なるスプールまたは軸のもの
F05D2270/024	回転速度を一定に保つためのもの
F05D2270/03	可変速度操作におけるもの
F05D2270/04	加速度（ｕ）を制御するためのもの
F05D2270/042	加速度を危険な高いレベルの値以下に保つもの
F05D2270/044	加速度をできるだけ高くするもの
F05D2270/05	機関の出力に影響を与えるためのもの
F05D2270/051	推力
F05D2270/052	トルク
F05D2270/053	明確に表示された動力
F05D2270/06	機関を被駆動装置に合わせるためのもの
F05D2270/061	特に被駆動発電機の電気的周波数におけるもの
F05D2270/07	燃料経済性の改善のためのもの
F05D2270/071	特に無負荷速度におけるもの
F05D2270/08	正常な排出ガスを生成するためのもの
F05D2270/081	できる限り少ない煙をともなうもの
F05D2270/082	できる限り少ない窒素酸化物をともなうもの
F05D2270/083	燃焼状態の監視によるもの
F05D2270/0831	間接的，排気でのもの
F05D2270/09	緊急事態への対処のためのもの
F05D2270/091	特に突発的な負荷の喪失におけるもの
F05D2270/092	特に吹き消しおよび再点火におけるもの
F05D2270/093	複数機関系における１台の機関のもの
F05D2270/094	バックアップ制御の使用によるもの
F05D2270/095	一時的に最優先の設定された制御限界によるもの
F05D2270/096	水または雹の吸い込みにより起きるもの
F05D2270/10	圧縮機の流れの不安定に対処または回避するもの
F05D2270/101	圧縮機のサージまたは失速
F05D2270/102	作動流体の速度分布の歪みにより起きるもの
F05D2270/1022	航空機の迎角が大きいことによるもの
F05D2270/1024	圧縮機の劣化によるもの
F05D2270/11	機関の寿命を延ばすためのもの
F05D2270/112	温度の制限によるもの
F05D2270/114	機械的応力の制限によるもの
F05D2270/116	逆回転の防止によるもの
F05D2270/12	望ましい乗り物の軌跡のパラメータを維持するためのもの
F05D2270/121	高度
F05D2270/122	速度またはマッハ数
F05D2270/13	同時に２台以上の機関を制御するためのもの
F05D2270/14	燃焼室における熱音響動作を制御するためのもの（雑音または振動の相殺Ｆ０５Ｄ２２６０／９６）
F05D2270/16	水または蒸気の噴射を制御するためのもの
F05D2270/17	浮力層を制御するためのもの
F05D2270/172	プラズマ発生器によるもの，例．点火の制御
F05D2270/173	コアンダ効果によるもの
F05D2270/18	流体増幅器またはアクチュエータを用いるもの
F05D2270/20	機械の性能の最適化のためのもの
F05D2270/30	制御のパラメータ，例．出力のパラメータ
F05D2270/301	圧力
F05D2270/3011	吸入口圧力
F05D2270/3013	流出口圧力
F05D2270/3015	差圧
F05D2270/303	温度
F05D2270/3032	温度超過，例．過熱により生じるもの
F05D2270/304	スプールの回転速度
F05D2270/305	公差
F05D2270/306	質量流量
F05D2270/3061	作動流体のもの
F05D2270/3062	加熱または冷却用の補助流体のもの
F05D2270/309	パラメータの変化率
F05D2270/31	段燃焼のための燃料計画
F05D2270/311	空気の湿度
F05D2270/312	空気の圧力
F05D2270/313	空気の温度
F05D2270/331	機械的負荷
F05D2270/332	最大負荷または疲労基準
F05D2270/333	騒音または音量のレベル
F05D2270/334	振動の測定
F05D2270/335	出力またはトルク
F05D2270/336	翼揚力の測定
F05D2270/40	制御系の形式
F05D2270/42	受動的または反動的なもの，例．大きな風向計を用いるもの
F05D2270/44	能動的，予測的，または予期的なもの
F05D2270/46	冗長，すなわち，フェイルセーフ動作
F05D2270/50	制御論理の具体化
F05D2270/52	電気的手段，例．継電器またはスイッチ，によるもの
F05D2270/54	電子的手段，例．電子管，トランジスタまたは電子回路内の集積回路，によるもの
F05D2270/56	液圧手段，例．液圧回路内の液圧弁，によるもの
F05D2270/58	機械的手段，例．レバー，歯車またはカム，によるもの
F05D2270/60	制御系を作動する手段
F05D2270/62	電気アクチュエータ
F05D2270/64	液圧アクチュエータ
F05D2270/65	空気圧アクチュエータ
F05D2270/66	機械的アクチュエータ（Ｆ０５Ｄ２２７０／６２が優先）
F05D2270/70	制御アルゴリズムの形式
F05D2270/701	比例
F05D2270/702	微分
F05D2270/703	積分
F05D2270/704	比例−微分
F05D2270/705	比例−積分
F05D2270/706	比例−積分−微分
F05D2270/707	ファジー論理
F05D2270/708	比較表をもつもの
F05D2270/709	ニューラルネットワークをもつもの
F05D2270/71	合成されたもの，すなわち，数学的モデルによって計算されたパラメータ
F05D2270/80	入力信号を生成する装置，例．変換器，検出器，撮像器または歪み計
F05D2270/802	それらの構成
F05D2270/803	それらの試料採取
F05D2270/804	光学装置
F05D2270/8041	撮像器
F05D2270/805	電波探知機
F05D2270/806	音波探知機
F05D2270/807	加速度計
F05D2270/808	歪み計，荷重計
F05D2270/809	符号器
F05D2270/81	マイクロフォン
