H05K1/165	｛印刷インダクタンスを備えるもの｝
H05K1/167	｛印刷抵抗器を備えるもの｝
H05K1/18	印刷によらない電気部品と構造的に結合した印刷回路（｛Ｈ０５Ｋ１／０２０１，Ｈ０５Ｋ１／０２３，Ｈ０５Ｋ１／０２４３，および｝Ｈ０５Ｋ１／１６が優先）
H05K1/181	｛表面実装部品と結合したもの｝
H05K1/182	｛印刷回路基板に取り付けられた部品と結合したもの，例．挿入装着部品［ＩＭＣ］｝
H05K1/183	｛印刷回路基板のくぼみ領域内に取り付けられ支承される部品｝
H05K1/184	｛印刷回路基板を貫く孔に挿入されその孔の壁面またはその端縁またはその孔から突出しまたはその孔内の印刷接点に接続された端子を含む部品｝
H05K1/185	｛印刷回路の絶縁基体内に封止されまたは多層回路内部の層内に備えられた部品（相互連結および支持構造により封止された半導体チップＨ０１Ｌ２３／５３８９，Ｈ０１Ｌ２４／００）｝
H05K1/186	｛埋め込む前または埋め込む間にパターン化された回路上に取り付けまたはそこに接続されることにより製造されたもの｝
H05K1/187	｛パターン化された回路が組み立てられる前の回路であり，まだ永久絶縁基体に取り付けられていないもの，例．仮担体上のもの｝
H05K1/188	｛導体層，例．金属箔，をもつ構造に，少なくとも部品に部分的に接続するために，埋め込む前に部品の端子が接続されまたは導体層に近接され，そして埋め込まれた後でパターン化される導体層を用いることで，実装されまたは取り付けられることで製造されたもの｝
H05K1/189	｛可撓性または折畳まれた印刷回路を使用することに特徴のあるもの（Ｈ０５Ｋ３／３２６が優先）｝
H05K3/00	印刷回路を製造するための装置または方法
H05K3/0002	｛印刷回路用の版下の製造のためのもの｝
H05K3/0005	｛計算機によって回路を設計するためのもの｝
H05K3/0008	｛回路基板に関する工具を整列させまたは位置決めするためのもの（Ｈ０５Ｋ３／４６３８，Ｈ０５Ｋ３／４６７９が優先；部品の組立体を製造するためのものＨ０５Ｋ１３／００１５）｝
H05K3/0011	｛絶縁基体または絶縁層の加工｝
H05K3/0014	｛基体の成形，例．成型によるもの｝
H05K3/0017	｛化学的または物理的手段による基体のエッチング｝
H05K3/002	｛液化学エッチングによるもの｝
H05K3/0023	｛感光絶縁層の露光および現像によるもの｝
H05K3/0026	｛レーザ除去によるもの｝
H05K3/0029	｛無機絶縁材料の｝
H05K3/0032	｛有機絶縁材料の｝
H05K3/0035	｛めくら孔の，すなわち，底部に金属層をもつもの｝
H05K3/0038	｛金属層を貫通するレーザ孔あけ加工を組み合わせるもの｝
H05K3/0041	｛プラズマエッチングによるもの｝
H05K3/0044	｛基体の機械的加工，例．孔あけまたはパンチ加工（Ｈ０５Ｋ３／０００８が優先）｝
H05K3/0047	｛孔のドリル加工｝
H05K3/005	｛孔のパンチ加工｝
H05K3/0052	｛デパネリング，すなわち，パネルを回路基板に分割すること；回路基板の端縁の加工｝
H05K3/0055	｛後処理，例．孔の清掃またはスミア除去｝
H05K3/0058	｛他の基体，例．金属基体，の上への印刷回路基体の積層（Ｈ０５Ｋ１／０２８１が優先）｝
H05K3/0061	｛金属基体，例．ヒートシンク，の上に（電気装置のためのヒートシンクＨ０５Ｋ７／２０）｝
H05K3/0064	｛重合体の上に｝
H05K3/0067	｛無機，非金属の基体の上に｝
H05K3/007	｛印刷回路基板のための一時的なまたは犠牲的な担体によって支持された基体の製造または処理（Ｈ０５Ｋ１／１８７，Ｈ０５Ｋ３／２０およびＨ０５Ｋ３／４６８２が優先）｝
H05K3/0073	｛グループＨ０５Ｋ３／０２〜Ｈ０５Ｋ３／４６に分類されないマスク，例．パターン化表面の写真製版製品のためのもの｝
H05K3/0076	｛マスクの組成に特徴のあるもの｝
H05K3/0079	｛マスクの施行または除去の方法に特徴のあるもの（Ｈ０５Ｋ３／００９１が優先）｝
H05K3/0082	｛放射線感応型のマスクの露光方法に特徴のあるもの｝
