A21C11/002	｛トロイドのような形状，例．ベーグル，ドーナツ（トロイド形状の生成物の押出し機械　Ａ２１Ｃ１１／１６６）｝
A21C11/004	｛縁取りがあっても無くても実質上円盤状に生地を成形するもの，例．パイクラスト，ケーキ外皮またはピザ基部を作成するためのもの｝
A21C11/006	｛圧押またはプレス成型によるもの（Ａ２１Ｃ１１／００８が優先）｝
A21C11/008	｛押しながら回転するもの｝
A21C11/02	押形機械
A21C11/04	切截および押形用ローラまたはドラムを有するもの　｛（Ａ２１Ｃ１１／１０６が優先）｝
A21C11/06	一様に予め形どりした展延生地を仕上げるもの
A21C11/08	彫込型，例．形ロールを有する回転機械，を有するもの
A21C11/10	切截機械と組合せたもの　｛（Ａ２１Ｃ１１／００４が優先）｝
A21C11/103	｛ダイヤフラム状の配列で搭載された滑らせるかまたは回転させる複数の切断機素を有するもの｝
A21C11/106	｛手動の切断ツールを用いるもの（Ａ２１Ｃ９／０６８が優先）｝
A21C11/12	生地玉の表面に溝孔をつけ，裂目をつけ，または穴をあける装置
A21C11/14	星形類の形打ち用
A21C11/16	押出機械．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．　−ここに分類されている文献は，生地圧押に関連するＩＤＴーグループに分類されていた。．　−　管理上，これらは該ＩＤＴ−グループからこのグループに再分類された．｝
A21C11/163	｛共押出を適用するもの，すなわち複数の可塑性物質を同時に押出すもの，例．詰込まれた生地生成物を作るもの；エキストルーダに提供される複数の異なる物質からなる生成物を作るもの｝
A21C11/166	｛トロイド形状の生成物を作るためのもの，例．ドーナツ（Ａ２１Ｃ１１／１６３が優先）｝
A21C11/18	ピストン機構を有するもの
A21C11/20	ウォーム機構を有するもの
A21C11/22	ヌウドルの形どり用としてローラと切截円板または切截刃を有する装置
A21C11/24	溝つきローラのかみ合せによって展延生地またはリボン状生地からヌウドルを切り出す装置
A21C13/00	プルーファ，すなわち生地を膨脹せしめる装置　｛（生地特性のテストＧ０１Ｎ３３／１０）｝
A21C13/02	無端コンベアを有するもの　｛例．生地玉を漸次前進させプルーバーを通すためのもの｝
A21C14/00	このサブクラスの他のグループに分類されない生地の製造または加工の機械または装置
A21C15/00	ベイク品の仕上げ用装置<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類されている文献は，ペーストリーを一般的に取り扱う装置とツール，例．ウエハウス形成機械に関するＩＤＴーグループに分類されていた。　−　管理上，これらは該ＩＤＴーグループからこのグループに再分類された．｝
A21C15/002	｛（生地玉　Ａ２１Ｃ９／０４；菓子　Ａ２３Ｇ３／２８）のベーク品の表面に粒状物を塗布したり，掃いたりまたはコーティングするための装置｝
A21C15/005	｛少なくとも分配部分は携帯型のもの，例．可撓性のある容器，袋または銃状の塗布機を含む｝
A21C15/007	｛ベーク品に詰込むための装置（生地玉の詰込み　Ａ２１Ｃ９／０６；詰込まれたベ−カリー製品　Ａ２１Ｄ１３／００１９，Ａ２１Ｄ１３／０８５）｝
A21C15/02	焼上げたウエハウスを形どりし成形する装置；多層のウエハウスシートの製造装置
A21C15/025	｛焼成ウエハウスの形成または成型のための装置｝
A21C15/04	パン以外のベーク品に特に用いられるカッティングまたはスライシング用機械または器具（パンのカッティングまたはスライシング用Ｂ２６Ｂ，Ｂ２６Ｄ）．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．　−ここに分類されている分類は，ラスクを切断用装置に関連するＩＤＴーグループに分類されていた。．　−　管理上，これらは該ＩＤＴーグループからこのグループに再分類された｝
