A43B3/44	センサーを有するもの，例．接触の有無または位置を検出するためのもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ３／４４およびＡ４３Ｂ３／４６はグループＡ４３Ｂ３／３４からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ３／３４，Ａ４３Ｂ３／４４およびＡ４３Ｂ３／４６はコンプリートサーチの完遂のために考慮されるべきである。
A43B3/46	ＧＰＳ
A43B3/48	送信装置を有するもの，例．ＧＳＭまたはＷｉＦｉ<br><br><u>警告</u><br><br>グループＡ４３Ｂ３／４８はＡ４３Ｂ３／３４からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ３／３４およびＡ４３Ｂ３／４８はコンプリートサーチの完遂のために考慮されるべきである。
A43B3/50	音または音楽発生装置を有するもの
A43B5/00	スポーツ用の履物（すべり止め具，例．氷上用アイゼンまたはフットボール靴用の鋲，Ａ４３Ｃ１５／００）<br><br><u>警告</u><br><br>グループＡ４３Ｂ５／００はグループＡ４３Ｂ５／０６への再分類の影響を受ける。<br>グループＡ４３Ｂ５／００およびＡ４３Ｂ５／０６はコンプリートサーチの完遂のために考慮されるべきである。
A43B5/001	｛ゴルフシューズ｝
A43B5/002	｛登山ブーツまたは登山靴｝
A43B5/003	｛フリークライミング用のもの｝
A43B5/004	｛アフタースキー用のブーツ｝
A43B5/005	｛グラインディング，すなわち底またはその一部で滑る，ためのもの｝
A43B5/006	｛乗馬用｝
A43B5/007	｛自動車の運転あるいはレース用のもの｝
A43B5/008	｛ボウリングシューズ｝
A43B5/02	フットボールぐつ｛またはシューズ，すなわち，サッカー，フットボールまたはラグビー用のもの｝
A43B5/025	｛ボールと履物との間の接触を改善するための要素に特徴のあるもの｝
A43B5/04	スキー靴またはそれに類似したブーツ
A43B5/0401	｛スノーボード靴｝
A43B5/0403	｛スノーボードの締め具に適応した底または底の付属品｝
A43B5/0405	｛裏張り，詰め物，そう入物；インナーブーツ｝
A43B5/0407	｛膨らませるもの｝
A43B5/0409	｛インナーブーツまたはその部品をスキー靴の外皮に取り付けるための手段のあるもの｝
A43B5/0411	｛クロスカントリー用のもの｝
A43B5/0413	｛クロスカントリーの締め具に適応した靴底または靴底に用いられる付属品｝
A43B5/0415	｛付属品（Ａ４３Ｂ５／０４０３，Ａ４３Ｂ５／０４１３，Ａ４３Ｂ５／０４９４が優先）｝
A43B5/0417	｛スキー靴の靴底または靴底に用いられるもの用のもの；スキーの締め具用のもの（Ａ４３Ｂ５／０４１１が優先）｝
A43B5/0419	｛歩行補助具用のもの｝
A43B5/0421	｛底部の真下に位置するもの｝
A43B5/0423	｛底部の横に位置するもの｝
A43B5/0425	｛スキー靴または類似した靴を運ぶための装置｝
A43B5/0427	｛細部の種類または構造に特徴のあるもの｝
A43B5/0429	｛靴のふくらはぎまたはすね，すなわち腓骨，脛骨，に対する調節｝
A43B5/0431	｛ふくらはぎまたはすね，すなわち腓骨，脛骨，の長さに対するもの｝
A43B5/0433	｛ふくらはぎまたはすね，すなわち腓骨，脛骨，の幅に対するもの｝
A43B5/0435	｛靴の足に対する調節｝
A43B5/0437	｛足の土ふまずに対するもの（Ａ４３Ｂ５／０４４１が優先）｝
A43B5/0439	｛かかとに対するもの；かかとの締め具装置；かかと受け｝
A43B5/0441	｛中底を持ち上げることによるもの｝
A43B5/0443	｛足の甲，例．中足骨，に対するもの；中足骨締め具装置｝
A43B5/0445	｛非可撓性手段，例．ねじ，レバー，により直接作動されるもの｝
A43B5/0447	｛可撓性手段，例．ケーブル，ストラップ，により作動されるもの｝
A43B5/0449	｛靴の後部に配置される作動装置を有するもの｝
A43B5/045	｛足の幅に対するもの｝
A43B5/0452	｛靴の筒部の前方への傾きの調節｝
A43B5/0454	｛曲げの制御を含むもの；緩衝手段｝
A43B5/0456	｛靴の後部に配置された作動装置を有するもの（Ａ４３Ｂ５／０４６４が優先）｝
A43B5/0458	｛靴の前部に配置された作動装置を有するもの（Ａ４３Ｂ５／０４６４が優先）｝
A43B5/046	｛靴の外側または内側部に配置された作動装置を有するもの（Ａ４３Ｂ５／０４６４が優先）｝
A43B5/0462	｛靴の下側に配置された作動装置を有するもの（Ａ４３Ｂ５／０４６４が優先）｝
A43B5/0464	｛交換可能な部品を有するもの｝
A43B5/0466	｛靴の筒部の側方への傾きの調節；左右の傾斜｝
A43B5/0468	｛スキーに対する靴の角度の調節｝
A43B5/047	｛スキー靴での歩行を改善する手段を備えるもの｝
A43B5/0472	｛可撓性の爪先部分を有するもの；足の母指球の部分に蝶番を備えるもの｝
A43B5/0474	｛歩行／スキーの位置を有するもの（Ａ４３Ｂ５／０４７２が優先）｝
A43B5/0476	｛フロントエントリー式のスキー靴｝
A43B5/0478	｛中央エントリー式のスキー靴，ハイブリッドスキー靴｝
A43B5/048	｛リアエントリー式のスキー靴｝
A43B5/0482	｛剛性の異なる材料で作られたもの｝
A43B5/0484	｛部品の交換を容易にするもの｝
A43B5/0486	｛材料に特徴のあるもの｝
A43B5/0488	｛甲被が可撓性材料，例．皮革，からなるもの（Ａ４３Ｂ５／０４０１，Ａ４３Ｂ５／００２が優先）｝
A43B5/049	｛甲被が複合材料，例．繊維またはコアが母材に埋め込まれたもの，からなるもの｝
A43B5/0492	｛テレマーク靴｝
A43B5/0494	｛テレマークの締め具に適応した靴底または靴底に関連した付属品｝
A43B5/0496	｛ツーリングまたはハイキングスキー用の靴｝
A43B5/0498	｛スキージャンプ用｝
