F21V17/162	｛部品が牽引または圧縮を受けるもの，例．コイルスプリング｝
F21V17/164	｛部品が曲げられているもの，例．スナップジョイント｝
F21V17/166	｛部品がねじられているもの，例．螺旋バネ｝
F21V17/168	｛部品が実質的に等方性で作用する弾性リングであるもの，例．割りリング｝
F21V17/18	掛け金によるもの，例．回転動作して掛けるもの
F21V17/20	トグルレバーによるもの
F21V19/00	光源またはランプホルダの固定（嵌合装置だけで光源を固定するものＨ０１Ｒ３３／００；｛ろうそくをろうそく立てに取付けるための特別な手段Ｆ２１Ｖ３５／００３｝）
F21V19/0005	｛接触ピン，ワイヤまたはブレード，例．ピンチ密封ランプ，を備えた光源の固定（Ｆ２１Ｖ１９／００１が優先）｝
F21V19/001	｛光源が半導体装置，例．ＬＥＤ，であるもの｝
F21V19/0015	｛光源を保持するための固定装置｝
F21V19/002	｛固定手段がカプセル化またはパッケージ化された半導体装置を係合するもの｝
F21V19/0025	｛固定手段が光源の導体を係合するもの，すなわち光源の固定と電気的接続を同時に行うもの｝
F21V19/003	｛光源ホルダーの固定，例．光源を保持する回路基板または基材の固定｝
F21V19/0035	｛固定手段が他の部分，例．組み込まれた部分または光学構成部品，への取り付けを同時に行うことが可能なもの｝
F21V19/004	｛部品の変形またはスナップ作用取り付けによるもの，例．クリップを用いるもの｝
F21V19/0045	｛舌片と溝による結合，例．スライド連動して固定される蟻溝手段，によるもの｝
F21V19/005	｛永久的な固定手段によるもの，例．接着，リベット接合，注入剤組込みによるもの｝
F21V19/0055	｛ねじによるもの｝
F21V19/006	｛点状光源の固定，例．ねじ切り取付け台またはバヨネット取付け台がある白熱灯またはハロゲン灯の固定（接触ピン，ワイヤまたはブレードを有する光源のものＦ２１Ｖ１９／０００５；プリント回路基板に取付けられたＬＥＤまたは光源Ｆ２１Ｖ１９／００１）｝
F21V19/0065	｛支持手段として作用する少なくとも１つの導電素子，例．バヨネット取付け台にバネで取り付けた接触板｝
F21V19/007	｛光源の容器と係合する支持手段｝
F21V19/0075	｛筒状光源の固定，例．環状の蛍光光源の固定｝
F21V19/008	｛直線状の筒状光源の固定，例．直線状の蛍光光源の下面への固定｝
F21V19/0085	｛支持手段として作用する少なくとも１つの導電素子，例．弾性接触ブレード，ピストン状の接点｝
F21V19/009	｛係合手段が光源の容器と係合するもの｝
F21V19/0095	｛Ｕ字形の筒状光源の固定，例．小型蛍光灯の固定｝
F21V19/02	調整できるもの，例．焦点調整
F21V19/04	光源を交換するための手段を備えたもの，例．ターレット｛（白熱ランプの清掃，配置，移動のための補助装置Ｈ０１Ｋ３／３２，蛍光ランプＨ０１Ｊ９／００６）｝
F21V19/047	｛使えなくなった光源を人手によって交換することを意図して照明装置に組み込まれまたは取り付けられた予備光源を用いるもの｝
F21V19/06	白熱マントルまたはその他の白熱体のランプ部への固定；白熱マントルまたはその他の白熱体のつりさげ具（バーナ上のマントルまたはそれ以外の白熱体の配置Ｆ２１Ｖ３６／００）
F21V21/00	照明装置の支持，つり下げ，または取付装置（Ｆ２１Ｖ１７／００，Ｆ２１Ｖ１９／００が優先；車両一般の信号装置または照明装置，その据付や取付，またはその回路Ｂ６０Ｑ；装置または物品の支持台一般Ｆ１６Ｍ１１／００）；グリップ
F21V21/002	直接，電気的接触をするもの，例．突き刺すことによるもの（Ｆ２１Ｖ２１／３５が優先）
