G06G7/20	べき，べき根，多項式，２乗平均値，標準偏差の値を求めるためのもの；Ｇ０６Ｇ７／１２２，Ｇ０６Ｇ７／２８が優先；テレビジョン回路に於けるガンマ補正Ｈ０４Ｎ５／２０，Ｈ０４Ｎ９／６９）
G06G7/22	三角関数の値を求めるためのもの；座標変換のためのもの；ベクトル量を含む計算のためのもの（連立方程式を用いる三角関数の計算Ｇ０６Ｇ７／３４）｛複素平面における計算用；Ｇ０６Ｇ７／２０，Ｇ０６Ｇ７／２８が優先；リゾルバ７４Ｃ５Ａ１｝
G06G7/24	対数または指数関数の値を求めるためのもの，例．双曲線関数用｛乗算，除算用または指数関数を用いてべき，べき根を求めるためのもの；テレビジョン回路に於けるガンマ補正Ｈ０４Ｎ５／２０，Ｈ０４Ｎ９／６９｝
G06G7/25	不連続関数のためのもの，例．バックラッシュ，不感帯，飽和，絶対値または尖頭値のためのもの｛電流または電圧の最大値を測定するものＧ０１Ｒ１９／３０｝
G06G7/26	任意関数発生器｛フーリエシリーズまたは他の直交関数を用いるものＧ０６Ｇ７／１９；曲線追従器を用いるものＧ０６Ｋ１１／０２｝
G06G7/28	部分近似による関数の合成用のもの
G06G7/30	内挿または外挿のためのもの（Ｇ０６Ｇ７／１２２が優先）
G06G7/32	方程式を解くためのもの｛または不等式；マトリックス用｝
G06G7/34	連立方程式のためのもの（Ｇ０６Ｇ７／１２２が優先）
G06G7/36	２次以上の単一方程式のためのもの（Ｇ０６Ｇ７／２２，Ｇ０６Ｇ７／２４が優先）
G06G7/38	微分方程式または積分方程式のためのもの
G06G7/40	偏微分方程式のためのもの｛フィールドまたは波動方程式に関するもの｝（特定装置をシミュレーションするものＧ０６Ｇ７／４８）
G06G7/42	電解槽を用いるもの
G06G7/44	連続媒体，電流感応紙を用いるもの
G06G7/46	不連続媒体を用いるもの，例．抵抗回路網を用いるもの
G06G7/48	特定のプロセス，システムまたは装置のためのアナログ計算機，例．シミュレータ
G06G7/485	｛粒子，例．電子，の軌道を決定するためのもの（放射線ビーム上で実施される測定Ｇ０１Ｔ１／２９；粒子の軌道の処理または解析のためのものＧ０１Ｔ５／０２）｝
G06G7/50	分配網のためのもの，例．流体分配網用（Ｇ０６Ｇ７／６２が優先）｛材料を包含しないもの；Ｇ０６Ｇ７／５７参照｝
G06G7/52	経済システム用のもの；統計用のもの（Ｇ０６Ｇ７／１２２，Ｇ０６Ｇ７／１９が優先）
G06G7/54	原子核物理のためのもの，例．原子炉，放射性降下物のためのもの｛（シンチグラフィックまたは他の放射性同位元素データの処理Ｇ０１Ｔ１／１６４７，Ｇ０１Ｔ１／２９９２）｝
G06G7/56	熱流用のもの（Ｇ０６Ｇ７／５８が優先）
G06G7/57	流体流用のもの（Ｇ０６Ｇ７／５０が優先）｛分配網用｝
G06G7/58	化学的プロセス用のもの（Ｇ０６Ｇ７／７５が優先）｛物理化学的処理用；冶金プロセス用｝
G06G7/60	生体のためのもの，例．神経系統用｛医療分野に於ける問題のためのもの｝
G06G7/62	電気的系統または装置｛このグループは電子システムまたは装置用の計算機のみを包含する；Ｇ０６Ｇ７／７８が優先｝
G06G7/625	フィルター用；遅延線用｛電気回路網の特性の測定，例．ナイキスト図表のプロットＧ０１Ｒ２７／２８；インピーダンス回路網として用いられるシミュレータ９５Ｇ｝
G06G7/63	電力装置，例．電動機，または送配電網のためのもの｛電力機器の制御システム用Ｇ０６Ｇ７／６６｝
G06G7/635	電力系統における最も経済的な分配を決定するためのもの
G06G7/64	非電気的機械たとえばタービンのためのもの
G06G7/66	制御システムのためのもの｛最適化のためのものＧ０６Ｇ７／１２２｝
G06G7/68	土木的構築体，例．梁，すじかい，けたのためのもの｛弾性計算｝
G06G7/70	乗物のためのもの，例．般舶の許容積載量を決定するためのもの｛燃料に必要な重力の中心｝
G06G7/72	フライトシミュレータ（飛行訓練装置Ｇ０９Ｂ９／００）｛材料を包含しないもの；６２ＧＲ参照；４２Ｎ６Ｌ｝
G06G7/75	成分分析のためのもの，例．混合物，色の成分分析のためのもの（Ｇ０６Ｇ７／１２２が優先）｛ガスクロマトグラフィＧ０１Ｎ３０／００からＧ０１Ｎ３０／９６｝
G06G7/76	トラヒックのためのもの
G06G7/78	方向探知，位置，距離，速度の測定，航行システムのためのもの
G06G7/80	照準のためのもの；爆撃用照準のためのもの；ミサイルの誘導のためのもの
G06G99/00	このサブクラスの他のグループに分類されない主題事項　
