B31B50/442	｛回転テーブル上または移動チェーン上に取り付けられた複数の協働プランジャおよび型をもつもの｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／４４２およびＢ３１Ｂ５０／４４４はグループＢ３１Ｂ５０／２６，Ｂ３１Ｂ５０／４４，Ｂ３１Ｂ５０／５２およびＢ３１Ｂ５０／５４からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/444	｛閉鎖通路内を移動し静止折りたたみ型を協働する複数のプランジャをもつもの｝
B31B50/46	加えて側壁を互に連結するもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／４６はグループＢ３１Ｂ５０／２６，Ｂ３１Ｂ５０／５２およびＢ３１Ｂ５０／５４からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／４６もまたグループＢ３１Ｂ５０／４８およびＢ３１Ｂ５０／５０への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/48	固定フラップを折りたたみまたは押し込むことによるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／４８およびＢ３１Ｂ５０／５０はグループＢ３１Ｂ５０／２６，Ｂ３１Ｂ５０／４６，Ｂ３１Ｂ５０／５２およびＢ３１Ｂ５０／５４からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/50	舌片とみぞ穴を互にかみ合わせることによるもの
B31B50/52	往復または振動する部材，例．指状部材，によるもの（折りたたみ用の型内を動くプランジャによるものＢ３１Ｂ５０／４４）<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／５２はグループＢ３１Ｂ５０／２６からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／５２もまたグループＢ３１Ｂ５０／５４およびＢ３１Ｂ５０／４４〜Ｂ３１Ｂ５０／５０への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/54	動いている材料に作用するもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／５４はグループＢ３１Ｂ５０／２６およびＢ３１Ｂ５０／５２からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／５４もまたグループＢ３１Ｂ５０／４４〜Ｂ３１Ｂ５０／５０への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/56	羽根と協働する回転部材によるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／５６，Ｂ３１Ｂ５０／５８およびＢ３１Ｂ５０／５８５はグループＢ３１Ｂ５０／２６からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/58	無端ベルト｛またはチェーン｝を動かすことによるもの
B31B50/585	空気ジェットによるもの
