H01P1/222	｛導波管減衰器（Ｈ０１Ｐ１／２３が優先）｝
H01P1/225	｛同軸減衰器（Ｈ０１Ｐ１／２３が優先）｝
H01P1/227	｛ストリップライン減衰器（Ｈ０１Ｐ１／２３が優先）｝
H01P1/23	強磁性体材料を用いるもの
H01P1/24	終端装置
H01P1/26	損失のある終端
H01P1/262	｛散逸媒体が液体または液体により冷却されるもの｝
H01P1/264	｛（導波管終端（Ｈ０１Ｐ１／２６２が優先）
H01P1/266	｛同軸終端（Ｈ０１Ｐ１／２６２が優先）｝
H01P1/268	｛ストリップライン終端（Ｈ０１Ｐ１／２６２が優先）｝
H01P1/28	可動短絡終端（可変結合係数をもつ結合装置Ｈ０１Ｐ５／０４）
H01P1/30	温度または湿気の影響に対する補償用または保護用　｛電力処理能力を改善するためのもの（Ｈ０１Ｐ１／０４，Ｈ０１Ｐ１／０８が優先）｝
H01P1/32	非可逆性伝送装置（Ｈ０１Ｐ１／０２−Ｈ０１Ｐ１／３０が優先）
H01P1/36	アイソレータ
H01P1/362	｛エッジ導波モード装置｝
H01P1/365	共鳴吸収形アイソレータ
H01P1/37	電界偏位形アイソレータ
H01P1/375	ファラデー回転子を用いるもの
H01P1/38	サーキュレータ
H01P1/383	接合サーキュレータ，例．Ｙサーキュレータ
H01P1/387	ストリップ線路サーキュレータ
H01P1/39	中空導波管サーキュレータ
H01P1/393	ファラデー回転子を用いるもの
H01P1/397	非可逆移相器を用いるもの（Ｈ０１Ｐ１／３９３が優先）
H01P3/00	導波管；導波管型の伝送線路
H01P3/003	｛コプレーナ線路｝
H01P3/006	｛背面導体を有するコプレーナ導波管｝
H01P3/02	２本の長手方向導体をもつもの
H01P3/023	｛フィンライン；スロット線路｝
H01P3/026	｛コプレーナストリップ線路（ＣＰＳ）｝
H01P3/04	レッヘル線対として構成された線路
H01P3/06	同軸線路
H01P3/08	マイクロストリップ；ストリップ線路
H01P3/081	｛マイクロストリップ線路｝
H01P3/082	｛多層誘電体｝
H01P3/084	｛サスペンデッドマイクロストリップ線路｝
H01P3/085	｛トリプレート線路｝
H01P3/087	｛サスペンデッドトリプレート線路｝
H01P3/088	｛積み重ねられた伝送線路｝
H01P3/10	線状導波管，すなわちただ１本の中空でない長手方向導体をもつもの
H01P3/12	中空導波管（Ｈ０１Ｐ３／２０が優先）
H01P3/121	｛基板に集積されたもの｝
H01P3/122	｛誘電体（空気以外）が装荷されたもの｝
H01P3/123	いくつかの部分からなるまたは階段状の横断面をもつもの，例．リッジまたはみぞ付導波管（Ｈ０１Ｐ３／１４が優先）［３］
H01P3/127	円形，楕円形または放物線状の横断面をもつもの［３］
H01P3/13	円形ＴＥ↓０↓１モードの伝送に特に適用されたもの［２］
H01P3/14	可撓性
H01P3/16	誘電体導波管，すなわち長手方向導体をもたないもの
H01P3/165	｛非放射性誘電体線路｝
H01P3/18	作用面を増加させるため数層から組み立てられるもの，すなわち導電性と誘電性の交互の層からなるもの
H01P3/20	導波のための擬似光学的配置，例．誘電体レンズによる焦点合わせ
H01P5/00	導波管型の結合装置（非可逆性装置Ｈ０１Ｐ１／３２；波動エネルギーを走行時間型電子管の放電へまたはその放電から誘導しまたは移動するためのものＨ０１Ｊ２３／３６）
H01P5/02	一定の結合係数をもつもの（Ｈ０１Ｐ５／１２が優先　｛チョーク接続器Ｈ０１Ｐ１／０４，Ｈ０１Ｐ１／０６｝）
H01P5/022	｛同じ種類で同じ形状であるが寸法が異なる線路間の変換｝
H01P5/024	｛中空導波管の間｝
H01P5/026	｛同軸線路の間｝
H01P5/028	｛ストリップ線路の間｝
H01P5/04	可変結合係数をもつもの
H01P5/08	異なる線路または装置の接続用（Ｈ０１Ｐ１／１６，Ｈ０１Ｐ５／０４が優先；異なる寸法の同じ種類の線路を結合するものＨ０１Ｐ５／０２）
H01P5/082	｛異なる形状の中空導波管間の，例．矩形導波管と円形導波管間，の変換｝
H01P5/085	｛同軸線路／ストリップ線路変換｝
H01P5/087	｛誘電体導波管への変換｝
H01P5/10	不平衡線路または不平衡装置との平衡結合用のためのもの
H01P5/1007	｛スロットラインまたはフィンラインへのマイクロストリップ変換｝
H01P5/1015	｛スロットラインまたはフィンラインへのコプレナー線路変換｝
H01P5/1022	｛誘電体導波管への変換｝
H01P5/103	中空導波管―同軸線路の変換
H01P5/107	中空導波管―ストリップ線路の変換
H01P5/12	３個以上の端子をもつ結合装置（Ｈ０１Ｐ５／０４が優先）
H01P5/16	対結合装置，すなわち，他の端子と結合しない少なくとも１個の端子を持つ装置
H01P5/18	２個の結合した導波路からなるもの，例．方向性結合器
H01P5/181	｛導波路が中空導波管であるもの｝
H01P5/182	｛導波管が平行に構成されるもの｝
H01P5/183	｛少なくとも１個の導波路が同軸線路であるもの｝
H01P5/184	｛導波路がストリップラインまたはマイクロストリップであるもの｝
H01P5/185	
H01P5/186	
H01P5/187	
H01P5/188	｛導波路が誘電体導波管であるもの｝
H01P5/19	接合形
H01P5/20	マジック−Ｔ接合
H01P5/22	ハイブリッドリング接合
H01P5/222	
H01P5/225	
H01P5/227	
H01P7/00	導波管型の共振器（｛可変インピーダンス変換器Ｈ０１Ｐ５／０４｝；構造上電子走行時間型電子管と組合せしかも内部での放電と相互作用するものＨ０１Ｊ２３／１８；｛この種の共振器を用いる電子的振動の発生器Ｈ０３Ｂ５／１８，Ｈ０３Ｂ７／１４，Ｈ０３Ｂ９／１４；この種の共振器を用いる電子増幅器Ｈ０３Ｆ３／５４｝；マイクロ波加熱装置Ｈ０５Ｂ６／６４）[Ｎ:<br><br><u>注</u><br><br>未完結，Ｈ０３Ｈ１／００，Ｈ０３Ｈ５／００，Ｈ０３Ｈ７／００も参照]
H01P7/005	｛ヘリカル共振器；スパイラル共振器｝
H01P7/02	レッヘル線共振器
H01P7/04	同軸共振器
H01P7/06	空胴共振器
H01P7/065	｛基板に統合されたもの｝
H01P7/08	ストリップ線路共振器
H01P7/082	
H01P7/084	
H01P7/086	
H01P7/088	
H01P7/10	誘電体共振器
H01P7/105	
H01P9/00	導波管型の遅延線路（構造上走行時間型電子管と組み合わせしかも走行時間型電子管の放電と相互作用するものＨ０１Ｊ２３／２４）
H01P9/003	｛遅延等価器｝
H01P9/006	｛メアンダライン｝
H01P9/02	ら旋線路
H01P9/04	インターデジタル線路
H01P11/00	導波管または導波管型の共振器，線路または他の装置の製造装置または製造方法（同軸ケーブルの製造方法Ｈ０１Ｂ１３／００）
H01P11/001	｛導波管または導波管型伝送線路の製造｝
H01P11/002	｛中空導波管の製造｝
H01P11/003	｛基板上に導電体を有する線路の製造，例．ストリップ線路，スロット線路｝
H01P11/005	｛同軸線路の製造｝
H01P11/006	｛誘電体導波管の製造｝
H01P11/007	｛周波数選択装置の製造（共振器Ｈ０１Ｐ１１／００，３００）｝
H01P11/008	｛共振器の製造｝
