G11C5/00	Ｇ１１Ｃ１１／００に分類される記憶装置の細部
G11C11/5642	｛検知または読出し回路；データ出力回路｝
G11C11/565	｛容量性電荷蓄積素子を使用するもの｝
G11C11/5657	｛強誘電体記憶素子を使用するもの｝
G11C11/5664	｛有機材料記憶素子を使用するもの｝
G11C11/5671	｛絶縁体において電荷トラッピングを使用するもの｝
G11C11/5678	｛アモルファス／結晶の相変化記憶素子を使用するもの｝
G11C11/5685	｛金属酸化物記憶素子，例．ペロブスカイトを使用するもの｝
G11C11/5692	｛マルチビット読出し専用メモリ｝
G11C13/00	グループＧ１１Ｃ１１／００，Ｇ１１Ｃ２３／００〜Ｇ１１Ｃ２５／００に包含されない記憶素子の使用によって特徴づけられたデジタル記憶装置
G11C13/0002	｛抵抗ランダムアクセスメモリ［ RRAM ］素子を用いるもの｝
G11C13/0004	｛アモルファス／結晶の相変化セルを含むもの｝
G11C13/0007	｛金属酸化物記憶材料，例．ペロブスカイトを含むもの｝
G11C13/0009	｛その作用が化学変化に依存する RRAM 分子｝
G11C13/0011	｛伝導性ブリッジＲＡＭまたはプログラム可能な金属化合物セルを含むもの｝
G11C13/0014	｛有機記憶材料に基づくセルを含むもの｝
G11C13/0016	｛ポリマーを含むもの｝
G11C13/0019	｛バイオ分子を含むもの｝
G11C13/0021	｛周辺回路｝
G11C13/0023	｛アドレス回路またはアドレスデコーダ｝
G11C13/0026	｛ビット線またはカラム回路｝
G11C13/0028	｛ワード線またはロウ回路｝
G11C13/003	｛セル選択｝
G11C13/0033	｛ディスターブの防止，ディスターブの評価；ディスターブされた記憶データのリフレッシュ｝
G11C13/0035	｛劣化，保持力，消耗の評価，例．書き込み回数によって｝
G11C13/0038	｛電力供給回路｝
G11C13/004	｛読み出し，センシングの回路または方法｝
G11C2013/0042	｛差分検知，例．相補ビット線による読み出し｝
G11C2013/0045	｛セル電流による読み出し｝
G11C2013/0047	｛データの破壊またはディスターブによる読み出し｝
G11C2013/005	｛セル電極間の電位差による読み出し｝
G11C2013/0052	｛読み出しパルスの形状，例．形，幅，高さによって特徴付けられた読み出し｝
G11C2013/0054	｛選択セルの検出値を比較するために使用される参照素子，例．参照セルと参照値によって実行される読み出し｝
G11C2013/0057	｛２ステップによる読み出し，例．セルは２度読み出され，１度目の読み出し値は参照値として供給されるもの｝
G11C13/0059	｛セキュリティ，保護のための回路または方法｝
G11C13/0061	｛タイミング回路または方法｝
G11C13/0064	｛ベリファイ回路または方法｝
G11C2013/0066	｛書き込み中に正しく書き込まれたことをベリファイするもの，例．電流の流れの開始または中断を検出し，書き込みを終了するために出力信号を出す検出器を使用するもの｝
G11C13/0069	｛書き込み，プログラミングの回路または方法｝
G11C2013/0071	｛選択素子のゲートに書き込み電位を印加する書き込み｝
G11C2013/0073	｛両方向にセル電圧を印加する書き込み｝
