A63F1/00	カードゲーム
A63F2003/00927	磁気のもの
A63F2003/0093	カバーを通して作動するもの，例．透明なカバー
A63F2003/00933	先のとがった道具
A63F2003/00936	盤または箱を持ち運ぶための取っ手
A63F2003/0094	スーツケースに転換可能なもの
A63F2003/00943	箱または容器
A63F2003/00946	遊戯領域に接している遊戯要素用の収納部を有するもの
A63F2003/00949	蓋を有するもの
A63F2003/00952	引き出しを有するもの
A63F2003/00955	蓋を有するもの（Ａ６３Ｆ２００３／００９４９が優先）
A63F2003/00958	滑らせることができるもの
A63F2003/00962	蓋または蓋の内部のゲーム盤を有するもの
A63F2003/00965	盤上ゲームセットを含むもの
A63F2003/00968	盤の相手側に遊戯表面を有するもの
A63F2003/00971	遊戯領域をサイズを制限する手段を有するもの
A63F2003/00974	テーブルとして取り付けらた，描かれまたは設計されたもの
A63F2003/00977	脚が調節可能なもの
A63F2003/00981	折りたたみ可能な脚を有するもの
A63F2003/00984	足パッド，例．ゴム，だけを有するもの
A63F2003/00987	折り板を有するもの
A63F2003/0099	拡張を有するもの，例．スライディング
A63F2003/00993	輪体またはローラーを有するもの
A63F2003/00996	ビデオゲームとして利用できる盤上ゲーム
A63F3/02	チェス；類似する盤上ゲーム
A63F3/022	｛チェスゲームの記録または再生（ゲーム遊戯のためのデータ処理Ｇ０６Ｆ１９／００Ｂ(ＥＣＬＡ)；教習ゲームＧ０９Ｂ１９／２２）｝
A63F2003/025	チェスを教えるためのもの
A63F3/027	｛ポケットチェス（電気的のものＡ６３Ｆ３／０２Ｅ(ＥＣＬＡ)；磁気のものＡ６３Ｆ３／０２Ｍ(ＥＣＬＡ)）｝
A63F3/04	地理的または同様のゲーム；　｛教育的ゲーム（教育器具一般Ｇ０９Ｂ）｝
A63F3/0402	言語学習用のもののもの
A63F2003/0405	特定の言語に関するもの
A63F2003/0407	アラビア語の
A63F2003/041	中国語
A63F2003/0413	日本語
A63F3/0415	｛数字ゲーム（電気的のものＡ６３Ｆ３／０４２１；数学的な型または主題のものＡ６３Ｆ３／０４５７；回転するリングまたはディスクを有する二次元のパズルＡ６３Ｆ９／０８１１，Ａ６３Ｆ９／０８１９）｝
A63F2003/0418	
A63F3/0421	｛電気的の単語または数字ゲーム｝
A63F3/0423	｛単語ゲーム，例．スクラブル（電気的のものＡ６３Ｆ３／０４２１；回転するリングまたはディスクを有する二次元のパズルＡ６３Ｆ９／０８１１，Ａ６３Ｆ９／０８１９）｝
A63F2003/0426	スペルゲーム
A63F2003/0428	クロスワード
A63F2003/0431	暗号化または暗号解読
A63F3/0434	｛地理的なもの（旅行Ａ６３Ｆ３／００Ｓ(ＥＣＬＡ)）｝
A63F2003/0436	旗
A63F2003/0439	地図を使用するもの
A63F2003/0442	地図帳
A63F2003/0444	地球儀
A63F2003/0447	道路地図
A63F3/0449	｛歴史に関するもの｝
A63F2003/0452	家系
A63F2003/0455	有史以前の
A63F3/0457	｛科学または技術に関するもの，例．地質学，化学，統計学，コンピュータフローチャート，ラジオ，電話（Ａ６３Ｆ３／０４７８が優先；科学または技術に関する他のゲームＡ６３Ｆ９／００７６）｝
A63F2003/046	数学（数論Ａ６３Ｆ３／０４１５）
A63F2003/0463	コンピュータ
A63F2003/0465	順列
A63F2003/0468	天文学
A63F2003/0471	物理の
A63F2003/0473	機械学
A63F2003/0476	化学
A63F3/0478	｛生命科学に関するもの，例．生物学，生態学，栄養，保健，医学，心理学｝
A63F2003/0481	生物学
A63F2003/0484	生態学
A63F2003/0486	栄養学
A63F2003/0489	心理学
A63F2003/0492	医学の
A63F3/0494	｛道路交通法規に関するもの｝
A63F3/0497	時間についてのゲーム，例．時間の告知
A63F3/06	数合せカードゲームまたはビンゴゲーム；このようなゲームを検査，照合するためのシステム，装置または器具
A63F3/0605	
A63F3/061	
A63F3/0615	
A63F3/062	ビンゴ
A63F3/0625	｛記入またはチェックのための装置（電気的のものＡ６３Ｆ３／０６Ｅ２(ＥＣＬＡ)；球を用いるものＡ６３Ｆ７／０４８）｝
A63F3/063	｛破断した部分を有する照合カード｝
A63F3/0635	数合せカードゲームまたはビンゴゲームの記入またはチェックするための穴をあける道具
A63F3/064	
A63F3/0645	｛電気的のもの｝
A63F3/065	｛それとともに使用するためのチケットまたは付属品｝
A63F3/0655	チケットの印刷，例．くじ引き券
A63F2003/066	インクジェットを用いるもの
A63F3/0665	｛被覆物をこすり落とした後または粘着層を取り除いた後に判読できるメッセージを有するもの（教育的な目的のためのものＧ０９Ｂ）｝
A63F2003/067	カーボンまたは黒鉛被覆を使用するもの
A63F2003/0675	金属被覆を使用するもの
A63F3/068	｛そのための付属品，例．チケット削り器｝
A63F3/0685	｛化学反応または物理的作用後に読めるようになったメッセージを有するもの，例．加圧，熱処理，物質の噴霧，マイクロカプセルの破壊（紙に複写するためにマイクロカプセルを使用するものＢ４１Ｍ５／１６５）｝
A63F3/069	｛非接着剤部分を引き裂くことにより読めるようになったメッセージを有するもの（接着層を取り除くことによるものＡ６３Ｆ３／０６６５）｝
A63F3/0695	｛滑動可能で，蝶番で動くまたは回転可能な部材を有するもの，例．再利用可能なビンゴゲームボード｝
A63F3/08	相当大人数によって行える富くじゲーム　｛（Ａ６３Ｆ３／０６２５，Ａ６３Ｆ３／０６５が優先；宝くじ装置Ｇ０７Ｃ１５／００）｝
A63F3/081	｛電気的のもの｝
A63F2003/082	遠隔地の参加者
A63F2003/083	テレビを介して遊ぶもの
A63F2003/084	ラジオを介して遊ぶもの
A63F2003/085	電信機を介して遊ぶもの
A63F2003/086	電話を介して遊ぶもの，例．モデムを使用するもの
A63F2003/087	ファックスを使用するもの
A63F2003/088	
A63F5/00	ルーレット・ゲーム
A63F5/0005	
A63F5/0011	制動，制止，休止または停止するためのシステム
A63F5/0017	電気的または機械的な制動効果
A63F5/0023	切り込み間での要素の押圧または維持によるもの
A63F5/0029	重力を使用するもの
A63F5/0035	自由な運動要素，例．ボール
A63F5/0041	弾力がある要素，例．スプリングを有するもの
A63F5/0047	張力が調節可能なもの
A63F5/0052	摩擦面による制動効果
A63F5/0058	可変的な作動手段，例．ハンドブレーキ
A63F5/0064	電気的なもの
A63F5/007	
A63F5/0076	駆動手段
A63F5/0082	電気的なもの
A63F5/0088	
A63F5/0094	
A63F5/02	ルーレット状のボールゲーム
A63F5/04	ディスクルーレット；ダイアルルーレット；指回し小こま；さいころ表示をするこま
A63F5/041	
A63F5/043	
A63F5/045	
A63F5/046	
A63F5/048	
A63F7/00	小遊技動体，例．ボール，円盤，ブロックを用いる室内用ゲーム（盤上ゲーム，富くじゲームＡ６３Ｆ３／００；ルーレットゲームＡ６３Ｆ５／００；小型ボーリングゲームＡ６３Ｄ３／００，パゲティルまたはそれに類似するゲーム，玉突き，ポケット玉突きＡ６３Ｄ１５／００）
A63F7/0005	｛ボールあるいは他の遊技体をテーブルの一端から一以上の多方向に滑らせて遊ぶもの，または同端に一つの以上の入力位置を有しテーブルの上で遊ぶもの，例．シャッフルボード（小型のボーリングレーンＡ６３Ｄ３／００；ゴールポストそれ自体Ａ６３Ｆ７／１２(ＥＣＬＡ)）｝
A63F2007/0011	
A63F7/0017	｛テーブルの反対側から，２人の遊戯者によりテーブル上で遊ぶもの（Ａ６３Ｆ７／０６が優先）｝
A63F7/0023	｛全側面からテーブル上で遊ぶもの，例．マーブルゲーム｝
A63F2007/0029	遊戯領域の一部を共有するそれぞれの参加者のための遊戯位置を有するもの
A63F2007/0035	二人の遊技者用のもの
A63F2007/0041	三人以上の遊技者用のもの
A63F2007/0047	プール，スヌーカーまたは玉突きを模擬するもの
A63F2007/0052	別々の遊戯領域を有するそれぞれの参加者のための遊戯位置を有するもの
A63F7/0058	｛電気的なもの（Ａ６３Ｆ７／０２７，Ａ６３Ｆ７／１２Ｅ(ＥＣＬＡ)が優先）｝
A63F2007/0064	他のゲームと結合した球技ゲーム
A63F2007/007	他のボールゲームを有するもの
A63F7/0076	｛駒の機能を持つ遊技動体，盤上ゲームを模擬するもの｝
A63F2007/0082	マンカラ
A63F7/0088	｛磁力を用いるもの（Ａ６３Ｆ７／０６８が優先；磁気玩具Ａ６３Ｈ３３／２６）｝
A63F2007/0094	電磁気的作用を使用するもの，例．ボールを引きつけるためのもの
A63F7/02	落下する小遊技体または斜面上をころがる小遊技体を用いるもの，例．ピンボールゲーム
A63F7/022	パチンコ
A63F7/025	｛ピンボールゲーム，例．フリッパーゲーム｝
A63F7/027	｛電気的のもの｝
A63F7/04	小容器内で振回しまたは転動させるボールを用いるもの　｛例．迷路を含むもの｝
A63F7/041	｛二次元の迷路｝
A63F7/042	｛三次元の迷路｝
A63F7/044	｛ボールが転がされた手持ち式箱，例．箱の傾斜によって穴に向かっているもの（Ａ６３Ｆ７／００Ｎ(ＥＣＬＡ)，Ａ６３Ｆ７／０４１が優先；支持体上を傾斜し得るものＡ６３Ｆ７／１６(ＥＣＬＡ)）｝
A63F7/045	｛液体を含むもの｝
A63F7/047	｛磁気のもの｝
A63F7/048	｛乱数の生成のために使用されるもの｝
A63F7/06	戸外ボールゲームの模擬ゲーム，例．ホッケー　｛フットボール（電気的のものＡ６３Ｆ７／００Ｅ６(ＥＣＬＡ)｝；もし，人体自体のために物理的に有益であればＡ６３Ｂ６７／００）
A63F7/0604	フットボールまたはサッカー
A63F7/0608	
A63F7/0612	
A63F7/0616	
A63F7/062	
A63F7/0624	
A63F7/0628	
A63F7/0632	
A63F7/0636	
A63F7/064	
A63F7/0644	
A63F7/0648	
A63F7/0652	
A63F7/0656	
A63F7/066	｛圧縮空気の手段によって発射される遊技動体｝
A63F7/0664	
A63F7/0668	｛指で軽くたたかれるかまたはテーブルにつながっていないスティック，キューまたは摺動ディスクで打たれるボール｝
A63F7/0672	｛回転可能で縦方向に可動する軸を固定された遊戯形態を有するもの｝
A63F7/0676	｛そのための遊技形態｝
A63F7/068	｛引き付ける力を用いるもの（磁気玩具Ａ６３Ｈ３３／２６）｝
A63F7/0684	｛垂直の軸に対してスライド可能なまたは回転可能な遊技形態を有するもの（Ａ６３Ｆ７／０６７２が優先）｝
A63F7/0688	足で作動するもの
A63F7/0692	蹴るもの
A63F7/0696	ペダルを使用するもの
A63F7/07	小遊技体が遊技面に常に接触しているものまたは常に保持されているもの，例．エアークッションを用いるもの
A63F7/20	小遊技体が空中に発射されるもの
A63F7/22	付属具；細部
A63F7/24	小遊技体の発射または押出しを遊技者が操作する装置（卓上玉ころがし，小型ボーリングまたはボーリングゲームに関するこれらの装置，Ａ６３Ｄ３／０２，バゲティルまたは玉突きに関するものＡ６３Ｄ１３／００，Ａ６３Ｄ１５／００）
A63F7/2409	
A63F7/2418	
A63F7/2427	
A63F7/2436	
A63F2007/2445	
A63F2007/2454	
A63F2007/2463	
A63F7/2472	
A63F7/2481	
A63F7/249	
A63F7/26	電気的または磁気的なもの
A63F7/265	
A63F7/28	重力を用いたもの
A63F2007/282	
A63F2007/284	
A63F2007/286	
A63F2007/288	
A63F7/30	障害物；標的；得点装置または玉受け装置；遊技体で作動される感知器，例．スイッチ；傾斜指示計
A63F2007/3005	
A63F2007/301	
A63F2007/3015	
A63F2007/302	
A63F2007/3025	
A63F2007/303	
A63F2007/3035	
A63F2007/304	
A63F2007/3045	
A63F7/305	
A63F7/3055	
A63F7/306	
A63F7/3065	
A63F7/307	
A63F7/3075	
A63F2007/308	
A63F2007/3085	
A63F2007/309	
A63F2007/3095	
A63F7/32	得点表示装置
A63F7/34	小遊技体を取扱う他の装置，例．賞球の返還装置
A63F2007/341	
A63F2007/343	
A63F2007/345	
A63F2007/346	
A63F2007/348	
A63F7/36	７／２４から７／３４に含まれないゲーム器の構成物，例．枠，ゲーム盤，案内レール
A63F7/3603	
A63F2007/3607	
A63F2007/3611	
A63F2007/3614	
A63F2007/3618	
A63F7/3622	
A63F2007/3625	
A63F2007/3629	
A63F2007/3633	
A63F2007/3637	
A63F2007/364	
A63F2007/3644	
A63F2007/3648	
A63F2007/3651	
A63F2007/3655	
A63F2007/3659	
A63F2007/3662	
A63F2007/3666	
A63F2007/367	
A63F2007/3674	
A63F2007/3677	
A63F2007/3681	
A63F2007/3685	
A63F2007/3688	
A63F2007/3692	
A63F2007/3696	
