B67B   7/56  \	3	3	3E081	B67B   7/56	2	容器貫通旋回軸および可変切断刃半径，すなわち，切断要素と貫通旋回中心点との距離が可変であるもの，をもつもの［４］	with container penetrating pivot and variable cutter radius, i.e. the distance between the cutting element and the penetrating pivot being changeable [4]
B67B   7/58  \	4	4	3E081	B67B   7/58	5	自由に摺動できる切断刃をもつもの［４］	Freely slidable cutter [4]
B67B   7/60  \	2	2	3E081	B67B   7/60	7	切断要素が容器を横切って移動するように容器と切断要素を固定点のまわりに相対的に回転するために用いられる増力手段をもつもの［４］	having force multiplying means employed to relatively turn the container and cutting element about a fixed point to force the cutting element to traverse the container [4]
B67B   7/62  \	2	2	3E081	B67B   7/62	3	前進する支点，すなわち，レバー状作動ハンドルを持ち，開口操作時容器と相対的に前進移動する支点を設定する要素をもつもの［４］	Progressive fulcrum, i.e. having a lever-like actuating handle and provision to establish a pivot point which is progressively translated relative to the container during the opening operation [4]
B67B   7/64  \	3	3	3E081	B67B   7/64	13	容器壁に係合して，その回りに切断要素を案内する案内手段を有するもの［４］	with guide means to engage container wall and guide the cutting element thereabout [4]
B67B   7/66  \	3	3	3E081	B67B   7/66	0	反動部材に軸支された切断刃をもつもの［４］	cutter pivoted to reaction member [4]
B67B   7/68  \	2	2	3E081	B67B   7/68	25	せん断型，すなわち，各々の切断刃が通過移動するように，相互に共働し，切断作業を行なうために各々の切断刃が実質的に接触する切断要素をもつもの［４］	shear type, i.e. including cutting elements co-operating with one another so that their respective cutting edges move pass and in substantial contact with each other to perform the cutting operation [4]
B67B   7/70  \	2	2	3E081	B67B   7/70	6	開口操作時に容器の出縁に継続的に係合するように環状の駆動される車輪状ローラ部材をもつもの［４］	including an annular, driven, wheel-like roller member adapted to continuously engage a container chime during the opening operation [4]
B67B   7/70  A	2	0	3E081	B67B   7/70	139	手動のもの	manually operated
B67B   7/70  B	2	0	3E081	B67B   7/70	191	動力源を有するもの	with power sources
B67B   7/70  Z	2	0	3E081	B67B   7/70	6	その他のもの	Others
B67B   7/72  \	3	3	3E081	B67B   7/72	13	回転円板状の切断刃をもつもの［４］	Cutter comprising rotatable disc [4]
B67B   7/74  \	3	3	3E081	B67B   7/74	1	ローラー駆動手段が最初の貫通を行わせる，すなわち，車輪状の部材を回転させる力が切断装置に容器壁を貫通させるもの［４］	Roller drive means causes initial piercing, i.e. force applied to rotate the wheel-like member causes the cutting element to pierce the container wall [4]
B67B   7/76  \	3	3	3E081	B67B   7/76	3	容器側壁を突刺すためのもの［４］	adapted to pierce container side wall [4]
B67B   7/78  \	2	2	3E081	B67B   7/78	5	複数の切断装置をもつもの［４］	including plural cutters [4]
B67B   7/80  \	2	2	3E081	B67B   7/80	4	切断要素により形成された容器の開口を覆う手段をもつもの［４］	with means to cover an opening in the container made by the cutting element [4]
B67B   7/82  \	2	2	3E081	B67B   7/82	109	被切断部分が容器内へ落下するのを防止するか，または被切断部分を容器から持ち上げる手段をもつもの［４］	with means to prevent the cut portion from dropping into the container or to raise the cut portion out of the container [4]
B67B   7/84  \	2	2	3E081	B67B   7/84	0	右手または左手操作に適合されるもの，すなわち，装置が容器の回りのいずれの方向にも操作できるもの［４］	adapted for right or left-hand operation, i.e. the device is capable of being operated in either direction about the container [4]
B67B   7/86  \	2	2	3E081	B67B   7/86	264	注出口を有するか，注出口を形成すべく容器材料を変形または屈曲する手段をもつもの［４］	with spout or means to deform or bend the material of the container to form a spout [4]
B67B   7/88  \	2	2	3E081	B67B   7/88	73	切断要素を清掃または消毒する手段をもつもの［４］	with means to clean or sanitize the cutting element [4]
B67B   7/90  \	2	2	3E081	B67B   7/90	5	感知装置，アクチベータおよび制御装置をもつもの［４］	with sensor, activator and controller [4]
B67B   7/92  \	1	1	3E081	B67B   7/92	239	破断によるもの，例．アンプル用［５］	by breaking, e.g. for ampoules [5]
B67B   7/92 100 \	2	2	3E081	B67B   7/92	77	容器の一部を折り取るもの	snap off part of container
