C09J133/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，そのうちただ１つの脂肪酸がただ１つのカルボキシル基によって停止されている化合物，またはその塩，無水物，エステル，アミド，イミドまたはそのニトリルの単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J133/02	酸の単独重合体または共重合体；その金属塩またはアンモニウム塩
C09J133/04	エステルの単独重合体または共重合体　｛Ｃ０９Ｊ１４３／０４　が優先｝
C09J133/06	炭素，水素および酸素のみを含有し，しかもその酸素はカルボキシル基の一部分としてのみ存在するエステルの
C09J133/062	｛Ｃ０９Ｊ１３３／０６に含まれないモノマーとの共重合体｝
C09J133/064	｛無水物，　ＣＯＯＨまたは　ＣＯＯＭ基を含むもの，　Ｍは金属またはオニウムカチオン｝
C09J133/066	｛−ＯＨ基を含むもの｝
C09J133/068	｛グリシジル基を含むもの｝
C09J133/08	アクリル酸エステルの単独重合体または共重合体
C09J133/10	メタクリル酸エステルの単独重合体または共重合体
C09J133/12	メチルメタクリレートの単独重合体または共重合体
C09J133/14	ハロゲン，窒素，いおう，またはカルボキシル基の酸素以外の酸素を含有するエステルの
C09J133/16	ハロゲン原子を含有するエステルの単独重合体または共重合体
C09J133/18	ニトリルの単独重合体または共重合体
C09J133/20	アルリロニトリルの単独重合体または共重合体（Ｃ０９Ｊ１５５／０２が優先）
C09J133/22	４個以上の炭素原子を含有するニトリルの単独重合体または共重合体
C09J133/24	アミドまたはイミドの単独重合体または共重合体
C09J133/26	アクリルアミドまたはメタクリルアミドの単独重合体または共重合体
C09J135/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，その少なくとも１つがカルボキシル基によって停止されており，そして分子中に少なくとも１個の他のカルボキシル基をもつ化合物，その塩，無水物，エステル，アミド，イミドもしくはニトリルの単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J135/02	エステルの単独重合体または共重合体（Ｃ０９Ｊ１３５／０６，Ｃ０９Ｊ１３５／０８が優先）
C09J135/04	ニトリルの単独重合体または共重合体（Ｃ０９Ｊ１３５／０６，Ｃ０９Ｊ１３５／０８が優先）
C09J135/06	ビニル芳香族単量体との共重合体
C09J135/08	ビニルエーテルとの共重合体
C09J137/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，その少なくとも１つは酸素を含む複素環によって停止されている化合物の単独重合体または共重合体に基づく接着剤（多官能性の酸の環状エステルの重合体に基づくものＣ０９Ｊ１３１／００；不飽和酸の環状無水物の重合体に基づくものＣ０９Ｊ１３５／００）；そのような重合体の誘導体に基づく接着剤
C09J139/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，その少なくとも１つが窒素に対する単結合もしくは二重結合または窒素含有複素環により停止されている化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J139/02	ビニルアミンの単独重合体または共重合体
C09J139/04	窒素含有複素環を有する単量体の単独重合体または共重合体
C09J139/06	Ｎ―ビニル―ピロリドンの単独重合体または共重合体
C09J139/08	ビニル―ピリジンの単独重合体または共重合体
C09J141/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，その少なくとも１つがいおうに対する結合またはいおう含有複素環によって停止されている化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J143/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，ほう素，けい素，りん，セレン，テルルまたは金属を含有する化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤（金属塩，例．フェノラート，アルコラートの，母体化合物に基づく接着剤参照）
C09J143/02	りん含有単量体の単独重合体または共重合体
C09J143/04	けい素含有単量体の単独重合体または共重合体
C09J145/00	側鎖に不飽和脂肪族基をもたず，炭素環または複素系に１個以上の炭素―炭素二重結合をもつ化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤（多官能性酸の環状エステルに基づくものＣ０９Ｊ１３１／００；環状無水物またはイミドに基づくものＣ０９Ｊ１３５／００）
C09J145/02	クマロン―インデン重合体の
C09J147/00	１個以上の不飽和脂肪族基をもち，少なくともその１つが２個以上の炭素―炭素二重結合をもつ化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤（Ｃ０９Ｊ１４５／００が優先；共役ジエンゴムに基づくものＣ０９Ｊ１０９／００〜Ｃ０９Ｊ１２１／００）
C09J149/00	１個以上の炭素―炭素三重結合をもつ化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J151/00	グラフト成分が炭素―炭素不飽和結合のみが関与する反応によって得られるグラフト重合体に基づく接着剤（ＡＢＳ重合体に基づくものＣ０９Ｊ１５５／０２）；そのような重合体の誘導体に基づく接着剤
C09J151/003	｛不飽和炭素−炭素結合のみが関与する反応によって得られた高分子化合物にグラフトしたもの　（Ｃ０９Ｊ１５１／０４，　Ｃ０９Ｊ１５１／０６が優先）｝
C09J151/006	｛炭素−炭素不飽和結合のみが関与する反応によって得られた重合体連鎖を少なくとも１つ含むブロック共重合体にグラフトしたもの｝　
C09J151/02	多糖類にグラフトされた
C09J151/04	ゴムにグラフトされた
C09J151/06	ただ１個の炭素―炭素二重結合を含有する脂肪族炭化水素の単独重合体または共重合体にグラフトされた
C09J151/08	不飽和炭素―炭素結合のみが関与する以外の反応によってから得られる高分子化合物にグラフトされた
C09J151/085	｛ポリシロキサンに｝
C09J151/10	無機質材料にグラフトされた
C09J153/00	炭素―炭素不飽和結合のみが関与する反応によって得られる重合体の連鎖を少なくとも１個含有するブロック共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J153/005	｛変性されたブロック共重合体｝　
C09J153/02	ビニル芳香族単量体及び共役ジエンの
C09J153/025	｛変性されたもの｝　
C09J155/00	グループＣ０９Ｊ１２３／００〜Ｃ０９Ｊ１５３／００に属さない炭素―炭素不飽和結合のみが関与する重合反応によって得られる単独重合体または共重合体に基づく接着剤
C09J155/005	｛炭素−炭素二重結合によって停止された高分子化合物の重合によって得られた単独重合体または共重合体｝
C09J155/02	ＡＢＳ重合体
C09J155/04	ジエン合成によって得られるポリ付加物
C09J157/00	炭素―炭素不飽和結合のみが関与する反応によって得られる不特定重合体に基づく接着剤
C09J157/02	鉱油炭化水素の共重合体
C09J157/04	単量体の少量成分のみが示された共重合体
C09J157/06	炭素および水素以外の元素を含む単独重合体または共重合体
C09J157/08	ハロゲン原子を含むもの
C09J157/10	酸素原子を含むもの
C09J157/12	窒素原子を含むもの
C09J159/00	ポリアセタールに基づく接着剤；ポリアセタールの誘導体に基づく接着剤
C09J159/02	ポリオキシメチレン連鎖のみを含むポリアセタール
C09J159/04	ポリオキシメチレン共重合体
C09J161/00	アルデヒドまたはケントの重縮合体に基づく接着剤（ポリアルコールとのＣ０９Ｊ１５９／００；ポリニトリルとのＣ０９Ｊ１７７／００）；そのような重合体の誘導体に基づく接着剤
C09J161/02	アルデヒドまたはケトンのみの重縮合体
C09J161/04	アルデヒドまたはケトンとフェノールのみとの重縮合体
C09J161/06	アルデヒドとフェノールとの
C09J161/12	多価フェノールとの
C09J161/14	変性フェノール―アルデヒド重縮合体
C09J161/16	ケトンとフェノールとの
C09J161/18	アルデヒドまたはケトンと芳香族炭化水素またはそのハロゲン誘導体のみとの重縮合体
C09J161/20	アルデヒドまたはケトンと窒素に結合した水素を含む化合物のみとの重縮合体（アミノフェノールとのＣ０９Ｊ１６１／０４
C09J161/22	アルデヒドと非環式または炭素環式化合物との
C09J161/24	尿素またはチオ尿素との
C09J161/26	アルデヒドと複素環式化合物との
C09J161/28	メラミンとの
C09J161/30	アルデヒドと複素環式及び非環式または炭素環式化合物との
C09J161/32	変性アミン―アルデヒド重縮合体
C09J161/34	グループＣ０９Ｊ１６１／０４，Ｃ０９Ｊ１６１／１８およびＣ０９Ｊ１６１／２０のうち少なくとも２つに属する単量体とアルデヒドまたはケトンとの重縮合体
C09J163/00	エポキシ樹脂に基づく接着剤；エポキシ樹脂の誘導体に基づく接着剤
C09J163/04	エポキシノボラック
C09J163/06	トリグリシジルイソシアヌレート
C09J163/08	エポキシ化ポリエン重合体
C09J163/10	不飽和化合物で変性されたエボキシ樹脂．<br><br><u>注</u><br><br>　相反する指示がない限り，グループＣ０９Ｊ１６５／００〜Ｃ０９Ｊ１８５／００において，主鎖に２種の異なる結合を形成する反応によって得られる高分子化合物に基づく接着剤は，多量に存在する結合にしたがって分類される。
C09J165/00	主鎖に炭素―炭素結合を形成する反応によって得られる高分子化合物に基づく接着剤（Ｃ０９Ｊ１０７／００〜Ｃ０９Ｊ１５７／００，Ｃ０９Ｊ１６１／００が優先）そのような重合体の誘導体に基づく接着剤
C09J165/02	ポリフェニレン
C09J165/04	ポリキシリレン
C09J167/00	主鎖にカルボン酸エステル結合を形成する反応によって得られるポリエステルに基づく接着剤（ポリエステル―アミドに基づくものＣ０９Ｊ１７７／１２，ポリエステル―イミドに基づくものＣ０９Ｊ１７９／０８）；そのような重合体の誘導体に基づく接着剤
C09J167/02	ジカルボン酸とジヒドロキシ化合物から誘導されたポリエステル（Ｃ０９Ｊ１６７／０６が優先）
C09J167/025	｛ポリエーテル連鎖を含むもの｝
C09J167/03	芳香環に直接結合した水酸基およびカルボキシル基をもつジカルボン酸およびジヒドロキシ化合物
C09J167/04	ヒドロキシカルボン酸，例．ラクトン，より誘導されたポリエステル（Ｃ０９Ｊ１６７／０６が優先）
C09J167/06	炭素―炭素不飽和結合をもつ不飽和ポリエステル
C09J167/07	末端炭素―炭素不飽和結合をもつもの
C09J167/08	高級脂肪油またはその酸により，または天然樹脂または樹脂酸により変性されたポリエステル
C09J169/00	ポリカーボネートに基づく接着剤；ポリカーボネートの誘導体に基づく接着剤
C09J169/005	｛ポリエステルカーボネート｝
C09J171/00	主鎖にエーテル結合を形成する反応によって得られるポリエーテルに基づく接着剤（ポリアセタール基づくものＣ０９Ｊ１５９／００；エボキシ樹脂に基づくものＣ０９Ｊ１６３／００；ポリチオエーテル―エーテルに基づくものＣ０９Ｊ１８１／０２；ポリエーテルスルホンに基づくものＣ０９Ｊ１８１／０６）；そのような重合体の誘導体に基づく接着剤
C09J171/02	ポリアルキレンオキシド
C09J171/03	ポリエピハロヒドリン
C09J171/08	ヒドロキシ化合物またはその金属誘導体から誘導されるポリエーテル（Ｃ０９Ｊ１７１／０２が優先）｛不使用｝
C09J171/10	フェノールから誘導されるもの｛不使用｝
C09J171/12	ポリフェニレンオキサイド
C09J171/14	フルフリルアルコール重合体
C09J173/00	グループＣ０９Ｊ１５９／００からＣ０９Ｊ１７１／００に属さない主鎖に酸素または酸素および炭素を含む結合を形成する反応によって得られる高分子化合物に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J173/02	ポリ無水物
