H10H20/8504	｛チップスケール型パッケージ｝<br><br><u>警告</u><br><br>グループH10H20/8504はグループH10H20/85およびH10H20/8506からの文献の再分類が未完成であり保留されている。<br>グループH10H20/85，H10H20/8506およびH10H20/8504はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8506	｛容器｝<br><br><u>警告</u><br><br>グループH10H20/8506はグループH10H20/8502，H10H20/8504，H10H20/8508，H10H29/8506およびH10H29/8508への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8508	｛パッケージ基板，例．サブマウント｝<br><br><u>警告</u><br><br>グループH10H20/8508はグループH10H20/85およびH10H20/8506からの文献の再分類が未完成であり保留されている。<br>グループH10H20/85，H10H20/8506およびH10H20/8508はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/851	波長変換手段<br><br><u>警告</u><br><br>グループH10H20/851はグループH10H29/851への<br>グループH10H20/851およびH10H29/851はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8511	｛その材料，例．結着剤，に特徴のあるもの｝<br><br><u>警告</u><br><br>グループH10H20/8511はグループH10H29/8511への再分類の影響を受ける。<br>グループH10H20/8511およびH10H29/8511はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8512	｛波長変換材料｝<br><br><u>警告</u><br><br>グループH10H20/8512はグループH10H29/8512への再分類の影響を受ける。<br>グループH10H20/8512およびH10H29/8512はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8513	｛２以上の波長変換材料を有するもの｝<br><br><u>警告</u><br><br>グループH10H20/8513はグループH10H29/8513への再分類の影響を受ける。<br>グループH10H20/8513およびH10H29/8513はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8514	｛その形状，例．プレートまたはフォイル，に特徴のあるもの｝<br><br><u>警告</u><br><br>グループH10H20/8514はグループH10H29/8514への再分類の影響を受ける。<br>グループH10H20/8514およびH10H29/8514はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8515	｛本体に接触していないもの｝<br><br><u>警告</u><br><br>グループH10H20/8515はグループH10H29/8515への再分類の影響を受ける。<br>グループH10H20/8515およびH10H29/8515はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8516	｛空間的に不均一な配置または不均一な濃度を有するもの，例．パターン化された波長変換層または濃度勾配のある波長変換層｝<br><br><u>警告</u><br><br>グループH10H20/8516はグループH10H29/8516への再分類の影響を受ける。<br>グループH10H20/8516およびH10H29/8516はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/852	封緘<br><br><u>警告</u><br><br>グループH10H20/852はグループH10H29/852への再分類の影響を受ける。<br>グループH10H20/852およびH10H29/852はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/853	その形状に特徴のあるもの<br><br><u>警告</u><br><br>グループH10H20/853はグループH10H29/853への再分類の影響を受ける。<br>グループH10H20/853およびH10H29/853はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/854	その材料に特徴のあるもの，例．エポキシ樹脂またはシリコーン樹脂<br><br><u>警告</u><br><br>グループH10H20/854はグループH10H29/854への再分類の影響を受ける。<br>グループH10H20/854およびH10H29/854はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/855	光の形状を形成する手段，例．レンズ<br><br><u>警告</u><br><br>グループH10H20/855はグループH10H29/855およびH10H29/8552への再分類の影響を受ける。<br>グループH10H20/855，H10H29/855およびH10H29/8552はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/856	反射手段<br><br><u>警告</u><br><br>グループH10H20/856はグループH10H29/856への再分類の影響を受ける。<br>グループH10H20/856およびH10H29/856はコンプリートサーチの完遂のために考慮されるべきである。
