B60T8/17555	｛運転者や乗客の快適性を高めるために特に適合するもの，例．穏やかな介入方法または事前作動の方法｝
B60T8/17557	｛車線逸脱防止に特に適合するもの（特定のサブユニットを制御する以外の方法による車線保持のための道路車両の走行制御方式Ｂ６０Ｗ３０／１２）｝
B60T8/17558	｛衝突回避や衝突緩和に特に適合するもの（特定のサブユニットを制御する以外の方法による衝突回避のための道路車両の走行制御方式Ｂ６０Ｗ３０／０９）｝
B60T8/176	車両の減速時の，過度の車輪のスリップの防止に特に適したブレーキ調整，例．ＡＢＳ（Ｂ６０Ｔ８／１７５５が優先）
B60T8/1761	車輪またはブレーキの挙動，例．車輪のスリップ，車輪の加速またはブレーキ液圧の変化率，に応じるもの
B60T8/17613	｛別々の電子的要素からなるアナログ回路またはデジタル回路を基礎にしたもの｝
B60T8/17616	｛マイクロプロセッサを基礎にしたシステム｝
B60T8/1763	車輪と地面との摩擦係数に応じるもの（Ｂ６０Ｔ８／１７６４が優先）
B60T8/17633	｛別々の電子的要素からなるアナログ回路またはデジタル回路を基礎にしたもの｝
B60T8/17636	｛マイクロプロセッサを基礎にしたシステム｝
B60T8/1764	摩擦係数が異なる路面，例．右側と左側との間のもの，μスプリット｛または前後間のもの｝，を走行する際の調整
B60T8/1766	車両の軸重に応じたブレーキ力の配分，例．車両の前方から後方への配分
B60T8/1769	１より多い駆動軸を有する車両に特に適したもの，例．四輪駆動車
B60T8/18	車両の重量または積荷，例．積荷分布，に応ずるもの（｛調整手段に電気回路を用いるものＢ６０Ｔ８／１７｝；Ｂ６０Ｔ８／３０が優先；重量および速度状況に反応するものＢ６０Ｔ８／５８）<br><br><u>注</u><br><br>Ｂ６０Ｔ８／１８８７およびＢ６０Ｔ８／１８９３はＢ６０Ｔ８／１８０６−Ｂ６０Ｔ８／１８８１に優先
B60T8/1806	｛較正の過程またはそのための手段に特徴のあるもの｝
B60T8/1812	｛圧力減少のための手段に特徴のあるもの｝
B60T8/1818	｛レバー機構｝
B60T8/1825	｛圧力を受けるダイヤフラム領域を変えるための手段｝
B60T8/1831	｛圧力を減少または制限する弁のもの｝
B60T8/1837	｛荷重検出装置に特徴のあるもの｝
B60T8/1843	｛空気ばねの圧力を検出するための装置｝
B60T8/185	｛車両の水平度を検出するための装置｝
B60T8/1856	｛サスペンションのばね荷重を検出するための装置（Ｂ６０Ｔ８／１８４３が優先）｝
B60T8/1862	｛車両サスペンションの荷重を表わす流体出力信号を供するタイプのセンサーからなるもの｝
B60T8/1868	｛車両サスペンションの荷重を表わす機械的出力信号を供するタイプのセンサーからなるもの｝
B60T8/1875	｛車両サスペンションの荷重を表わす電気的出力信号を供するタイプのセンサーからなるもの｝
B60T8/1881	｛故障に反応する手段に特徴のあるもの｝
B60T8/1887	｛牽引車とトレーラーの連結車両に特に適合するもの｝
B60T8/1893	｛鉄道車両に特に適合するもの｝
B60T8/24	車両の傾斜または方向の変化，例．曲がり角の通過，に反応するもの｛（電気回路または調整手段を用いるものＢ６０Ｔ８／１７）｝
B60T8/241	｛横方向の車両の傾斜｝
B60T8/243	｛横転防止のため｝
B60T8/245	｛前後方向の車両の傾斜｝
B60T8/246	｛方向の変化｝
B60T8/248	｛トレーラーの揺動，例．ジャックナイフ現象を防止するためのもの｝
B60T8/26	前輪と後輪の間に異なる制動力を発生することを特徴とするもの｛（電気回路または調整手段を使用するものＢ６０Ｔ８／１７）｝
B60T8/261	｛オートバイでの使用に特に適合するもの｝
B60T8/262	｛段階的な特性をもつ弁を用いるもの（Ｂ６０Ｔ８／２６１，Ｂ６０Ｔ８／２６６が優先）｝
B60T8/263	｛空気圧ブレーキシステムのためのもの｝
B60T8/265	｛液圧ブレーキシステムのためのもの｝
B60T8/266	｛外部からの制御手段をもつ弁またはアクチュエータを用いるもの（Ｂ６０Ｔ８／２６１が優先）｝
B60T8/267	｛異なる車軸に異なる種類のブレーキをもつハイブリッドシステムのためのもの｝
B60T8/268	｛ＡＢＳ，ＡＳＲまたはＥＳＰシステムの弁を用いるもの｝
B60T8/28	減速度に応ずるもの｛（Ｂ６０Ｔ８／２６１，Ｂ６０Ｔ８／２６２，Ｂ６０Ｔ８／２６６が優先）｝
B60T8/282	｛ボールと斜面を用いるもの｝
B60T8/285	｛水平移動する質量を用いるもの｝
B60T8/287	｛振り子を用いるもの｝
B60T8/30	積荷に応ずるもの｛（Ｂ６０Ｔ８／２６１，Ｂ６０Ｔ８／２６２，Ｂ６０Ｔ８／２６６が優先）｝
B60T8/303	｛空気圧弁を用いるもの｝
B60T8/306	｛液圧弁を用いるもの｝
B60T8/32	速度条件，例．加速度または減速度，に応ずるもの（｛電気回路または調整手段を用いるものＢ６０Ｔ８／１７｝；Ｂ６０Ｔ８／２８が優先；電気式推進車両に設けられた車輪スリップを表示する電気装置Ｂ６０Ｌ３／１０；直線または角速度それ自体の測定Ｇ０１Ｐ３／００）
B60T8/3205	｛加速度であるもの（Ｂ６０Ｔ８／３４，Ｂ６０Ｔ８／５２，Ｂ６０Ｔ８／５４，Ｂ６０Ｔ８／５６，Ｂ６０Ｔ８／５８，Ｂ６０Ｔ８／７２，Ｂ６０Ｔ８／８６，Ｂ６０Ｔ８／８８が優先）｝
B60T8/321	｛減速度であるもの（Ｂ６０Ｔ８／３４，Ｂ６０Ｔ８／５２，Ｂ６０Ｔ８／５４，Ｂ６０Ｔ８／５６，Ｂ６０Ｔ８／５８，Ｂ６０Ｔ８／７２，Ｂ６０Ｔ８／８６，Ｂ６０Ｔ８／８８が優先）｝
B60T8/3215	｛駆動系の構成部品，例．減速機，クラッチまたはディファレンシャルギヤ，に作用する手段をもつことに特徴のあるシステム（Ｂ６０Ｔ８／３２２が優先）｝
B60T8/322	｛１つより多い車軸により駆動される車両，例．４輪駆動車，に特に適合するシステム｝
B60T8/3225	｛単車，例．オートバイ，に特に適合するシステム（Ｂ６０Ｔ８／３２３５が優先）｝
B60T8/323	｛牽引車とトレーラーの連結車両に特に適合するシステム｝
B60T8/3235	｛鉄道車両に特に適合するシステム｝
B60T8/324	｛遠心調速機または類似のものによる速度測定｝
B60T8/3245	｛車輪とレール間，または２つの車輪または２つの車軸間の速度差に反応するもの｝
B60T8/325	｛航空機に特に適合するシステム｝
B60T8/3255	｛制動動作がブレーキペダルのデータに依存するシステム｝
B60T8/326	｛液圧システム｝
B60T8/3265	｛ブースターの制御をもつもの（Ｂ６０Ｔ８／３２７５が優先）｝
B60T8/327	｛空気圧システム｝
B60T8/3275	｛ブレーキ補助機能，すなわち．ブレーキペダルの速度に依存しない自動で最大限の制動の開始，をもつシステム｝
B60T8/328	｛車載の他の流体システムと部品を共用するシステム｝
B60T8/3285	｛他の流体システムがサスペンションの構成要素であるもの｝
B60T8/329	｛速度センサ装置に特徴のあるシステム｝
B60T8/3295	｛指令信号に重ねられた脈動信号があるシステム｝
B60T8/34	速度条件に応ずる流体圧力調整器を有するもの
B60T8/341	｛バルブに特徴のあるシステム（Ｂ６０Ｔ８／３６，Ｂ６０Ｔ８／３８が優先）｝
B60T8/342	｛空気圧システム｝
B60T8/343	｛レイアウトに特徴のあるシステム（Ｂ６０Ｔ８／３４９が優先）｝
B60T8/344	｛液圧システム｝
B60T8/345	｛車輪ごとに１つより多いブレーキ回路をもつもの｝
B60T8/346	｛２チャネルシステム（Ｂ６０Ｔ８／３４５が優先）｝
B60T8/347	｛３チャネルシステム（Ｂ６０Ｔ８／３４５が優先）｝
B60T8/348	｛４チャネルシステム（Ｂ６０Ｔ８／３４５が優先）｝
B60T8/349	｛１組の車軸，例．タンデム車軸，の制御に適合するシステム｝
B60T8/36	電磁力に応ずるパイロットバルブを含むもの
B60T8/3605	｛パイロットバルブが作動流体システムを制御する回路内に取り付けられているもの｝
B60T8/361	｛パイロットバルブが補助流体システムを制御する回路内に取り付けられているもの｝
B60T8/3615	｛アンチロックブレーキおよび駆動力制御システムに特に適合する電磁弁（電磁弁一般Ｆ１６Ｋ３１／０６）｝
B60T8/362	｛空気圧システム内にあるもの（Ｂ６０Ｔ８／３６５５，Ｂ６０Ｔ８／３６７５およびＢ６０Ｔ８／３６９が優先）｝
B60T8/3625	｛少なくとも１つの真空結合部をもつもの｝
B60T8/363	｛液圧システム内にあるもの（Ｂ６０Ｔ８／３６５５，Ｂ６０Ｔ８／３６７５およびＢ６０Ｔ８／３６９が優先）｝
B60T8/3635	｛２つより多い結合部の間，例．３／２弁，で切換をするもの（Ｂ６０Ｔ８／３６４，Ｂ６０Ｔ８／３６４５およびＢ６０Ｔ８／３６５が優先）｝
B60T8/364	｛適用された信号の機能として複数の別々な位置の間，例．３／３弁，で切換えをするもの（Ｂ６０Ｔ８／３６４５が優先）｝
B60T8/3645	｛共通ハウジング内に１つより多い電磁コイルをもつもの｝
B60T8/365	｛１つのユニットに複数の機能，例．圧力緩和，を兼備するもの｝
B60T8/3655	｛連続的に制御される電磁弁｝
B60T8/366	｛弁の細部｝
B60T8/3665	｛摺動弁｝
B60T8/367	｛シート弁，例．ポペット弁｝
B60T8/3675	｛調整器ユニットに合体されたもの｝
B60T8/368	｛他の機械部品，例．ポンプユニット，マスターシリンダ，と組み合わされたもの｝
B60T8/3685	｛車両への調整器ユニットの取付に特徴のあるもの｝
B60T8/369	｛圧電素子を用いる弁（一般Ｆ１６Ｋ３１／００４）｝
B60T8/3695	｛パイロットバルブが電源部から分離して取り付けられているもの（Ｂ６０Ｔ８／３６０５，Ｂ６０Ｔ８／３６１およびＢ６０Ｔ８／３６１５が優先）｝
B60T8/38	リレーまたは運転者制御型のバルブ装置を含むもの
B60T8/40	ブレーキ流体の圧力を修正するための流体加圧装置，例．速度条件を検知するため車輪に駆動されるポンプ，またはブレーキ装置と独立した装置により制御されるポンプ，を含むもの，を含む追加流体回路を有するもの
B60T8/4004	｛ブレーキ圧を減らすために流体加圧手段によりブレーキ制御手段のピストンの位置を変更するもの｝
B60T8/4009	｛ブレーキ制御手段がホイールシリンダであるもの｝
B60T8/4013	｛２つ以上の流体回路用の流体加圧手段，例．液圧ブースタおよびアンチロックブレーキに使用される別々のポンプユニット｝
B60T8/4018	｛駆動機構に特徴のあるポンプユニット（Ｂ６０Ｔ８／４０９５が優先）｝
B60T8/4022	｛個々の電動機により駆動されるポンプユニット（Ｂ６０Ｔ８／４０２７が優先）｝
B60T8/4027	｛車両推進ユニット（の部品）により駆動されるポンプユニット｝
B60T8/4031	｛構造または取付に特徴のあるポンプユニット（弁の土台と組み合わせたポンプユニットＢ６０Ｔ８／３６）｝
B60T8/4036	｛故障に反応する手段に特徴のあるポンプユニット（Ｂ６０Ｔ８／８８が優先）｝
B60T8/404	｛ポンプユニットの制御｝
B60T8/4045	｛オン／オフ切リ換えを含むもの｝
B60T8/405	｛始動段階を含むもの｝
B60T8/4054	｛吐出圧力制御を含むもの（Ｂ６０Ｔ８／４０７２が優先）｝
B60T8/4059	｛吐出率を含むもの｝
B60T8/4063	｛流体の流れの方向を含むもの｝
B60T8/4068	｛付加的な流体回路が圧力脈動を弱めるための手段であるもの｝
B60T8/4072	｛駆動装置の入力信号が通常は制動するために用いられる付加的な流体回路用のための制御信号として使われるシステム｝
B60T8/4077	｛ブースタを補助圧力源として用いるシステム｝
B60T8/4081	｛駆動装置の入力のためのストロークシミュレータ装置をもつシステム（Ｂ６０Ｔ８／４０７７が優先）｝
B60T8/4086	｛ストロークシミュレータ装置が駆動装置の入力装置に接続されている，または一体化されているもの｝
B60T8/409	｛ストロークシミュレータ装置の細部に特徴のあるもの｝
B60T8/4095	｛速度状況を検出するための車輪に駆動されるポンプを含むもの｝
B60T8/42	圧力制御用膨張室を有するもの，｛すなわち．閉鎖システム｝
B60T8/4208	｛減圧器方式｝
B60T8/4216	｛機械作動膨張ユニットをもつもの（Ｂ６０Ｔ８／４２２５およびＢ６０Ｔ８／４２６６が優先）｝
B60T8/4225	｛流体作動膨張ユニットをもつもの｝
B60T8/4233	｛流体圧を膨張ユニットへ導入することによりブレーキ圧を緩和するもの（Ｂ６０Ｔ８／４２４１が優先）｝
B60T8/4241	｛空気圧式のもの｝
B60T8/425	｛真空を用いるもの｝
B60T8/4258	｛膨張ユニット内部を真空にすることによりブレーキ圧を緩和するもの｝
B60T8/4266	｛電気機械，例．ソレノイド，電動機，ピエゾスタック，作動膨張ユニットをもつもの｝
B60T8/4275	｛ポンプバックシステム｝
B60T8/4283	｛感圧流入弁をもつもの｝
B60T8/4291	｛ペダルの反動を減少または除去するための手段を有するもの｝
B60T8/44	動力アシスト装置との共動によりブレーキ圧の解除および再加圧を制御するため，マスターシリンダに関連する動力アシストブースタと共動するもの，｛すなわち．開放システム｝
B60T8/441	｛液圧ブースタを用いるもの（Ｂ６０Ｔ８／４４５，Ｂ６０Ｔ８／４４６，Ｂ６０Ｔ８／４４７が優先）｝
B60T8/442	｛ブースタが，例．ブレーキ踏力ブースタと結合して，プレッシャリターンポンプであるもの｝
B60T8/443	｛圧縮空気を用いるもの（Ｂ６０Ｔ８／４４５，Ｂ６０Ｔ８／４４６，Ｂ６０Ｔ８／４４８が優先）｝
B60T8/444	｛真空を用いるもの（Ｂ６０Ｔ８／４４５，Ｂ６０Ｔ８／４４６，Ｂ６０Ｔ８／４４８が優先）｝
B60T8/445	｛解放されたブレーキ液量をブレーキパイプへ再充填するもの｝
B60T8/446	｛解除されたブレーキ液量をマスターシリンダを介して再充填するもの｝
B60T8/447	｛ブレーキ圧を減少させるためにパワーアシストブースタ手段の昇圧の減少｝
B60T8/448	｛パワーアシストブースタ手段が真空または圧縮空気ブースタであるもの｝
B60T8/449	｛複数ブースタ型のもの｝
B60T8/46	圧力が流体排出により減じられるもの
B60T8/48	ブレーキ作動装置を別のまたは追加の流体圧供給源，｛例．駆動力制御システム｝，に接続するもの
B60T8/4809	｛駆動力制御，安定性制御，車輪ブレーキおよび他の自動ブレーキシステムの両方を用いるもの｝
B60T8/4818	｛空気圧ブレーキシステムにあるもの｝
B60T8/4827	｛液圧ブレーキシステムにあるもの｝
B60T8/4836	｛ブースタ出力圧力が通常のブレーキまたはアンチロックブレーキに用いられるもの（Ｂ６０Ｔ８／４８４５，Ｂ６０Ｔ８／４８６３，Ｂ６０Ｔ８／４８９が優先）｝
B60T8/4845	｛駆動力制御のためにブースタまたはマスターシリンダを用いるもの｝
B60T8/4854	｛空気圧式ブースタであるもの｝
B60T8/4863	｛閉鎖システムであるもの（Ｂ６０Ｔ８／４８４５，Ｂ６０Ｔ８／４８９が優先）｝
B60T8/4872	｛ポンプバック方式であるもの｝
B60T8/4881	｛始動用の手段をもつもの｝
B60T8/489	｛独立した駆動力制御変調器を用いるもの｝
B60T8/50	ブレーキ再加圧｛または解放｝の速さを制御する装置を有するもの
B60T8/5006	｛弁の脈動による圧力の再適用（Ｂ６０Ｔ８／５０１２，Ｂ６０Ｔ８／５０１８，Ｂ６０Ｂ８／５０５，Ｂ６０Ｂ８／５０５６が優先）｝
B60T8/5012	｛複数の弁を同時に用いる圧力の再適用｝
B60T8/5018	｛制限するものを用いる圧力の再適用（Ｂ６０Ｔ８／５０１２，Ｂ６０Ｔ８／５０５が優先）｝
B60T8/5025	｛液圧ブレーキシステムにあるもの｝
B60T8/5031	｛開放システムであるもの｝
B60T8/5037	｛閉鎖システムであるもの｝
B60T8/5043	｛デブースタシステムであるもの｝
B60T8/505	｛摩擦係数が分かれた状況，すなわち．車両の両側で異なる摩擦係数となる状況，での圧力の再適用｝
B60T8/5056	｛記憶装置を用いる圧力の再適用｝
B60T8/5062	｛記憶用の小室を用いるもの｝
B60T8/5068	｛衰退手段をもつもの｝
B60T8/5075	｛弁の脈動による圧力の解放（Ｂ６０Ｔ８／５０８１，Ｂ６０Ｔ８／５０８７が優先｝
B60T8/5081	｛複数の弁を同時に用いる圧力の解放｝
B60T8/5087	｛制限するものを用いる圧力の解放（Ｂ６０Ｔ８／５０８１が優先）｝
B60T8/5093	｛液圧ブレーキシステムにあるもの｝
B60T8/52	トルク検知，すなわち．制動作用が制動された回転部材にねじりまた回転運動を起こしまたは起こさせようとする力により制御されるもの
B60T8/54	機械的装置によるもの
B60T8/56	摩擦係数を変化させる装置を有するもの
B60T8/58	速度および別の条件または複数の速度条件に応ずるもの<br><br><u>注</u><br><br>このグループにおいては，他の別の条件に反応する，または代表する個々の条件は，複数の条件とは見なさない
B60T8/72	速度条件，例．減速度，と定基準値との差に応ずるもの
B60T8/74	速度の変化割合を検知するもの
B60T8/76	信号を異なる車輪から得るものであって，同じ種類の速度条件を表示する二つまたはそれ以上の検知装置を有するもの
