B	処理操作；運輸
B33	付加製造技術［２０１５．０１］
B33Y	付加製造，すなわち付加堆積，付加凝集または付加積層による３次元［３Ｄ］物質の製造，例．３Ｄ印刷による，ステレオリソグラフィーによるまたは選択的レーザー焼結によるもの<br><br><u>注</u><br><br>（１）このサブクラスは付加製造を包含し，工程または使用材料の如何を問わない。<br>（２）このサブクラスは，このサブクラスの分類記号と他のサブクラスからの分類記号とを組み合わせることにより，付加製造に関連する主題事項の包括的なサーチを可能とすることを意図している。したがって，このサブクラスは，ＣＰＣの他の場所にも完全にまたは部分的に包含されているかもしれない付加製造（例．３Ｄ印刷）の特徴を包含する。<br>（３）このサブクラスは他の分類箇所中の該当箇所に既に分類されている主題事項が付加製造の観点を含むときに，その主題事項を，義務的に補足的に分類するためのものである。<br>（４）このサブクラスの分類記号は，特許文献に付与されるとき，先頭には記載されない。<br>（５）このサブクラスには，多観点分類が適用される。そのため，このサブクラスの２以上のグループに包含される主題事項の観点は，それらのグループのそれぞれに分類されるべきである。
B41	印刷；線画機；タイプライター；スタンプ
B41B	活字の製造，植字，または解版用の機械もしくは付属装置；活字；写真的あるいは光電的植字装置（写真装置一般Ｇ０３）　
B41C	印刷版面の製作または複製方法（印刷版面作成用写真製版方法Ｇ０３Ｆ；印刷版面作成用の光電的方法Ｇ０３Ｇ）
B41D	鉛版印刷のための印刷版面の機械的複製装置；印刷版面作成のための弾性材料または可塑性材料の成形（放電加工による刻印Ｂ２３Ｐ；活字，活字の製造，植字，または，解版用の機械または付属装置Ｂ４１Ｂ；印刷版面の製作または複製のための方法Ｂ４１Ｃ；彫刻用または打ち出し用の機械あるいは装置一般Ｂ４４Ｂ３／００，Ｂ４４Ｂ５／００；金属の化学的腐食Ｃ２３Ｆ１／００；電解腐食Ｃ２５Ｆ３／００；写真製版複製Ｇ０３Ｆ）　
B41F	印刷機械（印刷またはエンボス装置を備えた履物製造用機械Ａ４３Ｄ，例．Ａ４３Ｄ８／２６，Ａ４３Ｄ９５／１４；プレス一般Ｂ３０Ｂ；印刷版面の製作Ｂ４１Ｃ，Ｂ４１Ｄ；複写装置，事務用印刷機Ｂ４１Ｌ；孔版印刷Ｂ４１Ｌ，｛Ｂ４４Ｄ｝；特殊機械を使用しない印刷方法Ｂ４１Ｍ；デザインの昇華または蒸発による複写またはマーク付けＢ４１Ｍ５／０３５；熱写真法Ｂ４１Ｍ５／２６；装飾またはマークのエンボシングＢ４４Ｂ５／００；｛転写またはデカルコマニアに適用するものＢ４４Ｃ１／１６｝；薄肉またはフィラメント状材料の取扱いＢ６５Ｈ；エレクトログラフティ−，静電写真，磁気写真Ｇ０３Ｇ）<br><br><u>注</u><br><br>サブクラスＢ４１Ｌのタイトルに続く<br><br><u>注</u><br><br>１および２に注意すること。
B41G	金粉印刷，けい線印刷またはふち取り等用の装置；印刷と共に穿孔するための付属装置（穿孔一般Ｂ２６Ｄ；装飾の製造Ｂ４４Ｃ；枚葉紙または巻取紙の排紙に関するものＢ６５Ｈ３５／００；薄い材料の，例．枚葉紙，巻取紙，折りまたは開きＢ６５Ｈ４５／００，Ｂ６５Ｈ４７／００）
B41J	タイプライタ；選択的プリンティング機構，｛例．インクジェットプリンタ，サーマルプリンタ｝すなわち版以外の手段でプリンティングする機構；誤植の修正（組版Ｂ４１Ｂ；特殊表面に印刷するものＢ４１Ｆ；洗たくマークＢ４１Ｋ；字消し用具；消しゴム。または字消し装置Ｂ４３Ｌ１９／００；被覆することによって誤印字を修正する液体媒体Ｃ０９Ｄ１０／００；測定に関する記録Ｇ０１；データの認識または表示，デンタル方式による記録担体への記録，例．せん孔によるものＧ０６Ｋ；郵便料金メーターまたはチケット印刷機および発行機Ｇ０７Ｂ；電気的キーボードスイッチ一般Ｈ０１Ｈ１３／７０，Ｈ０３Ｋ１７／９４；キーボードまたは類似の装置に関連する符号化Ｈ０３Ｍ１１／００；電信受信または発信器Ｈ０４Ｌ；書類，または類似物の伝送または再生，例．ファクシミリ伝送Ｈ０４Ｎ１／００；それら自身の機能の記録を作る機械，例．金銭登録，はかり，に特に適合した印字機構は関連するサブクラスを参照）<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する:　−手動で制御される電動式装置または記録された情報，例．テープ状のパンチカード，の入力による付加制御を伴うこの種の装置；　−装置が一般的な装置，例．印打機構，インク機構，行間設定機構，印字ヘッド，である限りにおいての，記録担体または電気信号によって制御される装置のプリントアウトの特徴。２．このサブクラスは以下のものを包含しない:　−記録担体または電気信号により制御される装置の電気的特徴および前述の装置のプリントアウトの特徴とは別の電気的特徴；　−全体として，記録担体または電気信号により制御される装置。３．このサブクラスにおいては，下記の用語は以下に示す意味で用いる:　−用紙には同種の柔軟な複写材料も含む；　−印刷材料は用紙および記録がそれから用紙に転写される一時的な記録担体の双方を含むが，印刷原版，例．版は含まない。
B41K	押し印；押し印装置または番号印字装置（食肉のマーキングＡ２２Ｃ１７／１０；印刷と結合されたエンボシングＢ４１Ｆ１９／００；選択的プリンティング機構Ｂ４１Ｊ；装飾またはマークのエンボシングＢ４４Ｂ５／００；完成した包装体のマーキングまたは略号付けＢ６５Ｂ６１／２６；チケット印刷および発行装置，料金登録装置，印刷機構のない無料送達装置Ｇ０７Ｂ）
B41L	事務または他の商業用の複写装置，転写装置または印刷装置；宛名印刷機またはそれに類する印刷機（産業用印刷機Ｂ４１Ｆ；押し印，押し印装置または番号印字装置Ｂ４１Ｋ）<br><br><u>注</u><br><br>１．このサブクラスは，感圧層または媒介物による複写，事務または他の商業用転写装置または印刷機，宛名印刷機またはそれに類する印制機に共通する構成を包含しない，ただしこれらはサブクラスＢ４１Ｆに包含される。２．このサブクラスにおいては，索引中に示すように，グループＢ４１Ｌ１５／００とＢ４１Ｌ１７／００は凸板印刷装置と平版印刷装置で特に事務または他の商業目的に適するものに限り含む；これらの種類の装置の一般構造または特徴はサブクラスＢ４１Ｆに分類する。これらのグループの分類を決定する構造または特徴は，例えば，事務職員による作業の容易化，非工業的環境内の作業の清浄性，限定部数のコピー製作用に構成された印刷版面の使用，である。＜上記項目＃７の一部＞＜上記項目＃７の一部＞＜上記項目＃７の一部＞＜上記項目＃７の一部＞３．このサブクラスにおいては，下記の用語は以下に示す意味で用いる:　−複写とは，原版の作成時に感圧層を用いて同時に複数のコピーを得ることを意味する；　−転写とはマスター，例．こんにゃく版像，から連続するコピーを得ることを意味する；　−孔版印刷は，画像形成のために穿孔された印刷版面の使用，複写材上の孔を貫流するインクの使用を含む。
B41M	印刷，複製，マーキング，または複写方法；カラー印刷（誤植の修正Ｂ４１Ｊ；写し絵または類似のものを適用する方法Ｂ４４Ｃ１／１６；被覆することによって誤植を修正する液体媒体Ｃ０９Ｄ１０／００；なっ染Ｄ０６Ｐ）<br><br><u>｛注</u><br><br>このサブクラスにおいては，２００３年１月１日以降の新規文献は，改正されたＥＣＬＡ分類手順に従って分類する。すなわち，重要な情報（例．発明情報）にはＥＣＬＡ分類記号，例．Ｂ４１Ｍ１／１０，を付与する。他の（二次）情報には，ＩＣＯ分類記号，例．Ｂ４１Ｍ１／００，を付与する。｝
B41N	印刷版またはフォイル（感光性材料Ｇ０３）；印刷，インキ付け，湿し等用印刷機に使用される製版台用材料；その製版台の使用準備および保存｛このサブクラスにおいてはコープスシステムが使用される｝<br><br><u>｛注</u><br><br>このサブクラスにおいては，２００３年１月１日以降の新規文献は，改正されたＥＣＬＡ分類手順に従って分類する。すなわち，重要な情報（例．発明情報）にはＥＣＬＡ分類記号，例．Ｂ４１Ｎ１／１０，を付与する。他の（二次）情報には，ＩＣＯ分類記号，例．Ｂ４１Ｎ１／００，を付与する。｝
B41P	印刷，線画機，タイプライターまたはスタンプに関連するインデキシング系列<br><br><u>注</u><br><br>このサブクラスはインデキシングのみのための内部分類である
B42	製本；アルバム；ファイル；特殊印刷物
B42B	紙葉，帖または折帳を相互に永久的にとじること，または物をそれらに永久的にとじること（釘打ちまたはステープリング一般Ｂ２５Ｃ，Ｂ２７Ｆ；紙葉または折張を丁調べまたは丁合いして相互に永久的にとじるための機械Ｂ４２Ｃ１／１２；紙葉を相互に一時的にとじるものＢ４２Ｆ）
B42C	製本（切断または穴をあける機械，装置または道具Ｂ２６；紙葉または巻紙の折りたたみＢ３１Ｆ；本の装飾Ｂ４４）
B42D	本；本の表紙；ルーズリーフ；他に分類されない特殊な書式または形式の印刷物；それに使用される装置；取り外し可能な細片の書き込み装置または読み取り装置（書見台Ａ４７Ｂ１９／００；書架Ａ４７Ｂ２３／００）　
B42F	一時的に一緒に取付けられたシート；ファイリング用具；ファイリングカード；索引（読書用机Ａ４７Ｂ１９／００；書見台Ａ４７Ｂ２３／００）<br><br><u>注</u><br><br>このサブクラスにおいて，ファイリング用具という単語は紙の収集物，用紙の収集物，カードの収集物，またはそれらの一式の収集物用のホルダーを意味し，それぞれの紙，用紙，カード，またはそれらの一式が個々に挿入および取り出し可能なもの。従って，この単語には暦，取扱説明書，または手紙のファイルを含んでもよい。
B42P	製本，アルバム，ファイルまたは類似物に関連するインデキシング系列<br><br><u>注</u><br><br>このサブクラスはインデキシングのみのための内部分類である
B43	筆記用または製図用の器具；机上付属具
B43K	筆記用または製図用の器具（化粧品，例．ひげそりせっけん；棒口紅，メーキャップ用品などの容器，ケースまたは付属品Ａ４５Ｄ３４／００，Ａ４５Ｄ４０／００）　このサブクラスにおいては，下記の表現は以下に示す意味で用いる:−筆記具という語は，筆記または製図用のペン，鉛筆，クレヨン，白墨または類似の印をつけるものを含む。
B43L	筆記具または製図具；｛筆記または製図用補助具；｝筆記または製図のための付属具（けがき作業用の作業具Ｂ２５Ｈ７／００；教習用筆記または製図具Ｇ０９Ｂ１１／００）<br><br><u>注</u><br><br>筆記または製図の教習および簡易化の両方に用いられる装置はＧ０９Ｂ１１／００に分類される。
B43M	他に分類されない机上付属具（ステープラーＢ２５Ｃ５／００；シートを一時的に一緒に取付けるための装置Ｂ４２Ｆ）
B44	装飾技術<br>いかなる機械，装置，工具，または方法も，それが目により判断されることを予定された外観またはマークを作り出す限り，そしてこのような機械，装置，工具または方法が他に分類されない限りこのクラスに分類される。
B44B	美術作業，例．造形，組紐飾り彫り，彫刻，焼印，はめこみ加工，に用いる機械，装置または工具（装飾効果の創作方法Ｂ４４Ｃ；なめし革のエンボシングＣ１４Ｂ）
B44C	装飾効果の創作（表面に液体または他の流動物質を適用する方法，一般Ｂ０５Ｄ；プラスチックまたは可塑的状態の物質の成形Ｂ２９Ｃ；写し絵を作成するための印刷方法Ｂ４１Ｍ３／１２；サーモグラフィ複製またはマーキング方法Ｂ４１Ｍ５／００）；モザイク；寄せ木細工（モザイクまたは寄せ木細工模様の模倣Ｂ４４Ｆ１１／０４）；紙張り｛（ラベルＧ０９Ｆ；ラベル紙またはタグ紙作成のための多段階工程Ｂ３１Ｄ１／０２）｝<br><br><u>注</u><br><br>このサブクラスでは，下記の表現は以下に示す意味で用いる:　−　装飾効果は，写し絵ままたはデカルコマニーの表現と関連して用いられた時は，情報も含む。
B44D	他に分類されない絵画または美術的描画；絵画の保存；特殊な美術的表面効果または表面仕上げを得るための表面処理（液体，例．塗料，または他の流動性材料の表面への適用一般Ｂ０５）　
B44F	　特殊デザインまたは絵画<br><br><u>警告</u><br><br>以下のＩＰＣグループはＥＣＬＡ分類表では使用されない。これらのグループに包含される主題事項は，以下の各ＥＣＬＡグループに分類する:Ｂ４４Ｆ１／１２はＢ４２Ｄ１５／００に含む。
B60	車両一般<br><br><u>注</u><br><br>このクラスにおいては，下記の用語は以下に示す意味で用いる:<br>―車両は次の形の車両にのみ限定されるものを除いてすべての車両を意味する:鉄道車両，水上輸送船，航空機，宇宙乗物，手動運搬車，自転車，動物牽引車両およびそり；これらは，これに関連するサブクラスＢ６１からＢ６４に包含される。<br>用語車両は以下のものを包含する:<br>―上掲の二以上の形に共通な車両的特徴のあるもの；<br>―自動車もしくは道路またはクロスカントリー用のトレーラに限定される特徴あるもの。<br>―次の例外に注意されたい:<br>（ａ）サブクラスＢ６０ＢとＢ６０Ｃは，ローラースケート用車輪Ａ６３Ｃ１７／２２，鉄道模型用車輪Ａ６３Ｈ１９／２２および航空機用に特別に用いられる車輪またはタイヤＢ６４Ｃ２５／３６を除いて，すべての車両の車輪およびタイヤを含む；<br>（ｂ）サブクラスＢ６０Ｃは膨張可能な弾性体一般へのバルブの取付けを含み，この点は車両に限定されない；<br>（ｃ）サブクラスＢ６０Ｌはすべての電動車両の電気装置を含む；<br>（ｄ）サブクラスＢ６０Ｍは，外部の，すべての種類の電動車両の動力供給装置を含む；<br>（ｅ）サブクラスＢ６０Ｒは陸用車両の全型式に用いられる安全ベルトまたは身体用ハーネスを含む；<br>（ｆ）サブクラスＢ６０Ｓは，グループＢ６１Ｋ１１／００に分類される鉄道機関車の施設，サブクラスＢ６４Ｆに分類される航空機の地上設備またはグループＢ６３Ｂ５７／００，Ｂ６３Ｂ５９／００に分類される水上浮揚構造物に特有な洗浄装置を除いて，すべての種類の車両に関する；<br>（ｇ）サブクラスＢ６０Ｔは一般に適用できる制動制御装置を含み，かつこの意味においてこれは車両に限定されない。また鉄道車両の動力制動装置および鉄道車両の制動装置の他の構造をも含む。；<br>（ｈ）サブクラスＢ６０Ｖは空気クッション車両自体，および空気クッション車両としても運用可能な特徴を有するまたは部分的に空気クッションによって支持される地上用車両，水上用車両または航空機を含む。
B60B	車輪（圧延による車輪または車輪部品の製造Ｂ２１Ｈ１／００，成形，ハンマリングまたは打ち抜きによるものＢ２１Ｋ１／２８）；キャスター；車軸；車輪の付着力を増大させるもの 注:クラスタイトル（Ｂ６０）に続く<br><br><u>注</u><br><br>に注意すること。
B60C	車両用タイヤ；タイヤの膨張；タイヤの交換；膨張可能な弾性体一般への弁の取付け；タイヤに関する装置または部品<br><br><u>注</u><br><br>（１）このサブクラスにおいては，タイヤという用語は，車軸のリムの外周に分離可能に取付けられた接地する連続体を意味し，タイヤのケース，カバーまたはジャケットおよび内装物，例．チューブ，を含むものとして理解される。修理およびバルブの連結に関連するグループにおいては，タイヤという用語はタイヤまたはインナーチューブ以外の膨張可能な弾性体をも含むものとして理解される。（２）クラスＢ６０のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>以下のＩＰＣグループはＣＰＣ系列では使用されない。これらのグループに包含される主題事項は，以下の各ＣＰＣグループに分類する:Ｂ６０Ｃ１１／１１３はＢ６０Ｃ１１／０３１１に包含されるＢ６０Ｃ１１／１１７はＢ６０Ｃ１１／０３２に包含される。<br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60D	　車両連結器（制動方式の構成要素Ｂ６０Ｔ１７／０４）<br><br><u>注</u><br><br>クラスＢ６０に続く注に注意すること。
B60F	軌条と路面両用車両；水陸両用またはこれに類するもの；用途転換可能な車両（空気クッション車両Ｂ６０Ｖ）
B60G	車両懸架装置（空気クッション式車両Ｂ６０Ｖ；｛自転車懸架装置Ｂ６２Ｋ２５／００｝）<br><br><u>注</u><br><br>クラスＢ６０のタイトルに続く注に注意すること．<br><br>インデキシングコードＢ６０Ｇ２２００／００〜Ｂ６０Ｇ２８００／００は懸架装置の特定の観点のために利用される：<br>Ｂ６０Ｇ２２００／００は懸架装置の型に関連する；<br>Ｂ６０Ｇ２２０２／００は使用される懸架装置の要素に関連する（ばね，ダンパーおよびアクチュエータ）；<br>Ｂ６０Ｇ２２０４／００は懸架装置の要素の取付<br>Ｂ６０Ｇ２２０６／００は懸架装置の構造上および製造上の詳細に関連する；<br>Ｂ６０Ｇ２３００／００は車種に関連する； <br>Ｂ６０Ｇ２４００／００〜Ｂ６０Ｇ２８００／００は懸架装置の電子制御に以下のように関連する：<br> Ｂ６０Ｇ２４００／００は制御の入力パラメータに関連する；<br> Ｂ６０Ｇ２４０１／００は使用されるセンサーの型に関連する；<br> Ｂ６０Ｇ２５００／００は制御動作または制御デバイスに関連する；<br> Ｂ６０Ｇ２６００／００は制御システムの特定の詳細に関連する；<br> Ｂ６０Ｇ２８００／００は制御動作によって達成される結果に関連する．<br>Ｂ６０Ｇ２２００／００〜Ｂ６０Ｇ２８００／００のグループは多観点分類として使用される．そのため，サーチのために有用と考えられる情報を表しているこれらのグループの一つ以上に特徴付けられる主題事項は，少なくとも一つの発明情報の記号とともに，これらの各グループのインデキシングコードに分類される．<br><br><u>特記</u><br><br>以下のＩＰＣグループはＣＰＣ分類表では使用されていない．これらのグループに包含される主題事項は以下のＣＰＣグループに分類される：<br>−Ｂ６０Ｇ２３／００はＢ６０Ｇ１７／０１６５に分類される．<br>
B60H	特に車両の客室または荷物用スペースに適した暖房，冷房，換気装置または他の空気処理装置<br><br><u>注</u><br><br>クラスＢ６０のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60J	窓，風防ガラス，非固定式の屋根，ドア，または類似の装置；車両に特に適した，取外し可能な外部保護カバー（これらの留め具，吊り具，閉鎖具，開放具Ｅ０５）<br><br><u>注</u><br><br>一般的に利用される，窓，風防ガラス，非固定式の屋根，ドア，または類似の装置は，車両に特定して記載または請求していると否とに関わらず，サブクラスＥ０６Ｂにも分類する。<br>クラスＢ６０のタイトルに続く注に注意すること。
B60K	車両の推進装置または動力伝達装置の配置または取付け；複数の異なった原動力の車両への配置または取付け；車両用の補助駆動装置；車両用計装または計器板；車両の推進装置の冷却，吸気，排気または燃料供給に関する配置<br><br><u>注</u><br><br>１．このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>−駆動装置の関連制御は，車両用のまたは一般的な応用可能性を有するこの種制御を含む；<br>−補助駆動装置は，車両の推進装置，動力伝達装置，またはその他の部品から補助的なまたは外部の機械または器具を駆動するものを意味し，且つこの種の駆動装置の制御を含む；<br>−動力伝達装置は，端末推進要素，例．車輪，に推進装置，例．機関，を連結するすべての推進用部品を意味する；<br>−駆動装置は，動力伝達装置と結合した推進装置を意味する；ある種の駆動装置は，末端の被駆動装置を付加的に含むことがある；<br>−補助装置は，例えば，推進装置，クラッチ，伝動装置または制動方式を意味する；<br>−ハイブリッド車両は相互または共通の推進のための複数の原動機をもつ車両を意味する<br>２．クラスＢ６０のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60L	電気的推進車両の推進装置（車両の電気的推進装置，または，相互または共通の推進のための複数の異なった原動機の配置または取付けＢ６０Ｋ１／００，Ｂ６０Ｋ６／２０；車両の電気的伝動装置の配置または取付けＢ６０Ｋ１７／１２，Ｂ６０Ｋ１７／１４；鉄道車両における駆動力の減少による車両のすべり防止Ｂ６１Ｃ１５／０８；発電機，電動機Ｈ０２Ｋ；電動機の制御または調整Ｈ０２Ｐ）；電気的推進車両の補助装置への電力供給（車両の機械的連結器と結合している電気的連結装置Ｂ６０Ｄ１／６４；車両の電気的暖房Ｂ６０Ｈ１／００）；車両用電気的制動方式一般（電動機の制御または調整Ｈ０２Ｐ）；車両用磁気的懸架または浮揚装置；電気的推進車両の変化の監視操作；電気的推進車両のための電気安全装置<br><br><u>注</u><br><br>１．このサブクラスはサブクラスのタイトルに続く参照に従い以下のものを包含する：<br>−補助回路への動力供給；<br>−集電装置；軌条車または道路走行車または乗物におけるその装置一般；<br>−電気的制動方式；<br>−電気的に推進される乗物；その制御と調整<br>２．このサブクラスにおいてはサーチに有用な付加情報を分類することが望ましい。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60M	電気的推進車両のための動力供給線または軌条に沿った装置（鉄道路線に沿った転てつ器の制御または安全装置Ｂ６１Ｌ；軌条と転てつ器の構造一般Ｅ０１Ｂ）<br><br><u>注</u><br><br>このサブクラスは以下のものを扱う：<br>１．高架，地上または地下の動力供給線；それらのクロッシングと転てつ器，架設と管理；<br>２．導電と絶縁のための，軌条と軌条の継ぎ目に沿った装置；<br>３．近接の通信線への接地電流および誘導的妨害を防ぐための路線沿いの装置<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60N	車両に特に適する座席；他に分類されない乗客設備<br><br><u>注</u><br><br>１．クラスＢ６０のタイトルに続く説明的な注に注意すること<br>２．このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>−シートクッション：背もたれから区別された座席の着座部分
B60P	　荷物移送に適した車両，または特殊荷物または特殊目的物を移送，運搬，または搬入するのに適した車両（病弱者のための特別な設備を有する車両Ａ６１Ｇ３／００）<br><br><u>注</u><br><br>クラス（Ｂ６０）のタイトルにつづく注に注意すること<br><br><u>警告</u><br><br>以下のＩＰＣグループはＣＰＣ分類体系では使用されない。これらのグループに包含される主題事項は，以下の各ＣＰＣグループに分類する:<br>Ｂ６０Ｐ１／４６はＢ６０Ｐ１／４４２１に包含。<br>Ｂ６０Ｐ３／０２２はＥ０４Ｇ２１／１４に包含。<br>Ｂ６０Ｐ３／３２５はＢ６０Ｐ３／３２に包含。<br>Ｂ６０Ｐ３／３３はＢ６０Ｐ３／３４に包含。<br>Ｂ６０Ｐ３／３３５はＢ６０Ｐ３／３２に包含。<br>Ｂ６０Ｐ３／３４５はＢ６０Ｐ３／３４に包含。<br>Ｂ６０Ｐ３／３５はＢ６０Ｐ３／３４に包含。<br>Ｂ６０Ｐ３／３５５はＢ６０Ｐ３／３４に包含。<br>Ｂ６０Ｐ３／３６３はＢ６０Ｐ３／３６に包含。<br>Ｂ６０Ｐ３／３６７はＢ６０Ｐ３／３６に包含。<br>Ｂ６０Ｐ３／３７はＢ６０Ｐ３／３４３に包含。<br>Ｂ６０Ｐ３／３７３はＢ６０Ｐ３／３２に包含。<br>Ｂ６０Ｐ３／３７７はＢ６０Ｐ３／３４に包含。<br>Ｂ６０Ｐ５／００はＧ０１Ｇ１９／０８に包含。｝
B60Q	車両一般の信号装置または照明装置の配置，その取付または支持，またはそのための回路<br><br><u>注</u><br><br>１．このサブクラスには，照明装置の操作及び制御も包含される。例；<br>−車両用の照明スイッチまたは信号発生手段の配置あるいは適用；<br>−全体としての車両に関する照明装置の制御，例．水平化，回転または照準合わせ。<br>２．このサブクラスは，照明装置内の各要素の光学的，機械的，熱的または電気的配置を包含しない。これらは，グループＦ２１Ｓ４１／００〜Ｆ２１Ｓ４５／００に包含される。<br>３．クラスＢ６０のタイトルに続く注に注意すること。<br>４．下記の各欄に注意すること：<br>５．Ｂ６０Ｋ２８／００　安全装置，例．居眠り運転者を対象としたもの<br>　　Ｂ６０Ｒ２５／００　盗難防止装置<br>　　Ｂ６２Ｄ　運転補助装置<br>　　Ｂ６２Ｄ１５／０２　操向補助装置<br>　　Ｂ６１Ｋ３１／０００８　自動速度制御装置<br>　　Ｇ０１Ｓ　赤外線暗視装置<br>　　Ｇ０１Ｓ１３／９３１　衝突予防装置<br>　　Ｇ０５Ｄ１／００　自動操縦装置<br>　　Ｇ０６Ｋ９／００　パターン認識装置<br>　　Ｇ０６Ｔ３／００　画像変換装置<br>　　Ｇ０６Ｔ５／００　画質向上装置<br>　　Ｇ０６Ｔ７／００　画像解析装置<br>　　Ｇ０８Ｂ２１／００　警報装置一般<br>　　Ｇ０８Ｇ　交通整理システム<br>　　Ｇ０８Ｇ１／１６　衝突予防装置<br>　　Ｈ０４Ｎ　テレビシステム<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類体系にはない。これらのグループの主題事項は，以下のＣＰＣの各グループに分類される：<br>Ｂ６０Ｑ１／１２８　は　Ｂ６０Ｑ１／１２４　に包含される<br>Ｂ６０Ｑ１／１３２　は　Ｂ６０Ｑ１／１２４　に包含される<br>Ｂ６０Ｑ１／１３６　は　Ｂ６０Ｑ１／１２４　に包含される<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60R	他に分類されない車両，車両付属品，または車両部品<br><br><u>注</u><br><br>クラスＢ６０のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60S	他に分類されない車両の手入，洗浄，修理，支持，持ち上げ，移動<br><br><u>注</u><br><br>クラスＢ６０のタイトルに続く注に注意すること。
B60T	車両用制動制御方式またはそれらの部品；制動制御方式またはそれらの部品一般（車両用電気力学的制動システム一般Ｂ６０Ｌ；最終段階の制動作動器を含む制動装置それ自体，すなわち，制動効果が起こる装置，Ｆ１６Ｄ）；制動要素の車両への配置一般；車両が不意に動くのを阻止する携帯装置；制動装置の冷却を助長するための車両の改造<br><br><u>注</u><br><br>このサブクラスにおいては，制動制御方式という用語は，車両用または汎用性のある制動制御方式を含む。<br><br><u>警告</u><br><br>以下のＩＰＣグループはＣＰＣ分類体系にはない。これらのグループに包含される主題事項は以下のＣＰＣの各グループに分類される：Ｂ６０Ｔ８／２０はＢ６０Ｔ８／１８に包含される<br>Ｂ６０Ｔ８／２２はＢ６０Ｔ８／１８に包含される<br>Ｂ６０Ｔ８／６０−Ｂ６０Ｔ８／７０はＢ６０Ｔ８／１７に包含される<br>Ｂ６０Ｔ８／７８−Ｂ６０Ｔ８／８４はＢ６０Ｔ８／１７に包含される<br>Ｂ６０Ｔ１３／１２２はＢ６０Ｔ１３／１４７，Ｂ６０Ｔ１３／１６７に包含される<br>Ｂ６０Ｔ１３／１２５はＢ６０Ｔ１３／１４１に包含される<br>Ｂ６０Ｔ１３／１２８はＢ６０Ｔ１３／１４５，Ｂ６０Ｔ１３／１６５に包含される<br>Ｂ６０Ｔ１３／１３はＢ６０Ｔ１３／１４６，Ｂ６０Ｔ１３／１６６に包含される<br>Ｂ６０Ｔ１３／１３２はＢ６０Ｔ１３／１４３，Ｂ６０Ｔ１３／１６２に包含される<br>Ｂ６０Ｔ１３／１３５はＢ６０Ｔ１３／１４４，Ｂ６０Ｔ１３／１６３に包含される<br>Ｂ６０Ｔ１３／１３８はＢ６０Ｔ１３／１４８，Ｂ６０Ｔ１３／１６８に包含される<br>Ｂ６０Ｔ１３／６０はＢ６０Ｔ１３／５８に包含される<br>Ｂ６０Ｔ１５／０６はＢ６０Ｔ１５／０４に包含される<br>Ｂ６０Ｔ１５／０８はＢ６０Ｔ１５／０４に包含される<br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60V	　空気クッション車両（重量物と地表との間に，独立源から供給される，高圧流体クッションをつくることにより重量物を短距離移動させるための装置Ｂ６５Ｇ７／０６）<br><br><u>注</u><br><br>このサブクラスにおいて，空気クッション車両という用語は，空気クッションまたは他の気体状クッションで地上または水上に全体的あるいは部分的に支持されるあらゆる車両を含む。<br><br><u>｛注</u><br><br>このサブクラスにおいて＋ＩＤＴは以下のことを示す:　−ここに分類されている特許文献は，空気クッション車両に関連したＩＤＴ−グループに分類されていた。　−それらは上記ＩＤＴグループからこのグループへ管理上再分類された。｝
