H02K7/02	慣性を増大させるための付加的な重量体，例．蓄勢輪
H02K7/025	｛電力貯蔵用｝
H02K7/04	バランス手段
H02K7/06	往復動を回転運動へまたはその逆へ変換するための手段
H02K7/061	｛回転不平衡重錘を用いるもの（機械的振動の発生一般Ｂ０６Ｂ１／１６）｝
H02K7/063	｛電動機部品と一体に組み合わされたもの，例．偏心回転子付電動機｝
H02K7/065	電気−機械的振動発生器；振動磁気駆動器
H02K7/07	爪と爪車を用いたもの
H02K7/075	クランク軸または偏心輪を用いたもの
H02K7/08	軸受との構造的結合
H02K7/081	｛ウォーム歯車駆動に特に適合したものＨ０２Ｋ７／０９｝
H02K7/083	｛回転子の両端で回転軸を径方向に支持するもの（Ｈ０２Ｋ７／０８６，Ｈ０２Ｋ７／０９が優先）｝
H02K7/085	｛回転子の一端のみで回転軸を径方向に支持するもの（Ｈ０２Ｋ７／０８６，Ｈ０２Ｋ７／０９が優先）｝
H02K7/086	｛固定された軸芯の周りに回転子を径方向に支持するもの；回転子を径方向に直接支持するもの（Ｈ０２Ｋ７／０９が優先）｝
H02K7/088	｛回転子を径方向に直接支持するもの｝
H02K7/09	磁気軸受をもつもの
H02K7/10	クラッチ，制動機，歯車，プーリまたは機械的始動機との構造的結合<br><br><u>注</u><br><br>グループＨ０２Ｋ７／１２がグループＨ０２Ｋ７／１０２−Ｈ０２Ｋ７／１１８に優先
H02K7/1004	｛プーリを有するもの｝
H02K7/1008	｛電機回転子との結合（Ｈ０２Ｋ７／１０１２が優先）｝
H02K7/1012	｛プーリ内に配置された電機｝
H02K7/1016	｛外側回転子型の電機｝
H02K7/102	摩擦ブレーキをもつもの
H02K7/1021	｛磁気的に影響される摩擦ブレーキ｝
H02K7/1023	｛電磁石を用いるもの｝
H02K7/1025	｛概して環状の空隙を有する軸方向の電磁石を用いるもの｝
H02K7/1026	｛漂遊磁界を用いるもの｝
H02K7/1028	｛磁性鉄心の前部領域で制動電機子を軸方向に引き付けるもの｝
H02K7/104	渦電流ブレーキをもつもの
H02K7/106	電動ブレーキをもつもの
H02K7/108	摩擦クラッチをもつもの
H02K7/1085	｛磁気的に影響される摩擦クラッチ｝
H02K7/11	電動クラッチをもつもの
H02K7/112	ブレーキと組み合わされた摩擦クラッチをもつもの
H02K7/1125	｛磁気的に影響される摩擦クラッチおよびブレーキ｝
H02K7/114	ブレーキと組み合わされた電動クラッチをもつもの
H02K7/116	歯車をもつもの
H02K7/1163	｛少なくとも２個の歯車が軌道運動をしない非平行の軸をもつもの｝
H02K7/1166	｛ウォームおよびウォームホイールからなるもの（ウォーム歯車装置に特に適合した軸受をともなう構造的結合Ｈ０２Ｋ７／０８１）｝
H02K7/118	起動装置をもつもの
H02K7/1185	｛機械的に一方向の制御をともなうもの，すなわち回転子の回転運動の方向を逆にする手段をともなうもの｝
H02K7/12	固定子，回転子または鉄心部品が補助的で限定的に移動するもの，例．クラッチまたは制動の目的で回転子が軸方向に可動であるもの
H02K7/125	｛磁気的に影響されるもの｝
H02K7/14	機械的負荷，例．可搬工具またはファン，との構造的結合（電機の冷却用のファンまたはプロペラをもつものＨ０２Ｋ９／０６）
H02K7/145	｛可搬工具｝
H02K7/16	回転部品の振動の臨界速度以上で運転するためのもの
H02K7/18	発電機の機械的駆動原動機，例．タービン，との構造的結合
H02K7/1807	｛回転形発電機（Ｈ０２Ｋ７／００６が優先）｝
