G08B15/004	｛個人携帯装置を用いるもの（反撃用ガスまたは化学剤を用いる手持ちまたは身体着用の自己防御装置Ｆ４１Ｈ９／１０）｝
G08B15/005	｛電気ショックによるもの｝
G08B15/007	｛わなによるもの｝
G08B15/008	｛安全システムの存在に似せたもの，例．泥棒を威嚇するための模擬ビデオカメラ｝
G08B15/02	煙，ガス，または着色あるいはにおいのついた粉末または液体を用いるもの
G08B17/00	火災警報；爆発に応答する警報
G08B17/005	｛山林火災のためのもの，例．広大なまたは屋外区域での火災の拡大を検知するもの（山林火災の消火Ａ６２Ｃ３／０２）｝
G08B17/02	警報を機械的に動作するもの，例．線を切断することによるもの
G08B17/04	警報を液圧または空気でもって動作するもの，例．流体圧の変化によるもの
G08B17/06	警報を電気的に動作するもの，例．熱応動開閉器を用いるもの
G08B17/08	爆発的手段の使用を伴って動作するもの
G08B17/10	煙またはガスの存在によって動作するもの，｛例．光学手段の使用による流れている流体物質の分析用の自動警報装置｝
G08B17/103	光の発光受光装置を用いるもの
G08B17/107	煙による光の散乱を検出するためのもの
G08B17/11	煙またはガスを検出するための電離箱を使用するもの｛（イオン化の調査によるガスの分析Ｇ０１Ｎ２７／６２）｝
G08B17/113	構造細部
G08B17/117	火災により生成する特定のガス，例．燃焼生成物，の検出装置を用いるもの（Ｇ０８Ｂ１７／１０３，Ｇ０８Ｂ１７／１１が優先）
G08B17/12	輻射線または粒子，例．赤外線またはイオン，の存在によって動作するもの
G08B17/125	｛火災または煙の検出にビデオカメラを使用することによるもの｝
G08B19/00	２つ以上の異なる好ましくないまたは異常な状態，例．盗難と火災，異常温度および流量の異常変化，に応答する警報
G08B19/005	｛盗難と火災の警報装置が結合したもの｝
G08B19/02	氷の形成または予想される氷の形成に応答する警報
G08B21/00	単一の特定された好ましくない，または異常な作動状態に応答する警報であって，他に分類されないもの
G08B21/02	人の安全確認のための警報
G08B21/0202	｛親と子どもによって運ばれる送受信機装置を用いる子ども監視装置｝
G08B21/0205	｛送受信機装置を用いる子ども監視装置と組み合わされた特定の応用｝
G08B21/0208	｛音声または映像の通信との組み合わせ，例．赤ちゃん電話機能との組み合わせ｝
G08B21/0211	｛医療センサとの組み合わせ，例．心拍数，温度の測定用｝
G08B21/0213	｛分離限界の超過時の装置の無効化（プラグが外れた場合の電気器具の無効化Ｇ０８Ｂ１３／１４０９）｝
G08B21/0216	｛発生後の警報の取消し｝
G08B21/0219	｛回路装置｝
G08B21/0222	｛伝言構造または伝言内容，例．伝言プロトコル｝
G08B21/0225	｛異なるしきい値を使用する監視，例．異なる警報レベルのためのもの｝
G08B21/0227	｛複数の子機ユニットを用いる装置構成｝
G08B21/023	｛電源管理，例．装置の休眠および起動の供給｝
G08B21/0233	｛事前警報を備えた装置構成，例．初期間隔の超過時のもの｝
G08B21/0236	｛しきい値の設定｝
G08B21/0238	｛装置への新たなユニットの追加｝
G08B21/0241	｛データ交換の細部，例．データプロトコル｝
G08B21/0244	｛警報の基準に信号遅延または位相変位を用いる装置構成｝
G08B21/0247	｛警報の基準に信号の強度を用いる装置構成｝
G08B21/025	｛警報の基準に経過時間後の信号の欠如を用いる装置構成｝
G08B21/0252	｛子機ユニットが発信する装置構成，例．子機ユニットが発信装置を組み込んだもの｝
G08B21/0255	｛親機ユニットが発信する装置構成，例．親機ユニットが発信装置を組み込んだもの｝
G08B21/0258	｛親機ユニットおよび子機ユニットの双方が発信および受信を行う装置構成｝
G08B21/0261	｛対象物が固定された物理的境界，例．庭の終端，から侵入したことを検知するための装置構成｝
G08B21/0263	｛子どもまたは物品が位置する方向を検知するための装置構成｝
G08B21/0266	｛親機と子機との間または調査者と物品との間の正確な距離を検知するための装置構成｝
G08B21/0269	｛航行衛星装置，例．ＧＰＳ，を用いた子どもまたは物品の正確な位置を検知するための装置構成｝
G08B21/0272	｛ＧＰＳ以外の三角測量を用いて子どもまたは物品の正確な位置を検知するための装置構成｝
G08B21/0275	｛親機または子機ユニットに用いられる電子式商品監視［ＥＡＳ］タグ技術，例．同じ送信技術，磁性タグ，ＲＦタグ，ＲＦＩＤ｝
G08B21/0277	｛ローカルユニットにおけるユニット間の通信，例．ブルートゥース，ピコネット，ジグビー，無線パーソナルエリアネットワーク［ＷＰＡＮ］｝
G08B21/028	｛遠隔伝送手段，例．衛星ネットワーク，を経由する親機と子機との間の通信｝
G08B21/0283	｛電話網，例．セルラーＧＳＭ，を経由して伝送するもの｝
G08B21/0286	｛子どもまたは物品からの子機ユニットのいたずらまたは移動の検知｝
G08B21/0288	｛子機の子ども／物品への取付け｝
G08B21/0291	｛子機の箱体およびユーザインターフェイス｝
G08B21/0294	｛親機ユニットにおける表示の細部｝
G08B21/0297	｛強盗警報，例．強奪警報，鞄のひったくり警報｝
G08B21/04	動きの無いことによるもの，例．老人（Ｇ０８Ｂ２１／０６が優先）
G08B21/0407	｛行動分析に基づくもの｝
G08B21/0415	｛動きの無いことそれ自体の検知によるもの｝
G08B21/0423	｛期待される行動様式または日程からの偏差の検知｝
G08B21/043	｛緊急事態，例．落下，の検知｝
G08B21/0438	｛検知のためのセンサ手段｝
G08B21/0446	｛姿勢の変化，例．落下，傾斜，加速，歩行，の検知のための体への装着｝
G08B21/0453	｛生理的監視，例．心電図，体温，呼吸，による健康状態の検知のための体への装着（診断のための検出，測定または記録Ａ６１Ｂ５／００）｝
G08B21/0461	｛人に密接に取付けられまたは装着されしかし人に着用されるものではないもの，例．椅子，杖，ベッドのセンサ｝
G08B21/0469	｛安全でない状態を検知するための存在検知器，例．赤外線センサ，集音器（Ｇ０２Ｂ２１／０４７６が優先）｝
G08B21/0476	｛安全でない状態を検知するためのカメラ，例．ビデオカメラ｝
G08B21/0484	｛安全でない状態を検知するために供給物の消費または供給物を消費する設備の使用を監視する装置，例．水，ガスまたは電気の測定，栓，便所洗浄，ガスストーブまたは電気湯沸かし器の使用｝
G08B21/0492	｛安全でない状態を検知するためのセンサ両用技術，すなわち，２またはそれ以上の技術の共働，例．ビデオ追跡およびＲＦＩＤ追跡｝
G08B21/06	睡眠状態を示すもの，例．居眠りに対する警報
G08B21/08	水中における人の存在によるもの，例．スイミングプール；池，海などの異常状態を検出するもの
G08B21/082	｛水の電気的特性の監視によるもの｝
G08B21/084	｛水の物理的運動特性の監視によるもの｝
G08B21/086	｛水中の外側境界の監視によるもの｝
G08B21/088	｛人に着用された装置，例．水泳者に装着された腕輪，の監視によるもの｝
G08B21/10	災害の発生によるもの，例．竜巻または地震
G08B21/12	物質の望ましくない拡散によるもの，例．汚染警報
G08B21/14	有毒ガス警報（Ｇ０８Ｂ２１／１６が優先）
G08B21/16	可燃性ガス警報
G08B21/18	状態警報（Ｇ０８Ｂ２１／０２が優先）
G08B21/182	｛液面警報，例．閾値を超過する変量に応答する警報｝
G08B21/185	｛電気的故障の警報｝
G08B21/187	｛機械の故障の警報｝
G08B21/20	湿気によるもの
G08B21/22	人の在不在によるもの
G08B21/24	注意喚起する警報，例．遺失注意警報
G08B21/245	｛衛生保持策，例．手洗い，の注意喚起｝
G08B23/00	不特定の好ましくないまたは異常状態に応答する警報
G08B25/00	警報状態の所在を中央局に通報する警報システム，例．火災または警察通信システム
G08B25/001	｛警報の取り消し手続きまたは警報の転送の決定，例．警報の確認が行われないことに基づくもの｝
G08B25/002	｛中央局への事前警報を発生するもの｝
G08B25/003	｛アドレス割付けの方法および細部｝
G08B25/004	｛通信に利用できる方法の階層に応じて代替通信路によってまたは大体通信媒体を用いて拡散される警報，例．Ｗｉ−Ｆｉが使用できずＧＳＭを使用｝
G08B25/005	｛利用可能な報知先の階層に応じた警報の報知先の選択，例．病院から応答のない場合の警察署への送信｝
G08B25/006	｛事象の種類に応じた警報の報知先の選択，例．火事の場合は消防への電話，医療的緊急事態の場合は救急への電話｝
G08B25/007	｛メッセージパケットのデータ内容構造の細部；データプロトコル｝
G08B25/008	｛警報の設定および解除，すなわち安全装置の動員または解除｝
G08B25/009	｛識別子が中央局に通報された子局への警報状態の通報，例．通信範囲を拡張するための警報信号の中継｝
G08B25/01	伝達媒体によって特徴づけられるもの
G08B25/012	｛記録された信号，例．音声，を用いるもの（Ｇ０８Ｂ２５／０８が優先）｝
G08B25/014	｛双方向通信，例．信号の返送を伴うもの，による中央局への警報通報｝
G08B25/016	｛個人の非常通報および保安システム（非個人的に作動される緊急警報作動器Ｇ０８Ｂ２５／１２）｝
G08B25/018	｛電気的パラメータ，例．抵抗値，の大きさの検出によるセンサの符号化｝
G08B25/04	専用の信号回線を用いるもの，例．閉ループ状のもの
G08B25/045	｛閉ループ，例．マクロウループ，における感知装置および中央局｝
G08B25/06	送電線を用いるもの｛（配電線を用いる情報伝送方式一般Ｈ０４Ｂ３／５４）｝
G08B25/08	通信回線を用いるもの，｛Ｇ０８Ｂ１３／１９６５８，Ｇ０８Ｂ２１／０２８６，Ｇ０８Ｂ２５／０１６が優先）｝
G08B25/085	｛中央分配伝送回線を用いるもの｝
G08B25/10	無線伝送システムを使用するもの｛（Ｇ０８Ｂ２５／００９が優先）｝
G08B25/12	災害警報伝送装置が人的に作動されるもの；｛非個人的に作動される緊急警報，作動器，例．インフラ構造物上に取り付けられた警報押しボタンの細部｝
G08B25/14	中央警報受信装置または報知装置
G08B26/00	複数の子局が中央局によって順次質問されていく警報システム
G08B26/001	｛並列に接続された子局への個別の問合せを伴うもの｝
G08B26/002	｛感知状態を回答するのみのもの｝
G08B26/003	｛識別子と感知状態を回答するもの｝
G08B26/004	｛子局への共通の質問を伴うもの｝
G08B26/005	｛直列，例．カスケード，に接続された子局をもつもの｝
G08B26/006	｛個別の線に接続された子局をもつもの，例．星型構成｝
G08B26/007	｛無線質問｝
G08B26/008	｛感知状態の中央報知手段，例．表示または記載｝
G08B27/00	警報状態を中央局から複数の子局に通報する警報システム
G08B27/001	｛緊急チーム，例．消防士，への通報｝
G08B27/003	｛隣家への通報｝
G08B27/005	｛コンピュータ網を経由して伝送するもの｝
G08B27/006	｛電話網を経由して伝送するもの｝
G08B27/008	｛テレビまたはラジオ放送を経由して通報するもの｝
G08B29/00	信号または警報システムの点検または監視；動作中の誤りの防止または修正，例．誤動作の防止
G08B29/02	信号または警報システムを連続的に監視するもの
G08B29/04	検出回路を監視するもの
G08B29/043	｛火災検出回路のもの｝
G08B29/046	｛検出回路への妨害を防止するもの｝
G08B29/06	回線回路を監視するもの，例．回線の故障の通報
G08B29/08	回線回路への妨害を通報するもの
G08B29/10	報知回路を監視するもの
G08B29/12	信号または警報システムを間欠的に点検するもの
G08B29/123	｛回線回路のもの｝
G08B29/126	｛報知回路のもの｝
