E05Y2800/236	発電機とばねの
E05Y2800/238	ばねと伝動装置の
E05Y2800/24	ばねと制動装置の
E05Y2800/242	並行関係に配置
E05Y2800/244	連続関係に配置
E05Y2800/246	少なくとも１の素子が余剰
E05Y2800/25	緊急事態
E05Y2800/252	緊急の場合にのみ機能する素子
E05Y2800/254	緊急の場合には機能しない素子
E05Y2800/26	形態，形状
E05Y2800/262	円柱の形状をした
E05Y2800/264	小型
E05Y2800/266	曲線
E05Y2800/268	円筒
E05Y2800/269	
E05Y2800/27	輪郭
E05Y2800/272	中空
E05Y2800/276	Ｕ字型
E05Y2800/278	Ｏ字型
E05Y2800/28	管状
E05Y2800/29	他の素子と単片を形成
E05Y2800/292	開口部を持つ
E05Y2800/296	細長い穴
E05Y2800/298	陥凹をもつ
E05Y2800/30	
E05Y2800/31	
E05Y2800/33	隆起をもつ
E05Y2800/34	形状安定
E05Y2800/342	変型可能
E05Y2800/344	弾力的に
E05Y2800/35	特定の部分の
E05Y2800/352	枠；支柱
E05Y2800/353	固定された
E05Y2800/356	水平の枠部材
E05Y2800/358	垂直の枠部材または支柱
E05Y2800/36	可動枠
E05Y2800/362	水平の枠部材
E05Y2800/364	垂直の枠部材
E05Y2800/37	長さ，幅の調節
E05Y2800/372	伸縮自在
E05Y2800/40	保護（４００／５０，４００／５２が優先）
E05Y2800/402	腐食対策
E05Y2800/404	構成部品の欠陥または機能不全対策
E05Y2800/406	変型対策
E05Y2800/407	プラスチック変型
E05Y2800/409	不完全な取付または連結対策
E05Y2800/41	手指障害対策
E05Y2800/412	摩擦対策
E05Y2800/414	高温または低温対策
E05Y2800/416	火災対策
E05Y2800/42	煙またはガス対策
E05Y2800/422	振動または騒音対策
E05Y2800/424	予定しない使用対策
E05Y2800/426	未許可使用対策（４００／５１，４００／５２２が優先）
E05Y2800/428	浸水対策
E05Y2800/43	摩損対策
E05Y2800/45	製造
E05Y2800/455	押し出し加工（一般Ｂ２９Ｃ４７／００，Ｂ２１Ｃ２３／００）
E05Y2800/46	射出成形（一般Ｂ２９Ｃ４５／００）
E05Y2800/465	プレス加工
E05Y2800/67	材料；それの強度変更
E05Y2800/672	ガラス
E05Y2800/674	金属
E05Y2800/676	プラスチック変型
E05Y2800/678	エラストマー
E05Y2800/68	材料の組合せ
E05Y2800/682	増強による強度の変更，例．肋骨の適用による
E05Y2800/683	
E05Y2800/684	衰弱による強度の変更，例．溝の適用による
E05Y2800/69	使用の永続性
E05Y2800/692	一時的使用
E05Y2800/694	製造中
E05Y2800/696	運搬または保管中
E05Y2800/70	素子の改造
E05Y2800/71	二次的ウイング，例．パスドア
E05Y2800/72	相互に交換可能な素子一組
E05Y2800/73	素子の単一使用
E05Y2800/74	特定位置（４００／３５が優先）
E05Y2800/742	異常
E05Y2800/744	清掃またはサービス
E05Y2800/746	緊急または拡張
E05Y2800/748	端
E05Y2800/75	中間
E05Y2900/00	ドア，窓，ウイングまたはそれらの備品の適用
E05Y2900/10	建物またはその一部に
E05Y2900/102	冷蔵室に
E05Y2900/104	エレベーターに
E05Y2900/106	車庫に
E05Y2900/108	格納庫に
E05Y2900/11	工業建築物に
E05Y2900/112	トイレに
E05Y2900/114	シャワーに
E05Y2900/116	水路に
E05Y2900/13	ウイングの形式により特徴付けられるもの
E05Y2900/131	アクセスパネル
E05Y2900/132	戸
E05Y2900/134	防火戸
E05Y2900/136	防虫戸
E05Y2900/14	壁の戸袋の中に戸が引き込まれるもの，例．いわゆるポケットドア
E05Y2900/142	間仕切り壁
E05Y2900/144	防犯窓格子
E05Y2900/146	シャッター
E05Y2900/148	窓
E05Y2900/15	バルコニーガラス窓
E05Y2900/152	屋根に開けた窓
E05Y2900/154	天窓
E05Y2900/20	家具のため，例．キャビネット
E05Y2900/202	表示キャビネット
E05Y2900/204	陳列台
E05Y2900/208	金属キャビネット
E05Y2900/21	安全キャビネット
E05Y2900/212	家具本体の中にとが引き込まれるもの
E05Y2900/30	屋内電気器具のため
E05Y2900/302	備え付け器具のため
E05Y2900/304	皿洗い機のため
E05Y2900/306	冷凍庫のため
E05Y2900/308	オーブンのため
E05Y2900/31	冷蔵庫のため
E05Y2900/312	洗濯機のため
E05Y2900/40	ゲートのため
E05Y2900/402	カンチレバゲートのため
E05Y2900/404	鉄道駅ゲートのため
E05Y2900/50	車両のため
E05Y2900/502	航空機のため
E05Y2900/504	装甲車両のため
E05Y2900/506	バスのため
E05Y2900/508	コンバーチブルのため
E05Y2900/51	鉄道車両または大量輸送車両のため
E05Y2900/512	レクリエーション用車両のため
E05Y2900/514	船舶のため
E05Y2900/516	トラックまたはトレーラーのため
E05Y2900/518	作業車のため
E05Y2900/53	ウイングの形式により特徴付けられるもの
E05Y2900/531	戸
E05Y2900/532	裏口戸または端部戸
E05Y2900/534	フィラーリッド
E05Y2900/535	
E05Y2900/536	フード
E05Y2900/538	インテリアリッド
E05Y2900/54	バスの荷物室リッド
E05Y2900/542	ルーフパネル
E05Y2900/544	尾板またはサイドボード
E05Y2900/546	テールゲート
E05Y2900/548	トランクリッド
E05Y2900/55	窓
E05Y2999/00	
