A46B17/08	その他の付属品，例．けずり道具，家具の損傷を防止するためのゴム緩衝器
A46B2200/00	機能，使用または用途に特徴のあるブラシ
A46B2200/01	使い捨てブラシ（Ａ４６Ｂ１１／０００３およびＡ４６Ｂ５／０００４が優先）
A46B2200/10	人間または動物を世話のためのもの
A46B2200/1006	手または人体を清掃するためのブラシ
A46B2200/1013	指または指の爪を清掃するためのブラシ
A46B2200/102	皮膚または頭皮をマッサージするために特に設計されたブラシ（Ａ４６Ｂ２２００／１０２６が優先）
A46B2200/1026	歯肉をマッサージするブラシ，すなわち，歯肉をマッサージするために特に設計されたもの
A46B2200/1033	ひげ剃り用クリームまたは石鹸を塗りまたは広げるためのブラシ
A46B2200/104	ヘアブラシ（ヘアブラシ用の毛の配列Ａ４６Ｂ９／０２３）
A46B2200/1046	化粧品を塗るために用いられるブラシ（化粧品ブラシ用の毛の配列Ａ４６Ｂ９／０２１)
A46B2200/1053	特にマスカラ用の化粧品塗り器
A46B2200/106	特にマスカラ用の櫛状要素を含む化粧品塗り器
A46B2200/1066	歯または義歯を清掃するための歯ブラシ（Ａ６１Ｃ１７／１６が優先；歯ブラシ用の毛の配列Ａ４６Ｂ９／０４）
A46B2200/1073	義歯用の歯ブラシ，すなわち，義歯に特に用いられるもの
A46B2200/108	歯間用の歯ブラシ，すなわち，歯間の空間に特に用いられるもの
A46B2200/1086	動物の歯の清掃に特に用いられる歯ブラシ
A46B2200/1093	動物に用いられるブラシ（Ａ４６Ｂ２２００／１０８６が優先）
A46B2200/20	表面に製品を塗るためのブラシ（Ａ４６Ｂ２２００／１０が優先）
A46B2200/202	塗料を塗布するブラシ
A46B2200/205	芸術家用の塗り筆，例．細かい作業で点を描くための塗り筆
A46B2200/207	食物用のブラシ，すなわち，料理において物質を食物の表面に塗るために用いられるもの
A46B2200/30	清掃または磨き用のブラシ
A46B2200/3006	ボトルまたは中空の容器を清掃するためのブラシ
A46B2200/3013	管の内側または外側を清掃するためのブラシ
A46B2200/302	ほうき
A46B2200/3026	刷毛
A46B2200/3033	家庭用ブラシ，すなわち，家屋または皿を清掃するためのブラシ
A46B2200/304	便所ブラシ，すなわち便所を清掃するためのブラシ
A46B2200/3046	車またはその部品を清掃するためのブラシ
A46B2200/3053	衣類ブラシ，すなわち，衣類を清掃するために特に設計されたブラシ
A46B2200/306	靴を清掃しまたは磨くブラシ
A46B2200/3066	道路清掃機械に用いるために特に設計されたブラシ
A46B2200/3073	他に分類されない特別で通常でない場所を清掃するためのブラシ，例．側溝，ゴルフクラブ，空き缶の頂部，隅っこ
A46B2200/308	ほうきを曲げる
A46B2200/3086	磨くためのブラシ
A46B2200/3093	研磨特性のあるブラシ，例．ワイヤブラシ
A46B2200/40	他の用途
A46B2200/405	通常のブラシ掛けでない目的のために，例．保持具または支持体として，用いられるブラシ
