C03C17/3631	｛１つの層が少くともセレン化物またはテルル化物を含むもの｝
C03C17/3634	｛１つの層が少くとも炭素，炭化物またはオキシ炭化物を含むもの｝
C03C17/3636	｛１つの層が少くともけい素，水素化けい素またはけい化物を含むもの｝
C03C17/3639	｛少くとも２つの機能性金属層を含む多重層｝
C03C17/3642	｛多重層被覆が金属層を含むもの｝
C03C17/3644	｛金属が銀であるもの｝
C03C17/3647	｛他の金属との組み合わせで，銀が５０％より多いもの｝
C03C17/3649	｛銀以外の金属で作られたもの｝
C03C17/3652	｛酸化からの金属の保護のために少くとも１つの犠牲となる層を含む被覆の積重ね｝
C03C17/3655	｛多層被覆が少くとも１つの導電層を含むもの｝
C03C17/3657	｛多層被覆が光学特性をもつもの｝
C03C17/366	｛低放射率または日射調節の被覆｝
C03C17/3663	｛鏡としての使用に特に適合されたもの｝
C03C17/3665	｛フォトマスクとしての使用に特に適合されたもの｝
C03C17/3668	｛多層被覆が電気的特性をもつもの｝
C03C17/3671	｛電極としての使用に特に適合されたもの｝
C03C17/3673	｛車両の後部窓用の加熱装置での使用に特に適合されたもの｝
C03C17/3676	｛電磁遮蔽としての使用に特に適合されたもの｝
C03C17/3678	｛太陽電池としての使用に特に適合されたもの｝
C03C17/3681	｛多層被覆がうわ薬掛けに用いられるもの，例．窓または風防｝
C03C17/3684	｛多層被覆が装飾目的で用いられるもの｝
C03C17/3686	｛多層被覆が炉のために用いられるもの｝
C03C17/3689	｛１つの酸化物層が金属層の酸化により得られるもの｝
C03C17/3692	｛１つの金属層が酸化物層の還元により得られるもの｝
C03C17/3694	｛１つの層がその厚みを通じた組成勾配をもつもの｝
C03C17/3697	｛１つの金属層が少くとも無電解鍍金により得られるもの｝
C03C17/38	少くとも１つの被覆が有機物質の被覆であるもの
C03C17/40	すべての被覆が金属被覆であるもの
C03C17/42	少くとも１つが有機物質の被覆でありかつ少くとも１つが非金属被覆であるもの
C03C17/44	ラスターがけ
C03C19/00	繊維やフィラメントの形態をとらないガラスの，機械的手段による表面処理（ガラスのサンドブラスト，荒けずりまたはつや出しＢ２４）
C03C21/00	繊維やフィラメントの形態をとらないガラスの，表面にイオンまたは金属を拡散することによる表面処理
C03C21/001	｛液体相中でのもの，例．溶融塩，溶液｝
C03C21/002	｛アルカリイオン間でイオン交換を行うためのもの（Ｃ０３Ｃ２１／００５が優先）｝
C03C21/003	｛電位差の応用によるもの｝
C03C21/005	｛ガラス中へのＡｇ，Ｃｕのような金属または金属イオンの導入によるもの｝
C03C21/006	｛Ｘｎ＋−−−−＞ｎＨ＋の型の交換によるもの｝
C03C21/007	｛気体相中でのもの｝
C03C21/008	｛固体相中でのもの，例．ペースト，粉末を用いるもの｝
C03C23/00	繊維やフィラメントの形態をとらない繊維以外のガラスのその他の表面処理
C03C23/0005	｛照射によるもの｝
C03C23/001	｛赤外線によるもの｝
C03C23/0015	｛可視光によるもの｝
C03C23/002	｛紫外線によるもの｝
C03C23/0025	｛レーザービームによるもの｝
C03C23/003	｛エックス線によるもの｝
C03C23/0035	｛ガンマ線によるもの｝
C03C23/004	｛電子，陽子またはアルファ粒子によるもの｝
C03C23/0045	｛中性子によるもの｝
C03C23/005	｛原子によるもの｝
C03C23/0055	｛イオン注入によるもの｝
C03C23/006	｛プラズマまたはコロナ放電によるもの｝
C03C23/0065	｛マイクロ波の照射によるもの｝
C03C23/007	｛熱処理によるもの｝
C03C23/0075	｛ガラスのクリーニング（平ガラスに特に適合したものＢ０８Ｂ１１／００）｝
C03C23/008	｛浸出工程をからなるもの｝
C03C23/0085	｛乾燥；脱水酸基｝
C03C23/009	｛ガラスのポーリング｝
C03C23/0095	｛溶液含浸；溶液ドーピング；分子充填，例．多孔質ガラスのもの（プリフォームの製造におけるものＣ０３Ｂ３７／０１２）｝
C03C25/00	ガラス，鉱石またはスラグ製の繊維またはフィラメントの表面処理<br><br><u>注</u><br><br>１．グループＣ０３Ｃ２５／２４〜Ｃ０３Ｃ２５／４８においては，ラストプレイス優先ルールが適用される，すなわち各階層レベルにおいて相反する指示がない限り，最後の適切な場所に分類する。<br>２．被覆組成物，即ち２以上の成分の混合物は，これらの成分のうち少なくとも１つを規定しているグループＣ０３Ｃ２５／２５〜Ｃ０３Ｃ２５／４２のうち最後のグループに分類される。<br>３．グループＣ０３Ｃ２５／２４〜Ｃ０３Ｃ２５／４２に分類する場合，被覆組成物の個々の構成成分であって，注（２）による分類では特定されず，それ自体が新規かつ非自明であると判断されたものについても，グループＣ０３Ｃ２５／２４〜Ｃ０３Ｃ２５／４２の最後の適切な箇所にも分類しなければならない。<br>４．グループＣ０３Ｃ２５／２４〜Ｃ０３Ｃ２５／４２に分類する場合，被覆組成物の個々の構成成分であって，注（２）または（３）による分類では特定されず，かつ，検索に重要な情報であると思われるものについても，グループＣ０３Ｃ２５／２４〜Ｃ０３Ｃ２５／４２にも分類することができる。これは，例えば分類記号の組合わせを用いて被覆組成物を検索できることが重要であると考えられる場合にあり得る。このような非義務的分類は，“付加情報”として表示すべきである。<br>５．グループＣ０３Ｃ２５／１０２５〜Ｃ０３Ｃ２５／１０９５に分類する場合，被覆組成物は，注（１）〜（４）に従いグループＣ０３Ｃ２５／２４〜Ｃ０３Ｃ２５／５４の１以上のグループにも分類されなければならない。<br>６．グループＣ０３Ｃ２５／４８に分類する場合，それ自体が新規かつ非自明であると決定される個々の被覆は注（１）〜（４）に従いグループＣ０３Ｃ２５／２４〜Ｃ０３Ｃ２５／４２にも分類されなければならない。
C03C25/002	熱処理
C03C25/005	機械的手段によるもの
C03C25/007	溶液による含浸；溶液ドーピングまたは多孔質ガラスの分子充填
C03C25/10	被覆
C03C25/1025	セメントをベースにした強化製品に用いられる繊維を得るためのもの
C03C25/103	｛有機被覆｝
C03C25/1035	｛無機被覆｝
C03C25/104	光ファイバーを得るためのもの
C03C25/105	有機クラッド
C03C25/106	単一被覆
C03C25/1061	｛無機被覆｝
C03C25/1062	｛炭素｝
C03C25/1063	｛金属｝
C03C25/1065	多層被覆
C03C25/1068	｛無機被覆｝
C03C25/109	｛少くとも１つの有機被覆および少くとも１つの無機被覆によるもの｝
C03C25/1095	被覆布を得るためのもの
C03C25/12	被覆の一般的な方法，そのための装置
C03C25/14	吹き付け
C03C25/143	連続繊維に対するもの
C03C25/146	ガス媒体中に懸濁した繊維上に対するもの（Ｃ０３Ｃ２５／１４３が優先）
C03C25/16	浸液
C03C25/18	押出
C03C25/20	繊維をアプリケーター，例．ロール，に接触させるもの
C03C25/22	蒸着
C03C25/223	化学蒸着または熱分解によるもの
C03C25/226	スパッタリングによるもの
C03C25/24	有機物質を含有する被覆
C03C25/25	非高分子化合物
C03C25/255	油，ワックス，脂肪またはその誘導体
C03C25/26	高分子化合物またはプレポリマー
C03C25/27	ゴムラテックス
C03C25/28	炭素―炭素不飽和結合のみが関与する反応により得られるもの
C03C25/285	アクリル樹脂
C03C25/30	ポリオレフィン
C03C25/305	ポリフルオロオレフィン
C03C25/32	炭素―炭素不飽和結合のみが関与する反応以外から得られるもの
C03C25/321	でんぷん；でんぷん誘導体
C03C25/323	ポリエステル，例．アルキド樹脂
C03C25/325	ポリカーボネート
C03C25/326	ポリ尿素；ポリウレタン
C03C25/328	ポリアミド
C03C25/34	アルデヒド縮合重合体，例．フェノール，尿素，メラミン，アミド，またはアミンとの
C03C25/36	エポキシ樹脂
C03C25/38	有機金属化合物
C03C25/40	有機ケイ素化合物
C03C25/42	無機物質を含有する被覆
C03C25/44	炭素，例．グラファイト
C03C25/46	金属
C03C25/465	複合材料を含有する被覆
C03C25/47	粒子，繊維またはフレークを含有するもの，例．連続相中で
C03C25/475	着色成分を含有するもの
C03C25/48	異なる組成物で構成される二つ以上の被覆を有する｛（Ｃ０３Ｃ２５／１０４が優先）｝
C03C25/50	有機物質のみを含有する被覆
C03C25/52	無機物質のみを含有する被覆
C03C25/54	有機物質のみを含有する一つ以上の被覆と，無機物質のみを含有する一つ以上の被覆との組み合わせ
C03C25/60	表面にイオンまたは金属を拡散することによるもの
C03C25/601	液体相中で，例．溶液または溶融塩を用いるもの
C03C25/602	アルカリイオン間でイオン交換を行うためのもの（Ｃ０３Ｃ２５／６０５が優先）
C03C25/603	電位差によるもの
