H01H3/20	主動作が可能または有効になる前に，例えば解錠のためまたは結合のための補助動作または付属物の動作を必要とするもの
H01H3/22	駆動機構を操作するスイッチの内部動力装置
H01H3/222	｛電磁力学的反発作用を使用するもの｝
H01H2003/225	｛コイル接点をもつもの，すなわち，可動接点自体が反発電流が固定コイルにおける作動電流に誘導された二次コイルを形成するもの｝
H01H3/227	｛手動と電動操作を連動した機構｝
H01H3/24	圧縮空気または液圧作動体を使用するもの｛（スプリングモータへのエネルギーの蓄積Ｈ０１Ｈ３／３０１）｝
H01H3/26	電動機を使用するもの（スプリングモータに蓄勢するものＨ０１Ｈ３／３０）
H01H3/262	｛遠心機構を使用するもの｝
H01H3/264	｛移動ナットを使用するもの｝
H01H2003/266	｛電動機で動作するスイッチのための制御回路をもつもの，例．接点の開閉速度の制御｝
H01H2003/268	｛リニアモータを使用するもの｝
H01H3/28	電磁石を使用するもの（スプリングモータに蓄勢するものＨ０１Ｈ３／３０；リレーを操作するものＨ０１Ｈ４５／００）
H01H3/30	スプリングモータを使用するもの
H01H3/3005	｛充電方法｝
H01H3/301	｛流体アクチュエータを使用するもの｝
H01H3/3015	｛カム装置を使用するもの｝
H01H3/3021	｛単一方向の結合を使用するもの｝
H01H3/3026	｛その中で閉ばねが開ばねに装填するもの，またその逆のもの｝
H01H3/3031	｛ばねを装填状態に係止する手段｝
H01H2003/3036	｛ロック装置においてボールまたはローラを使用するもの｝
H01H3/3042	｛トーションばねを使用するもの｝
H01H3/3047	｛３点スイッチの操作に適合したもの，例．オンーオフスイッチ接地｝
H01H3/3052	｛直線ばねを使用するもの｝
H01H2003/3057	｛アイドリングを避けるための構成，例．遮断器が閉じる際のまたはスプリングに完全に蓄積されていない際の蓄積エネルギーの放出の防止｝
H01H2003/3063	｛蓄積サイクルまたは蓄積状態期間の終了時に蓄積ハンドルまたはモータを組み外すもの｝
H01H2003/3068	｛エネルギー蓄積器と協動機構のためのハウジング支持枠｝
H01H2003/3073	｛スプリングモータにおける蓄積の表示｝
H01H2003/3078	｛慣性要素，例．フライホイール，を使用するもの，スプリングから放出されるエネルギーの制御｝
H01H2003/3084	｛作動部材の運動エネルギーが次回の作動時にスプリングの開動作または閉動作によって使われることで位置エネルギーに変換され回復するもの｝
H01H2003/3089	｛蓄積されたスプリングモータのロックを手動で外すための装置；遠隔操作で外すための装置｝
H01H2003/3094	｛開−閉−開［ＯＣＯ］の順に許容するもの｝
H01H3/32	駆動機構，すなわち接点に対して駆動力を伝えるもの（速動装置Ｈ０１Ｈ５／００；予定の遅延を生じるものＨ０１Ｈ７／００）
