G03B15/0431	｛回転可能な装着手段｝
G03B15/0436	｛順次並進のための装着手段｝
G03B15/0442	｛閃光装置の構造的細部；ランプ，反射器，または類似のものの配置（Ｇ０３Ｂ１５／０４８４が優先）｝
G03B15/0447	｛エネルギー源；電池；コンデンサ｝
G03B15/0452	｛シャッターに接続される電気的点火手段｝
G03B15/0457	｛閃光ランプの順次点火のための点火機構｝
G03B15/0463	｛圧電点火機構｝
G03B15/0468	｛多重添加モードの選択を許容する点火機構；異なるモード用のアダプタ｝
G03B15/0473	｛遠隔制御される点火機構｝
G03B15/0478	｛写真装置と衝撃型閃光点火システムとの組み合わせ｝
G03B15/0484	｛閃光装置の構造的細部｝
G03B15/0489	｛衝撃による点火のための手段｝
G03B15/0494	｛衝撃型閃光装置を装着するための手段｝
G03B15/05	カメラと電子閃光装置の組合せ；電子閃光装置
G03B15/06	スクリーン掛け，拡散，および反射装置を特殊配置したもの，例．スタジオで使用するもの
G03B15/07	スタジオ内の電灯の配置
G03B15/08	トリック写真
G03B15/10	背景投影法を用いるもの；実物の前景に人工背景の合成
G03B15/12	鏡を用いるもの
G03B15/14	手術中の撮影用
G03B15/16	動く対象の軌跡撮影用（高速度写真Ｇ０３Ｂ３９／００）
G03B17/00	カメラまたはカメラ本体の細部；その付属品（レンズフードまたはキャップＧ０３Ｂ１１／０４）
G03B17/02	本体
G03B17/04	分解できるもの，たためるものまたは伸縮できるもの，例．べんとう箱状のもの
G03B17/045	｛じゃばら｝
G03B17/06	他のカメラ部材と関連なく，本体内に取り付けられた露出計その他の表示装置をもつもの
G03B17/08	防水性の本体またはハウジング
G03B17/10	防音性の本体
G03B17/12	対物レンズ，補助レンズ，フィルター，マスク，またはターレットを取り付けるための装置をもつもの
G03B17/14	交換できるもの
G03B17/16	映画カメラとスチルカメラの両者を包括したもの
G03B17/17	写真像を形成するために光線束中に反射鏡を配置したもの，例．カメラの大きさを小さくするためのもの
G03B17/18	カメラ部材の状態または明るさの適正を表示する信号（焦点深度を示すものＧ０３Ｂ１３／３０）
G03B17/20	ファインダー内に見えるもの
G03B17/22	フイルムを切り離す装置をもつもの
G03B17/24	フイルム上に個々に印を付けるための装置をもつもの，例．タイトル，露出時間
G03B17/245	｛光学的手段｝
G03B17/26	感光材料を保持し，カメラ内に挿入するのに使われる支持器（Ｘ線フィルム用支持器Ｇ０３Ｂ４２／０４）
G03B17/265	｛活動画面フィルムに特に適合されたもの，例．カセット（投影用のカセットＧ０３Ｂ２１／３２３）｝
G03B17/28	カメラ内での感光材料の位置づけ
G03B17/30	スプールその他フイルムをコイル状に巻いた回転できる支持部の位置づけ
G03B17/305	｛巻取りフイルムカメラ用｝
G03B17/32	感光板またはカットフイルムの位置づけ
G03B17/34	感光板またはカットフイルムの交換
G03B17/36	露出数の計数（フィルム片のものＧ０３Ｂ１／６６）
G03B17/38	シャッターから分離したレリーズ装置（シャッターとの一体Ｇ０３Ｂ９／０８）
G03B17/40	遅延させまたは時間を定める機能をもつもの
G03B17/42	シャッター作動とフイルム送りまたは感光板またはカットフイルムの交換との間の連動
G03B17/425	｛モータ駆動カメラ｝
G03B17/44	焦点板と感光材料を置換えるための装置
G03B17/46	映画用カメラにおける一駒撮影のための装置
G03B17/48	他の写真的または光学的装置と組み合わせて使用するもの
G03B17/50	現像と仕上げ装置の両方をもつもの
G03B17/52	ランド型のもの
G03B17/53	露光の動機となる信号が与えられた後で仕上り画像を自動的に作成するもの，例．ボタンをおすもの，硬貨をいれるもの
G03B17/54	投影装置をもつもの
G03B17/55	加熱または冷却装置をそなえるもの，例．航空機用
G03B17/56	付属装置（携帯ケースＡ４５Ｃ１１／３８）
G03B17/561	｛カメラの付属品に関する支持｝
G03B17/563	｛カメラの取っ手，ハンドル（携帯できる装置を安定させるための手段一般Ｆ１６Ｍ１３／００）｝
G03B17/565	｛光学的付属品，例．接写用コンバータ，テレコンバータ，広角コンバータ｝
G03B17/566	｛付属品クリップ，付属品をカメラに取り付けるためのシュー（カメラ本体と一体の部品であればＧ０３Ｂ１７／０２）｝
G03B17/58	カメラをレフレックスカメラに変換するための付属品
G03B19/00	カメラ（細部Ｇ０３Ｂ１７／００）
G03B19/02	スチル画面用カメラ
G03B19/023	｛多重画像カメラ｝
G03B19/026	｛順次カメラ｝
G03B19/04	ロールフイルムカメラ
G03B19/06	二つ以上のフイルムを装填するのに用いられるもの，例．任意に一つまたは他方を露出しうるもの（Ｇ０３Ｂ１９／０７が優先）
G03B19/07	二つ以上の対物レンズを持つもの
