H04W4/00	無線通信ネットワークに特に適合するサービスまたは設備
H04W36/18	シームレスな再選択，例．ソフトハンドオフ，をするためのもの
H04W36/185	
H04W36/20	干渉レベルの最適化のためのもの
H04W36/22	トラヒック制御のためのもの
H04W36/24	特定のパラメータをトリガにした再選択
H04W36/247	
H04W36/249	
H04W36/26	承認されたまたはネゴシエーションされた通信パラメータによるもの
H04W36/28	複数の接続を伴うもの，例．マルチコールまたはマルチベアラ接続
H04W36/30	測定または検出された接続品質データによるもの
H04W36/302	
H04W36/304	
H04W36/305	
H04W36/32	位置またはモビリティデータ，例．速度データ，によるもの
H04W36/322	
H04W36/324	
H04W36/326	
H04W36/328	
H04W36/34	再選択の制御の主体
H04W36/36	ユーザまたは端末装置
H04W36/362	
H04W36/365	
H04W36/38	固定されたネットワーク装置
H04W36/385	
H04W40/00	ルーティングまたは通信パス検出
H04W40/005	
H04W40/02	通信ルートまたはパス選択，例．電力ベースのルーティングまたは最短パスのルーティング
H04W40/023	
H04W40/026	
H04W40/04	無線ノードのリソースに基づくルーティング
H04W40/06	利用可能なアンテナの特性に基づくルーティング
H04W40/08	送信電力に基づくルーティング
H04W40/10	利用可能な電力またはエネルギーに基づくルーティング
H04W40/12	伝送品質またはチャネルの品質に基づくルーティング
H04W40/125	
H04W40/14	安定性に基づくルーティング
H04W40/16	干渉に基づくルーティング
H04W40/18	予測されるイベントに基づくルーティング
H04W40/20	地理的な位置に基づくルーティング
H04W40/205	
H04W40/22	基地局またはアクセスポイントへの選択的な中継経路を利用するルーティング
H04W40/24	接続性に関する情報の管理，例．接続性についての探索または更新
H04W40/242	
H04W40/244	
H04W40/246	
H04W40/248	
H04W40/26	プロアクティブ型とリアクティブ型を組み合わせたハイブリットルーティングのためのもの
H04W40/28	リアクティブ型ルーティングのためのもの
H04W40/30	プロアクティブ型ルーティングのためのもの
H04W40/32	ルーティング・クラスタに属するメンバーの定義のためのもの
H04W40/34	現存する経路の変更
H04W40/36	ハンドオーバによるもの
H04W40/38	ノード間の相対距離の変化に適応させるためのもの
H04W48/00	アクセス規制；ネットワークの選択；アクセスポイントの選択
H04W48/02	特定の状況でのアクセス規制
H04W48/04	ユーザまたは端末の位置またはモビリティデータ，例．移動方向または速度，に基づくもの
H04W48/06	トラヒック状況に基づくもの
H04W48/08	アクセス規制またはアクセスのための情報の配信，例．検出のためのデータ配信
H04W48/10	放送情報を利用するもの
H04W48/12	下り制御チャネルを利用するもの
H04W48/14	ユーザからの問い合わせ（クエリー）を利用するもの
H04W48/16	アクセス規制またはアクセスのための情報の検出；アクセス規制またはアクセスのための情報の処理
H04W48/17	
H04W48/18	ネットワークまたは通信サービスの選択
H04W48/20	アクセスポイントの選択
H04W52/00	パワーマネージメント，例．送信電力制御またはパワーセービング
H04W52/02	パワーセービング装置
H04W52/0203	
H04W52/0206	
H04W52/0209	
H04W52/0212	
H04W52/0216	
H04W52/0219	
H04W52/0222	
H04W52/0225	
H04W52/0229	
H04W52/0232	
H04W52/0235	
H04W52/0238	
H04W52/0241	
H04W52/0245	
H04W52/0248	
H04W52/0251	
H04W52/0254	
H04W52/0258	
H04W52/0261	
H04W52/0264	
H04W52/0267	
H04W52/027	
H04W52/0274	
H04W52/0277	
H04W52/028	
H04W52/0283	
H04W52/0287	
H04W52/029	
H04W52/0293	
H04W52/0296	
H04W52/04	送信電力制御［ＴＰＣ］
H04W52/06	電力制御のアルゴリズム
H04W52/08	クローズドループ電力制御
H04W52/10	オープンループ電力制御
H04W52/12	アウター・インナーループ電力制御
H04W52/125	｛トランスコーディング；速度最適化装置｝
H04W52/14	上り，下り別々に解析するもの
H04W52/143	
H04W52/146	
H04W52/16	他のチャネルの電力制御値に基づくもの
H04W52/18	特定のパラメータに基づく電力制御
H04W52/20	エラーレートを使うもの
H04W52/22	以前の情報またはコマンドを考慮するもの
H04W52/221	
H04W52/223	
H04W52/225	
H04W52/226	
H04W52/228	
H04W52/24	ＳＩＲ[信号対干渉レベル比｝または無線パスに関するその他のパラメータを使うもの
H04W52/241	
H04W52/242	
H04W52/243	
H04W52/244	
H04W52/245	
H04W52/246	
H04W52/247	
H04W52/248	
H04W52/26	伝送レートまたはＱｏＳ[サービスの品質｝を使うもの
H04W52/262	
H04W52/265	
H04W52/267	
H04W52/28	ユーザのプロファイル，例．移動速度，優先度またはネットワークの状態，例．スタンバイ，アイドルまたは無送信，を使うもの
H04W52/281	
H04W52/282	
H04W52/283	
H04W52/285	
H04W52/286	
H04W52/287	
H04W52/288	
H04W52/30	利用可能である送信電力の合計値による制限を使うもの
H04W52/32	放送チャネルまたは制御チャネルの電力制御
H04W52/322	
H04W52/325	
H04W52/327	
H04W52/34	送信電力の管理，すなわちユーザ間，チャネル間またはデータのタイプ間での有限の送信電力の共有，例．セルの負荷
H04W52/343	
H04W52/346	
H04W52/36	不連続な範囲または複数の値のセット，例．ステップサイズ，変化の傾き，オフセット，を用いるもの
H04W52/362	
H04W52/365	
H04W52/367	
H04W52/38	特定の状況での電力制御
H04W52/383	
H04W52/386	
H04W52/40	マクロダイバーシチまたはソフトハンドオフ中のもの
H04W52/42	時間，空間，周波数または偏波ダイバーシチにおけるもの
H04W52/44	送信中断と関連したもの
H04W52/46	マルチホップネットワーク，例．無線中継ネットワーク，でのもの
H04W52/48	エラーまたはＮＡＣＫの後の再送に関連したもの
H04W52/50	多重接続環境における通信開始時のもの
H04W52/52	ＡＧＣ回路または増幅器を使用するもの
H04W52/54	電力制御コマンドの信号伝送の観点，例．フレーム構造
H04W52/545	
H04W52/56	ＴＰＣビットのエラーの検出
H04W52/58	ＴＰＣビットのフォーマット
H04W52/60	異なる伝送レートで電力制御コマンドを送信するもの
H04W56/00	同期
H04W56/0005	
H04W56/001	
H04W56/0015	
H04W56/002	
H04W56/0025	
H04W56/003	
H04W56/0035	
H04W56/004	
H04W56/0045	
H04W56/005	
H04W56/0055	
H04W56/006	
H04W56/0065	
H04W56/007	
H04W56/0075	
H04W56/008	
H04W56/0085	
H04W56/009	
H04W56/0095	
H04W60/00	位置登録，例．ネットワークへの加入；位置登録の解除、例．加入の終了
H04W60/001	
H04W60/002	
H04W60/005	
H04W60/02	定期的な位置登録
H04W60/04	トリガーとなるイベントを利用するもの
H04W60/06	位置登録の解除またはデタッチ
H04W64/00	ネットワーク管理，例．モビリティマネージメント，のためのユーザまたは端末の位置検出
H04W64/003	
H04W64/006	
H04W68/00	ユーザへの呼び出し，例．着信またはサービス変更の通知
H04W68/005	
H04W68/02	通知または呼び出しチャネルの効率を向上させる技術
H04W68/025	
H04W68/04	モビリティデータの統計または履歴を用いたマルチステップの通知
H04W68/06	通知エリアを変えることによるマルチステップの通知
H04W68/08	通知エリアを広げていくことによるマルチステップの通知
H04W68/10	同時放送される通知を利用するもの
H04W68/12	複数ネットワーク間の呼び出し
H04W72/00	ローカルリソースマネージメント，例．無線リソースの選択または割り当てまたは無線トラヒックスケジューリング
H04W72/02	ユーザまたは端末による無線リソースの選択
H04W72/04	無線リソース割り当て
H04W72/044	
H04W72/0446	
H04W72/0453	
H04W72/0457	
H04W72/046	
H04W72/0466	
H04W72/0473	
H04W72/11	
H04W72/115	
H04W72/12	｛無線トラヒックスケジューリング｝
H04W72/121	
H04W72/1215	
H04W72/1221	
H04W72/1263	
H04W72/1268	
H04W72/1273	
H04W72/20	
H04W72/21	
H04W72/23	
H04W72/231	
H04W72/232	
H04W72/25	
H04W72/27	
H04W72/29	
H04W72/30	
H04W72/40	
H04W72/50	
H04W72/51	
H04W72/512	
H04W72/52	
H04W72/53	
H04W72/535	
H04W72/54	
H04W72/541	
H04W72/542	
H04W72/543	
H04W72/56	
H04W72/563	
H04W72/566	
H04W72/569	
H04W74/00	無線チャネルアクセス，例．スケジュールされたアクセスまたはランダムアクセス
H04W74/002	
H04W74/004	
H04W74/006	
H04W74/02	ハイブリッドアクセス技術
H04W74/04	スケジュールされたアクセス
H04W74/06	ポーリングを使用するもの
H04W74/08	スケジュールによらない接続，例．ランダムアクセス，ＡＬＯＨＡまたはＣＳＭＡ
H04W74/0808	
H04W74/0816	
H04W74/0825	
H04W74/0833	
H04W74/0836	
H04W74/0838	
H04W74/0841	
H04W74/085	
H04W74/0858	
H04W74/0866	
H04W74/0875	
H04W74/0883	
H04W74/0891	
H04W76/00	接続管理，例．接続の設定，解除または接続中制御
H04W76/10	
H04W76/11	
H04W76/12	
H04W76/14	
H04W76/15	
H04W76/16	
H04W76/18	
H04W76/19	
H04W76/20	
H04W76/22	
H04W76/23	
H04W76/25	
H04W76/27	
H04W76/28	
H04W76/30	
H04W76/32	
H04W76/34	
H04W76/36	
H04W76/38	
H04W76/40	
H04W76/45	
H04W76/50	
H04W80/00	無線ネットワークプロトコル，ワイヤレスオペレーションのためのプロトコルアダプテーション
H04W80/02	データリンクレイヤプロトコル
H04W80/04	ネットワークレイヤプロトコル，例．Ｍｏｂｉｌｅ　ＩＰ
H04W80/045	
H04W80/06	トランスポートレイヤプロトコル，例．ＴＣＰ　ｏｖｅｒ　ｗｉｒｅｌｅｓｓ
H04W80/08	上位レイヤプロトコル
H04W80/085	
H04W80/10	セッション管理に適用されるもの，例．ＳＩＰ[Ｓｅｓｓｉｏｎ　Ｉｎｉｔｉａｔｉｏｎ　Ｐｒｏｔｏｃｏｌ｝
H04W80/12	アプリケーションレイヤプロトコル，例．ＷＡＰ
H04W84/00	ネットワークトポロジ
H04W84/005	
H04W84/02	事前に構築された階層構造のネットワーク、例．ページングネットワーク、セルラーネットワーク、ＷＬＡＮまたはＷＬＬ
H04W84/022	
H04W84/025	
H04W84/027	
H04W84/04	大きい規模のネットワーク；深い階層のネットワーク
H04W84/042	
H04W84/045	
H04W84/047	
H04W84/06	空中または衛星ネットワーク
H04W84/08	トランク移動無線システム
H04W84/10	小さい規模のネットワーク；単一階層のネットワーク
H04W84/105	
H04W84/12	無線ＬＡＮ
H04W84/14	ＷＬＬ[ワイヤレスローカルループ｝；ＲＬＬ[ラジオローカルループ｝
H04W84/16	ワイヤレスＰＢＸ
H04W84/18	自律分散型ネットワーク，例．アドホックネットワークまたはセンサーネットワーク
H04W84/20	マスタ・スレーブ装置
H04W84/22	有線ネットワークと接続するもの
H04W88/00	無線通信ネットワークに特に適合する装置，例．端末装置，基地局装置またはアクセスポイント装置
H04W88/005	
H04W88/02	端末装置
H04W88/021	
H04W88/022	
H04W88/023	
H04W88/025	
H04W88/026	
H04W88/027	
H04W88/028	
H04W88/04	他の端末またはユーザに中継するもの
H04W88/06	複数のネットワークでの運用に適応したもの，例．マルチモード端末
H04W88/08	アクセスポイント装置
H04W88/085	
H04W88/10	複数のネットワークでの運用に適応したもの，例．マルチモードアクセスポイント
H04W88/12	アクセスポイント制御装置
H04W88/14	バックボーンネットワークの装置
H04W88/16	ゲートウェイ装置
H04W88/18	サービスサポート；ネットワーク管理装置
H04W88/181	
H04W88/182	
H04W88/184	
H04W88/185	
H04W88/187	
H04W88/188	
H04W92/00	無線通信ネットワークに特に適合するインターフェース
H04W92/02	ネットワーク間の装置
H04W92/04	階層の異なるネットワーク装置間のインターフェース
H04W92/045	
H04W92/06	ゲートウェイと公衆ネットワークの装置間のインターフェース
H04W92/08	ユーザと端末装置間のインターフェース
H04W92/10	端末装置とアクセスポイント間のインターフェース，すなわち無線エアーインターフェース
H04W92/12	アクセスポイントとアクセスポイント制御装置間のインターフェース
H04W92/14	アクセスポイント制御装置とバックボーンネットワークの装置間のインターフェース
H04W92/16	階層的に類似したデバイス間のインターフェース
H04W92/18	端末装置間のインターフェース
H04W92/20	アクセスポイント間のインターフェース
H04W92/22	アクセスポイント制御装置間のインターフェース
H04W92/24	バックボーンネットワークの装置間のインターフェース
H04W99/00	このサブクラスの他のグループに属さない主題事項
