A63H18/028	｛ルーピング；ジャンピング；傾斜軌道部分｝
A63H18/04	丘を上り下りする軌道（Ａ６３Ｈ１８／０６が優先）
A63H18/06	軌道の傾斜部の変化によって乗物の動作をひき起こすように設計されているもの
A63H18/08	案内または操縦のための機械的手段を有するもの
A63H18/10	操縦のための磁気的手段を有するもの
A63H18/12	軌道を通して乗物玩具に電流を流すもの
A63H18/14	軌道に設備された駆動装置，例．循環運搬手段，磁石，駆動円盤
A63H18/16	乗物と軌道間の相互作用による乗物の操縦制御；乗物による軌道素子の制御
A63H2018/165	軌道上の車両の嵌着を改善する手段，例．磁力を用いるもの
A63H19/00	鉄道模形（乗物と軌道間の特殊な相互作用により走行するものＡ６３Ｈ１８／００）
A63H19/02	機関車；電車，気動車
A63H19/04	バネで動くもの
A63H19/06	蒸気で動かされる機関車；そのエンジン
A63H19/08	機関車のためのボイラー
A63H19/10	電気的に動かされるもの
A63H19/12	電気的逆転歯車を有するもの
A63H19/14	模倣機関車のための装置，例．汽笛を鳴らすもの，信号するもの，煙をはくもの
A63H19/15	特殊な形の車輌
A63H19/16	鉄道模形乗物のための部品
A63H19/18	車両連結または連結を解く装置
A63H19/20	照明装置
A63H19/22	車輪；車輪軸；鉄道車両用車台
A63H19/24	電気的玩具の鉄道，そのためのシステム
A63H2019/243	衝突防止システム
A63H2019/246	リモートコントロール
A63H19/26	頭上にトロリー電線を有する乗物玩具；トロリーバス
A63H19/28	機械的玩具レール系
A63H19/30	軌道；レール；レールの継目接続
A63H19/32	スイッチまたは転てつ器；その作動装置
A63H19/34	橋；駅；信号系
A63H19/36	鉄道模形の構造，例．容器内または板金上の数個の装置または玩具の目的のための背景と結合したもの（一般的目的のための模形または背景Ｇ０９Ｂ）
A63H2019/365	車両をレールに載せるまたはレールから取り外すための装置，例．ランプ
A63H21/00	他の鉄道玩具
A63H21/02	ケーブルまたはレールにつるされる乗物を有するもの
A63H21/04	モノレール，例．サドルの形態でレールをはさむ乗物を有するもの（Ａ６３Ｈ２１／０２が優先）
A63H23/00	ボート玩具；浮遊玩具；他の水上玩具装置
A63H23/005	｛組み立てるための部品から製造されるもの｝
A63H23/02	ボート；帆船
A63H23/04	自力で進むボート，船または潜水艦
A63H23/06	噴射推進式のもの
A63H23/08	浮沈人形またはその他のもぐり人形
