H01R9/15	電線巻付のための接続器
H01R9/16	基板またはケースへの接続部品の固着；基板またはケースとの接続部品の絶縁）
H01R9/18	ねじまたはナットによる固着
H01R9/20	リベットまたははとめによる固着
H01R9/22	基台（例．片，ブロック，パネル）｛（印刷回路用のものＨ０１Ｒ１２／５０）｝
H01R9/223	｛端子用の絶縁密封箱（開閉器用Ｈ０１Ｈ９／０２６４）｝
H01R9/226	｛電線同士または構成部品同士の接続を行う複数の導電平形片からなるもの（Ｈ０１Ｒ９／２４２５が優先）｝
H01R9/24	端子ブロック
H01R9/2408	｛モジュラーブロック（Ｈ０１Ｒ９／２６が優先）｝
H01R9/2416	｛端子ブロックに接続される電線またはケーブルを案内または保持するための手段｝
H01R9/2425	｛組込構成部品との構造的な集合体（接続部品用Ｈ０１Ｒ１３／６６）｝
H01R9/2433	｛組込開閉器付きのもの｝
H01R9/2441	｛組込過電圧保護を備えたもの｝
H01R9/245	｛組込ヒューズ付きのもの｝
H01R9/2458	｛端子ブロック同士間の電気的相互接続｝
H01R9/2466	｛平面導電構造体，例．印刷基板，を用いるもの｝
H01R9/2475	｛正確な配線を容易にするための手段，例．表示板，識別下げ札｝
H01R9/2483	｛特に接地接続のために特に適合するもの｝
H01R9/2491	｛プラグまたはソケットと構造的に組合せた端子ブロック｝
H01R9/26	並行してレールまたは片に取り付けるためのクリップ型端子ブロック
H01R9/2608	｛支持レールまたは細片上に取り付けるための固着手段（Ｈ０１Ｒ９／２６９１が優先；開閉器または他の電気装置Ｈ０２Ｂ１／０４２）｝
H01R9/2616	｛末端締付け部材｝
H01R9/2625	｛組込電気部品を備えたもの｝
H01R9/2633	｛組込開閉器を備えたもの｝
H01R9/2641	｛組込過電圧保護装置を備えたもの｝
H01R9/265	｛組込ヒューズ付きのもの｝
H01R9/2658	｛組込データバス接続を備えたもの｝
H01R9/2666	｛組込テストポイントを備えたもの｝
H01R9/2675	｛２つのブロック間の電気的相互接続，例．ブスバーの手段によるもの｝
H01R9/2683	｛表示板またはタグ｝
H01R9/2691	｛レールへの接地接続を備えたもの｝
H01R9/28	端子板
H01R11/00	互いに接続される導電部材用の，間隔をあけた２つ以上の接続箇所を有する個々の接続部材，例．電線またはケーブルによって支持され，かつ，他の電線，端子，導電部材への電気接続を容易にするための手段を備えた，電線またはケーブルのための端子片，締付け端子柱ブロック
H01R11/01	接続位置間の導電相互接続の形状または配列に特徴があるもの
H01R11/03	接続位置間の関連によって特徴づけられるもの（Ｈ０１Ｒ１１／１１が優先）
H01R11/05	接続位置が異なる型の直接接続を有するもの
H01R11/07	接続位置が同一の型で異なる大きさであるもの
H01R11/09	接続位置が同一であるもの
H01R11/11	電線により支持されかつ他の電線，端子または導電部材への電気接続を容易にするための端子片または接続片（Ｈ０１Ｒ１１／０１が優先）
H01R11/12	先端が環形，フック形またはフォーク形になっている端子片
H01R11/14	架空または他の懸垂線に引掛けられるフック，例．活線クランプ
H01R11/15	ねじクランプの形のフック
H01R11/16	先端がはんだ付チップまたはソケットになっている端子片
H01R11/18	先端が探針になっている端子片
H01R11/20	先端が絶縁体またはケーブル撚線をつきさす針状または類似の接触子となっている端子片
H01R11/22	先端がスプリングクリップになっている端子片
H01R11/24	把持顎をもつもの，例．わにぐちクリップ
H01R11/26	先端がねじクランプ，ねじまたはナットになっている端子片
H01R11/28	口輪またはスリーブからなる端子片
