H05H1/00	プラズマの発生；プラズマの取扱い
H05H7/06	２ビーム装置；多ビーム装置　｛蓄積リング｝；電子リング
H05H2007/065	
H05H7/08	粒子を軌道に入射させるための装置
H05H2007/081	
H05H2007/082	
H05H2007/084	
H05H2007/085	
H05H2007/087	
H05H2007/088	
H05H7/10	粒子を軌道から放出させるための装置
H05H7/12	ビームの最終エネルギを変更させる装置
H05H2007/122	
H05H2007/125	
H05H2007/127	
H05H7/14	真空室（Ｈ０５Ｈ５／０３が優先する）
H05H7/16	導波管型のもの
H05H7/18	空胴；共振器　｛（進行波管Ｈ０１Ｊ２３／１８；ハイパー周波数空洞一般Ｈ０１Ｐ７／０４；Ｈ０１Ｐ７／０６）｝
H05H7/20	超電導壁を有するもの
H05H7/22	線形加速器の細部，例．ドリフト管（Ｈ０５Ｈ７／０２からＨ０５Ｈ７／２０が優先する）
H05H2007/222	
H05H2007/225	
H05H2007/227	
H05H9/00	線形加速器（Ｈ０５Ｈ１１／００が優先する）
H05H9/005	
H05H9/02	進行波型線形加速器　｛進行波管Ｈ０１Ｊ２５／３４｝
H05H9/04	定在波型線形加速器
H05H9/041	
H05H9/042	
H05H9/044	
H05H9/045	
H05H9/047	
H05H9/048	
H05H11/00	磁気誘導型加速器，例．ベータトロン
H05H11/02	空心型ベータトロン
H05H11/04	偏倚型ベータトロン
H05H13/00	磁気共振型加速器；サイクロトロン　｛（ストロホトロン，タービン管Ｈ０１Ｊ２５／６２）｝
H05H13/005	
H05H13/02	シンクロサイクロトロン，すなわちＦＭサイクロトロン
H05H13/04	シンクロトロン
H05H13/06	空心型磁気共振型加速器
H05H13/08	ＡＧ磁気共振型加速器
H05H13/085	
H05H13/10	荷電粒子を最初の加速部に平行な軌道に戻すための１つまたは複数の線型加速部および湾曲磁石または類似のものから成る加速器，例．マイクロトロン
H05H15/00	荷電粒子の他に分類されない加速方法または装置
H05H2240/00	
H05H2240/10	
H05H2240/20	
H05H2242/00	
H05H2242/10	
H05H2242/20	
H05H2242/22	
H05H2242/24	
H05H2242/26	
H05H2245/00	
H05H2245/10	
H05H2245/15	
H05H2245/17	
H05H2245/20	
H05H2245/30	
H05H2245/32	
H05H2245/34	
H05H2245/36	
H05H2245/40	
H05H2245/42	
H05H2245/50	
H05H2245/60	
H05H2245/70	
H05H2245/80	
H05H2277/00	
H05H2277/10	
H05H2277/11	
H05H2277/113	
H05H2277/116	
H05H2277/12	
H05H2277/13	
H05H2277/14	
H05H2277/1405	
