D01F11/122	｛酸素，酸素発生化合物（酸化陽極Ｄ０１Ｆ１１／１６）｝
D01F11/123	｛酸化物｝
D01F11/124	｛硼素，硼化物，窒化硼素｝
D01F11/125	｛炭素｝
D01F11/126	｛カーバイド（硼素を包括する化合物Ｄ０１Ｆ１１／１２４；窒素カーバイドＤ０１Ｆ１１／１２８）｝
D01F11/127	｛金属（電気分解による金属蒸着Ｄ０１Ｆ１１／１６；強化炭素繊維を持つ合金Ｃ２２Ｃ４９／１４）｝
D01F11/128	｛窒化物，窒素カーバイド（窒素硼化物Ｄ０１Ｆ１１／１２４）｝
D01F11/129	｛挿入された炭素または黒鉛の繊維｝
D01F11/14	有機化合物，例．高分子化合物，によるもの
D01F11/16	物理化学的方法によるもの
D01F13/00	人造フィラメントまたは類似物の製造における出発物質，廃物または溶媒の回収
D01F13/02	セルロース，セルロース誘導体または蛋白質についてのもの｛（凝固浴そうからの硫酸ナトリウムの回収Ｃ０１Ｄ５／００６）｝
D01F13/04	合成重合体についてのもの
