C09K11/0811	｛ＺｎまたはＣｄとともに｝
C09K11/0816	｛アルカリ土類金属とともに｝
C09K11/0822	｛希土類金属とともに｝
C09K11/0827	｛ハロゲン化物　（Ｃ０９Ｋ１１／０８０５，　Ｃ０９Ｋ１１／０８３８から　Ｃ０９Ｋ１１／０８９４が優先）｝
C09K11/0833	｛アルカリまたはアルカリ土類金属とともに｝
C09K11/0838	｛アルミン酸塩；　けい酸塩｝
C09K11/0844	｛ゲルマニウム酸塩｝
C09K11/085	｛バナジン酸塩｝
C09K11/0855	｛りん酸塩｝
C09K11/0861	｛アルカリ土類金属とともに｝
C09K11/0866	｛ハロゲンとともに｝
C09K11/0872	｛希土類金属とともに｝
C09K11/0877	｛ほう酸塩｝
C09K11/0883	｛ヒ化物；　窒化物；　りん化物｝
C09K11/0888	｛硫酸塩｝
C09K11/0894	｛アンチモン酸塩；　ヒ酸塩｝
C09K11/54	亜鉛またはカドミウムを含むもの
C09K11/55	ベリリウム，マグネシウム，アルカリ金属またはアルカリ土類金属を含むもの
C09K11/56	硫黄を含むもの
C09K11/562	｛カルコゲニド｝
C09K11/565	｛亜鉛カドミウムを有するもの｝
C09K11/567	｛アルカリ土類金属を有するもの｝
C09K11/57	マンガンまたはレニウムを含むもの
C09K11/572	｛カルコゲニド｝
C09K11/574	｛亜鉛またはカドミウムを有するもの｝
C09K11/576	｛アルカリ土類金属を有するもの｝
C09K11/578	｛硫酸塩｝
C09K11/58	銅，銀または金を含むもの
C09K11/582	｛カルコゲニド｝
C09K11/584	｛亜鉛またはカドミウムを有するもの｝
C09K11/586	アルカリ土類金属を有するもの
C09K11/588	｛硫酸塩｝
C09K11/59	ケイ素を含むもの
C09K11/592	｛カルコゲニド｝
C09K11/595	｛亜鉛またはカドミウムを有するもの｝
C09K11/597	｛硫酸塩｝
C09K11/60	鉄，コバルトまたはニッケルを含むもの
C09K11/602	｛カルコゲニド｝
C09K11/605	｛亜鉛またはカドミウムを有するもの｝
C09K11/607	｛硫酸塩｝
C09K11/61	フッ素，塩素，臭素，ヨウ素または不特定のハロゲン元素を含むもの
C09K11/611	｛カルコゲニド｝
C09K11/612	｛亜鉛またはカドミウムを有するもの｝
C09K11/613	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/615	｛ハロゲン化物（Ｃ０９Ｋ１１／６１７およびＣ０９Ｋ１１／６１８が優先）｝
C09K11/616	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/617	｛｛ケイ酸塩｝
C09K11/618	｛硫酸塩｝
C09K11/62	ガリウム，インジウムまたはタリウムを含むもの
C09K11/621	｛カルコゲニド｝
C09K11/623	｛亜鉛またはカドミウムを有するもの｝
C09K11/625	｛アルカリ土類金属を有するもの｝
