H03F3/3013	｛共通ドレイン駆動ステージを用いるもの，すなわちホロワステージ｝
H03F3/3015	｛共通ソース駆動ステージを用いるもの，すなわち反転ステージ｝
H03F3/3016	｛最終ステージの対称駆動をもつもの｝
H03F3/3018	｛駆動ステージにオペアンプを用いるもの｝
H03F3/302	｛２個のＳＥＰＰ駆動ステージを用いるもの｝
H03F3/3022	｛ＣＭＯＳ共通ソース出力ＳＥＰＰ増幅器（Ｈ０３Ｆ３／３００８が優先）｝
H03F3/3023	｛最終ステージの非対称運転をもつもの｝
H03F3/3025	｛共通ドレイン駆動ステージを用いるもの，すなわちホロワステージ｝
H03F3/3027	｛共通ソース駆動ステージを用いるもの，すなわち反転ステージ｝
H03F3/3028	｛最終ステージの対称駆動をもつもの｝
H03F3/303	｛駆動ステージにオペアンプを用いるもの｝
H03F3/3032	｛２個のＳＥＰＰ駆動ステージを用いるもの｝
H03F3/3033	｛ＮＭＯＳ　ＳＥＰＰ出力ステージ（Ｈ０３Ｆ３／３００８が優先）｝
H03F3/3035	｛分相素子として差動増幅器を用いるもの｝
H03F3/3037	｛非対称制御をもつもの，すなわち補助位相反転ステージを含む１個の制御分岐｝
H03F3/3038	｛ＰＭＯＳ　ＳＥＰＰ出力ステージ（Ｈ０３Ｆ３／３００８が優先）｝
H03F3/304	｛分相素子として差動増幅器を用いるもの｝
H03F3/3042	｛非対称制御をもつもの，すなわち補助位相反転ステージを含む１個の制御分岐｝
H03F3/3044	｛接合形ＦＥＴ出力段（Ｈ０３Ｆ３／３００８が優先）｝
H03F3/3045	｛最終ステージの非対称運転をもつもの｝
H03F3/3047	｛共通ドレイン駆動ステージを用いるもの，すなわちホロワステージ｝
H03F3/3049	｛共通ソース駆動ステージを用いるもの，すなわち反転ステージ｝
H03F3/305	｛最終ステージの対称駆動をもつもの｝
H03F3/3052	｛運転ステージにオペアンプを用いるもの｝
H03F3/3054	｛２個のＳＥＰＰ駆動ステージを用いるもの｝
