A61H2201/5028	コンタクトの有効化，すなわち，処置される使用者の表面と接触して活性化されるもの
A61H2201/503	慣性活性化，すなわち，運動によって活性化されるもの
A61H2201/5033	固定された単一のプログラムを有するもの
A61H2201/5035	選択可能な複数のプログラムを有するもの
A61H2201/5038	使用者によって自由にプログラム可能なもの
A61H2201/5041	制御が特定の個人に制限されるもの
A61H2201/5043	ディスプレイ
A61H2201/5046	タッチスクリーン
A61H2201/5048	オーディオインターフェイス，例．音声または音楽を制御するもの
A61H2201/5051	液圧的制御
A61H2201/5053	機械的制御
A61H2201/5056	空気圧的制御
A61H2201/5058	センサまたは検出器
A61H2201/5061	力センサ
A61H2201/5064	位置センサ
A61H2201/5066	リミットスイッチ
A61H2201/5069	角度センサ
A61H2201/5071	圧力センサ
A61H2201/5074	比例出力の電気圧力変換器を使用する
A61H2201/5076	周波数センサ
A61H2201/5079	速度センサ
A61H2201/5082	温度センサ
A61H2201/5084	加速度センサ
A61H2201/5087	流量センサ
A61H2201/5089	ガスセンサ，例．酸素または二酸化炭素
A61H2201/5092	光学センサ
A61H2201/5094	患者のマーカー（標識）によるもの
A61H2201/5097	ワイヤレス
A61H2203/00	患者に関する付加的特徴
A61H2203/02	液体に浸したもの（使用されないもの３３／００）
A61H2203/03	特に動物に適合するもの
A61H2203/04	患者の姿勢
A61H2203/0406	直立するもの
A61H2203/0412	ひざまづくこと
A61H2203/0418	しゃがむこと，すなわち踵の上に座ること
A61H2203/0425	臀部の上に座ること
A61H2203/0431	椅子に座っているような，９０度／９０度の位置にあるもの
A61H2203/0437	ベッドに入っているような，脚を伸ばした状態のもの
A61H2203/0443	実質的に水平なもの（使用されないもの）
A61H2203/045	脚が９０度／９０度の位置でひざまづいた状態のもの
A61H2203/0456	仰臥のもの
A61H2203/0462	脚を伸ばし腰を９０度の姿勢にしたもの
A61H2203/0468	平伏したもの
A61H2203/0475	側面を上にしたもの
A61H2203/0481	懸垂状のもの
A61H2203/0487	直立したもの
A61H2203/0493	患者をうつぶせにまたは下向きに傾けて懸垂するもの
A61H2205/00	身体の特定部位のための装置（Ａ６１Ｈ１／０２，Ａ６１Ｈ１３／００，Ａ６１Ｈ１９／００，Ａ６１Ｈ２１／００，Ａ６１Ｈ３５／００が優先）
A61H2205/02	頭部
A61H2205/021	頭皮
A61H2205/022	顔面
A61H2205/023	鼻
A61H2205/024	目
A61H2205/025	前頭
A61H2205/026	下顎
A61H2205/027	耳
A61H2205/028	側頭（こめかみ）
A61H2205/04	頚部
A61H2205/06	腕
A61H2205/062	肩部
A61H2205/065	手
A61H2205/067	手指
A61H2205/08	体幹
A61H2205/081	背部
A61H2205/082	乳房
A61H2205/083	腹部
A61H2205/084	胸部
A61H2205/085	股部
A61H2205/086	股部，臀部，生殖器
A61H2205/087	生殖器
A61H2205/088	腰
A61H2205/10	脚部
A61H2205/102	膝
A61H2205/104	膝蓋
A61H2205/106	下脚用
A61H2205/108	上脚用
A61H2205/12	足
A61H2205/125	足の反射帯
A61H2207/00	抗セルライト装置
A61H2209/00	血流停滞，例．深部静脈血栓症［ＤＶＴ］のための装置
A61H2230/00	使用者の肉体的パラメーターの計測<br><br><br><u>注</u><br><br>標題に続く＋Ａは以下のことを表す:装置のための制御パラメーターとして使用されるもの
A61H2230/04	心拍特性，例．Ｅ．Ｇ．Ｃ．，血圧調節
A61H2230/045	装置の制御パラメータとして使用されるもの
A61H2230/06	心拍数のみのもの
A61H2230/065	装置の制御パラメータとして使用されるもの
A61H2230/08	他の生体電気信号
A61H2230/085	装置の制御パラメータとして使用されるもの
A61H2230/10	脳波計の信号
A61H2230/105	装置の制御パラメータとして使用されるもの
A61H2230/20	血液組成特性
A61H2230/201	装置の制御パラメータとして使用されるもの
A61H2230/202	ブドウ糖
A61H2230/203	装置の制御パラメータとして使用されるもの
A61H2230/205	部分ＣＯ２値
A61H2230/206	装置の制御パラメータとして使用されるもの
A61H2230/207	部分Ｏ２値
A61H2230/208	装置の制御パラメータとして使用されるもの
A61H2230/25	血液流量，例．ドプラー効果によるもの
A61H2230/255	装置の制御パラメータとして使用されるもの
A61H2230/30	血圧（Ａ６１Ｈ２２３０／０４が優先）
A61H2230/305	装置の制御パラメータとして使用されるもの（Ａ６１Ｈ２２３０／０４５優先）
A61H2230/40	呼吸特性
A61H2230/405	装置の制御パラメータとして使用されるもの
A61H2230/42	速度
A61H2230/425	装置の制御パラメータとして使用されるもの
A61H2230/50	温度
A61H2230/505	装置の制御パラメータとして使用されるもの
A61H2230/60	筋肉緊張，すなわち使用者に対して計測されるもの
A61H2230/605	装置の制御パラメータとして使用されるもの
A61H2230/62	姿勢
A61H2230/625	装置の制御パラメータとして使用されるもの
A61H2230/65	インピーダンス，例．皮膚伝導率，静電容量
A61H2230/655	装置の制御パラメータとして使用されるもの
A61H2230/70	体脂肪率
A61H2230/705	装置の制御パラメータとして使用されるもの
A61H2230/80	体重
A61H2230/805	装置の制御パラメータとして使用されるもの
A61H2230/82	丈，例．長さ
A61H2230/825	装置の制御パラメータとして使用されるもの
A61H2230/85	身体の輪郭
A61H2230/855	装置の制御パラメータとして使用されるもの
