B26B21/227	｛転換できるユニットに弾性的に装着された刃をもつもの｝
B26B21/24	マガジン型のもの；インジェクター型のもの（かみそりの刃を貯蔵するための容器Ａ４５Ｄ２７／２４）
B26B21/26	連続したリボン型のもの
B26B21/28	引抜き切断型のもの，すなわち，柄に対して傾斜して配設された刃の切刃をもつもの
B26B21/30	旋回載置された蓋をもっている型のもの
B26B21/32	かみそりの中に両刃の刃をもっているもの
B26B21/34	ローラーをもっている型のもの
B26B21/36	刃を往復動させるための装備をもつもの（バリカンと乾式かみそりの切断部片を往復動するものＢ２６Ｂ１９／００）
B26B21/38	ローラー以外の手段によって刃を往復動するための装備をもつもの（バリカンと乾式かみそりの切断部片を往復動するものＢ２６Ｂ１９／００）
B26B21/40	細部と付属具
B26B21/4006	｛不連続の切断刃をもつ刃または刃ユニット，例．ワイヤが巻かれた切欠｝
B26B21/4012	
B26B21/4018	
B26B21/4025	
B26B21/4031	
B26B21/4037	
B26B21/4043	
B26B21/405	
B26B21/4056	
B26B21/4062	
B26B21/4068	
B26B21/4075	
B26B21/4081	
B26B21/4087	
B26B21/4093	
B26B21/42	予め選んだまたは可変の長さの毛髪を切断するためのもの（調髪装置用として特に適合したくし，型板または案内Ａ４５Ｄ２４／３６）
B26B21/44	ひげそりクリーム，止血剤，あるいはそれに類するものを備えるための，かみそりと一体のまたはかみそりに付属した手段
B26B21/443	｛かみそりの柄に格納されたひげそり補助具をもつもの｝
B26B21/446	
B26B21/46	皮膚を照明するためのもの（Ｂ２６Ｂ１９／４６が優先）
B26B21/48	加熱手段
B26B21/50	刃をとぐためのかみそりと一体のまたはかみそりに付属した手段
B26B21/52	柄，例．傾けることができるもの，可とう性のもの　｛（柄および柄の取付け一般Ｂ２５Ｇ）｝
B26B21/521	
B26B21/522	
B26B21/523	
B26B21/525	
B26B21/526	
B26B21/527	
B26B21/528	
B26B21/54	かみそり刃　｛（Ｂ２６Ｂ２１／４００６が優先）｝
B26B21/56	形状によって特徴づけられたもの
B26B21/565	
B26B21/58	素材によって特徴づけられたもの
B26B21/60	被覆材料によって特徴づけられたもの
B26B23/00	おの；手おの　｛（柄の取付けＢ２５Ｇ）｝
B26B25/00	円板状の刃をもった手持ち切断工具，例．モータ駆動工具（作動に特別の関連をもたない携帯用動力駆動工具の細部または要素，例．ケーシング，本体，Ｂ２５Ｆ５／００）
B26B25/002	｛回転する円環状の刃をもつモーターで駆動されるナイフ｝
B26B25/005	
B26B25/007	
B26B27/00	上述のグループに属さない手持ち切断工具，例．糸切断用指輪，ワイヤによる切断用装置
B26B27/002	｛ワイヤを切断手段として用いる道具｝
B26B27/005	｛カートン開口装置｝
B26B27/007	｛手または指に取り付けるために特に設計された柄をもつ切断工具，例．指貫｝
B26B29/00	手持ち切断工具のためのつばまたはさや｛または案内｝；手持ち切断工具を案内するための装置（散髪用バリカンまたは乾式かみそりのための保護具Ｂ２６Ｂ１９／３８）
B26B29/02	ナイフ用保護具またはさや
B26B29/025	
B26B29/04	はさみ用保護具またはさや，例．マニキュア用具と結合したもの（マニキュア道具それ自体Ａ４５Ｄ２９／００）
B26B29/06	手持ち切断工具を案内するための装置（特定の切断工具案内用具または装置，個々の箇所参照，例．髪仕上げ装置のためのものはＡ４５Ｄ２４／３６，鋸歯のためのものはＢ２７Ｂ１１／０２，Ｂ２６Ｂ１３／１０）
B26B29/063	
B26B2029/066	パンを薄く切るためのもの
