F23B  80/02	・	燃焼室へまたは燃焼ゾーンへ燃焼排ガスを再循環するもの［８］	by means for returning flue gases to the combustion chamber or to the combustion zone	809
F23B  80/04	・	燃焼排ガスの流れを案内するための手段によるもの，例．バッフル［８］	by means for guiding the flow of flue gases, e.g. baffles	441
F23B  90/00		装置の種類によらない燃焼方法［８，２０１１．０１］	Combustion methods not related to a particular type of apparatus	591
F23B  90/02	・	始動技術［２０１１．０１］	Start-up techniques	73
F23B  90/04	・	二次燃焼を含むもの（分離した燃焼室内で行われるものＦ２３Ｂ１０／０２）［２０１１．０１］	including secondary combustion(in separate combustion chambers F23B10/02)	281
F23B  90/06	・・	一次燃焼が還元雰囲気下でのガス化または乾留であるもの［２０１１．０１］	the primary combustion being a gasification or pyrolysis in a reductive atmosphere	1175
F23B  90/08	・・	触媒を用いるもの［２０１１．０１］	in the presence of catalytic material	49
F23B  99/00		このサブクラスの他のグループに分類されない主題事項［８］	Subject matter not provided for in other groups of this subclass	1451
F23B 101/00		燃焼室がボイラ容器内に設置されている，例．冷却面に囲まれているもの，燃焼装置のボイラへの適用［８］	Adaptation of combustion apparatus to boilers in which the combustion chamber is situated inside the boiler vessel, e.g. surrounded by cooled surfaces	114
F23B 103/00		ボイラの開口部内または開口部に向けて設置するための，例．オイルバーナに換えて使用するための，燃焼装置の適用［８］	Adaptation of combustion apparatus for placement in or against an opening of a boiler, e.g. for replacing an oil burner	9
F23B 103/02	・	本質的に水平な炎を作成するためのもの［８］	for producing an essentially horizontal flame	6
