B		処理操作；運輸	PERFORMING OPERATIONS; TRANSPORTING	
B42F		一時的に一緒に取付けられたシート；ファイリング用具；ファイリングカード；索引（読書用机Ａ４７Ｂ１９／００；書見台Ａ４７Ｂ２３／００）<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の表現は以下に示す意味で用いる：<br>―“ファイリング用具”という語は各紙，シート，カード，単位体が個々に挿入され抜き取り可能である，紙，シート，カード，単位体の集合体のための保持具を意味する。この表現はカレンダー，使用説明書，または通信書簡を含むことができる。<br><b><ul>サブクラス内の索引</ul></b><br>共に取付けられたシート；穴のないもの；穴を用いるもの　１／００；３／００；５／００<br>ファイリング用具<br>締め金装置をもたないもの　７／００<br>締め金装置をもつもの：分れた支持具をもつもの，穴を用いるもの　９／００；１１／００；１３／００<br>懸垂ファイリング　１５／００<br>カード用の特殊のもの；ファイリングカード　１７／００；１９／００<br>他のファイリング用具　２３／００<br>索引装置　２１／００	SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING(reading desks A47B19/00; book rests A47B23/00);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following expression is used with the meaning indicated:"filing appliance" means holders for collections of papers, sheets, cards, or units thereof, each paper, sheet, card, or unit being individually insertable and extractable. This expression may thus include a calendar, an instruction manual, or a letter file.<br><br><b><u>Subclass indexes</u></b><br><br><br>SHEETS ATTACHED TOGETHER: WITHOUT PERFORATING; USING PERFORATIONS; TO OBJECTS B42F1/00; B42F3/00; B42F5/00<br>FILING APPLIANCES<br>Without fastening means B42F7/00<br>With fastening means: with clamping action; with separate holding means; using perforations B42F9/00; B42F11/00; B42F13/00<br>Suspended B42F15/00<br>Special for cards; file cards B42F17/00; B42F19/00<br>Other filing appliances B42F23/00<br>INDEXING MEANS B42F21/00	1651
B43		筆記用または製図用の器具；机上付属具	WRITING OR DRAWING IMPLEMENTS; BUREAU ACCESSORIES	
B43K		筆記用または製図用の器具（化粧品，例．ひげそりせっけん；棒口紅，メーキャップ用品などの容器，ケースまたは付属品Ａ４５Ｄ３４／００，Ａ４５Ｄ４０／００）<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の表現は以下に示す意味で用いる：［６］<br>―“筆記具”という語は，筆記または製図用のペン，鉛筆，クレヨン，白黒または類似の印をつけるものを含む。［６］<br><b><ul>サブクラス内の索引</ul></b><br>芯をもった器具<br>機構的でないもの　１９／００<br>機構的なもの　２１／００<br>補助的なもの　２３／００，２５／００<br>インキを使用する器具<br>貯蔵部をもたないもの　３／００<br>貯蔵部をもったもの　５／００，７／００，８／００<br>ペン先；充てん装置；キャップ　１／００，１７／００；１１／００；２３／００<br>製作，メンテナンス　１３／００，１５／００<br>筆記体の選択，突出，引込みまたは固定について　２４／００<br>複数尖端筆記具　２７／００<br>組合せ<br>他の物品をもったもの　２９／００，３１／００	IMPLEMENTS FOR WRITING OR DRAWING(containers, casings or accessories for cosmetic substances, e.g. shaving soap, lipstick, make-up, A45D34/00, A45D40/00);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following expression is used with the meaning indicated: "writing implements" covers pens, pencils, crayons, chalks or like markers for writing or drawing. <br><br><b><u>Subclass indexes</u></b><br><br><br>IMPLEMENTS WITH CORES<br>Without mechanisms B43K19/00<br>With mechanisms B43K21/00<br>Accessories B43K23/00, B43K25/00<br>IMPLEMENTS USING INK<br>Without reservoir B43K3/00<br>With reservoir B43K5/00, B43K7/00, B43K8/00<br>Nibs; filling devices; caps B43K1/00, B43K17/00; B43K11/00; B43K23/00<br>Manufacture, maintenance B43K13/00, B43K15/00<br>SELECTING, PROJECTING, RETRACTING OR LOCKING WRITING UNITS B43K24/00<br>MULTIPLE-POINT WRITING IMPLEMENTS B43K27/00<br>COMBINATIONS<br>Of writing implements with other articles B43K29/00, B43K31/00	978
B43L		筆記具または製図具；筆記または製図のための付属具（けがき作業用の作業具Ｂ２５Ｈ７／００；教習用筆記または製図具Ｇ０９Ｂ１１／００）<br><b><ul>注</ul></b><br>このサブグラスは，教習用及び軽使用の両方に使える筆記または製図具を包含しない，ただしこれらはグループＧ０９Ｂ１１／００に包含される。［３］<br><b><ul>サブクラス内の索引</ul></b><br>筆記具または製図具<br>黒板または石板　１／００<br>下敷　３／００<br>図板　５／００<br>製図のための補助具<br>直線　７／００<br>円　９／００<br>他の曲線　１１／００<br>滑り防止手段　１２／００<br>他の図形　１３／００<br>手や腕に取りつける付属装置　１５／００<br>吸取具　１７／００<br>補助具<br>擦すったり拭き取ったりするもの　１９／００<br>黒板や石板の清掃用具　２１／００<br>鉛筆や鉛筆の芯を削るもの　２３／００<br>インク壺；インクスタンド　２５／００；２７／００	ARTICLES FOR WRITING OR DRAWING UPON; ACCESSORIES FOR WRITING OR DRAWING(workshop equipment for marking-out work B25H7/00; teaching hand-writing or drawing G09B11/00);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>does not cover</u> devices used for both teaching and facilitating writing or drawing, which are covered by group G09B11/00. <br><br><b><u>Subclass indexes</u></b><br><br><br>ARTICLES FOR WRITING OR DRAWING UPON<br>Boards or tablets B43L1/00<br>Underlays B43L3/00<br>Drawing-boards B43L5/00<br>AIDS FOR DRAWING<br>Straight lines B43L7/00<br>Circles B43L9/00<br>Other curves B43L11/00<br>Means to prevent slippage B43L12/00<br>Other figures B43L13/00<br>ATTACHMENT TO HANDS OR ARMS B43L15/00<br>BLOTTERS B43L17/00<br>ACCESSORIES FOR<br>Rubbing or erasing B43L19/00<br>Cleaning blackboards or slates B43L21/00<br>Sharpening pencils or leads B43L23/00<br>INK RECEPTACLES; INK STANDS B43L25/00; B43L27/00	1060
B43M		他に分類されない机上付属具（ステープラーＢ２５Ｃ，Ｂ２７Ｆ；シートを一時的に一緒に取付けるための装置Ｂ４２Ｆ；粘着テープ繰り出し器Ｂ６５Ｈ３５／０７）<br><b><ul>サブクラス内の索引</ul></b><br>紙片の綴込み；封筒の書類差入れ，開閉　１／００；３／００，５／００，７／００<br>ぶんちん；液を扱うためのもの；スタンプ剤；製図用画鋲，画鋲　９／００；１１／００；１３／００；１５／００<br>他の付属具　９９／００	BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR(stapling devices B25C, B27F; devices for temporarily attaching sheets together B42F; adhesive tape dispensers B65H35/07);<br><br><b><u>Subclass indexes</u></b><br><br><br>FIXING SEALS; INSERTING DOCUMENTS INTO, CLOSING, OR OPENING, ENVELOPES B43M1/00; B43M3/00, B43M5/00, B43M7/00<br>PAPER-WEIGHTS; DEVICES FOR APPLYING LIQUIDS; STAMP DISPENSERS; DRAWING-PINS OR THUMB-TACKS B43M9/00; B43M11/00; B43M13/00; B43M15/00<br>OTHER ACCESSORIES B43M99/00	541
B44		装飾技術<br><b><ul>注</ul></b><br>いかなる機械，装置，工具，または方法も，それが目により判断されることを予定された外観またはマークを作り出す限り，そしてこのような機械，装置，工具または方法が他に分類されない限りこのクラスに分類される。［４］	DECORATIVE ARTS; <br><br><b><u>Note(s)</u></b><br><br>Any machine, apparatus, tool or process is classified in this class in so far as it produces an effect or mark meant to be judged by the eye and in so far as such machine, apparatus, tool or process is not provided for elsewhere.	
B44B		美術作業，例．造形，組紐飾り彫り，彫刻，焼印または，はめこみ加工，に用いる機械，装置または工具（装飾なめし革Ｃ１４Ｂ）<br><b><ul>サブクラス内の索引</ul></b><br>立体加工；エンボシング　１／００；５／００<br>平面加工；焼印；はめ込み加工　３／００；７／００；９／００<br>手工具　１１／００	MACHINES, APPARATUS OR TOOLS FOR ARTISTIC WORK, e.g. FOR SCULPTURING, GUILLOCHING, CARVING, BRANDING OR INLAYING(ornamenting leather C14B);<br><br><b><u>Subclass indexes</u></b><br><br><br>THREE-DIMENSIONAL WORK; EMBOSSING B44B1/00; B44B5/00<br>TWO-DIMENSIONAL WORK; BRANDING; INLAYING B44B3/00; B44B7/00; B44B9/00<br>HAND TOOLS B44B11/00	302
B44C		装飾効果の創作（表面に液体または他の流動物質を適用する方法，一般Ｂ０５Ｄ；プラスチックまたは可塑的状態の物質の成形Ｂ２９Ｃ；写し絵を作成するための印刷方法Ｂ４１Ｍ３／１２；サーモグラフィ複製またはマーキング方法Ｂ４１Ｍ５／００）；モザイク；寄せ木細工（モザイクまたは寄せ木細工模様の模倣Ｂ４４Ｆ１１／０４）；紙張り［２］<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の表現は以下に示す意味で用いる：<br>―“装飾効果”が“転写画”または“デカルコマニア”の表現に関して用いられるときには“情報”をも包含する。［４］	PRODUCING DECORATIVE EFFECTS(processes for applying liquids or other fluent materials to surfaces, in general B05D; shaping of plastics or substances in a plastic state B29C; printing processes to produce transfer pictures B41M3/12; thermographic duplication or marking methods B41M5/00);MOSAICS; TARSIA WORK(imitation of mosaic or tarsia-work patterns B44F11/04);PAPERHANGING; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following expression is used with the meaning indicated:"decorative effects", when used in connection with the expressions "transfer picture" or "decalcomanias", covers also "information".	1196
B44D		他に分類されない塗装または絵画；絵画の保存；特殊な美術的表面効果または表面仕上げを得るための表面処理（表面処理一般，関連分類，例．液体または他の流動性材料の適用Ｂ０５，参照）［２］	PAINTING OR ARTISTIC DRAWING, NOT OTHERWISE PROVIDED FOR; PRESERVING PAINTINGS; SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES(surface treatment in general, <u>see</u> the relevant places, e.g. applying liquids or other fluent materials B05)	539
B44F		特殊デザインまたは絵画	SPECIAL DESIGNS OR PICTURES	203
B60		車両一般<br><b><ul>注</ul></b><br>このクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“車両”は次の形の車両にのみ限定されるものを除いてすべての車両を意味する：鉄道車両，水上輸送船，航空機，宇宙乗物，手動運搬車，自転車，動物牽引車両およびそり；これらは，これに関連するサブクラスＢ６１からＢ６４に包含される。<br>用語“車両”は以下のものを包含する：<br>―上掲の二以上の形に共通な車両的特徴のあるもの；<br>―自動車もしくは道路またはクロスカントリー用のトレーラに限定される特徴あるもの。<br>―次の例外に注意されたい：<br>（ａ）サブクラスＢ６０ＢとＢ６０Ｃは，ローラースケート用車輪Ａ６３Ｃ１７／２２，鉄道模型用車輪Ａ６３Ｈ１９／２２および航空機用に特別に用いられる車輪またはタイヤＢ６４Ｃ２５／３６を除いて，すべての車両の車輪およびタイヤを含む；<br>（ｂ）サブクラスＢ６０Ｃは膨張可能な弾性体一般へのバルブの取付けを含み，この点は車両に限定されない；<br>（ｃ）サブクラスＢ６０Ｌはすべての電動車両の電気装置を含む；<br>（ｄ）サブクラスＢ６０Ｍは，外部の，すべての種類の電動車両の動力供給装置を含む；<br>（ｅ）サブクラスＢ６０Ｒは陸用車両の全型式に用いられる安全ベルトまたは身体用ハーネスを含む；［４］<br>（ｆ）サブクラスＢ６０Ｓは，グループＢ６１Ｋ１１／００に分類される鉄道機関車の施設，サブクラスＢ６４Ｆに分類される航空機の地上設備またはグループＢ６３Ｂ５７／００，Ｂ６３Ｂ５９／００に分類される水上浮揚構造物に特有な洗浄装置を除いて，すべての種類の車両に関する；<br>（ｇ）サブクラスＢ６０Ｔは一般に適用できる制動制御装置を含み，かつこの意味においてこれは車両に限定されない。また鉄道車両の動力制動装置および鉄道車両の制動装置の他の構造をも含む。；<br>（ｈ）サブクラスＢ６０Ｖは空気クッション車両自体，および空気クッション車両としても運用可能な特徴を有するまたは部分的に空気クッションによって支持される地上用車両，水上用車両または航空機を含む。［２００９．０１］	VEHICLES IN GENERAL; <br><br><b><u>Note(s)</u></b><br><br>In this class, the following term is used with the meaning indicated: "vehicle" means all vehicles except those restricted to one of the following types of vehicles: rail vehicles, waterborne vessels, aircraft, space vehicles, hand carts, cycles, animal-drawn vehicles, and sledges, which are covered by the relevant subclasses of B61 to B64 . Thus the term "vehicle" includes: vehicular characteristics which are common to more than one of the above-listed types;certain characteristics restricted to automobiles, road or cross-country trailers.The following exceptions to the above should be noted: subclass B60B or B60C embrace all vehicle wheels and tyres, except wheels for roller skates A63C17/22, wheels for model railway vehicles A63H19/22, and special adaptations of wheels or tyres for aircraft B64C25/36;subclass B60C embraces the connection of valves to inflatable elastic bodies in general, and in this respect it is not limited to vehicles;subclass B60L embraces certain electric equipment of all electrically-propelled vehicles;subclass B60M embraces certain power supply equipment for, but external to, any kind of electrically-propelled vehicle;subclass B60R embraces safety belts or body harnesses used in all types of land vehicles;subclass B60S relates to all kinds of vehicles, except the servicing of rail locomotives B61K11/00, ground equipment for aircraft B64F, or cleaning apparatus peculiar to waterborne vessels B63B57/00, B63B59/00;subclass B60T includes brake control systems of general applicability, and in this respect it is not limited to vehicles. It also includes rail-vehicle power-brake systems and some other features of rail-vehicle brake systems;subclass B60V embraces air-cushion vehicles <u>per se</u> and land vehicles, waterborne vessels or aircraft combined with features allowing them to alternatively operate as air-cushion vehicles or to be partially supported by an air cushion.	
B60B		車輪（圧延による車輪または車輪部品の製造Ｂ２１Ｈ１／００，鍛造，つち打ちまたはプレスによるものＢ２１Ｋ１／２８）；キャスター；車輪またはキャスターの車軸；車輪の付着力を増大させるもの<br><b><ul>注</ul></b><br>クラスＢ６０のタイトルに続く注に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>車輪<br>一般構造　１／００，３／００<br>材料に特徴を有するもの　５／００<br>装飾的特徴　７／００<br>特殊の構造：高弾性を有するもの；複合または多数のタイヤよりなるもの；付着力を増大させるもの；レールと係合するもの　９／００；１１／００；１５／００；１７／００<br>構成部品<br>スポーク；リム　１／００；２１／００；２３／００；２５／００<br>ハブ　２７／００<br>その他の車輪　１９／００<br>車軸；車輪と車軸との結合　３５／００；３７／００<br>車輪の付着力を増大させるもの，車輪構造以外のもの　３９／００<br>車輪の取付け，支持または組立て　２９／００，３０／００，３１／００<br>キャスター一般　３３／００	VEHICLE WHEELS(making wheels or wheel parts by rolling B21H1/00, by forging, hammering or pressing B21K1/28);CASTORS; AXLES FOR WHEELS OR CASTORS; INCREASING WHEEL ADHESION; <br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Note following the title of class B60.<br><br><b><u>Subclass indexes</u></b><br><br><br>WHEELS<br>General structure B60B1/00, B60B3/00<br>Characterised by the material B60B5/00<br>Ornamental characteristics B60B7/00<br>Particular structures: highly- resilient; multiple or multi-tyred; adhesion-increasing; rail-engaging B60B9/00; B60B11/00; B60B15/00; B60B17/00<br>Component parts<br>spokes; rims B60B1/00; B60B21/00, B60B23/00, B60B25/00<br>hubs B60B27/00<br>Other wheels B60B19/00<br>AXLES; WHEEL-AXLE COMBINATIONS B60B35/00; B60B37/00<br>INCREASING WHEEL ADHESION, OTHERWISE THAN BY WHEEL STRUCTURE B60B39/00<br>MOUNTING, HOLDING OR ASSEMBLING WHEELS B60B29/00, B60B30/00, B60B31/00<br>CASTORS IN GENERAL B60B33/00	2152
B60C		車両用タイヤ；タイヤの膨張；タイヤの交換；膨張可能な弾性体一般への弁の取付け；タイヤに関する装置または部品［５］<br><b><ul>注</ul></b><br>（１）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“タイヤ”は車軸のリムの外周に分離可能に取付けられた接地する連続体を意味し，タイヤのケース，カバーまたはジャケットおよび内装物，例．チューブ，を包含する。グループ２９／００においては，弁の取付けに関して，“タイヤ”はタイヤまたはチューブ以外の他の膨脹可能な弾性体をも含む。<br>（２）クラスＢ６０のタイトルに続く注に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>タイヤ<br>材料に特徴のあるもの　１／００<br>横断面に特徴のあるもの　３／００<br>一般的構造　５／００，７／００，１９／００<br>部品；補強材；トレッド；ウォール；ビード；他の部品　９／００；１１／００；１３／００；１５／００；１９／００<br>特殊な装置　１７／００，２７／００<br>取付け，膨張<br>膨張用装置，圧力または温度制御　２３／００，２９／００<br>装置または工具　２５／００<br>このサブクラスの他のグループに分類されない主題事項　９９／００	VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following term is used with the meaning indicated:"tyre" means a separate ground-engaging, continuous element outside the periphery of the wheel rim and includes the tyre casing, cover, or jacket and any insert, e.g. inner tube. In group B60C29/00, relating to connection of valves, the term "tyre" also includes inflatable elastic bodies other than tyres or inner tubes.Attention is drawn to the Note following the title of class B60.<br><br><b><u>Subclass indexes</u></b><br><br><br>TYRES<br>Characterised by material B60C1/00<br>Characterised by transverse section B60C3/00<br>General structure B60C5/00, B60C7/00, B60C19/00<br>Parts; reinforcements; treads; walls; beads; other parts B60C9/00; B60C11/00; B60C13/00; B60C15/00; B60C19/00<br>Particular devices B60C17/00, B60C27/00<br>MOUNTING, INFLATION<br>Inflating devices, pressure or temperature control B60C23/00, B60C29/00<br>Apparatus or tools B60C25/00<br>SUBJECT MATTER NOT PROVIDED FOR IN OTHER GROUPS OF THIS SUBCLASS B60C99/00	2546
B60D		車両連結器（制動方式の構成要素Ｂ６０Ｔ１７／０４）<br><b><ul>注</ul></b><br>クラスＢ６０のタイトルに続く注に注意すること。	VEHICLE CONNECTIONS(components of brake systems B60T17/04);<br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Note following the title of class B60.	592
B60F		軌条と路面両用車両；異種の媒体内または媒体上を移動可能な車両，例．水陸両用車両（空気クッション車両Ｂ６０Ｖ）	VEHICLES FOR USE BOTH ON RAIL AND ON ROAD; VEHICLES CAPABLE OF TRAVELLING IN OR ON DIFFERENT MEDIA, e.g. AMPHIBIOUS VEHICLES(air-cushion vehicles B60V)	188
B60G		車両懸架装置（空気クッション式車両Ｂ６０Ｖ；車体と車両フレーム間の連結Ｂ６２Ｄ２４／００）［５］<br><b><ul>注</ul></b><br>クラスＢ６０のタイトルに続く注に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>剛性的懸架装置　１／００<br>弾性的懸架装置<br>一般的構造<br>単一車輪の；一組のタンデム車輪の；軸支した懸架腕とその付属品　３／００；５／００；７／００<br>２以上の車輪用の剛性車輪または車軸箱　９／００<br>ばね；振動緩衝器；またはばねと緩衝器の結合したものの配列，位置，または種類に特徴があるもの　１１／００；１３／００；１５／００<br>調整に特徴があるもの　１７／００<br>地面の粗面度の検出手段をもつ懸架装置　２３／００<br>弾性的に懸架した車輪の相互連結方式　２１／００<br>その他の懸架装置　９９／００	VEHICLE SUSPENSION ARRANGEMENTS(air-cushion vehicles B60V; connections between vehicle bodies and vehicle frames B62D24/00);<br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Note following the title of class B60.<br><br><b><u>Subclass indexes</u></b><br><br><br>RIGID SUSPENSION B60G1/00<br>RESILIENT SUSPENSION<br>General structures<br>for single wheels; single sets of tandem wheels; pivoted suspension arms and accessories therefor B60G3/00; B60G5/00; B60G7/00<br>for rigid axle or axle housing for two or more wheels B60G9/00<br>Characterised by arrangement, location, or kind of: springs; vibration-dampers; or combined springs and dampers B60G11/00; B60G13/00; B60G15/00<br>Characterised by adjustment B60G17/00<br>SUSPENSIONS WITH MEANS FOR SENSING GROUND UNEVENNESS B60G23/00<br>INTERCONNECTED SYSTEMS FOR RESILIENTLY-SUSPENDED WHEELS B60G21/00<br>OTHER SUSPENSION ARRANGEMENTS B60G99/00	1065
B60H		特に車両の座席または荷物用スペースに適した暖房，冷房，換気装置または他の空気処理装置<br><b><ul>注</ul></b><br>クラスＢ６０のタイトルに続く注に注意すること。	ARRANGEMENTS OF HEATING, COOLING, VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES; <br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Note following the title of class B60.	847
B60J		車両の窓，風防ガラス，非固定式の屋根，扉または同類の装置；車両に特に適した，取外し可能な外部保護カバー（これらの留め具，吊り具，閉鎖具，開放具Ｅ０５）<br><b><ul>注</ul></b><br>（１）一般的に利用される，車両の窓，風防ガラス，非固定式の屋根，ドア，または同類の装置は，車両に特定して記載または請求していると否とに関わらず，サブクラスＥ０６Ｂにも分類する。<br>（２）クラスＢ６０のタイトルに続く注に注意すること。	WINDOWS, WINDSCREENS, NON-FIXED ROOFS, DOORS, OR SIMILAR DEVICES FOR VEHICLES; REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES(fastening, suspending, closing, or opening of such devices E05);<br><br><b><u>Note(s)</u></b><br><br>Windows, windscreens, non-fixed roofs, doors, or similar devices which are of general applicability, irrespective of whether described or claimed only for vehicles, are also classified in subclass E06B.Attention is drawn to the Note following the title of class B60.	2235
B60K		車両の推進装置または動力伝達装置の配置または取付け；複数の異なった原動力の車両への配置または取付け；車両用の補助駆動装置；車両用計装または計器板；車両の推進装置の冷却，吸気，排気または燃料供給に関する配置［１，８］<br><b><ul>注</ul></b><br>（１）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“補助駆動装置”は，車両の推進装置，動力伝達装置，またはその他の部品から補助的なまたは外部の機械または器具を駆動するものを意味し，且つこの種の駆動装置の制御を含む；<br>―“動力伝達装置”は，端末推進要素，例．車輪，に推進装置，例．機関，を連結するすべての推進用部品を意味する；<br>（２）クラスＢ６０のタイトルに続く注に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>推進装置<br>電気；蒸気またはガス；内燃またはジェット推進；複数の異なった原動力　１／００；３／００；５／００；６／００<br>索引車輪と一体，または隣接するモータ　７／００<br>その他の種類のもの　８／００<br>制御装置の配置　２６／００<br>安全装置　２８／００<br>伝動装置またはその制御装置の配置　１７／００，２３／００<br>変速伝動制御装置の配置　２０／００<br>推進装置の冷却；通風，排気；燃料供給のための車両の改造　１１／００，１３／００，１５／００<br>自然の力からの動力供給に関連する配置　１６／００<br>補助駆動装置　２５／００<br>制御の種類<br>車両速度の自動制御のための付属具　３１／００<br>計器の操作，計器板　３５／００，３７／００	ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING, AIR INTAKE, GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following terms or expressions are used with the meanings indicated:"auxiliary drives" means drives of auxiliary or external machines or devices from the propulsion unit, transmission, or other parts of the vehicle, and includes the control of such drives;"transmission" means all propulsion parts linking propulsion units, e.g. engines, to ultimate propulsive elements, e.g. wheels.Attention is drawn to the Note following the title of class B60.<br><br><b><u>Subclass indexes</u></b><br><br><br>ARRANGEMENTS OF PROPULSION UNITS<br>Electric; steam or gas; internal-combustion or jet-propulsion; plural diverse prime-movers B60K1/00; B60K3/00; B60K5/00; B60K6/00<br>Motor incorporated in, or adjacent to, traction wheel B60K7/00<br>Other kinds B60K8/00<br>Arrangements of control devices B60K26/00<br>Safety devices B60K28/00<br>ARRANGEMENT OF TRANSMISSIONS OR OF THEIR CONTROL DEVICES B60K17/00, B60K23/00<br>ARRANGEMENT OF CHANGE-SPEED GEARING CONTROL DEVICES B60K20/00<br>ARRANGEMENT IN CONNECTION WITH COOLING, AIR INTAKE, GAS EXHAUST, OR FUEL SUPPLY, OF PROPULSION UNITS B60K11/00, B60K13/00, B60K15/00<br>ARRANGEMENTS IN CONNECTION WITH POWER SUPPLY FROM FORCE OF NATURE B60K16/00<br>AUXILIARY DRIVES B60K25/00<br>KINDS OF CONTROL<br>Fittings for automatically controlling vehicle speed B60K31/00<br>INSTRUMENTATION, DASHBOARDS B60K35/00, B60K37/00	2605
B60L		電気的推進車両の推進装置（車両の電気的推進装置，または，相互または共通の推進のための複数の異なった原動機の配置または取付けＢ６０Ｋ１／００，Ｂ６０Ｋ６／２０；車両の電気的伝動装置の配置または取付けＢ６０Ｋ１７／１２，Ｂ６０Ｋ１７／１４；鉄道車両における駆動力の減少による車両のすべり防止Ｂ６１Ｃ１５／０８；発電機，電動機Ｈ０２Ｋ；電動機の制御または調整Ｈ０２Ｐ）；電気的推進車両の補助装置への電力供給（車両の機械的連結器と結合している電気的連結装置Ｂ６０Ｄ１／６４；車両の電気的暖房Ｂ６０Ｈ１／００）；車両用電気的制動方式一般（電動機の制御または調整Ｈ０２Ｐ）；車両用磁気的懸架または浮揚装置；電気的推進車両の変化の監視操作；電気的推進車両のための電気安全装置  ［４］<br><b><ul>サブクラス内の索引</ul></b><br>電気的推進<br>外部動力供給　Ｂ６０Ｌ８／００，Ｂ６０Ｌ９／００<br>内部動力供給　Ｂ６０Ｌ５０／００<br>充電　Ｂ６０Ｌ５３／００<br>ビークルツーグリッド設備　Ｂ６０Ｌ５５／００<br>バッテリーまたは燃料電池の監視　Ｂ６０Ｌ５８／００<br>モノレール車両，懸垂車両またはラック式鉄道用；車両用磁気的懸架または，浮揚　Ｂ６０Ｌ１３／００<br>制御　Ｂ６０Ｌ１５／００<br>集電装置　Ｂ６０Ｌ５／００<br>補助装置への電力供給　Ｂ６０Ｌ１／００<br>安全装置　Ｂ６０Ｌ３／００<br>電気的制動　Ｂ６０Ｌ７／００	PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES(arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K1/00, B60K6/20; arrangements or mounting of electrical gearing in vehicles B60K17/12, B60K17/14; preventing wheel slip by reducing power in rail vehicles B61C15/08; dynamo-electric machines H02K; control or regulation of electric motors H02P);SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES(electric coupling devices combined with mechanical couplings of vehicles B60D1/64; electric heating for vehicles B60H1/00);ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL(control or regulation of electric motors H02P);MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES; ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES; <br><br><b><u>Subclass indexes</u></b><br><br><br>ELECTRIC PROPULSION<br>External power supplyB60L8/00, B60L9/00<br>Internal power supplyB60L50/00<br>Charging B60L53/00<br>Vehicle-to-grid arrangementsB60L55/00<br>Monitoring batteries or fuel cellsB60L58/00<br>For monorail vehicles, suspension vehicles or rack railways; Magnetic suspension or levitation for vehiclesB60L13/00<br>ControlB60L15/00<br>CURRENT-COLLECTORSB60L5/00<br>ELECTRIC SUPPLY TO AUXILIARY EQUIPMENTB60L1/00<br>SAFETY ARRANGEMENTSB60L3/00<br>ELECTRODYNAMIC BRAKINGB60L7/00	1027
