B67B   7/62	・・	前進する支点，すなわち，レバー状作動ハンドルを持ち，開口操作時容器と相対的に前進移動する支点を設定する要素をもつもの［４］<br><b><ul>注</ul></b><br>このグループにおいては，支点は，（ａ）容器と，容器に係合するハンドルの一部との接触，または（ｂ）ハンドルと，容器に係合する反動部材との接触，により設定される。［４］	Progressive fulcrum, i.e. having a lever-like actuating handle and provision to establish a pivot point which is progressively translated relative to the container during the opening operation; <br><br><b><u>Note(s)</u></b><br><br>In this group, the pivot point may be established by (a) contact between the container and a portion of the handle engaging the container, or (b) contact between the handle and a reaction member engaging the container.	52
B67B   7/64	・・・	容器壁に係合して，その回りに切断要素を案内する案内手段を有するもの［４］	with guide means to engage container wall and guide the cutting element thereabout	28
B67B   7/66	・・・	反動部材に軸支された切断刃をもつもの［４］	cutter pivoted to reaction member	
B67B   7/68	・・	せん断型，すなわち，各々の切断刃が通過移動するように，相互に共働し，切断作業を行なうために各々の切断刃が実質的に接触する切断要素をもつもの［４］	shear type, i.e. including cutting elements co-operating with one another so that their respective cutting edges move pass and in substantial contact with each other to perform the cutting operation	106
B67B   7/70	・・	開口操作時に容器の出縁に継続的に係合するように環状の駆動される車輪状ローラ部材をもつもの［４］	including an annular, driven, wheel-like roller member adapted to continuously engage a container chime during the opening operation	874
B67B   7/72	・・・	回転円板状の切断刃をもつもの［４］	Cutter comprising rotatable disc	238
B67B   7/74	・・・	ローラー駆動手段が最初の貫通を行わせる，すなわち，車輪状の部材を回転させる力が切断装置に容器壁を貫通させるもの［４］	Roller drive means causes initial piercing, i.e. force applied to rotate the wheel-like member causes the cutting element to pierce the container wall	34
B67B   7/76	・・・	容器側壁を突刺すためのもの［４］	adapted to pierce container side wall	77
B67B   7/78	・・	複数の切断装置をもつもの［４］	including plural cutters	160
B67B   7/80	・・	切断要素により形成された容器の開口を覆う手段をもつもの［４］	with means to cover an opening in the container made by the cutting element	68
B67B   7/82	・・	被切断部分が容器内へ落下するのを防止するか，または被切断部分を容器から持ち上げる手段をもつもの［４］	with means to prevent the cut portion from dropping into the container or to raise the cut portion out of the container	158
B67B   7/84	・・	右手または左手操作に適合されるもの，すなわち，装置が容器の回りのいずれの方向にも操作できるもの［４］<br><b><ul>注</ul></b><br>このグループにおいては，切断刃の両側から延びる支点をもつ前進支点型容器開口装置も包含する。［４］	adapted for right or left-hand operation, i.e. the device is capable of being operated in either direction about the container; <br><br><b><u>Note(s)</u></b><br><br>This group <u>covers</u> also a progressive fulcrum type container opener including a fulcrum extending from each side of the cutting blade.	11
B67B   7/86	・・	注出口を有するか，注出口を形成すべく容器材料を変形または屈曲する手段をもつもの［４］	with spout or means to deform or bend the material of the container to form a spout	925
B67B   7/88	・・	切断要素を清掃または消毒する手段をもつもの［４］	with means to clean or sanitise the cutting element	86
B67B   7/90	・・	感知装置，アクチベータおよび制御装置をもつもの［４］<br><b><ul>注</ul></b><br>このグループにおいては，感知装置，例．トリップレバー，押ボタン，光電管装置，または類似のもの，は状態，たとえば容器，容器内容物，缶開口装置自体の状態，または開口装置の作業に影響する開口装置環境を検知する。アクチベータ，例．回路遮断器，クラッチ，弁，または類似のもの，は動力を遮断する。制御装置，例．モータ，駆動装置，または類似のもの，は開口装置の作動を調節または起こさせる。［６］	with sensor, activator and controller; <br><br><b><u>Note(s)</u></b><br><br>In this group, the sensor, e.g. trip lever, push button, photo-cell system, or the like, detects a condition, such as the condition of the container, the container contents, the can opener itself or the environment of the opener which may affect the operation of the opener. The activator, e.g. circuit breaker, clutch, valve, or the like, causes a release of energy. The controller, e.g. motor, driver, or the like, changes or causes the operation of the opener.	28
B67B   7/92	・	破断によるもの，例．アンプル用［５］	by breaking, e.g. for ampoules	3797
