G06F1/1677	12	{for detecting open or closed state or particular intermediate positions assumed by movable parts of the enclosure, e.g. detection of display lid position with respect to main body in a laptop, detection of opening of the cover of battery compartment}	G06F1/16	G06F1/16		2370
G06F1/1679	12	{for locking or maintaining the movable parts of the enclosure in a fixed position, e.g. latching mechanism at the edge of the display in a laptop or for the screen protective cover of a PDA (G06F1/1681 takes precedence)}	G06F1/16	G06F1/16		2118
G06F1/1681	12	{Details related solely to hinges (hinge details related to the transmission of signals or power are classified in G06F1/1683)}	G06F1/16	G06F1/16		6921
G06F1/1683	12	{for the transmission of signal or power between the different housings, e.g. details of wired or wireless communication, passage of cabling}	G06F1/16	G06F1/16		1514
G06F1/1684	11	{Constructional details or arrangements related to integrated I/O peripherals not covered by groups G06F1/1635&#160;-&#160;G06F1/1675}	G06F1/16	G06F1/16		4249
G06F1/1686	12	{the I/O peripheral being an integrated camera}	G06F1/16	G06F1/16		3785
G06F1/1688	12	{the I/O peripheral being integrated loudspeakers}	G06F1/16	G06F1/16		1277
G06F1/169	12	{the I/O peripheral being an integrated pointing device, e.g. trackball in the palm rest area, mini-joystick integrated between keyboard keys, touch pads or touch stripes (G06F1/1643 takes precedence; constructional details of pointing devices G06F3/033)}	G06F1/16	G06F1/16		3208
G06F1/1692	13	{the I/O peripheral being a secondary touch screen used as control interface, e.g. virtual buttons or sliders}	G06F1/16	G06F1/16		857
G06F1/1694	12	{the I/O peripheral being a single or a set of motion sensors for pointer control or gesture input obtained by sensing movements of the portable computer}	G06F1/16	G06F1/16		3729
G06F1/1696	12	{the I/O peripheral being a printing or scanning device}	G06F1/16	G06F1/16		283
G06F1/1698	12	{the I/O peripheral being a sending/receiving arrangement to establish a cordless communication link, e.g. radio or infrared link, integrated cellular phone (details of antennas disposed inside a computer H01Q1/2266)}	G06F1/16	G06F1/16		2899
G06F1/18	9	Packaging or power distribution	G06F1/18	G06F1/18		1575
G06F1/181	10	{Enclosures (for portable computers G06F1/1613)}	G06F1/18	G06F1/18		8652
G06F1/182	11	{with special features, e.g. for use in industrial environments; grounding or shielding against radio frequency interference [RFI] or electromagnetical interference [EMI]}	G06F1/18	G06F1/18		3789
G06F1/183	10	{Internal mounting support structures, e.g. for printed circuit boards, internal connecting means (for buses G06F13/409)}	G06F1/18	G06F1/18		6059
G06F1/184	11	{Mounting of motherboards}	G06F1/18	G06F1/18		2713
G06F1/185	11	{Mounting of expansion boards}	G06F1/18	G06F1/18		2619
G06F1/186	11	{Securing of expansion boards in correspondence to slots provided at the computer enclosure}	G06F1/18	G06F1/18		1461
G06F1/187	11	{Mounting of fixed and removable disk drives}	G06F1/18	G06F1/18		3996
G06F1/188	11	{Mounting of power supply units}	G06F1/18	G06F1/18		881
G06F1/189	10	{Power distribution}	G06F1/18	G06F1/18		1518
G06F1/20	9	Cooling means	G06F1/20	G06F1/20		19557
G06F1/203	10	{for portable computers, e.g. for laptops}	G06F1/20	G06F1/20		5673
G06F1/206	10	{comprising thermal management}	G06F1/20	G06F1/20		6616
G06F1/22	8	Means for limiting or controlling the pin/gate ratio	G06F1/22	G06F1/22		247
G06F1/24	8	Resetting means	G06F1/24	G06F1/24		3605
