G04B13/028	9	{wheels in which the teeth are conic, contrate, etc; also column wheels construction (start-stop mechanisms with column wheels G04F7/0847)}	G04B13/02	G04B13/02		70
G04B15/00	7	Escapements ({in striking mechanisms G04B21/06;} electric or magnetic means for converting oscillatory to rotary motion in electromechanical time-pieces {G04C5/005})	G04B15/00	G04B15/00		239
G04B15/02	8	permanently in contact with the regulating mechanism	G04B15/02	G04B15/02		164
G04B15/04	9	Cylinder escapements	G04B15/04	G04B15/04		50
G04B15/06	8	Free escapements	G04B15/06	G04B15/06		330
G04B15/08	9	Lever escapements	G04B15/08	G04B15/08		598
G04B15/10	8	with constant impulses for the regulating mechanism {(electrically driven pendulums with mechanical pulse transmission and constant pulse G04C3/022; electrically driven pendulums with mechanical pulse transmission and constant pulse G04C3/045)}	G04B15/10	G04B15/10		215
G04B15/12	8	Adjusting (tools therefor G04D1/02); Restricting the amplitude of the lever or the like {(adjusting the gear train G04B35/00)}	G04B15/12	G04B15/12		262
G04B15/14	8	Component parts or constructional details, e.g. construction of the lever or the escape wheel {(assembly and manufacture of the spring G04B1/145; assembly and manufacture of components, e.g. pinions, spindles G04B13/02; lubrication of clockwork bearings G04B31/008; oils for clockwork bearings in general G04B31/08)}	G04B15/14	G04B15/14		1160
G04B17/00	7	Mechanisms for stabilising frequency {(for setting frequency G04B18/00; magnetic G04C5/005; in striking mechanisms G04B21/06; stopping and regulating of the running G04B23/023; electrically driven mechanical regulation G04C3/165; electrical and thermo-electric regulating mechanisms G04C5/00)}	G04B17/00	G04B17/00		111
G04B17/005	8	{Regulating mechanisms where the movement is maintained by pneumatic means (oscillation generation by pneumatic means G04F5/12)}	G04B17/00	G04B17/00		34
G04B17/02	8	Oscillators acting by gravity, e.g. pendulum swinging in a plane {(setting the pendulum to the required length G04B18/003; temperature compensation for pendulums G04B17/225; bearings in general, e.g. knife-edge G04B31/00; clocks fitted in pendulums G04B45/043; imitation pendulums driven by the clock mechanism G04B45/0046, G04B45/0053; pendulum ornamentation G04B45/0061; contacts actuated by a pendulum G04C13/065; measurement of force with a pendulum G01V7/12)}	G04B17/02	G04B17/02		205
G04B17/025	9	{Composite and multiple pendulums; Synchronisation of mechanical pendulums, e.g. electrical synchronisation G04C3/025; pendulum systems G04C13/028}	G04B17/02	G04B17/02		36
G04B17/04	8	Oscillators acting by spring tension	G04B17/04	G04B17/04		167
G04B17/045	9	{with oscillating blade springs (mechanical oscillations maintained by electro-magnetic means, e.g. tuning forks G04C3/10)}	G04B17/04	G04B17/04		334
G04B17/06	9	Oscillators with hairsprings, e.g. balance {(electrically driven balances G04C3/04; contacts actuated by a balance G04C13/065)}	G04B17/06	G04B17/06		413
G04B17/063	10	{Balance construction (balances with frequency adjustment screw G04B18/006; balances with temperature compensation G04B17/222; balancing devices G04B17/28)}	G04B17/06	G04B17/06		523
G04B17/066	10	{Manufacture of the spiral spring (locking of the spiral spring by the regulating lever G04B18/026; spiral spring with temperature compensation G04B17/227; fixation of the spiral spring on the collet G04B17/32; mainspring G04B1/14)}	G04B17/06	G04B17/06		489
G04B17/08	9	Oscillators with coil springs stretched and unstretched axially	G04B17/08	G04B17/08		22
G04B17/10	9	Oscillators with torsion strips or springs acting in the same manner as torsion strips, e.g. weight oscillating in a horizontal plane {(electrically driven torsion pendulum G04C3/033)}	G04B17/10	G04B17/10		156
G04B17/20	8	Compensation of mechanisms for stabilising frequency	G04B17/20	G04B17/20		149
G04B17/22	9	for the effect of variations of temperature {(alloys with small expansion coefficient C21C, C22C; adjustment of the regulator dependant on adjustment of the hands G04B18/028; depending on the difference in time with a comparison clockwork G04C11/007)}	G04B17/22	G04B17/22		138
G04B17/222	10	{with balances (construction of balances G04B17/063)}	G04B17/22	G04B17/22		152
G04B17/225	10	{with pendulums (construction of pendulums G04B17/02; setting frequency on the pendulum G04B18/003)}	G04B17/22	G04B17/22		75
G04B17/227	10	{composition and manufacture of the material used (composition and manufacture of hairsprings G04B17/066; of springs G04B1/145; anti-magnetic alloys G04B43/007; ferrous alloys C22C; non-ferrous alloys C22C, B22F)}	G04B17/22	G04B17/22		191
G04B17/24	9	for the effect of variations of atmospheric pressure	G04B17/24	G04B17/24		24
G04B17/26	9	for the effect of variations of the impulses	G04B17/26	G04B17/26		154
G04B17/28	9	for the effect of imbalance of the weights, e.g. tourbillon	G04B17/28	G04B17/28		146
G04B17/285	10	{Tourbillons or carrousels}	G04B17/28	G04B17/28		429
G04B17/30	8	Rotating governors, e.g. centrifugal governors, fan governors (for striking mechanism G04B21/06{; electrically driven G04C3/0335})	G04B17/30	G04B17/30		69
G04B17/32	8	Component parts or constructional details, e.g. collet, stud {, virole or piton}	G04B17/32	G04B17/32		402
G04B17/325	9	{for fastening the hairspring in a fixed position, e.g. using a block}	G04B17/32	G04B17/32		274
G04B17/34	9	for fastening the hairspring onto the balance	G04B17/34	G04B17/34		112
G04B17/345	10	{Details of the spiral roll}	G04B17/34	G04B17/34		242
G04B18/00	7	Mechanisms for setting frequency {(for stabilising frequency G04B17/00)}	G04B18/00	G04B18/00		98
G04B18/003	8	{by displacement of devices carried by the pendulum or by adjusting the pendulum length (pendulums and suspension G04B17/02; self- adjustment of the regulating lever G04B18/028, G04B17/22, G04C11/007; adjusting the stroke of the pendulum G04B18/04; time indicating by acoustic means G04B21/00; synchronisation with a standard clock G04C11/007; metronome with a variable length G04F5/027)}	G04B18/00	G04B18/00		71
G04B18/006	8	{by adjusting the devices fixed on the balance (construction of the pendulum G04B17/063; balancing G04B17/28)}	G04B18/00	G04B18/00		202
G04B18/02	8	Regulator {or adjustment} devices; Indexing devices {, e.g. raquettes}	G04B18/02	G04B18/02		383
G04B18/021	9	{adjusting the indexing device from the outside}	G04B18/02	G04B18/02		129
G04B18/023	9	{with means for fine adjustment of the indexing device}	G04B18/02	G04B18/02		309
G04B18/025	9	{Fixing of the indexing device}	G04B18/02	G04B18/02		158
G04B18/026	9	{Locking the hair spring in the indexing device, e.g. goupille of the raquette (hairsprings G04B17/066; locking the mainspring on the axle G04B1/18)}	G04B18/02	G04B18/02		252
G04B18/028	9	{Setting the regulator by means coupled to or depending on another device, e.g. by the time indication setting mechanism (automatic adjustment of the pendulum length G04B17/225, G04B18/003, G04C11/007; automatic adjustment of the regulator for temperature compensation G04B17/22; automatic adjustment of the regulator dependant on the tension of the mainspring G04B1/22)}	G04B18/02	G04B18/02		120
G04B18/04	8	Adjusting the beat of the pendulum, balance, or the like, e.g. putting into beat	G04B18/04	G04B18/04		172
G04B18/06	9	by setting the collet or the stud of a hairspring	G04B18/06	G04B18/06		147
G04B18/08	8	Component parts or constructional details {(G04B17/32 takes precedence)}	G04B18/08	G04B18/08		35
G04B19/00	7	Indicating the time by visual means ({indicating the time optically by electric means G04C17/00, e.g.} by electric lamps G04C17/02; display arrangements in general G09F)	G04B19/00	G04B19/00		393
G04B19/02	8	Back-gearing arrangements between gear train and hands {(transmissions in general G04B13/00)}	G04B19/02	G04B19/02		756
G04B19/025	9	{for simultaneous indicating on several dials (indicating means allowing simultaneous indication G04B19/048; with several separate dials G04B19/08; extra hands for indicating different local apparent times G04B19/23; with several clockworks G04B37/0083)}	G04B19/02	G04B19/02		140
G04B19/04	8	Hands; Discs with a single mark or the like {(moving indicating arrangements which have scales or numbers with stationary hands or reading means G04B19/20; optical projection of the position of the hands G04B19/34)}	G04B19/04	G04B19/04		511
G04B19/042	9	{Construction and manufacture of the hands; arrangements for increasing reading accuracy (hands with illumination G04B19/305; specially shaped hands, e.g. figures or pictures G04B45/0061; clockwork in the hands G04B45/043; invisible drive of the hands G04B45/046)}	G04B19/04	G04B19/04		471
G04B19/044	9	{Mounting and setting of the hands on the axle}	G04B19/04	G04B19/04		155
G04B19/046	9	{Indicating by means of a disc with a mark or window (for simultaneous indicating G04B19/048)}	G04B19/04	G04B19/04		239
G04B19/048	9	{having the possibility of indicating on more than one scale, e.g. hands with variable length which work on different scales (simultaneous indicating on several dials G04B19/025; indicating by discs used as hands G04B19/046; used as moving scales G04B19/202; different indications on several scales or dials, e.g. for different local apparent times G04B19/23)}	G04B19/04	G04B19/04		123
G04B19/06	8	Dials ({moving discs G04B19/20; illuminated dials or hands G04B19/30;} for time-pieces without clockwork G04B49/04{; machines and arrangements for the manufacture of dials or hands G04D3/0048})	G04B19/06	G04B19/06		643
G04B19/065	9	{with several parts}	G04B19/06	G04B19/06		257
G04B19/08	9	Geometrical arrangement of the graduations	G04B19/08	G04B19/08		174
G04B19/082	10	{varying from the normal closed scale}	G04B19/08	G04B19/08		281
G04B19/085	10	{varying from the normal 12 hour arrangement}	G04B19/08	G04B19/08		218
G04B19/087	10	{with several separate scales (for indicating the same or different times of the clockwork; indicating devices making several simultaneous indications possible G04B19/048)}	G04B19/08	G04B19/08		137
G04B19/10	9	Ornamental shape of the graduations or the surface of the dial; Attachment of the graduations to the dial {(cases for special purposes, e.g. ring or button watches G04B37/12; indicating means with special effects G04B45/00)}	G04B19/10	G04B19/10		828
G04B19/103	10	{attached or inlaid numbers (attaching of jewels or ornaments G04B47/042; arrangements for attaching bearing jewels, or the like G04D3/04)}	G04B19/10	G04B19/10		322
G04B19/106	10	{Special number markings}	G04B19/10	G04B19/10		87
G04B19/12	9	Selection of materials for dials or graduations {markings}	G04B19/12	G04B19/12		771
G04B19/14	9	Fastening the dials to the clock or watch plates {(tools, arrangements and machines for the manufacture of watch plates G04D3/0048)}	G04B19/14	G04B19/14		486
G04B19/16	9	Shiftable dials, e.g. indicating alternately from 1 to 12 and from 13 to 24 {(dials with a scale other than the normal 12 hour scale G04B19/085)}	G04B19/16	G04B19/16		163
G04B19/163	10	{numbers which are visible alternately from 1 to 12 and from 13 to 24 on the same dial G04B19/085}	G04B19/16	G04B19/16		197
G04B19/166	10	{with rotating scales}	G04B19/16	G04B19/16		107
G04B19/18	9	Graduations on the crystal or glass, on the bezel, or on the rim	G04B19/18	G04B19/18		259
G04B19/20	8	Indicating by numbered bands, drums, discs, or sheets {(indicating means without numbers or hands in general G04B19/04; illuminated G04B19/30; with optical projection G04B19/34; gearwork and linking in general G04B13/00; electrically driven G04C19/04; counter mechanisms G06M)}	G04B19/20	G04B19/20		203
G04B19/202	9	{by means of turning discs (disc-shaped indicating devices with a reference mark or a window G04B19/046; discs driven by clockwork and producing optical special effects G04B45/0007; with inscriptions or drawings driven by a clockwork G04B45/0023; with figures or parts of figures driven by clockwork G04B45/0038)}	G04B19/20	G04B19/20		497
G04B19/205	9	{by means of sheets}	G04B19/20	G04B19/20		100
G04B19/207	9	{by means of bands (bands as time indicating means with a reference mark or window G04B19/04)}	G04B19/20	G04B19/20		116
G04B19/21	9	Drums {(drum-shaped or spatial indicating devices G04B19/04; fixed scales or dials G04B19/06; scales disposed on a terrestrial globe for indicating local times in different places G04B19/22; clockwork combined with a lamp with no functional relationship G04B47/02)}	G04B19/21	G04B19/21		297
G04B19/22	8	Arrangements for indicating different local apparent times; Universal time pieces {(indicating by means of numbers or signs disposed on moving devices G04B19/20; illumination of dials or hands G04B19/30; combination with a terrestial globe in general G04B47/02; electronic time-zone watches G04G9/0076)}	G04B19/22	G04B19/22		212
