H01R12/7058	11	{characterised by the movement, e.g. pivoting, camming or translating parallel to the PCB}	H01R12/70	H01R12/70		203
H01R12/7064	11	{Press fitting}	H01R12/70	H01R12/70		566
H01R12/707	11	{Soldering or welding}	H01R12/70	H01R12/70		1763
H01R12/7076	9	{for connection between PCB and component, e.g. display}	H01R12/70	H01R12/70		1728
H01R12/7082	9	{Coupling device supported only by cooperation with PCB}	H01R12/70	H01R12/70		1055
H01R12/7088	9	{Arrangements for power supply}	H01R12/70	H01R12/70		779
H01R12/7094	9	{with switch operated by engagement of PCB}	H01R12/70	H01R12/70		194
H01R12/71	9	for rigid printing circuits or like structures	H01R12/71	H01R12/71		2975
H01R12/712	10	{co-operating with the surface of the printed circuit or with a coupling device exclusively provided on the surface of the printed circuit (H01R12/72 takes precedence)}	H01R12/71	H01R12/71		1108
H01R12/714	11	{with contacts abutting directly the printed circuit; Button contacts therefore provided on the printed circuit}	H01R12/71	H01R12/71		3508
H01R12/716	11	{Coupling device provided on the PCB}	H01R12/71	H01R12/71		6837
H01R12/718	12	{Contact members provided on the PCB without an insulating housing (contacts for abutting H01R12/714)}	H01R12/71	H01R12/71		856
H01R12/72	10	coupling with the edge of the rigid printed circuits or like structures	H01R12/72	H01R12/72		610
H01R12/721	11	{cooperating directly with the edge of the rigid printed circuits}	H01R12/72	H01R12/72		4143
H01R12/722	11	{coupling devices mounted on the edge of the printed circuits}	H01R12/72	H01R12/72		1160
H01R12/724	12	{containing contact members forming a right angle}	H01R12/72	H01R12/72		2889
H01R12/725	12	{containing contact members presenting a contact carrying strip, e.g. edge-like strip}	H01R12/72	H01R12/72		643
H01R12/727	12	{Coupling devices presenting arrays of contacts}	H01R12/72	H01R12/72		869
H01R12/728	12	{Coupling devices without an insulating housing provided on the edge of the PCB}	H01R12/72	H01R12/72		246
H01R12/73	11	connecting to other rigid printed circuits or like structures	H01R12/73	H01R12/73		1958
H01R12/732	12	{Printed circuits being in the same plane}	H01R12/73	H01R12/73		501
H01R12/735	12	{Printed circuits including an angle between each other}	H01R12/73	H01R12/73		69
H01R12/737	13	{Printed circuits being substantially perpendicular to each other (for printed connections H05K3/366)}	H01R12/73	H01R12/73		1048
H01R12/75	10	connecting to cables except for flat or ribbon cables	H01R12/75	H01R12/75		1076
H01R12/77	9	for flexible printed circuits, flat or ribbon cables or like structures	H01R12/77	H01R12/77		898
H01R12/771	10	{Details}	H01R12/77	H01R12/77		576
H01R12/772	11	{Strain relieving means}	H01R12/77	H01R12/77		392
H01R12/774	11	{Retainers}	H01R12/77	H01R12/77		861
H01R12/775	11	{Ground or shield arrangements}	H01R12/77	H01R12/77		529
H01R12/777	10	{Coupling parts carrying pins, blades or analogous contacts (H01R12/78, H01R12/79 take precedence)}	H01R12/77	H01R12/77		426
H01R12/778	10	{Coupling parts carrying sockets, clips or analogous counter-contacts (H01R12/78, H01R12/79 take precedence)}	H01R12/77	H01R12/77		450
H01R12/78	10	connecting to other flexible printed circuits, flat or ribbon cables or like structures	H01R12/78	H01R12/78		658
H01R12/79	10	connecting to rigid printed circuits or like structures	H01R12/79	H01R12/79		2720
H01R12/81	10	connecting to another cable except for flat or ribbon cable	H01R12/81	H01R12/81		172
H01R12/82	9	connected with low or zero insertion force	H01R12/82	H01R12/82		361
H01R12/83	10	connected with pivoting of printed circuits or like after insertion	H01R12/83	H01R12/83		378
H01R12/85	10	contact pressure producing means, contacts activated after insertion of printed circuits or like structures	H01R12/85	H01R12/85		187
H01R12/853	11	{Fluid activated}	H01R12/85	H01R12/85		38
H01R12/856	11	{activated by shape memory material}	H01R12/85	H01R12/85		21
H01R12/87	11	acting automatically by insertion of rigid printed or like structures	H01R12/87	H01R12/87		262
H01R12/88	11	acting manually by rotating or pivoting connector housing parts	H01R12/88	H01R12/88		1391
H01R12/89	11	acting manually by moving connector housing parts linearly, e.g. slider	H01R12/89	H01R12/89		497
