F16L13/0236	10	{having an outer ring}	F16L13/02	F16L13/02		140
F16L13/0245	9	{with holes in the sleeve or spigot being filled with weld}	F16L13/02	F16L13/02		40
F16L13/0254	9	{the pipes having an internal or external coating}	F16L13/02	F16L13/02		40
F16L13/0263	10	{having an internal coating}	F16L13/02	F16L13/02		211
F16L13/0272	10	{having an external coating}	F16L13/02	F16L13/02		228
F16L13/0281	9	{cold welded}	F16L13/02	F16L13/02		27
F16L13/029	9	{for concrete pipes}	F16L13/02	F16L13/02		38
F16L13/04	9	with arrangements preventing overstressing	F16L13/04	F16L13/04		195
F16L13/06	10	with tension-relief of the weld by means of detachable members, e.g. divided tensioning rings, bolts in flanges	F16L13/06	F16L13/06		134
F16L13/08	8	Soldered joints	F16L13/08	F16L13/08		457
F16L13/10	8	Adhesive or cemented joints	F16L13/10	F16L13/10		157
F16L13/103	9	{Adhesive joints}	F16L13/10	F16L13/10		491
F16L13/106	9	{Tools}	F16L13/10	F16L13/10		129
F16L13/11	9	using materials which fill the space between parts of a joint before hardening	F16L13/11	F16L13/11		485
F16L13/113	10	{for concrete pipes}	F16L13/11	F16L13/11		198
F16L13/116	10	{for socket pipes}	F16L13/11	F16L13/11		210
F16L13/12	8	with a seal made of lead, caulked packing, or the like	F16L13/12	F16L13/12		116
F16L13/122	9	{for male-female connections (F16L13/124 and F16L13/126 take precedence)}	F16L13/12	F16L13/12		178
F16L13/124	9	{for concrete pipes}	F16L13/12	F16L13/12		47
F16L13/126	9	{Attachments}	F16L13/12	F16L13/12		60
F16L13/128	9	{Tools}	F16L13/12	F16L13/12		74
F16L13/14	8	made by plastically deforming the material of the pipe, e.g. by flanging, rolling	F16L13/14	F16L13/14		316
F16L13/141	9	{by crimping or rolling from the outside}	F16L13/14	F16L13/14		643
F16L13/142	10	{with a sealing element inserted into the female part before crimping or rolling}	F16L13/14	F16L13/14		422
F16L13/143	10	{with a sealing element placed around the male part before crimping or rolling}	F16L13/14	F16L13/14		307
F16L2013/145	9	{Tools specially adapted therefor}	F16L13/14	F16L13/14		126
F16L13/146	9	{by an axially moveable sleeve}	F16L13/14	F16L13/14		280
