H04J3/1635	11	{Format conversion, e.g. CEPT/US}	H04J3/16	H04J3/16		85
H04J3/1641	11	{Hierarchical systems}	H04J3/16	H04J3/16		91
H04J3/1647	11	{Subrate or multislot multiplexing}	H04J3/16	H04J3/16		259
H04J3/1652	10	{Optical Transport Network [OTN]}	H04J3/16	H04J3/16		793
H04J3/1658	11	{carrying packets or ATM cells; (H04J3/1664 takes precedence for payloads with different packet types)}	H04J3/16	H04J3/16		273
H04J3/1664	11	{carrying hybrid payloads, e.g. different types of packets or carrying frames and packets in the paylaod}	H04J3/16	H04J3/16		151
H04J3/167	11	{interaction with SDH/SONET, e.g. carrying SDH/SONET frames, interfacing with SDH/SONET (H04J3/1664 takes precedence)}	H04J3/16	H04J3/16		60
H04J3/1676	9	{Time-division multiplex with pulse-position, pulse-interval, or pulse-width modulation}	H04J3/16	H04J3/16		175
H04J3/1682	9	{Allocation of channels according to the instantaneous demands of the users, e.g. concentrated multiplexers, statistical multiplexers}	H04J3/16	H04J3/16		591
H04J3/1688	10	{the demands of the users being taken into account after redundancy removal, e.g. by predictive coding, by variable sampling (reducing bandwidth of signals in general H04B1/66; in PCM-systems H04B14/046; removal of redundancy in telegraph communication H03M7/30)}	H04J3/16	H04J3/16		236
H04J3/1694	9	{Allocation of channels in TDM/TDMA networks, e.g. distributed multiplexers (Passive Optical Networks H04Q11/0062)}	H04J3/16	H04J3/16		1039
H04J3/17	8	in which the transmission channel allotted to a first user may be taken away and re-allotted to a second user if the first user becomes inactive, e.g. TASI {(speech analysis or identification G10L)}	H04J3/17	H04J3/17		210
H04J3/172	9	{Digital speech interpolation, i.e. DSI}	H04J3/17	H04J3/17		62
H04J3/175	9	{Speech activity or inactivity detectors (echo suppressors H04B3/20)}	H04J3/17	H04J3/17		83
H04J3/177	9	{Freeze-out systems, e.g. taking away active sources from transmission}	H04J3/17	H04J3/17		31
H04J3/18	8	using frequency compression and subsequent expansion of the individual signals	H04J3/18	H04J3/18		189
H04J3/20	8	using resonant transfer	H04J3/20	H04J3/20		203
H04J3/22	8	in which the sources have different rates or codes {(simultaneous speech and digital data or video transmission H04M11/06; see provisional also H04J3/16)}	H04J3/22	H04J3/22		182
H04J3/24	8	in which the allocation is indicated by an address {the different channels being transmitted sequentially}(H04J3/17 takes precedence; in computers G06F12/00, G06F13/00{code multiplex systems H04J13/00; selecting techniques H04Q; relay systems H04B7/14})	H04J3/24	H04J3/24		177
H04J3/242	9	{the frames being of variable length}	H04J3/24	H04J3/24		34
H04J3/245	9	{in which the allocation protocols between more than two stations share the same transmission medium (stations for satellite systems H04B7/185)}	H04J3/24	H04J3/24		88
H04J3/247	9	{ATM or packet multiplexing}	H04J3/24	H04J3/24		268
H04J3/26	9	in which the information and the address are simultaneously transmitted	H04J3/26	H04J3/26		84
H04J4/00	7	Combined time-division and frequency-division multiplex systems (H04J13/00 takes precedence {; data transmission H04L5/26; telemetry G08C15/00})	H04J4/00	H04J4/00		264
H04J4/005	8	{Transmultiplexing}	H04J4/00	H04J4/00		136
H04J7/00	7	Multiplex systems in which the amplitudes or durations of the signals in individual channels are characteristic of those channels	H04J7/00	H04J7/00		193
H04J7/02	8	in which the polarity of the amplitude is characteristic	H04J7/02	H04J7/02		55
H04J9/00	7	Multiplex systems in which each channel is represented by a different type of modulation of the carrier	H04J9/00	H04J9/00		243
H04J11/00	7	Orthogonal multiplex systems, {e.g. using WALSH codes}(H04J13/00 takes precedence)	H04J11/00	H04J11/00		1702
H04J2011/0003	8	{Combination with other multiplexing techniques}	H04J11/00	H04J11/00		29
H04J2011/0006	9	{with CDM/CDMA}	H04J11/00	H04J11/00		62
H04J2011/0009	9	{with FDM/FDMA}	H04J11/00	H04J11/00		86
H04J2011/0013	9	{with TDM/TDMA}	H04J11/00	H04J11/00		49
H04J2011/0016	9	{with FDM/FDMA and TDM/TDMA}	H04J11/00	H04J11/00		53
H04J2011/002	9	{Delay multiplexing}	H04J11/00	H04J11/00		9
H04J11/0023	8	{Interference mitigation or co-ordination (direct sequence spread spectrum [DSSS] systems H04B1/7097; frequency hopping H04B1/713; allocation criteria for ingress interference avoidance H04L5/0062; frequency allocation criteria for requirements on out-of-channel emissions H04L5/0066; arrangements for removing intersymbol interference or baseband equalisers H04L25/03006; peak power aspects in multicarrier modulation H04L27/2614; power management H04W52/00; traffic scheduling H04W72/54, H04W72/541)}	H04J11/00	H04J11/00		968
H04J11/0026	9	{of multi-user interference}	H04J11/00	H04J11/00		262
H04J11/003	10	{at the transmitter (transmission to multiple receive units in multiple input multiple output [MIMO] H04B7/0452; transmit antenna weighting H04B7/0615)}	H04J11/00	H04J11/00		268
H04J11/0033	11	{by pre-cancellation of known interference, e.g. using a matched filter, dirty paper coder or Thomlinson-Harashima precoder (correlative coding in synchronous or start-stop systems H04L25/497)}	H04J11/00	H04J11/00		106
H04J11/0036	10	{at the receiver}	H04J11/00	H04J11/00		272
H04J11/004	11	{using regenerative subtractive interference cancellation}	H04J11/00	H04J11/00		383
H04J11/0043	12	{by grouping or ordering the users}	H04J11/00	H04J11/00		53
H04J11/0046	11	{using joint detection algorithms}	H04J11/00	H04J11/00		72
H04J11/005	9	{of intercell interference}	H04J11/00	H04J11/00		1098
H04J11/0053	10	{using co-ordinated multipoint transmission/reception (co-ordinated antenna or beam-forming aspects H04B7/022)}	H04J11/00	H04J11/00		455
H04J11/0056	10	{Inter-base station aspects}	H04J11/00	H04J11/00		511
H04J11/0059	10	{Out-of-cell user aspects}	H04J11/00	H04J11/00		97
H04J11/0063	9	{of multipath interference, e.g. Rake receivers}	H04J11/00	H04J11/00		127
H04J11/0066	9	{of narrowband interference (narrowband interference reduction H04B1/1036)}	H04J11/00	H04J11/00		119
H04J11/0069	8	{Cell search, i.e. determining cell identity [cell-ID] (design of multiplexing codes H04J13/00; processing access restriction or access information H04W48/16; discovery of network devices for network data management H04W8/005; sounding signals for channel estimation H04L25/0226; structure of reference signals in multicarrier modulation systems H04L27/2613; frame, time or carrier synchronisation in multicarrier modulation systems H04L27/2655)}	H04J11/00	H04J11/00		1261
H04J11/0073	9	{Acquisition of primary synchronisation channel, e.g. detection of cell-ID within cell-ID group}	H04J11/00	H04J11/00		657
H04J11/0076	9	{Acquisition of secondary synchronisation channel, e.g. detection of cell-ID group}	H04J11/00	H04J11/00		604
H04J11/0079	9	{Acquisition of downlink reference signals, e.g. detection of cell-ID}	H04J11/00	H04J11/00		298
H04J11/0083	9	{Multi-mode cell search, i.e. where several modes or systems can be used, e.g. backwards compatible, dual mode or flexible systems}	H04J11/00	H04J11/00		51
H04J11/0086	9	{Search parameters, e.g. search strategy, accumulation length, range of search, thresholds (code acquisition in DSSS H04B1/7075)}	H04J11/00	H04J11/00		207
H04J11/0089	9	{Search hardware arrangements, e.g. sharing of correlators to reduce complexity}	H04J11/00	H04J11/00		18
H04J11/0093	9	{Neighbour cell search}	H04J11/00	H04J11/00		232
H04J2011/0096	8	{Network synchronisation}	H04J11/00	H04J11/00		206
H04J13/00	7	Code division multiplex systems (for frequency hopping H04B1/713)<br><br><u>NOTE</u><br><br> When classifying in this group, any aspect of spread spectrum techniques not specific to frequency hopping, and which is considered to represent information of interest for search, may also be classified in group H04B1/69. 	H04J13/00	H04J13/00		1066
H04J13/0003	8	{Code application, i.e. aspects relating to how codes are applied to form multiplexed channels}	H04J13/00	H04J13/00		412
H04J13/0007	8	{Code type}<br><br><u>NOTE</u><br><br>Code type information should be classified in addition to other relevant aspects. This should also be done in cases where the other relevant symbol refers to code type, e.g. H04J13/14, H04J13/20) 	H04J13/00	H04J13/00		56
H04J13/0011	9	{Complementary}	H04J13/00	H04J13/00		29
H04J13/0014	10	{Golay}	H04J13/00	H04J13/00		130
H04J13/0018	9	{Chaotic}	H04J13/00	H04J13/00		60
H04J13/0022	9	{PN, e.g. Kronecker}	H04J13/00	H04J13/00		706
H04J13/0025	10	{M-sequences}	H04J13/00	H04J13/00		155
H04J13/0029	10	{Gold}	H04J13/00	H04J13/00		185
H04J13/0033	10	{Kasami}	H04J13/00	H04J13/00		17
H04J2013/0037	9	{Multilevel codes}	H04J13/00	H04J13/00		60
H04J13/004	9	{Orthogonal}	H04J13/00	H04J13/00		667
H04J13/0044	10	{OVSF [orthogonal variable spreading factor]}	H04J13/00	H04J13/00		295
H04J13/0048	10	{Walsh}	H04J13/00	H04J13/00		703
H04J13/0051	10	{Orthogonal gold}	H04J13/00	H04J13/00		22
H04J13/0055	9	{ZCZ [zero correlation zone]}	H04J13/00	H04J13/00		90
H04J13/0059	10	{CAZAC [constant-amplitude and zero auto-correlation]}	H04J13/00	H04J13/00		231
H04J13/0062	11	{Zadoff-Chu}	H04J13/00	H04J13/00		654
H04J13/0066	11	{GCL [generalized chirp-like] sequences}	H04J13/00	H04J13/00		22
H04J13/007	10	{LAS, i.e. LA, LS and LAS codes}	H04J13/00	H04J13/00		26
H04J13/0074	8	{Code shifting or hopping}	H04J13/00	H04J13/00		385
H04J13/0077	8	{Multicode, e.g. multiple codes assigned to one user}	H04J13/00	H04J13/00		425
H04J2013/0081	9	{with FDM/FDMA}	H04J13/00	H04J13/00		12
H04J2013/0085	9	{with TDM/TDMA}	H04J13/00	H04J13/00		4
H04J2013/0088	9	{with FDM/FDMA and TDM/TDMA}	H04J13/00	H04J13/00		6
H04J2013/0092	9	{Delay multiplexing}	H04J13/00	H04J13/00		
H04J2013/0096	8	{Network synchronisation}	H04J13/00	H04J13/00		50
H04J13/10	8	Code generation	H04J13/10	H04J13/10		977
H04J13/102	9	{Combining codes}	H04J13/10	H04J13/10		160
H04J13/105	10	{by extending}	H04J13/10	H04J13/10		35
H04J13/107	10	{by concatenation}	H04J13/10	H04J13/10		126
H04J13/12	9	Generation of orthogonal codes	H04J13/12	H04J13/12		485
H04J13/14	9	Generation of codes with a zero correlation zone	H04J13/14	H04J13/14		127
H04J13/16	8	Code allocation	H04J13/16	H04J13/16		923
H04J2013/165	9	{Joint allocation of code together with frequency or time}	H04J13/16	H04J13/16		40
H04J13/18	9	Allocation of orthogonal codes	H04J13/18	H04J13/18		590
H04J13/20	10	having an orthogonal variable spreading factor [OVSF]	H04J13/20	H04J13/20		178
H04J13/22	9	Allocation of codes with a zero correlation zone	H04J13/22	H04J13/22		126
H04J14/00	7	Optical multiplex systems	H04J14/00	H04J14/00		223
H04J14/002	8	{Coherencemultiplexing}	H04J14/00	H04J14/00		104
H04J14/005	8	{Optical Code Multiplex}	H04J14/00	H04J14/00		320
H04J14/007	9	{Orthogonal Optical Code Multiplex}	H04J14/00	H04J14/00		73
H04J14/02	8	Wavelength-division multiplex systems	H04J14/02	H04J14/02		1949
H04J14/0201	9	{Add-and-drop multiplexing}	H04J14/02	H04J14/02		605
H04J14/0202	10	{Arrangements therefor}	H04J14/02	H04J14/02		625
H04J14/0204	11	{Broadcast and select arrangements, e.g. with an optical splitter at the input before adding or dropping}	H04J14/02	H04J14/02		706
H04J14/0205	11	{Select and combine arrangements, e.g. with an optical combiner at the output after adding or dropping}	H04J14/02	H04J14/02		558
H04J14/0206	11	{Express channels arrangements}	H04J14/02	H04J14/02		568
H04J14/0208	11	{Interleaved arrangements}	H04J14/02	H04J14/02		201
H04J14/0209	11	{Multi-stage arrangements, e.g. by cascading multiplexers or demultiplexers}	H04J14/02	H04J14/02		530
H04J14/021	11	{Reconfigurable arrangements, e.g. reconfigurable optical add/drop multiplexers [ROADM] or tunable optical add/drop multiplexers [TOADM]}	H04J14/02	H04J14/02		397
H04J14/0212	12	{using optical switches or wavelength selective switches [WSS]}	H04J14/02	H04J14/02		1003
H04J14/02122	12	{Colourless, directionless or contentionless [CDC] arrangements}	H04J14/02	H04J14/02		195
H04J14/02126	12	{Multicast switch arrangements}	H04J14/02	H04J14/02		72
H04J14/0213	11	{Groups of channels or wave bands arrangements}	H04J14/02	H04J14/02		926
H04J14/0215	10	{Architecture aspects}	H04J14/02	H04J14/02		105
H04J14/0216	11	{Bidirectional architectures}	H04J14/02	H04J14/02		254
H04J14/0217	11	{Multi-degree architectures, e.g. having a connection degree greater than two}	H04J14/02	H04J14/02		413
H04J14/0219	11	{Modular or upgradable architectures}	H04J14/02	H04J14/02		270
H04J14/022	11	{For interconnection of WDM optical networks}	H04J14/02	H04J14/02		161
H04J14/0221	9	{Power control, e.g. to keep the total optical power constant}	H04J14/02	H04J14/02		657
H04J14/02212	10	{by addition of a dummy signal}	H04J14/02	H04J14/02		84
H04J14/02214	10	{by re-allocation of data channels}	H04J14/02	H04J14/02		22
H04J14/02216	10	{by gain equalization}	H04J14/02	H04J14/02		738
H04J14/02218	10	{Centralized control}	H04J14/02	H04J14/02		44
H04J14/02219	10	{Distributed control}	H04J14/02	H04J14/02		35
H04J14/0223	9	{Conversion to or from optical TDM}	H04J14/02	H04J14/02		106
H04J14/0224	9	{Irregular wavelength spacing, e.g. to accommodate interference to all wavelengths}	H04J14/02	H04J14/02		174
H04J14/0226	9	{Fixed carrier allocation, e.g. according to service}	H04J14/02	H04J14/02		752
H04J14/0227	9	{Operation, administration, maintenance or provisioning [OAMP] of WDM networks, e.g. media access, routing or wavelength allocation}	H04J14/02	H04J14/02		2717
