H01M4/52	11	of nickel, cobalt or iron	H01M4/52	H01M4/52		1984
H01M4/521	12	{of iron for aqueous cells}	H01M4/52	H01M4/52		120
H01M4/523	12	{for non-aqueous cells (H01M4/525 takes precedence)}	H01M4/52	H01M4/52		1068
H01M4/525	12	of mixed oxides or hydroxides containing iron, cobalt or nickel for inserting or intercalating light metals, e.g. LiNiO2, LiCoO2 or LiCoOxFy	H01M4/525	H01M4/525		27739
H01M4/54	11	of silver	H01M4/54	H01M4/54		485
H01M4/56	11	of lead	H01M4/56	H01M4/56		855
H01M4/57	12	of "grey lead", i.e. powders containing lead and lead oxide	H01M4/57	H01M4/57		596
H01M4/58	10	of inorganic compounds other than oxides or hydroxides, e.g. sulfides, selenides, tellurides, halogenides or LiCoFy; of polyanionic structures, e.g. phosphates, silicates or borates	H01M4/58	H01M4/58		4838
H01M4/5805	11	{Phosphides}	H01M4/58	H01M4/58		536
H01M4/581	11	{Chalcogenides or intercalation compounds thereof}	H01M4/58	H01M4/58		1274
H01M4/5815	12	{Sulfides}	H01M4/58	H01M4/58		4225
H01M4/582	11	{Halogenides}	H01M4/58	H01M4/58		1514
H01M4/5825	11	{Oxygenated metallic salts or polyanionic structures, e.g. borates, phosphates, silicates, olivines}<br><br><u>NOTE</u><br><br>Polyanionic structures comprises elements not changing oxidation state during electrochemical reaction, e.g. P, Si, B.	H01M4/58	H01M4/58		14153
H01M4/583	11	Carbonaceous material, e.g. graphite-intercalation compounds or CFx	H01M4/583	H01M4/583		10396
H01M4/5835	12	{Comprising fluorine or fluoride salts}	H01M4/583	H01M4/583		587
H01M4/587	12	for inserting or intercalating light metals	H01M4/587	H01M4/587		16219
H01M4/60	10	of organic compounds	H01M4/60	H01M4/60		3042
H01M4/602	11	{Polymers}	H01M4/60	H01M4/60		1434
H01M4/604	12	{containing aliphatic main chain polymers}	H01M4/60	H01M4/60		371
H01M4/606	12	{containing aromatic main chain polymers}	H01M4/60	H01M4/60		556
H01M4/608	13	{containing heterocyclic rings}	H01M4/60	H01M4/60		510
H01M4/62	9	Selection of inactive substances as ingredients for active masses, e.g. binders, fillers	H01M4/62	H01M4/62		20444
H01M4/621	10	{Binders}	H01M4/62	H01M4/62		4415
H01M4/622	11	{being polymers}	H01M4/62	H01M4/62		8973
H01M4/623	12	{fluorinated polymers}	H01M4/62	H01M4/62		4331
H01M4/624	10	{Electric conductive fillers}	H01M4/62	H01M4/62		6881
H01M4/625	11	{Carbon or graphite}	H01M4/62	H01M4/62		26107
H01M4/626	11	{Metals}	H01M4/62	H01M4/62		2068
H01M4/627	10	{Expanders for lead-acid accumulators}	H01M4/62	H01M4/62		238
H01M4/628	10	{Inhibitors, e.g. gassing inhibitors, corrosion inhibitors}	H01M4/62	H01M4/62		12138
H01M4/64	9	Carriers or collectors	H01M4/64	H01M4/64		1759
H01M4/66	10	Selection of materials	H01M4/66	H01M4/66		2486
H01M4/661	11	{Metal or alloys, e.g. alloy coatings (H01M4/669 take precedence)}	H01M4/66	H01M4/66		8523
H01M4/662	12	{Alloys (collectors of lead alloys H01M4/685)}	H01M4/66	H01M4/66		1100
H01M4/663	11	{containing carbon or carbonaceous materials as conductive part, e.g. graphite, carbon fibres}	H01M4/66	H01M4/66		3067
H01M4/664	11	{Ceramic materials}	H01M4/66	H01M4/66		438
H01M4/665	11	{Composites}	H01M4/66	H01M4/66		334
H01M4/666	12	{in the form of mixed materials (H01M4/668 takes precedence)}	H01M4/66	H01M4/66		434
H01M4/667	12	{in the form of layers, e.g. coatings}	H01M4/66	H01M4/66		5934
H01M4/668	11	{Composites of electroconductive material and synthetic resins}	H01M4/66	H01M4/66		1336
H01M4/669	11	{Steels}	H01M4/66	H01M4/66		458
H01M4/68	11	for use in lead-acid accumulators	H01M4/68	H01M4/68		627
H01M4/685	12	{Lead alloys}	H01M4/68	H01M4/68		817
H01M4/70	10	characterised by shape or form	H01M4/70	H01M4/70		2973
H01M4/72	11	Grids	H01M4/72	H01M4/72		739
H01M4/73	12	for lead-acid accumulators, e.g. frame plates	H01M4/73	H01M4/73		1272
H01M4/74	12	Meshes or woven material; Expanded metal	H01M4/74	H01M4/74		1002
H01M4/742	13	{perforated material}	H01M4/74	H01M4/74		466
H01M4/745	13	{Expanded metal}	H01M4/74	H01M4/74		646
H01M4/747	13	{Woven material}	H01M4/74	H01M4/74		255
H01M4/75	11	Wires, rods or strips	H01M4/75	H01M4/75		638
H01M4/76	11	Containers for holding the active material, e.g. tubes, capsules	H01M4/76	H01M4/76		339
H01M4/762	12	{Porous or perforated metallic containers}	H01M4/76	H01M4/76		231
H01M4/765	12	{Tubular type or pencil type electrodes; tubular or multitubular sheaths or covers of insulating material for said tubular-type electrodes}	H01M4/76	H01M4/76		498
H01M4/767	13	{Multitubular sheaths or covers}	H01M4/76	H01M4/76		30
H01M4/78	11	Shapes other than plane or cylindrical, e.g. helical	H01M4/78	H01M4/78		374
H01M4/80	11	Porous plates, e.g. sintered carriers	H01M4/80	H01M4/80		1831
H01M4/801	12	{Sintered carriers}	H01M4/80	H01M4/80		118
H01M4/803	13	{of only powdered material}	H01M4/80	H01M4/80		110
H01M4/805	13	{of powdered and fibrous material}	H01M4/80	H01M4/80		26
H01M4/806	12	{Nonwoven fibrous fabric containing only fibres}	H01M4/80	H01M4/80		322
H01M4/808	12	{Foamed, spongy materials}	H01M4/80	H01M4/80		827
H01M4/82	10	Multi-step processes for manufacturing carriers for lead-acid accumulators	H01M4/82	H01M4/82		468
H01M4/84	11	involving casting	H01M4/84	H01M4/84		240
H01M4/86	8	Inert electrodes with catalytic activity, e.g. for fuel cells	H01M4/86	H01M4/86		3403
H01M4/8605	9	{Porous electrodes}	H01M4/86	H01M4/86		3552
H01M4/861	10	{with a gradient in the porosity}	H01M4/86	H01M4/86		441
H01M4/8615	10	{Bifunctional electrodes for rechargeable cells}	H01M4/86	H01M4/86		205
H01M4/8621	10	{containing only metallic or ceramic material, e.g. made by sintering or sputtering}	H01M4/86	H01M4/86		1135
H01M4/8626	10	{characterised by the form}	H01M4/86	H01M4/86		593
H01M4/8631	11	{Bipolar electrodes}	H01M4/86	H01M4/86		139
H01M4/8636	9	{with a gradient in another property than porosity (H01M4/861 takes precedence)}	H01M4/86	H01M4/86		233
H01M4/8642	10	{Gradient in composition}	H01M4/86	H01M4/86		356
H01M4/8647	9	{consisting of more than one material, e.g. consisting of composites}	H01M4/86	H01M4/86		720
H01M4/8652	10	{as mixture}	H01M4/86	H01M4/86		1272
H01M4/8657	10	{layered}	H01M4/86	H01M4/86		2252
H01M4/8663	9	{Selection of inactive substances as ingredients for catalytic active masses, e.g. binders, fillers}	H01M4/86	H01M4/86		1140
H01M4/8668	10	{Binders}	H01M4/86	H01M4/86		1017
H01M4/8673	10	{Electrically conductive fillers}	H01M4/86	H01M4/86		797
H01M2004/8678	9	{characterised by the polarity}	H01M4/86	H01M4/86		7
H01M2004/8684	10	{Negative electrodes}	H01M4/86	H01M4/86		1190
H01M2004/8689	10	{Positive electrodes}	H01M4/86	H01M4/86		1746
H01M2004/8694	10	{Bipolar electrodes}	H01M4/86	H01M4/86		171
H01M4/88	9	Processes of manufacture	H01M4/88	H01M4/88		4189
H01M4/8803	10	{Supports for the deposition of the catalytic active composition (H01M4/90 takes precedence)}	H01M4/88	H01M4/88		685
H01M4/8807	11	{Gas diffusion layers}	H01M4/88	H01M4/88		1917
H01M4/881	11	{Electrolytic membranes}	H01M4/88	H01M4/88		1314
H01M4/8814	11	{Temporary supports, e.g. decal}	H01M4/88	H01M4/88		420
H01M4/8817	10	{Treatment of supports before application of the catalytic active composition (coated porous composites H01M8/0245)}	H01M4/88	H01M4/88		686
H01M4/8821	11	{Wet proofing}	H01M4/88	H01M4/88		150
H01M4/8825	10	{Methods for deposition of the catalytic active composition}	H01M4/88	H01M4/88		1653
H01M4/8828	11	{Coating with slurry or ink}	H01M4/88	H01M4/88		2137
H01M4/8832	12	{Ink jet printing}	H01M4/88	H01M4/88		126
H01M4/8835	12	{Screen printing}	H01M4/88	H01M4/88		217
H01M4/8839	12	{Painting}	H01M4/88	H01M4/88		42
H01M4/8842	11	{Coating using a catalyst salt precursor in solution followed by evaporation and reduction of the precursor}	H01M4/88	H01M4/88		287
H01M4/8846	11	{Impregnation}	H01M4/88	H01M4/88		244
H01M4/885	12	{followed by reduction of the catalyst salt precursor}	H01M4/88	H01M4/88		221
H01M4/8853	11	{Electrodeposition}	H01M4/88	H01M4/88		493
H01M4/8857	11	{Casting, e.g. tape casting, vacuum slip casting}	H01M4/88	H01M4/88		192
