H05B6/6411	10	{the supports being rotated}	H05B6/64	H05B6/64		1539
H05B6/6414	9	{Aspects relating to the door of the microwave heating apparatus}	H05B6/64	H05B6/64		1293
H05B6/6417	10	{Door interlocks of the microwave heating apparatus and related circuits}	H05B6/64	H05B6/64		740
H05B6/642	9	{Cooling of the microwave components and related air circulation systems (H05B6/6473 takes precedence)}	H05B6/64	H05B6/64		1538
H05B6/6423	10	{wherein the microwave oven air circulation system is also used as air extracting hood}	H05B6/64	H05B6/64		484
H05B6/6426	9	{Aspects relating to the exterior of the microwave heating apparatus, e.g. metal casing, power cord}	H05B6/64	H05B6/64		1340
H05B6/6429	10	{Aspects relating to mounting assemblies of wall-mounted microwave ovens}	H05B6/64	H05B6/64		246
H05B6/6432	9	{Aspects relating to testing or detecting leakage in a microwave heating apparatus}	H05B6/64	H05B6/64		145
H05B6/6435	9	{Aspects relating to the user interface of the microwave heating apparatus}	H05B6/64	H05B6/64		1482
H05B6/6438	10	{allowing the recording of a program of operation of the microwave heating apparatus}	H05B6/64	H05B6/64		164
H05B6/6441	10	{allowing the input of coded operation instructions, e.g. bar code reader}	H05B6/64	H05B6/64		218
H05B6/6444	9	{Aspects relating to lighting devices in the microwave cavity}	H05B6/64	H05B6/64		489
H05B6/6447	9	{Method of operation or details of the microwave heating apparatus related to the use of detectors or sensors}	H05B6/64	H05B6/64		715
H05B6/645	10	{using temperature sensors}	H05B6/64	H05B6/64		855
H05B6/6452	11	{the sensors being in contact with the heated product}	H05B6/64	H05B6/64		212
H05B6/6455	11	{the sensors being infrared detectors}	H05B6/64	H05B6/64		314
H05B6/6458	10	{using humidity or vapor sensors}	H05B6/64	H05B6/64		430
H05B6/6461	10	{using fire or fume sensors}	H05B6/64	H05B6/64		39
H05B6/6464	10	{using weight sensors}	H05B6/64	H05B6/64		388
H05B6/6467	10	{using detectors with R.F. transmitters}	H05B6/64	H05B6/64		100
H05B6/647	9	{Aspects related to microwave heating combined with other heating techniques}	H05B6/64	H05B6/64		243
H05B6/6473	10	{combined with convection heating (H05B6/6485 takes precedence)}	H05B6/64	H05B6/64		420
H05B6/6476	11	{the refrigerating air being used for convection}	H05B6/64	H05B6/64		115
H05B6/6479	11	{using steam}	H05B6/64	H05B6/64		312
H05B6/6482	10	{combined with radiant heating, e.g. infrared heating}	H05B6/64	H05B6/64		1190
H05B6/6485	11	{further combined with convection heating}	H05B6/64	H05B6/64		264
H05B6/6488	10	{combined with induction heating}	H05B6/64	H05B6/64		106
H05B6/6491	10	{combined with the use of susceptors (H05B6/80 and subgroups takes precedence)}	H05B6/64	H05B6/64		149
