H03F3/2171	11	{with field-effect devices (H03F3/2173&#160;-&#160;H03F3/2178 take precedence)}	H03F3/217	H03F3/217		967
H03F3/2173	11	{of the bridge type}	H03F3/217	H03F3/217		1201
H03F3/2175	11	{using analogue-digital or digital-analogue conversion (H03F3/2173 takes precedence)}	H03F3/217	H03F3/217		429
H03F3/2176	11	{Class E amplifiers}	H03F3/217	H03F3/217		340
H03F3/2178	11	{using more than one switch or switching amplifier in parallel or in series (H03F3/2173, H03F3/2175 take precedence)}	H03F3/217	H03F3/217		357
H03F3/22	9	with tubes only (H03F3/24 takes precedence)	H03F3/22	H03F3/22		283
H03F3/24	9	of transmitter output stages	H03F3/24	H03F3/24		3434
H03F3/245	10	{with semiconductor devices only}	H03F3/24	H03F3/24		4811
H03F3/26	8	Push-pull amplifiers; Phase-splitters therefor (duplicated single-ended push-pull arrangements or phase-splitters therefor H03F3/30)	H03F3/26	H03F3/26		869
H03F3/265	9	{with field-effect transistors only}	H03F3/26	H03F3/26		366
H03F3/28	9	with tubes only	H03F3/28	H03F3/28		606
H03F3/30	8	Single-ended push-pull {[SEPP]} amplifiers {(single-ended sense amplifiers G11C7/067)}; Phase-splitters therefor	H03F3/30	H03F3/30		238
H03F3/3001	9	{with field-effect transistors}	H03F3/30	H03F3/30		338
H03F3/3008	10	{Bifet SEPP output stages}	H03F3/30	H03F3/30		56
H03F3/301	10	{CMOS common drain output SEPP amplifiers (H03F3/3008 takes precedence)}	H03F3/30	H03F3/30		63
H03F3/3011	11	{with asymmetrical driving of the end stage}	H03F3/30	H03F3/30		14
H03F3/3013	12	{using a common drain driving stage, i.e. follower stage}	H03F3/30	H03F3/30		7
H03F3/3015	12	{using a common source driving stage, i.e. inverting stage}	H03F3/30	H03F3/30		10
H03F3/3016	11	{with symmetrical driving of the end stage}	H03F3/30	H03F3/30		51
H03F3/3018	12	{using opamps as driving stages}	H03F3/30	H03F3/30		22
H03F3/302	12	{using two SEPP driving stages}	H03F3/30	H03F3/30		2
H03F3/3022	10	{CMOS common source output SEPP amplifiers (H03F3/3008 takes precedence)}	H03F3/30	H03F3/30		444
H03F3/3023	11	{with asymmetrical driving of the end stage}	H03F3/30	H03F3/30		126
H03F3/3025	12	{using a common drain driving stage, i.e. follower stage}	H03F3/30	H03F3/30		6
H03F3/3027	12	{using a common source driving stage, i.e. inverting stage}	H03F3/30	H03F3/30		31
H03F3/3028	11	{with symmetrical driving of the end stage}	H03F3/30	H03F3/30		184
H03F3/303	12	{using opamps as driving stages}	H03F3/30	H03F3/30		126
H03F3/3032	12	{using two SEPP driving stages}	H03F3/30	H03F3/30		17
H03F3/3033	10	{NMOS SEPP output stages (H03F3/3008 takes precedence)}	H03F3/30	H03F3/30		18
H03F3/3035	11	{using differential amplifiers as phase-splitting elements}	H03F3/30	H03F3/30		8
H03F3/3037	11	{with asymmetric control, i.e. one control branch containing a supplementary phase inverting stage}	H03F3/30	H03F3/30		11
H03F3/3038	10	{PMOS SEPP output stages (H03F3/3008 takes precedence)}	H03F3/30	H03F3/30		4
H03F3/304	11	{using differential amplifiers as phase-splitting element}	H03F3/30	H03F3/30		5
H03F3/3042	11	{with asymmetric control, i.e. one control branch containing a supplementary phase inverting stage}	H03F3/30	H03F3/30		4
H03F3/3044	10	{Junction FET SEPP output stages (H03F3/3008 takes precedence)}	H03F3/30	H03F3/30		48
H03F3/3045	11	{with asymmetrical driving of the end stage}	H03F3/30	H03F3/30		5
H03F3/3047	12	{using a common drain driving stage, i.e. follower stage}	H03F3/30	H03F3/30		
H03F3/3049	12	{using a common source driving stage, i.e. inverting stage}	H03F3/30	H03F3/30		
H03F3/305	11	{with symmetrical driving of the end stage}	H03F3/30	H03F3/30		7
H03F3/3052	12	{using opamps as driving stages}	H03F3/30	H03F3/30		2
H03F3/3054	12	{using two SEPP driving stages}	H03F3/30	H03F3/30		1
H03F3/3055	10	{Parallelled mixed SEPP stages, e.g. a CMOS common drain and a CMOS common source in parallel or bipolar SEPP and FET SEPP in parallel}	H03F3/30	H03F3/30		7
H03F3/3057	11	{with asymmetrical driving of the end stage}	H03F3/30	H03F3/30		1
H03F3/3059	11	{with symmetrical driving of the end stage}	H03F3/30	H03F3/30		13
H03F3/3061	10	{Bridge type, i.e. two complementary controlled SEPP output stages}	H03F3/30	H03F3/30		56
H03F3/3062	11	{with asymmetrical driving of the end stage}	H03F3/30	H03F3/30		11
H03F3/3064	11	{with symmetrical driving of the end stage}	H03F3/30	H03F3/30		27
H03F3/3066	9	{the collectors of complementary power transistors being connected to the output}	H03F3/30	H03F3/30		255
H03F3/3067	10	{with asymmetrical driving of the end stage}	H03F3/30	H03F3/30		115
H03F3/3069	9	{the emitters of complementary power transistors being connected to the output}	H03F3/30	H03F3/30		88
H03F3/3071	10	{with asymmetrical driving of the end stage}	H03F3/30	H03F3/30		191
H03F3/3072	11	{using Darlington transistors (H03F3/3074 takes precedence)}	H03F3/30	H03F3/30		39
H03F3/3074	11	{using parallel power transistors}	H03F3/30	H03F3/30		10
H03F3/3076	10	{with symmetrical driving of the end stage}	H03F3/30	H03F3/30		272
H03F3/3077	11	{using Darlington transistors (H03F3/3079 takes precedence)}	H03F3/30	H03F3/30		59
H03F3/3079	11	{using parallel power transistors}	H03F3/30	H03F3/30		28
H03F3/3081	9	{Duplicated single-ended push-pull arrangements, i.e. bridge circuits (using FET&apos;s H03F3/3061)}	H03F3/30	H03F3/30		195
H03F3/3083	9	{the power transistors being of the same type (H03F3/3001 takes precedence)}	H03F3/30	H03F3/30		28
H03F3/3084	10	{one of the power transistors being controlled by the output signal}	H03F3/30	H03F3/30		57
H03F3/3086	10	{two power transistors being controlled by the input signal}	H03F3/30	H03F3/30		12
H03F3/3088	11	{with asymmetric control, i.e. one control branch containing a supplementary phase inverting transistor}	H03F3/30	H03F3/30		103
H03F3/3089	11	{comprising field-effect transistors in the control circuit}	H03F3/30	H03F3/30		7
H03F3/3091	11	{comprising two complementary transistors for phase-splitting}	H03F3/30	H03F3/30		88
H03F3/3093	11	{comprising a differential amplifier as phase-splitting element}	H03F3/30	H03F3/30		34
H03F3/3094	11	{Phase splitters therefor (H03F3/3088, H03F3/3091, H03F3/3093, H03F3/3096, H03F3/3098 take precedence)}	H03F3/30	H03F3/30		11
H03F3/3096	11	{using a single transistor with output on emitter and collector as phase splitter}	H03F3/30	H03F3/30		43
H03F3/3098	11	{using a transformer as phase splitter}	H03F3/30	H03F3/30		40
H03F3/34	8	DC amplifiers in which all stages are DC-coupled (H03F3/45 takes precedence)	H03F3/34	H03F3/34		147
H03F3/343	9	with semiconductor devices only	H03F3/343	H03F3/343		653
H03F3/3432	10	{with bipolar transistors}	H03F3/343	H03F3/343		163
H03F3/3435	11	{using Darlington amplifiers}	H03F3/343	H03F3/343		105
H03F3/3437	12	{with complementary transistors}	H03F3/343	H03F3/343		35
H03F3/345	10	with field-effect devices (H03F3/347 takes precedence)	H03F3/345	H03F3/345		553
H03F3/3455	11	{with junction-FET&apos;s}	H03F3/345	H03F3/345		54
H03F3/347	10	in integrated circuits	H03F3/347	H03F3/347		471
H03F3/36	9	with tubes only	H03F3/36	H03F3/36		418
H03F3/38	8	DC amplifiers with modulator at input and demodulator at output; Modulators or demodulators specially adapted for use in such amplifiers {(switched capacitor amplifiers H03F3/005)}	H03F3/38	H03F3/38		280
H03F3/387	9	with semiconductor devices only	H03F3/387	H03F3/387		552
H03F3/393	10	with field-effect devices	H03F3/393	H03F3/393		280
H03F3/40	9	with tubes only	H03F3/40	H03F3/40		332
H03F3/42	8	Amplifiers with two or more amplifying elements having their DC paths in series with the load, the control electrode of each element being excited by at least part of the input signal, e.g. so-called totem-pole amplifiers	H03F3/42	H03F3/42		173
H03F3/423	9	{with MOSFET&apos;s}	H03F3/42	H03F3/42		53
H03F3/426	9	{with junction-FET&apos;s}	H03F3/42	H03F3/42		15
H03F3/44	9	with tubes only	H03F3/44	H03F3/44		146
H03F3/45	8	Differential amplifiers (differential sense amplifiers G11C7/062)	H03F3/45	H03F3/45		1871
H03F3/45071	9	{with semiconductor devices only}	H03F3/45	H03F3/45		1023
H03F3/45076	10	{characterised by the way of implementation of the active amplifying circuit in the differential amplifier}	H03F3/45	H03F3/45		535
H03F3/4508	11	{using bipolar transistors as the active amplifying circuit (H03F3/45278 takes precedence)}	H03F3/45	H03F3/45		457
H03F3/45085	12	{Long tailed pairs (H03F3/45112, H03F3/45139 take precedence)}	H03F3/45	H03F3/45		841
H03F3/45089	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		309
H03F3/45094	13	{Folded cascode stages}	H03F3/45	H03F3/45		133
H03F3/45098	12	{PI types (H03F3/45125, H03F3/45152 take precedence)}	H03F3/45	H03F3/45		228
H03F3/45103	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		88
H03F3/45107	13	{Folded cascode stages}	H03F3/45	H03F3/45		11
H03F3/45112	12	{Complementary long tailed pairs having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		39
H03F3/45116	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		3
H03F3/45121	13	{Folded cascode stages}	H03F3/45	H03F3/45		27
H03F3/45125	12	{Complementary PI types having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		9
H03F3/4513	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45134	13	{Folded cascode stages}	H03F3/45	H03F3/45		6
H03F3/45139	12	{Complementary long tailed pairs having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		16
H03F3/45143	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		1
H03F3/45147	13	{Folded cascode stages}	H03F3/45	H03F3/45		4
H03F3/45152	12	{Complementary PI types having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		4
H03F3/45156	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45161	13	{Folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45165	12	{Complementary cross coupled types}	H03F3/45	H03F3/45		13
H03F3/4517	12	{Complementary non-cross coupled types}	H03F3/45	H03F3/45		24
H03F3/45174	12	{Mirror types}	H03F3/45	H03F3/45		88
H03F3/45179	11	{using MOSFET transistors as the active amplifying circuit (H03F3/45278 takes precedence)}	H03F3/45	H03F3/45		2255
H03F3/45183	12	{Long tailed pairs (H03F3/4521, H03F3/45237 take precedence)}	H03F3/45	H03F3/45		2589
H03F3/45188	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		758
H03F3/45192	13	{Folded cascode stages}	H03F3/45	H03F3/45		675
H03F3/45197	12	{Pl types (H03F3/45224, H03F3/45251 take precedence)}	H03F3/45	H03F3/45		476
H03F3/45201	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		70
H03F3/45206	13	{Folded cascode stages}	H03F3/45	H03F3/45		52
H03F3/4521	12	{Complementary long tailed pairs having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		293
H03F3/45215	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		24
H03F3/45219	13	{Folded cascode stages}	H03F3/45	H03F3/45		203
H03F3/45224	12	{Complementary Pl types having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		40
H03F3/45228	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		6
H03F3/45233	13	{Folded cascode stages}	H03F3/45	H03F3/45		14
H03F3/45237	12	{Complementary long tailed pairs having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		159
H03F3/45242	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		30
H03F3/45246	13	{Folded cascode stages}	H03F3/45	H03F3/45		23
H03F3/45251	12	{Complementary Pl types having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		9
H03F3/45255	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/4526	13	{Folded cascode stages}	H03F3/45	H03F3/45		1
H03F3/45264	12	{Complementary cross coupled types}	H03F3/45	H03F3/45		79
H03F3/45269	12	{Complementary non-cross coupled types}	H03F3/45	H03F3/45		126
H03F3/45273	12	{Mirror types}	H03F3/45	H03F3/45		350
H03F3/45278	11	{using BiFET transistors as the active amplifying circuit}	H03F3/45	H03F3/45		59
H03F3/45282	12	{Long tailed pairs (H03F3/45309, H03F3/45336 take precedence)}	H03F3/45	H03F3/45		40
H03F3/45286	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		44
H03F3/45291	13	{Folded cascode stages}	H03F3/45	H03F3/45		37
H03F3/45295	12	{Pl types (H03F3/45322, H03F3/45349 take precedence)}	H03F3/45	H03F3/45		4
H03F3/453	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		4
H03F3/45304	13	{Folded cascode stages}	H03F3/45	H03F3/45		8
H03F3/45309	12	{Complementary long tailed pairs having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		1
H03F3/45313	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45318	13	{Folded cascode stages}	H03F3/45	H03F3/45		4
H03F3/45322	12	{Complementary Pl types having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		
H03F3/45327	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45331	13	{Folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45336	12	{Complementary long tailed pairs having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		1
H03F3/4534	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45345	13	{Folded cascode stages}	H03F3/45	H03F3/45		1
H03F3/45349	12	{Complementary Pl types having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		1
H03F3/45354	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45358	13	{Folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45363	12	{Complementary cross coupled types}	H03F3/45	H03F3/45		3
H03F3/45367	12	{Complementary non-cross coupled types}	H03F3/45	H03F3/45		6
H03F3/45372	12	{Mirror types}	H03F3/45	H03F3/45		13
H03F3/45376	11	{using junction FET transistors as the active amplifying circuit (H03F3/45278 takes precedence)}	H03F3/45	H03F3/45		92
H03F3/45381	12	{Long tailed pairs (H03F3/45408, H03F3/45434 take precedence)}	H03F3/45	H03F3/45		80
H03F3/45385	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		27
H03F3/4539	13	{Folded cascode stages}	H03F3/45	H03F3/45		12
H03F3/45394	12	{Pl types (H03F3/45421, H03F3/45448 take precedence)}	H03F3/45	H03F3/45		20
H03F3/45399	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		2
H03F3/45403	13	{Folded cascode stages}	H03F3/45	H03F3/45		4
H03F3/45408	12	{Complementary long tailed pairs having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		2
H03F3/45412	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45417	13	{Folded cascode stages}	H03F3/45	H03F3/45		5
H03F3/45421	12	{Complementary Pl types having parallel inputs and being supplied in parallel}	H03F3/45	H03F3/45		
H03F3/45426	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/4543	13	{Folded cascode stages}	H03F3/45	H03F3/45		1
H03F3/45434	12	{Complementary long tailed pairs having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		3
H03F3/45439	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		1
H03F3/45443	13	{Folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45448	12	{Complementary Pl types having parallel inputs and being supplied in series}	H03F3/45	H03F3/45		
H03F3/45452	13	{Non-folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45457	13	{Folded cascode stages}	H03F3/45	H03F3/45		
H03F3/45461	12	{Complementary cross coupled types}	H03F3/45	H03F3/45		2
H03F3/45466	12	{Complementary non-cross coupled types}	H03F3/45	H03F3/45		3
H03F3/4547	12	{Mirror types}	H03F3/45	H03F3/45		13
H03F3/45475	11	{using IC blocks as the active amplifying circuit}	H03F3/45	H03F3/45		4854
H03F3/45479	10	{characterised by the way of common mode signal rejection}	H03F3/45	H03F3/45		850
H03F3/45484	11	{in differential amplifiers with bipolar transistors as the active amplifying circuit (H03F3/4578 takes precedence)}	H03F3/45	H03F3/45		47
H03F3/45488	12	{by using feedback means (H03F3/4578 takes precedence)}	H03F3/45	H03F3/45		27
H03F3/45493	13	{Measuring at the loading circuit of the differential amplifier}	H03F3/45	H03F3/45		8
H03F3/45497	14	{Controlling the input circuit of the differential amplifier}	H03F3/45	H03F3/45		21
