G06K7/10435	13	{the interrogation device being positioned close to a conveyor belt or the like on which moving record carriers are passing (conveying in accordance with bodily destination marks, seeB65G47/46, sorting of objects carrying identity markings, seeB07C5/34)}	G06K7/10	G06K7/10		337
G06K7/10445	14	{the record carriers being fixed to further objects, e.g. RFIDs fixed to packages, luggage, mail-pieces or work-pieces transported on a conveyor belt}	G06K7/10	G06K7/10		335
G06K7/10455	14	{the record carriers being fixed to an endless tape or at least not fixed to further objects}	G06K7/10	G06K7/10		34
G06K7/10465	11	{the interrogation device being capable of self-diagnosis, e.g. in addition to or as part of the actual interrogation process (testing of electrical circuits in general G01R31/28)}	G06K7/10	G06K7/10		155
G06K7/10475	11	{arrangements to facilitate interaction with further interrogation devices, e.g. such that at least two interrogation devices may function and cooperate in a network of such devices}	G06K7/10	G06K7/10		364
G06K2007/10485	9	{Arrangement of optical elements}	G06K7/10	G06K7/10		103
G06K2007/10495	9	{Circuits for pulse forming, amplifying}	G06K7/10	G06K7/10		37
G06K2007/10504	9	{Data fields affixed to objects or articles}	G06K7/10	G06K7/10		229
G06K2007/10514	10	{Randomly orientated data fields}	G06K7/10	G06K7/10		13
G06K2007/10524	9	{Hand-held scanners}	G06K7/10	G06K7/10		424
G06K2007/10534	10	{Scanner to be worn on a finger or on a wrist}	G06K7/10	G06K7/10		116
G06K7/10544	9	{by scanning of the records by radiation in the optical part of the electromagnetic spectrum}	G06K7/10	G06K7/10		590
G06K7/10554	10	{Moving beam scanning}	G06K7/10	G06K7/10		150
G06K7/10564	11	{Light sources}	G06K7/10	G06K7/10		283
G06K7/10574	12	{Multiple sources}	G06K7/10	G06K7/10		202
G06K7/10584	12	{Source control}	G06K7/10	G06K7/10		384
G06K7/10594	11	{Beam path}	G06K7/10	G06K7/10		197
G06K7/10603	12	{Basic scanning using moving elements}	G06K7/10	G06K7/10		116
G06K7/10613	13	{by rotation, e.g. polygon}	G06K7/10	G06K7/10		133
G06K7/10623	14	{Constructional details}	G06K7/10	G06K7/10		86
G06K7/10633	13	{by oscillation}	G06K7/10	G06K7/10		174
G06K7/10643	14	{Activating means}	G06K7/10	G06K7/10		114
G06K7/10653	15	{using flexible or piezoelectric means}	G06K7/10	G06K7/10		195
G06K7/10663	13	{using hologram}	G06K7/10	G06K7/10		110
G06K7/10673	13	{Parallel lines}	G06K7/10	G06K7/10		142
G06K7/10683	12	{Arrangement of fixed elements}	G06K7/10	G06K7/10		79
G06K7/10693	13	{for omnidirectional scanning}	G06K7/10	G06K7/10		265
G06K7/10702	13	{Particularities of propagating elements, e.g. lenses, mirrors (G06K7/10831 takes precedence)}	G06K7/10	G06K7/10		396
G06K7/10712	10	{Fixed beam scanning}	G06K7/10	G06K7/10		269
G06K7/10722	11	{Photodetector array or CCD scanning}	G06K7/10	G06K7/10		2325
G06K7/10732	12	{Light sources}	G06K7/10	G06K7/10		1046
G06K7/10742	12	{including a diffuser for diffusing the light from the light source to create substantially uniform illumination of the target record carrier}	G06K7/10	G06K7/10		165
G06K7/10752	12	{Exposure time control}	G06K7/10	G06K7/10		167
G06K7/10762	11	{Relative movement}	G06K7/10	G06K7/10		259
G06K7/10772	12	{Moved readers, e.g. pen, wand}	G06K7/10	G06K7/10		181
G06K7/10782	12	{Slot readers}	G06K7/10	G06K7/10		50
G06K7/10792	10	{Special measures in relation to the object to be scanned}	G06K7/10	G06K7/10		349
G06K7/10801	11	{Multidistance reading}	G06K7/10	G06K7/10		235
G06K7/10811	12	{Focalisation}	G06K7/10	G06K7/10		648
G06K7/10821	10	{further details of bar or optical code scanning devices}	G06K7/10	G06K7/10		1461
G06K7/10831	11	{Arrangement of optical elements, e.g. lenses, mirrors, prisms (optical elements per seG02B)}	G06K7/10	G06K7/10		1278
G06K7/10841	11	{Particularities of the light-sensitive elements (semiconductor devices H01L)}	G06K7/10	G06K7/10		226
G06K7/10851	11	{Circuits for pulse shaping, amplifying, eliminating noise signals, checking the function of the sensing device (basic electronic circuitry H03)}	G06K7/10	G06K7/10		1332
G06K7/10861	11	{sensing of data fields affixed to objects or articles, e.g. coded labels (postal sorting B07C3/14, conveying articles B65G47/48)}	G06K7/10	G06K7/10		2898
G06K7/10871	12	{randomly oriented data-fields, code-marks therefore, e.g. concentric circles-code}	G06K7/10	G06K7/10		621
G06K7/10881	11	{constructional details of hand-held scanners}	G06K7/10	G06K7/10		2368
G06K7/10891	12	{the scanner to be worn on a finger or on a wrist}	G06K7/10	G06K7/10		350
G06K7/109	12	{adaptations to make the hand-held scanner useable as a fixed scanner}	G06K7/10	G06K7/10		274
G06K7/1091	12	{means to wake up the scanner from a sleep mode, e.g. using an acceleration sensor indicating that the scanner is being picked up by a user}	G06K7/10	G06K7/10		55
G06K7/1092	11	{sensing by means of TV-scanning}	G06K7/10	G06K7/10		284
G06K7/1093	11	{sensing, after transfer of the image of the data-field to an intermediate store, e.g. storage with cathode ray tube}	G06K7/10	G06K7/10		221
G06K7/1094	11	{the record carrier being at least partially of the hologram type}	G06K7/10	G06K7/10		27
G06K7/1095	11	{the scanner comprising adaptations for scanning a record carrier that is displayed on a display-screen or the like}	G06K7/10	G06K7/10		515
G06K7/1096	11	{the scanner having more than one scanning window, e.g. two substantially orthogonally placed scanning windows for integration into a check-out counter of a super-market}	G06K7/10	G06K7/10		280
G06K7/1097	11	{Optical sensing of electronic memory record carriers, such as interrogation of RFIDs with an additional optical interface}	G06K7/10	G06K7/10		251
G06K7/1098	11	{the scanning arrangement having a modular construction}	G06K7/10	G06K7/10		350
G06K7/1099	9	{scanning using X-rays}	G06K7/10	G06K7/10		31
G06K7/12	9	using a selected wavelength, e.g. to sense red marks and ignore blue marks	G06K7/12	G06K7/12		985
G06K7/14	9	using light without selection of wavelength, e.g. sensing reflected white light {(G06K7/10831&#160;-&#160;G06K7/1097 take precedence)}	G06K7/14	G06K7/14		2106
G06K7/1404	10	{Methods for optical code recognition}	G06K7/14	G06K7/14		883
G06K7/1408	11	{the method being specifically adapted for the type of code}	G06K7/14	G06K7/14		1155
G06K7/1413	12	{1D bar codes}	G06K7/14	G06K7/14		2898
G06K7/1417	12	{2D bar codes}	G06K7/14	G06K7/14		8107
G06K7/1421	12	{Circular bar codes}	G06K7/14	G06K7/14		75
G06K7/1426	12	{Multi-level bar codes}	G06K7/14	G06K7/14		78
G06K7/143	12	{Glyph-codes}	G06K7/14	G06K7/14		117
G06K7/1434	12	{Barcodes with supplemental or add-on codes}	G06K7/14	G06K7/14		215
G06K7/1439	11	{including a method step for retrieval of the optical code}	G06K7/14	G06K7/14		481
G06K7/1443	12	{locating of the code in an image}	G06K7/14	G06K7/14		1493
G06K7/1447	12	{extracting optical codes from image or text carrying said optical code}	G06K7/14	G06K7/14		551
