F16B5/125	10	{one of the auxiliary fasteners is comprising wire or sheet material or is made thereof}	F16B5/12	F16B5/12		795
F16B5/126	9	{at least one of the sheets, plates, bars or strips having integrally formed or integrally connected snap-in-features}	F16B5/12	F16B5/12		602
F16B5/128	9	{a strip with a C-or U-shaped cross section being fastened to a plate such that the fastening means remain invisible, e.g. the fastening being completely enclosed by the strip}	F16B5/12	F16B5/12		850
F16B7/00	7	Connections of rods or tubes, e.g. of non-circular section, mutually, including resilient connections ({F16B11/008, F16B17/00 take precedence;} umbrella frames A45B25/02; welding or soldering of connections B23K; vehicle connections in general B60D; railway couplings B61G; bicycle frames B62K; couplings for transmitting rotation F16D; couplings for tubes conveying fluids F16L)	F16B7/00	F16B7/00		1819
F16B7/02	8	with conical parts	F16B7/02	F16B7/02		367
F16B7/025	9	{with the expansion of an element inside the tubes due to axial movement towards a wedge or conical element (for rods or tubes telescopically engaged F16B7/1463)}	F16B7/02	F16B7/02		540
F16B7/04	8	Clamping or clipping connections (friction-grip releasable fastenings in general F16B2/00)	F16B7/04	F16B7/04		1452
F16B7/0406	9	{for rods or tubes being coaxial (F16B7/10 takes precedence)}	F16B7/04	F16B7/04		874
F16B7/0413	10	{for tubes using the innerside thereof (F16B7/025 takes precedence)}	F16B7/04	F16B7/04		1219
F16B7/042	11	{with a locking element, e.g. pin, ball or pushbutton, engaging in a hole in the wall of at least one tube}	F16B7/04	F16B7/04		803
F16B7/0426	10	{for rods or for tubes without using the innerside thereof}	F16B7/04	F16B7/04		653
F16B7/0433	9	{for rods or tubes being in parallel relationship}	F16B7/04	F16B7/04		1311
F16B7/044	9	{for rods or tubes being in angled relationship}	F16B7/04	F16B7/04		702
F16B7/0446	10	{for tubes using the innerside thereof (F16B7/025 takes precedence)}	F16B7/04	F16B7/04		1491
F16B7/0453	11	{the tubes being drawn towards each other (F16B7/0473 takes precedence)}	F16B7/04	F16B7/04		301
F16B7/046	12	{by rotating an eccenter-mechanism}	F16B7/04	F16B7/04		170
F16B7/0466	12	{by a screw-threaded stud with a conical tip acting on an inclined surface}	F16B7/04	F16B7/04		211
F16B7/0473	11	{with hook-like parts gripping, e.g. by expanding, behind the flanges of a profile}	F16B7/04	F16B7/04		630
F16B7/048	10	{for rods or for tubes without using the innerside thereof}	F16B7/04	F16B7/04		656
F16B7/0486	11	{forming an abutting connection of at least one tube}	F16B7/04	F16B7/04		882
F16B7/0493	11	{forming a crossed-over connection}	F16B7/04	F16B7/04		1404
F16B7/06	8	Turnbuckles (for cables, ropes, or wire F16G11/12)	F16B7/06	F16B7/06		547
F16B7/10	8	Telescoping systems ({for vertically adjustable chairs A47C3/20; telescopic steering columns B62D1/18}; for scaffolding E04G25/04; {telescopic masts, poles or the like E04H12/182; telescopic door or window holders E05C17/30}; telescope props for mining E21D15/14&#160;-&#160;E21D15/46; stands or trestles as supports for apparatus or articles placed thereon {F16M11/26})	F16B7/10	F16B7/10		651
F16B7/105	9	{locking in discrete positions, e.g. in extreme extended position}	F16B7/10	F16B7/10		1429
F16B7/14	9	locking in intermediate {non-discrete} positions {(the rod or tube being locked by a tilting clip F16B2/246)}	F16B7/14	F16B7/14		768
F16B7/1409	10	{with balls or rollers urged by an axial displacement of a wedge or a conical member}	F16B7/14	F16B7/14		197
