B23B31/1238	12	{Jaws movement actuated by a nut with conical screw-thread}	B23B31/12	B23B31/12		693
B23B31/1246	12	{Jaws movement actuated by a bolt with conical screw-thread}	B23B31/12	B23B31/12		64
B23B31/1253	12	{Jaws movement actuated by an axially movable member}	B23B31/12	B23B31/12		826
B23B31/1261	11	{pivotally movable in a radial plane}	B23B31/12	B23B31/12		243
B23B31/1269	12	{Details of the jaws}	B23B31/12	B23B31/12		83
B23B31/1276	12	{using fluid-pressure means to actuate the gripping means}	B23B31/12	B23B31/12		30
B23B31/1284	12	{with a centre}	B23B31/12	B23B31/12		63
B23B31/1292	12	{using mechanical transmission through the spindle}	B23B31/12	B23B31/12		5
B23B31/14	11	involving the use of centrifugal force	B23B31/14	B23B31/14		27
B23B31/141	12	{To counterbalance the jaws}	B23B31/14	B23B31/14		76
B23B31/142	12	{To grip a tool or workpiece}	B23B31/14	B23B31/14		121
B23B31/16	11	moving radially	B23B31/16	B23B31/16		503
B23B31/16004	12	{Jaws movement actuated by one or more spiral grooves}	B23B31/163	B23B31/16		362
