B62D12/00	7	Steering specially adapted for vehicles operating in tandem or having pivotally connected frames (steering endless tracks or the like B62D11/00; steering specially adapted for trailers B62D13/00)	B62D12/00	B62D12/00		736
B62D12/02	8	for vehicles operating in tandem	B62D12/02	B62D12/02		211
B62D13/00	7	Steering specially adapted for trailers (combined traction and steering hitches B60D)	B62D13/00	B62D13/00		1124
B62D13/005	8	{operated from tractor steering system}	B62D13/00	B62D13/00		265
B62D13/02	8	for centrally-pivoted axles	B62D13/02	B62D13/02		793
B62D13/025	9	{the pivoted movement being initiated by the coupling means between tractor and trailer}	B62D13/02	B62D13/02		369
B62D13/04	8	for individually-pivoted wheels	B62D13/04	B62D13/04		1440
B62D13/06	8	for backing a normally drawn trailer	B62D13/06	B62D13/06		972
B62D15/00	7	Steering not otherwise provided for	B62D15/00	B62D15/00		627
B62D15/02	8	Steering position indicators {; Steering position determination; Steering aids}	B62D15/02	B62D15/02		1341
B62D15/0205	9	{Mechanical indicators, e.g. in or near steering wheel}	B62D15/02	B62D15/02		239
B62D15/021	9	{Determination of steering angle}	B62D15/02	B62D15/02		1454
B62D15/0215	10	{by measuring on the steering column}	B62D15/02	B62D15/02		982
B62D15/022	11	{on or near the connection between the steering wheel and steering column}	B62D15/02	B62D15/02		173
B62D15/0225	10	{by measuring on a steering gear element, e.g. on a rack bar}	B62D15/02	B62D15/02		454
B62D15/023	10	{by measuring on the king pin}	B62D15/02	B62D15/02		146
B62D15/0235	10	{by measuring or deriving directly at the electric power steering motor}	B62D15/02	B62D15/02		428
B62D15/024	10	{Other means for determination of steering angle without directly measuring it, e.g. deriving from wheel speeds on different sides of the car}	B62D15/02	B62D15/02		394
B62D15/0245	10	{Means or methods for determination of the central position of the steering system, e.g. straight ahead position}	B62D15/02	B62D15/02		598
B62D15/025	9	{Active steering aids, e.g. helping the driver by actively influencing the steering system after environment evaluation (B62D1/28 takes precedence)}	B62D15/02	B62D15/02		3182
B62D15/0255	10	{Automatic changing of lane, e.g. for passing another vehicle}	B62D15/02	B62D15/02		481
B62D15/026	10	{combined with automatic distance control, i.e. electronic tow bar}	B62D15/02	B62D15/02		150
B62D15/0265	10	{Automatic obstacle avoidance by steering}	B62D15/02	B62D15/02		923
B62D15/027	9	{Parking aids, e.g. instruction means}	B62D15/02	B62D15/02		1332
B62D15/0275	10	{by overlaying a vehicle path based on present steering angle over an image without processing that image}	B62D15/02	B62D15/02		346
B62D15/028	10	{Guided parking by providing commands to the driver, e.g. acoustically or optically}	B62D15/02	B62D15/02		705
B62D15/0285	10	{Parking performed automatically}	B62D15/02	B62D15/02		3600
B62D15/029	9	{Steering assistants using warnings or proposing actions to the driver without influencing the steering system}	B62D15/02	B62D15/02		1013
B62D15/0295	10	{by overlaying a vehicle path based on present steering angle over an image without processing that image}	B62D15/02	B62D15/02		239
B62D17/00	7	Means on vehicles for adjusting camber, castor, or toe-in	B62D17/00	B62D17/00		2091
B62D19/00	7	Radius rods, i.e. distance members	B62D19/00	B62D19/00		140
B62D21/00	7	Understructures, i.e. chassis frame on which a vehicle body may be mounted (combined frame and vehicle body B62D23/00{; characterised by the material thereof B62D29/00})	B62D21/00	B62D21/00		1934
B62D21/02	8	comprising longitudinally or transversely arranged frame members	B62D21/02	B62D21/02		4927
B62D21/03	9	transverse members providing body support	B62D21/03	B62D21/03		688
B62D21/04	9	single longitudinal type	B62D21/04	B62D21/04		380
B62D21/05	9	pinched frame type, i.e. formed of at least two longitudinal frame sections connected by other longitudinal frame sections of lesser transverse dimension	B62D21/05	B62D21/05		86
B62D21/06	8	of X-shaped or fork-shaped construction, i.e. having members which form an X or fork as the frame is seen in plan view	B62D21/06	B62D21/06		268
