F03G5/092	8	{using centrifugal or centripetal forces}<br><br><u>WARNING</u><br>Group F03G5/092 is incomplete pending reclassification of documents from group F03G5/00.<br>Groups F03G5/00 and F03G5/092 should be considered in order to perform a complete search.	F03G5/00	F03G5/092		5
F03G5/095	8	{with potential energy storage}<br><br><u>WARNING</u><br>Group F03G5/095 is incomplete pending reclassification of documents from group F03G5/00.<br>Groups F03G5/00 and F03G5/095 should be considered in order to perform a complete search.	F03G5/00	F03G5/095		43
F03G5/098	8	{for pumping}<br><br><u>WARNING</u><br>Group F03G5/098 is incomplete pending reclassification of documents from group F03G5/00.<br>Groups F03G5/00 and F03G5/098 should be considered in order to perform a complete search.	F03G5/00	F03G5/098		9
F03G5/103	8	{using springs}<br><br><u>WARNING</u><br>Group F03G5/103 is incomplete pending reclassification of documents from group F03G5/00.<br>Groups F03G5/00 and F03G5/103 should be considered in order to perform a complete search.	F03G5/00	F03G5/103		31
F03G6/00	7	Devices for producing mechanical power from solar energy (solar boilers F24)<br><br><u>WARNING</u><br>Group F03G6/00 is impacted by reclassification into groups F03G6/002, F03G6/0055, F03G6/071, F03G6/074, F03G6/083, F03G6/089, F03G6/092, F03G6/098, F03G6/108, F03G6/111, F03G6/114, F03G6/117, F03G6/121, F03G6/124, F03G6/127 and F03G6/129.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G6/00	F03G6/00		542
F03G6/001	8	{having photovoltaic cells}	F03G6/00	F03G6/00		295
F03G6/002	8	{with expansion and contraction elements}<br><br><u>WARNING</u><br>Group F03G6/002 is incomplete pending reclassification of documents from group F03G6/00.<br>Groups F03G6/00 and F03G6/002 should be considered in order to perform a complete search.	F03G6/00	F03G6/00		109
F03G6/003	8	{having a Rankine cycle (F03G6/065 takes precedence)}<br><br><u>WARNING</u><br>Group F03G6/003 is impacted by reclassification into group F03G6/004.<br>Groups F03G6/003 and F03G6/004 should be considered in order to perform a complete search.	F03G6/00	F03G6/00		358
F03G6/004	9	{of the Organic Rankine Cycle [ORC] type or the Kalina Cycle type}<br><br><u>WARNING</u><br>Group F03G6/004 is incomplete pending reclassification of documents from group F03G6/003.<br>Groups F03G6/003 and F03G6/004 should be considered in order to perform a complete search.	F03G6/00	F03G6/00		64
F03G6/005	9	{Binary cycle plants where the fluid from the solar collector heats the working fluid via a heat exchanger}	F03G6/00	F03G6/00		320
F03G6/0055	8	{having other power cycles, e.g. Stirling or transcritical, supercritical cycles; combined with other power sources, e.g. wind, gas or nuclear}<br><br><u>WARNING</u><br>Group F03G6/0055 is incomplete pending reclassification of documents from group F03G6/00.<br>Groups F03G6/00 and F03G6/0055 should be considered in order to perform a complete search.	F03G6/00	F03G6/00		93
