H05K1/113	12	{Via provided in pad; Pad over filled via}	H05K1/11	H05K1/11		1650
H05K1/114	12	{Pad being close to via, but not surrounding the via}	H05K1/11	H05K1/11		442
H05K1/115	10	{Via connections; Lands around holes or via connections (H05K1/112 takes precedence)}	H05K1/11	H05K1/11		5535
H05K1/116	11	{Lands, clearance holes or other lay-out details concerning the surrounding of a via}	H05K1/11	H05K1/11		2108
H05K1/117	10	{Pads along the edge of rigid circuit boards, e.g. for pluggable connectors}	H05K1/11	H05K1/11		2852
H05K1/118	10	{specially for flexible printed circuits, e.g. using folded portions}	H05K1/11	H05K1/11		3299
H05K1/119	10	{Details of rigid insulating substrates therefor, e.g. three-dimensional details (H05K1/117 takes precedence)}	H05K1/11	H05K1/11		555
H05K1/14	9	Structural association of two or more printed circuits (providing electric connection to or between printed circuits H05K1/11, H01R12/00)	H05K1/14	H05K1/14		3337
H05K1/141	10	{One or more single auxiliary printed circuits mounted on a main printed circuit, e.g. modules, adapters (H05K1/142 and H05K1/147 take precedence)}	H05K1/14	H05K1/14		4952
H05K1/142	10	{Arrangements of planar printed circuit boards in the same plane, e.g. auxiliary printed circuit insert mounted in a main printed circuit}	H05K1/14	H05K1/14		1421
H05K1/144	10	{Stacked arrangements of planar printed circuit boards}	H05K1/14	H05K1/14		4340
H05K1/145	10	{Arrangements wherein electric components are disposed between and simultaneously connected to two planar printed circuit boards, e.g. Cordwood modules}	H05K1/14	H05K1/14		1081
H05K1/147	10	{at least one of the printed circuits being bent or folded, e.g. by using a flexible printed circuit (H05K1/148 takes precedence)}	H05K1/14	H05K1/14		3752
H05K1/148	10	{Arrangements of two or more hingeably connected rigid printed circuit boards, i.e. connected by flexible means}	H05K1/14	H05K1/14		1093
H05K1/16	8	incorporating printed electric components, e.g. printed resistor, capacitor, inductor	H05K1/16	H05K1/16		2383
H05K1/162	9	{incorporating printed capacitors}	H05K1/16	H05K1/16		2576
H05K1/165	9	{incorporating printed inductors}	H05K1/16	H05K1/16		2728
H05K1/167	9	{incorporating printed resistors}	H05K1/16	H05K1/16		1901
H05K1/18	8	Printed circuits structurally associated with non-printed electric components ({H05K1/0201, H05K1/023, H05K1/0243, and}H05K1/16 take precedence)	H05K1/18	H05K1/18		6923
H05K1/181	9	{associated with surface mounted components}	H05K1/18	H05K1/18		11044
H05K1/182	9	{associated with components mounted in the printed circuit board, e.g. insert mounted components [IMC]}	H05K1/18	H05K1/18		2962
H05K1/183	10	{Components mounted in and supported by recessed areas of the printed circuit board}	H05K1/18	H05K1/18		1918
H05K1/184	10	{Components including terminals inserted in holes through the printed circuit board and connected to printed contacts on the walls of the holes or at the edges thereof or protruding over or into the holes}	H05K1/18	H05K1/18		1337
H05K1/185	10	{Components encapsulated in the insulating substrate of the printed circuit or incorporated in internal layers of a multilayer circuit (semiconductor chips encapsulated by interconnect and support structures H01L23/5389, H01L24/00)}	H05K1/18	H05K1/18		3184
H05K1/186	11	{manufactured by mounting on or connecting to patterned circuits before or during embedding}	H05K1/18	H05K1/18		870
H05K1/187	12	{the patterned circuits being prefabricated circuits, which are not yet attached to a permanent insulating substrate, e.g. on a temporary carrier}	H05K1/18	H05K1/18		168
H05K1/188	11	{manufactured by mounting on or attaching to a structure having a conductive layer, e.g. a metal foil, such that the terminals of the component are connected to or adjacent to the conductive layer before embedding, and by using the conductive layer, which is patterned after embedding, at least partially for connecting the component}	H05K1/18	H05K1/18		293
H05K1/189	9	{characterised by the use of a flexible or folded printed circuit (H05K3/326 takes precedence)}	H05K1/18	H05K1/18		6180
H05K3/00	7	Apparatus or processes for manufacturing printed circuits	H05K3/00	H05K3/00		4630
H05K3/0002	8	{for manufacturing artworks for printed circuits}	H05K3/00	H05K3/00		722
H05K3/0005	8	{for designing circuits by computer}	H05K3/00	H05K3/00		1307
H05K3/0008	8	{for aligning or positioning of tools relative to the circuit board (H05K3/4638, H05K3/4679 take precedence; for manufacturing assemblages of components H05K13/0015)}	H05K3/00	H05K3/00		2291
H05K3/0011	8	{Working of insulating substrates or insulating layers}	H05K3/00	H05K3/00		1067
H05K3/0014	9	{Shaping of the substrate, e.g. by moulding}	H05K3/00	H05K3/00		1435
H05K3/0017	9	{Etching of the substrate by chemical or physical means}	H05K3/00	H05K3/00		708
H05K3/002	10	{by liquid chemical etching}	H05K3/00	H05K3/00		611
H05K3/0023	10	{by exposure and development of a photosensitive insulating layer}	H05K3/00	H05K3/00		972
H05K3/0026	10	{by laser ablation}	H05K3/00	H05K3/00		1144
H05K3/0029	11	{of inorganic insulating material}	H05K3/00	H05K3/00		276
H05K3/0032	11	{of organic insulating material}	H05K3/00	H05K3/00		697
H05K3/0035	12	{of blind holes, i.e. having a metal layer at the bottom}	H05K3/00	H05K3/00		754
H05K3/0038	12	{combined with laser drilling through a metal layer}	H05K3/00	H05K3/00		351
H05K3/0041	10	{by plasma etching}	H05K3/00	H05K3/00		331
H05K3/0044	9	{Mechanical working of the substrate, e.g. drilling or punching (H05K3/0008 takes precedence)}	H05K3/00	H05K3/00		2818
H05K3/0047	10	{Drilling of holes}	H05K3/00	H05K3/00		3776
H05K3/005	10	{Punching of holes}	H05K3/00	H05K3/00		684
H05K3/0052	10	{Depaneling, i.e. dividing a panel into circuit boards; Working of the edges of circuit boards}	H05K3/00	H05K3/00		2680
H05K3/0055	9	{After-treatment, e.g. cleaning or desmearing of holes}	H05K3/00	H05K3/00		1101
H05K3/0058	8	{Laminating printed circuit boards onto other substrates, e.g. metallic substrates (H05K1/0281 takes precedence)}	H05K3/00	H05K3/00		1889
H05K3/0061	9	{onto a metallic substrate, e.g. a heat sink (heat sinks for electric apparatus H05K7/20)}	H05K3/00	H05K3/00		2332
H05K3/0064	9	{onto a polymeric substrate}	H05K3/00	H05K3/00		376
H05K3/0067	9	{onto an inorganic, non-metallic substrate}	H05K3/00	H05K3/00		141
H05K3/007	8	{Manufacture or processing of a substrate for a printed circuit board supported by a temporary or sacrificial carrier (H05K1/187, H05K3/20 and H05K3/4682 take precedence)}	H05K3/00	H05K3/00		838
H05K3/0073	8	{Masks not provided for in groups H05K3/02&#160;-&#160;H05K3/46, e.g. for photomechanical production of patterned surfaces}	H05K3/00	H05K3/00		210
H05K3/0076	9	{characterised by the composition of the mask}	H05K3/00	H05K3/00		426
H05K3/0079	9	{characterised by the method of application or removal of the mask (H05K3/0091 takes precedence)}	H05K3/00	H05K3/00		565
H05K3/0082	9	{characterised by the exposure method of radiation-sensitive masks}	H05K3/00	H05K3/00		959
H05K3/0085	8	{Apparatus for treatments of printed circuits with liquids not provided for in groups H05K3/02&#160;-&#160;H05K3/46; conveyors and holding means therefor (apparatus specially adapted for manufacturing assemblages of electric components, e.g. printed circuit boards, H05K13/00)}	H05K3/00	H05K3/00		671
H05K3/0088	9	{for treatment of holes}	H05K3/00	H05K3/00		217
H05K3/0091	8	{Apparatus for coating printed circuits using liquid non-metallic coating compositions}	H05K3/00	H05K3/00		584
H05K3/0094	8	{Filling or covering plated through-holes or blind plated vias, e.g. for masking or for mechanical reinforcement}	H05K3/00	H05K3/00		1872
H05K3/0097	8	{Processing two or more printed circuits simultaneously, e.g. made from a common substrate, or temporarily stacked circuit boards (H05K3/0052 takes precedence)}	H05K3/00	H05K3/00		1981
H05K3/02	8	in which the conductive material is applied to the surface of the insulating support and is thereafter removed from such areas of the surface which are not intended for current conducting or shielding	H05K3/02	H05K3/02		835
H05K3/022	9	{Processes for manufacturing precursors of printed circuits, i.e. copper-clad substrates}	H05K3/02	H05K3/02		3015
