F01C5/00	7	Rotary-piston machines or engines with the working-chamber walls at least partly resiliently deformable	F01C5/00	F01C5/00		23
F01C5/02	8	the resiliently-deformable wall being part of the inner member, e.g. of a rotary piston	F01C5/02	F01C5/02		51
F01C5/04	8	the resiliently-deformable wall being part of the outer member, e.g. of a housing	F01C5/04	F01C5/04		23
F01C5/06	8	the resiliently-deformable wall being a separate member	F01C5/06	F01C5/06		17
F01C5/08	9	of tubular form, e.g. hose	F01C5/08	F01C5/08		16
F01C7/00	7	Rotary-piston machines or engines with fluid ring or the like	F01C7/00	F01C7/00		54
F01C9/00	7	Oscillating-piston machines or engines	F01C9/00	F01C9/00		106
F01C9/002	8	{the piston oscillating around a fixed axis}	F01C9/00	F01C9/00		525
F01C9/005	8	{the piston oscillating in the space, e.g. around a fixed point (rotary piston machines or engines with non-parallel axes of rotation between co-operating members F01C3/00)}	F01C9/00	F01C9/00		344
F01C9/007	8	{the points of the moving element describing approximately an alternating movement in axial direction with respect to the other element}	F01C9/00	F01C9/00		49
F01C11/00	7	Combinations of two or more machines or engines, each being of rotary-piston or oscillating-piston type (F01C13/00 takes precedence; combinations of two or more pumps F04; fluid gearing F16H)	F01C11/00	F01C11/00		173
F01C11/002	8	{of similar working principle}	F01C11/00	F01C11/00		464
F01C11/004	9	{and of complementary function, e.g. internal combustion engine with supercharger}	F01C11/00	F01C11/00		722
F01C11/006	8	{of dissimilar working principle}	F01C11/00	F01C11/00		85
F01C11/008	9	{and of complementary function, e.g. internal combustion engine with supercharger}<br><br><u>NOTE</u><br><br>Multi-stage steam engines or similar machines are not considered as having complementary function	F01C11/00	F01C11/00		260
F01C13/00	7	Adaptations of machines or engines for special use; Combinations of engines with devices driven thereby	F01C13/00	F01C13/00		294
F01C13/02	8	for driving hand-held tools or the like	F01C13/02	F01C13/02		120
F01C13/04	8	for driving pumps or compressors	F01C13/04	F01C13/04		158
F01C17/00	7	Arrangements for drive of co-operating members, e.g. for rotary piston and casing	F01C17/00	F01C17/00		71
F01C17/02	8	of toothed-gearing type (F01C1/077 takes precedence)	F01C17/02	F01C17/02		299
F01C17/04	8	of cam-and-follower type (F01C1/067 takes precedence)	F01C17/04	F01C17/04		30
F01C17/06	8	using cranks, universal joints or similar elements (F01C1/07 takes precedence)	F01C17/06	F01C17/06		438
F01C17/063	9	{with only rolling movement}	F01C17/06	F01C17/06		230
F01C17/066	9	{with an intermediate piece sliding along perpendicular axes, e.g. Oldham coupling}	F01C17/06	F01C17/06		573
F01C19/00	7	Sealing arrangements in rotary-piston machines or engines (sealings in general F16J)	F01C19/00	F01C19/00		175
F01C19/005	8	{Structure and composition of sealing elements such as sealing strips, sealing rings and the like; Coating of these elements (vane construction F01C21/0809; piston rings and ring sealings of similar construction in general F16J9/00)}	F01C19/00	F01C19/00		439
F01C19/02	8	Radially-movable sealings for working fluids	F01C19/02	F01C19/02		283
F01C19/025	9	{Radial sealing elements specially adapted for intermeshing engagement type machines or engines, e.g. gear machines or engines}	F01C19/02	F01C19/02		48
F01C19/04	9	of rigid material	F01C19/04	F01C19/04		476
F01C19/06	9	of resilient material	F01C19/06	F01C19/06		43
F01C19/08	8	Axially-movable sealings for working fluids	F01C19/08	F01C19/08		562
F01C19/085	9	{Elements specially adapted for sealing of the lateral faces of intermeshing-engagement type machines or engines, e.g. gear machines or engines}	F01C19/08	F01C19/08		54
F01C19/10	8	Sealings for working fluids between radially and axially movable parts	F01C19/10	F01C19/10		593
F01C19/12	8	for other than working fluid	F01C19/12	F01C19/12		111
F01C19/125	9	{Shaft sealings specially adapted for rotary or oscillating-piston machines or engines}	F01C19/12	F01C19/12		71
F01C20/00	7	Control of, monitoring of, or safety arrangements for, machines or engines	F01C20/00	F01C20/00		81
F01C20/02	8	specially adapted for several machines or engines connected in series or in parallel	F01C20/02	F01C20/02		45
F01C20/04	8	specially adapted for reversible machines or engines	F01C20/04	F01C20/04		103
F01C20/06	8	specially adapted for stopping, starting, idling or no-load operation	F01C20/06	F01C20/06		56
F01C20/08	8	characterised by varying the rotational speed	F01C20/08	F01C20/08		61
F01C20/10	8	characterised by changing the positions of the inlet or outlet openings with respect to the working chamber	F01C20/10	F01C20/10		33
F01C20/12	9	using sliding valves	F01C20/12	F01C20/12		39
F01C20/125	10	{with sliding valves controlled by the use of fluid other than the working fluid}	F01C20/12	F01C20/12		4
F01C20/14	9	using rotating valves	F01C20/14	F01C20/14		105
F01C20/16	9	using lift valves	F01C20/16	F01C20/16		33
F01C20/18	8	characterised by varying the volume of the working chamber (by changing the positions of inlet or outlet openings F01C20/10)	F01C20/18	F01C20/18		62
F01C20/185	9	{by varying the useful pumping length of the cooperating members in the axial direction}	F01C20/18	F01C20/18		17
F01C20/20	9	by changing the form of the inner or outlet contour of the working chamber	F01C20/20	F01C20/20		46
F01C20/22	9	by changing the eccentricity between cooperating members	F01C20/22	F01C20/22		53
F01C20/24	8	characterised by using valves for controlling pressure or flow rate, e.g. discharge valves (F01C20/10 takes precedence)	F01C20/24	F01C20/24		105
F01C20/26	9	using bypass channels	F01C20/26	F01C20/26		38
F01C20/265	10	{being obtained by displacing a lateral sealing face}	F01C20/26	F01C20/26		5
F01C20/28	8	Safety arrangements; Monitoring	F01C20/28	F01C20/28		69
F01C21/00	7	Component parts, details or accessories not provided for in groups F01C1/00&#160;-&#160;F01C20/00	F01C21/00	F01C21/00		122
F01C21/001	8	{Injection of a fluid in the working chamber for sealing, cooling and lubricating (sealing only F01C17/00; lubrication only F01C21/04; cooling only F01C21/06; injecting water or steam in internal combustion engines F02B47/02, F02D21/00, F02M25/00)}	F01C21/00	F01C21/00		37
F01C21/002	9	{with control systems for the injection of the fluid}	F01C21/00	F01C21/00		9
F01C21/003	8	{Systems for the equilibration of forces acting on the elements of the machine (interstice adjustment other than by fluid pressure F01C21/102)}	F01C21/00	F01C21/00		147
F01C21/005	9	{Internal leakage control}	F01C21/00	F01C21/00		9
F01C21/006	9	{Equalization of pressure pulses (silencing for compressors F04C29/06)}	F01C21/00	F01C21/00		32
F01C21/007	8	{General arrangements of parts; Frames and supporting elements}	F01C21/00	F01C21/00		378
F01C21/008	8	{Driving elements, brakes, couplings, transmissions specially adapted for rotary or oscillating-piston machines or engines (brakes, couplings, transmissions per seF16, B60)}	F01C21/00	F01C21/00		365
F01C21/02	8	Arrangements of bearings (bearing constructions F16C)	F01C21/02	F01C21/02		755
F01C21/04	8	Lubrication (of machines or engines in general F01M)	F01C21/04	F01C21/04		323
F01C21/045	9	{Control systems for the circulation of the lubricant}	F01C21/04	F01C21/04		28
F01C21/06	8	Heating; Cooling (of machines or engines in general F01P); Heat insulation (heat insulation in general F16L)	F01C21/06	F01C21/06		458
F01C21/08	8	Rotary pistons (reciprocating pistons in general F16J)	F01C21/08	F01C21/08		1071
F01C21/0809	9	{Construction of vanes or vane holders}	F01C21/08	F01C21/08		1415
F01C21/0818	10	{Vane tracking; control therefor}	F01C21/08	F01C21/08		156
F01C21/0827	11	{by mechanical means}	F01C21/08	F01C21/08		110
F01C21/0836	12	{comprising guiding means, e.g. cams, rollers}	F01C21/08	F01C21/08		910
F01C21/0845	12	{comprising elastic means, e.g. springs}	F01C21/08	F01C21/08		435
F01C21/0854	11	{by fluid means}	F01C21/08	F01C21/08		43
F01C21/0863	12	{the fluid being the working fluid}	F01C21/08	F01C21/08		697
F01C21/0872	12	{the fluid being other than the working fluid}	F01C21/08	F01C21/08		123
F01C21/0881	10	{the vanes consisting of two or more parts}	F01C21/08	F01C21/08		383
F01C21/089	10	{for synchronised movement of the vanes}	F01C21/08	F01C21/08		168
F01C21/10	8	Outer members for co-operation with rotary pistons; Casings (casings for rotary engines or machines in general F16M)	F01C21/10	F01C21/10		1250
F01C21/102	9	{Adjustment of the interstices between moving and fixed parts of the machine by means other than fluid pressure}	F01C21/10	F01C21/10		300
F01C21/104	9	{Stators; Members defining the outer boundaries of the working chamber}	F01C21/10	F01C21/10		429
F01C21/106	10	{with a radial surface, e.g. cam rings}	F01C21/10	F01C21/10		578
F01C21/108	10	{with an axial surface, e.g. side plates}	F01C21/10	F01C21/10		604
F01C2021/12	8	{Control of working fluid admission or discharge}	F01C21/00	F01C21/12		16
F01C2021/125	9	{Arrangements for supercharging the working space}	F01C21/00	F01C21/12		2
F01C2021/14	9	{for variable fluid distribution}	F01C21/00	F01C21/14		
F01C2021/16	8	{Other regulation or control}	F01C21/00	F01C21/16		5
F01C2021/1606	9	{Variation of the working chamber}	F01C21/00	F01C21/16		2
F01C2021/1612	10	{by changing the eccentricity of an element with respect to another element}	F01C21/00	F01C21/16		
F01C2021/1618	10	{by changing the positions of the inlet and outlet openings with respect to the working chambers}	F01C21/00	F01C21/16		
F01C2021/1625	11	{with sliding or rotating valves, adjustable in position}	F01C21/00	F01C21/16		1
F01C2021/1631	12	{with sliding valves controlled by the use of fluid other than the working fluid}	F01C21/00	F01C21/16		
F01C2021/1637	10	{by changing the form of the radially inner or the radially outer contour of the working chamber}	F01C21/00	F01C21/16		
F01C2021/1643	9	{by using valves regulating pressure and flow rate, e.g. discharge valves}	F01C21/00	F01C21/16		7
F01C2021/165	10	{using a by-pass channel}	F01C21/00	F01C21/16		5
F01C2021/1656	11	{being obtained by displacing a lateral sealing face}	F01C21/00	F01C21/16		
F01C2021/1662	10	{with venting means}	F01C21/00	F01C21/16		
F01C2021/1668	9	{with several machines or engines connected in series or in parallel}	F01C21/00	F01C21/16		1
F01C2021/1675	9	{with reversible machines or engines}	F01C21/00	F01C21/16		2
F01C2021/1681	9	{by varying the rotational speed}	F01C21/00	F01C21/16		2
F01C2021/1687	9	{Safety arrangements}	F01C21/00	F01C21/16		2
F01C2021/1693	9	{Stopping or starting, idling or no-load operation}	F01C21/00	F01C21/16		2
F01C21/18	8	Arrangements for admission or discharge of the working fluid, e.g. constructional features of the inlet or outlet	F01C21/18	F01C21/18		717
F01C21/183	9	{Arrangements for supercharging the working space (similar arrangements for internal combustion engines F02B33/00, F02B27/00)}	F01C21/18	F01C21/18		35
F01C21/186	9	{for variable fluid distribution}	F01C21/18	F01C21/18		103
