B60S1/3497	12	{Additional means for guiding the blade other than the arm or blade joint}	B60S1/34	B60S1/34		73
B60S1/36	12	Variable-length arms	B60S1/36	B60S1/36		183
B60S1/365	13	{the effective length being automatically varied during angular oscillation of the arm}	B60S1/36	B60S1/36		292
B60S1/38	11	Wiper blades {(provided with liquid spreading means B60S1/524; provided with gas spreading means B60S1/546)}	B60S1/38	B60S1/38		3020
B60S1/3801	12	{characterised by a blade support harness consisting of several articulated elements (B60S1/3803, B60S1/3806 take precedence)}	B60S1/38	B60S1/38		1576
B60S1/3803	12	{heated wiper blades}	B60S1/38	B60S1/38		62
B60S1/3805	13	{electrically}	B60S1/38	B60S1/38		685
B60S1/3806	12	{Means, or measures taken, for influencing the aerodynamic quality of the wiper blades}	B60S1/38	B60S1/38		674
B60S1/3808	13	{Spoiler integral with the squeegee}	B60S1/38	B60S1/38		216
B60S1/381	13	{Spoilers mounted on the squeegee or on the vertebra}	B60S1/38	B60S1/38		918
B60S2001/3812	12	{Means of supporting or holding the squeegee or blade rubber}	B60S1/38	B60S1/38		633
B60S2001/3813	13	{chacterised by a support harness consisting of several articulated elements}	B60S1/38	B60S1/38		357
B60S2001/3815	14	{chacterised by the joint between elements}	B60S1/38	B60S1/38		462
B60S2001/3817	13	{chacterised by a backing strip to aid mounting of squeegee in support}	B60S1/38	B60S1/38		128
B60S2001/3818	14	{the backing strip being a channel-like element, e.g. not continuous}	B60S1/38	B60S1/38		386
B60S2001/382	14	{the backing strip being an essentially planar reinforcing strip, e.g. vertebra}	B60S1/38	B60S1/38		721
B60S2001/3822	13	{characterised by additional means to prevent longitudinal sliding of squeegee in support, e.g. clips}	B60S1/38	B60S1/38		438
B60S2001/3824	13	{the blade or squeegee pivoting about an axis parallel to blade longitudinal axis}	B60S1/38	B60S1/38		286
B60S2001/3825	13	{the squeegee mounted directly to or in wiper blade arm}	B60S1/38	B60S1/38		162
B60S2001/3827	12	{characterised by the squeegee or blade rubber or wiping element}	B60S1/38	B60S1/38		265
B60S2001/3829	13	{characterised by the material of the squeegee or coating thereof}	B60S1/38	B60S1/38		632
B60S2001/3831	14	{cleaning by scrubbing or abrasive action}	B60S1/38	B60S1/38		128
B60S2001/3832	14	{cleaning by rigid or semi-rigid scraping elements, e.g. for removing ice}	B60S1/38	B60S1/38		97
B60S2001/3834	14	{equipped with brush-like elements}	B60S1/38	B60S1/38		157
B60S2001/3836	13	{characterised by cross-sectional shape}	B60S1/38	B60S1/38		1033
B60S2001/3837	14	{with more than one wiping edge or lip}	B60S1/38	B60S1/38		729
B60S2001/3839	15	{with longitudinally split squeegee, with squeegee parts}	B60S1/38	B60S1/38		66
B60S2001/3841	13	{Squeegee modifications to prevent longitudinally sliding of squeegee in support structure}	B60S1/38	B60S1/38		158
B60S2001/3843	12	{equipped with removable cover or protective elements}	B60S1/38	B60S1/38		330
B60S2001/3844	12	{equipped with means to indicate wear or usage of blade}	B60S1/38	B60S1/38		129
B60S2001/3846	12	{Devices for renewing or renovating blade wiping edges, e.g. cutters}	B60S1/38	B60S1/38		96
B60S1/3848	12	{Flat-type wiper blade, i.e. without harness}	B60S1/38	B60S1/38		292
B60S1/3849	13	{Connectors therefor; Connection to wiper arm; Attached to blade}	B60S1/38	B60S1/38		442
B60S1/3851	14	{Mounting of connector to blade assembly}	B60S1/38	B60S1/38		241
B60S1/3853	15	{Snap-fit, e.g. elastic connection}	B60S1/38	B60S1/38		180
B60S1/3855	15	{by welding, gluing or the like}	B60S1/38	B60S1/38		70
B60S1/3856	15	{Gripping the blade}	B60S1/38	B60S1/38		244
B60S1/3858	15	{with protrusions cooperating with holes}	B60S1/38	B60S1/38		227
B60S1/386	14	{made in two halves}	B60S1/38	B60S1/38		116
B60S1/3862	14	{Transport of liquid there through}	B60S1/38	B60S1/38		319
B60S1/3863	14	{Connectors having a spoiler}	B60S1/38	B60S1/38		211
B60S1/3865	14	{Connectors having an integral pivot pin for connection with the wiper arm}	B60S1/38	B60S1/38		44
B60S1/3867	15	{pin formed on the interior of side walls}	B60S1/38	B60S1/38		195
B60S1/3868	15	{pin formed on the exterior of side walls}	B60S1/38	B60S1/38		172
B60S1/387	14	{the connector being suitable for receiving different types of adapter}	B60S1/38	B60S1/38		215
B60S1/3872	13	{without connector, e.g. connection to wiper arm via squeegee or vertebra}	B60S1/38	B60S1/38		57
B60S1/3874	13	{with a reinforcing vertebra}	B60S1/38	B60S1/38		119
B60S1/3875	14	{rectangular section}	B60S1/38	B60S1/38		135
B60S1/3877	15	{embedded in the squeegee}	B60S1/38	B60S1/38		175
B60S1/3879	15	{placed in side grooves in the squeegee}	B60S1/38	B60S1/38		480
B60S1/3881	15	{in additional element, e.g. spoiler}	B60S1/38	B60S1/38		386
B60S1/3882	14	{C-shape section}	B60S1/38	B60S1/38		168
B60S1/3884	14	{Wire-shaped section}	B60S1/38	B60S1/38		22
B60S1/3886	13	{End caps}	B60S1/38	B60S1/38		85
B60S1/3887	14	{Mounting of end caps}	B60S1/38	B60S1/38		101
B60S1/3889	15	{cooperating with holes in the vertebra}	B60S1/38	B60S1/38		173
B60S1/3891	15	{with locking device}	B60S1/38	B60S1/38		70
B60S1/3893	15	{cooperating with holes in the squeegee}	B60S1/38	B60S1/38		32
B60S1/3894	14	{having a particular shape}	B60S1/38	B60S1/38		223
B60S1/3896	14	{with openings at the longitudinal extremities}	B60S1/38	B60S1/38		41
B60S2001/3898	12	{method for manufacturing wiper blades}	B60S1/38	B60S1/38		273
B60S1/40	11	Connections between blades and arms	B60S1/40	B60S1/40		1416
B60S1/4003	12	{Multi-purpose connections for two or more kinds of arm ends}	B60S1/40	B60S1/40		443
B60S1/4006	12	{for arms provided with a hook-shaped end}	B60S1/40	B60S1/40		553
B60S1/4009	13	{comprising a detachable intermediate element mounted on the hook-shaped end}	B60S1/40	B60S1/40		196
B60S2001/4012	14	{the element being provided with bearing surfaces on its side walls}	B60S1/40	B60S1/40		56
B60S1/4016	14	{the element being provided with retention means co-operating with the hook-shaped end of the arm}	B60S1/40	B60S1/40		174
B60S1/4019	15	{the retention means being protrusions or holes}	B60S1/40	B60S1/40		238
B60S2001/4022	15	{the element being provided with a locking element movable thereon}	B60S1/40	B60S1/40		117
B60S2001/4025	14	{the element being able to receive pivot pins of different diameters}	B60S1/40	B60S1/40		16
B60S2001/4029	14	{the element being able to receive arms of different widths}	B60S1/40	B60S1/40		30
B60S2001/4032	14	{the element being able to receive arms with hooks of different radiuses}	B60S1/40	B60S1/40		75
B60S2001/4035	13	{the connection being covered by a removable cover mounted on the blade}	B60S1/40	B60S1/40		130
B60S1/4038	12	{for arms provided with a channel-shaped end}	B60S1/40	B60S1/40		440
B60S1/4041	13	{the channel-shaped end comprising a pivot pin mounted between the side walls}	B60S1/40	B60S1/40		150
B60S1/4045	13	{comprising a detachable intermediate element mounted on the channel-shaped end}	B60S1/40	B60S1/40		96
B60S1/4048	14	{the element being provided with retention means co-operating with the channel-shaped end of the arm}	B60S1/40	B60S1/40		434
B60S2001/4051	15	{the intermediate element engaging the side walls of the arm}	B60S1/40	B60S1/40		327
B60S2001/4054	15	{the intermediate element engaging the back part of the arm}	B60S1/40	B60S1/40		465
B60S2001/4058	13	{comprising a separate locking element, e.g. in addition to an intermediate element}	B60S1/40	B60S1/40		167
B60S2001/4061	13	{covered by a removable cover mounted on the blade}	B60S1/40	B60S1/40		69
B60S1/4064	13	{the channel-shaped end being provided with protrusions on, or holes in, the side walls to create a pivot}	B60S1/40	B60S1/40		436
B60S1/4067	12	{for arms provided with a side pin}	B60S1/40	B60S1/40		170
B60S1/407	13	{with means provided on the arm for locking the side pin}	B60S1/40	B60S1/40		244
B60S1/4074	13	{with means provided on the blade for locking the side pin}	B60S1/40	B60S1/40		201
B60S1/4077	13	{characterised by the connecting part of, or an intermediate element mounted on, the wiper blade (means for locking the side pin B60S1/4074)}	B60S1/40	B60S1/40		101
B60S2001/408	14	{the connecting part or the intermediate element being provided with holes for different diameters of pivoting pin}	B60S1/40	B60S1/40		38
B60S1/4083	12	{for arms provided with a flat end}	B60S1/40	B60S1/40		248
B60S1/4087	13	{the end being provided with protrusions or holes}	B60S1/40	B60S1/40		533
B60S2001/409	12	{characterised by the arm or connecting part mounted on the arm presenting a shaped opening for bearing the pivot axis}	B60S1/40	B60S1/40		211
B60S2001/4093	12	{characterised by the mounting of the pivot on the main yoke of the blade}	B60S1/40	B60S1/40		99
B60S2001/4096	12	{Connections between arm and blade not using a cylindrical pivot axis on the blade}	B60S1/40	B60S1/40		178
B60S1/42	12	resilient	B60S1/42	B60S1/42		324
B60S1/44	10	the wiper blades having other than swinging movement, e.g. rotary {(the wiper blade support member, e.g. arm, having a swinging movement B60S1/32)}	B60S1/44	B60S1/44		350
B60S1/46	9	using liquid; Windscreen washers	B60S1/46	B60S1/46		476
B60S1/48	10	Liquid supply therefor	B60S1/48	B60S1/48		1306
B60S1/481	11	{the operation of at least part of the liquid supply being controlled by electric means (electrical washing liquid warming-up means B60S1/488)}	B60S1/48	B60S1/48		1063
B60S1/482	12	{combined with the operation of windscreen wipers}	B60S1/48	B60S1/48		897
B60S1/483	13	{using a supply pump driven by the windscreen-wiper motor}	B60S1/48	B60S1/48		274
B60S1/485	12	{including control systems responsive to external conditions, e.g. by detection of moisture, dirt or the like}	B60S1/48	B60S1/48		432
B60S1/486	12	{including control systems responsive to a vehicle driving condition, e.g. speed}	B60S1/48	B60S1/48		197
B60S1/487	11	{the liquid being heated (nozzles provided with heating means B60S1/52)}	B60S1/48	B60S1/48		469
B60S1/488	12	{electrically}	B60S1/48	B60S1/48		601
B60S1/50	11	Arrangement of reservoir	B60S1/50	B60S1/50		2154
B60S1/52	11	Arrangement of nozzles; {Liquid spreading means}(nozzles per seB05B)	B60S1/52	B60S1/52		2470
B60S1/522	12	{moving liquid spreading means, e.g. arranged in wiper arms}	B60S1/52	B60S1/52		911
B60S1/524	13	{arranged in wiper blades}	B60S1/52	B60S1/52		1430
B60S1/526	13	{according to vehicle movement characteristics, e.g. speed, or climatic conditions, e.g. wind}	B60S1/52	B60S1/52		96
B60S1/528	13	{the spreading means being moved between a rest position and a working position (B60S1/526 takes precedence)}	B60S1/52	B60S1/52		560
B60S1/54	9	using gas, e.g. hot air	B60S1/54	B60S1/54		3004
B60S1/542	10	{using wiping devices}	B60S1/54	B60S1/54		88
B60S1/544	10	{moving gas spreading means, e.g. arranged in wiper arms}	B60S1/54	B60S1/54		132
B60S1/546	11	{arranged in wiper blades}	B60S1/54	B60S1/54		166
B60S1/548	10	{according to vehicle movement characteristics, e.g. speed, or climatic conditions, e.g. wind}	B60S1/54	B60S1/54		79
B60S1/56	9	specially adapted for cleaning other parts or devices than front windows or windscreens {(rear-view mirror arrangements mounted on vehicle exterior including cleaning devices B60R1/0602)}	B60S1/56	B60S1/56		2255
B60S1/563	10	{for registration, licensing or like devices}	B60S1/56	B60S1/56		50
B60S1/566	10	{including wiping devices (B60S1/563, B60S1/583 take precedence)}	B60S1/56	B60S1/56		823
B60S1/58	10	for rear windows	B60S1/58	B60S1/58		227
B60S1/583	11	{including wiping devices}	B60S1/58	B60S1/58		633
B60S1/586	11	{including defroster or demisting means}	B60S1/58	B60S1/58		276
B60S1/60	10	for signalling devices, e.g. reflectors	B60S1/60	B60S1/60		1292
B60S1/603	11	{the operation of at least a part of the cleaning means being controlled by electric means}	B60S1/60	B60S1/60		431
B60S1/606	12	{combined with the operation of windscreen or front window cleaning means}	B60S1/60	B60S1/60		102
B60S1/62	8	Other vehicle fittings for cleaning	B60S1/62	B60S1/62		629
B60S1/64	9	for cleaning vehicle interiors, e.g. built-in vacuum cleaners	B60S1/64	B60S1/64		746
B60S1/66	9	for cleaning vehicle exterior	B60S1/66	B60S1/66		830
B60S1/68	10	for freeing wheels or tyres from foreign matter, e.g. wheel scrapers	B60S1/68	B60S1/68		953
B60S1/685	11	{for two-wheeled vehicles}	B60S1/68	B60S1/68		118
B60S3/00	7	Vehicle cleaning apparatus not integral with vehicles (cleaning in general B08B; cleaning peculiar to waterborne vessels B63B57/00, B63B59/00; ground equipment for cleaning aircraft B64F5/30)	B60S3/00	B60S3/00		841
