E04C2/428	10	{Separate connecting means, e.g. connecting gratings to underlying structure}	E04C2/42	E04C2/42		155
E04C2/44	8	{characterised by the purpose}	E04B2/00	E04C2/44		168
E04C2/46	9	{specially adapted for making walls (E04C2/52, E04C2/54 take precedence; structure of slab-shaped elements E04B1/02; walls of elements of relatively thin form E04B2/72)}	E04B2/00	E04C2/46		1978
E04C2/48	9	{as high as or higher than the room, i.e. having provisions concerning the connection with at least two floors (E04C2/52 and E04C2/54 take precedence)}	E04B2/00	E04C2/48		84
E04C2/50	9	{Self-supporting slabs specially adapted for making floors ceilings, or roofs, e.g. able to be loaded (E04C2/52, E04C2/54 take precedence; structures of slab-shaped elements E04B1/02; floor structures E04B5/00; roofs consisting of self-supporting slabs E04B7/20; ceilings E04B9/00; roof coverings E04D; floor coverings E04F15/00)}	E04B5/02	E04C2/50		595
E04C2/52	9	with special adaptations for auxiliary purposes, e.g. serving for locating conduits (E04C2/54 takes precedence; block-shaped elements therefor E04C1/39; floor structures incorporating ducts E04B5/48)	E04C2/52	E04C2/52		1175
E04C2/521	10	{serving for locating conduits; for ventilating, heating or cooling}	E04C2/52	E04C2/52		1369
E04C2/523	11	{for ventilating}	E04C2/52	E04C2/52		257
E04C2/525	11	{for heating or cooling (solar heat collectors F24S10/00; heat storage F28D20/00)}	E04C2/52	E04C2/52		1325
E04C2/526	10	{with adaptations not otherwise provided for, for connecting, transport; for making impervious or hermetic, e.g. sealings}	E04C2/52	E04C2/52		506
E04C2/528	11	{Impervious or hermetic panels not otherwise provided for}	E04C2/52	E04C2/52		121
E04C2/54	8	Slab-like translucent elements (floors for transmitting light E04B5/46; translucent or open-work ceilings E04B9/32, E04B9/34; translucent roof coverings E04D3/06, E04D3/28)	E04C2/54	E04C2/54		1410
E04C2/543	9	{Hollow multi-walled panels with integrated webs}	E04C2/54	E04C2/54		515
E04C2/546	9	{made of glass bricks}	E04C2/54	E04C2/54		156
E04C3/00	7	Structural elongated elements designed for load-supporting (as building aids E04G)	E04C3/00	E04C3/00		231
E04C3/005	8	{Girders or columns that are rollable, collapsible or otherwise adjustable in length or height (girders as supporting members for forms E04G11/54)}	E04C3/00	E04C3/00		617
E04C3/02	8	Joists; Girders, trusses, or trusslike structures, e.g. prefabricated; Lintels; Transoms; {Braces}(E04C3/38 takes precedence; for structures characterised by movable, separable, or collapsible parts E04B1/343; {braced purlins E04B7/024})	E04C3/02	E04C3/02		1843
E04C2003/023	9	{Lintels}	E04C3/02	E04C3/02		886
E04C2003/026	9	{Braces}	E04C3/02	E04C3/02		557
E04C3/04	9	of metal (E04C3/29 takes precedence; as reinforcing elements E04C5/06; manufacture B21)	E04C3/04	E04C3/04		1897
E04C2003/0404	10	{beams, girders, or joists characterised by cross-sectional aspects}	E04C3/04	E04C3/04		68
E04C2003/0408	11	{characterised by assembly or the cross-section}	E04C3/04	E04C3/04		100
E04C2003/0413	12	{being built up from several parts}	E04C3/04	E04C3/04		1838
E04C2003/0417	13	{demountable}	E04C3/04	E04C3/04		505
E04C2003/0421	12	{comprising one single unitary part}	E04C3/04	E04C3/04		1526
E04C2003/0426	11	{characterised by material distribution in cross section}	E04C3/04	E04C3/04		19
E04C2003/043	12	{the hollow cross-section comprising at least one enclosed cavity}	E04C3/04	E04C3/04		1241
E04C2003/0434	12	{the open cross-section free of enclosed cavities}	E04C3/04	E04C3/04		1709
E04C2003/0439	12	{the cross-section comprising open parts and hollow parts}	E04C3/04	E04C3/04		764
E04C2003/0443	11	{characterised by substantial shape of the cross-section}	E04C3/04	E04C3/04		109
E04C2003/0447	12	{circular- or oval-shaped}	E04C3/04	E04C3/04		289
E04C2003/0452	12	{H- or I-shaped}	E04C3/04	E04C3/04		1793
E04C2003/0456	13	{hollow flanged, i.e. "dogbone" metal beams}	E04C3/04	E04C3/04		164
E04C2003/046	12	{L- or T-shaped}	E04C3/04	E04C3/04		530
E04C2003/0465	12	{square- or rectangular-shaped}	E04C3/04	E04C3/04		1100
E04C2003/0469	12	{triangular-shaped}	E04C3/04	E04C3/04		172
E04C2003/0473	12	{U- or C-shaped}	E04C3/04	E04C3/04		1378
E04C2003/0478	12	{X-shaped}	E04C3/04	E04C3/04		129
E04C2003/0482	12	{Z- or S-shaped}	E04C3/04	E04C3/04		233
E04C2003/0486	10	{Truss like structures composed of separate truss elements}	E04C3/04	E04C3/04		472
E04C2003/0491	11	{the truss elements being located in one single surface or in several parallel surfaces}	E04C3/04	E04C3/04		1329
E04C2003/0495	11	{the truss elements being located in several non-parallel surfaces}	E04C3/04	E04C3/04		537
