A22C25/145	9	{Eviscerating fish}	A22C25/14	A22C25/14		716
A22C25/147	10	{Eviscerating by means of vacuum or suction devices}	A22C25/14	A22C25/14		111
A22C25/16	8	Removing fish-bones; Filleting fish {(combined with beheading, eviscerating A22C25/14; hand tools A22C25/006)}	A22C25/16	A22C25/16		806
A22C25/163	9	{Removing the fins}	A22C25/16	A22C25/16		57
A22C25/166	9	{Removing loose pin bones, e.g. from fish fillets}	A22C25/16	A22C25/16		158
A22C25/17	8	Skinning fish	A22C25/17	A22C25/17		453
A22C25/18	8	Cutting fish into portions	A22C25/18	A22C25/18		477
A22C25/185	9	{Hand tools for cutting fish}	A22C25/18	A22C25/18		29
A22C25/20	8	Shredding; Cutting into cubes; Flaking	A22C25/20	A22C25/20		383
A22C25/22	8	Fish-rolling apparatus	A22C25/22	A22C25/22		92
A22C29/00	7	Processing shellfish {or bivalves}, e.g. oysters, lobsters; {Devices therefor, e.g. claw locks, claw crushers, grading devices; Processing lines}	A22C29/00	A22C29/00		384
A22C29/005	8	{Grading or classifying shellfish or bivalves}	A22C29/00	A22C29/00		380
A22C29/02	8	Processing shrimps, lobsters or the like {; Methods or machines for the shelling of shellfish}	A22C29/02	A22C29/02		373
A22C29/021	9	{Cleaning operations on shellfish, e.g. evisceration, brushing}	A22C29/02	A22C29/02		579
A22C29/022	10	{Deveining shellfish}	A22C29/02	A22C29/02		223
A22C29/023	9	{Conveying, feeding or aligning shellfish}	A22C29/02	A22C29/02		364
A22C29/024	9	{Opening, shelling or peeling shellfish}	A22C29/02	A22C29/02		209
A22C29/025	10	{Mechanically opening and shelling crabs, lobsters or other hard-shelled crustaceans}	A22C29/02	A22C29/02		231
A22C29/026	10	{Mechanically peeling and shelling shrimps, prawns or other soft-shelled crustaceans}	A22C29/02	A22C29/02		423
A22C29/027	10	{Hand tools for shelling shellfish}	A22C29/02	A22C29/02		40
A22C29/028	9	{Beheading shellfish}	A22C29/02	A22C29/02		146
A22C29/04	8	Processing bivalves, e.g. oysters (oyster knives with openers A47G21/06)	A22C29/04	A22C29/04		275
A22C29/043	9	{Cleaning operations on bivalves, e.g. evisceration, brushing, separation of meat and shell material}	A22C29/04	A22C29/04		596
A22C29/046	9	{Opening or shucking bivalves}	A22C29/04	A22C29/04		429
