A01M23/06	10	with locking mechanism for the tipping platform	A01M23/06	A01M23/06		127
A01M23/08	9	with approaches permitting entry only	A01M23/08	A01M23/08		732
A01M23/10	9	with rotating cylinders or turnstiles	A01M23/10	A01M23/10		116
A01M23/12	9	with devices for throwing the animal to a collecting chamber	A01M23/12	A01M23/12		273
A01M23/14	9	Other traps automatically reset	A01M23/14	A01M23/14		236
A01M23/16	8	Box traps	A01M23/16	A01M23/16		435
A01M23/18	9	with pivoted closure flaps	A01M23/18	A01M23/18		994
A01M23/20	9	with dropping doors or slides	A01M23/20	A01M23/20		533
A01M23/22	9	with dropping covers	A01M23/22	A01M23/22		146
A01M23/24	8	{Spring traps, e.g.} jaw or like spring traps	A01M23/24	A01M23/24		618
A01M23/245	9	{Auxiliary devices for spring traps, e.g. attaching systems}	A01M23/24	A01M23/24		207
A01M23/26	9	of the double-jaw or pincer type	A01M23/26	A01M23/26		821
A01M23/265	10	{of the pincer type}	A01M23/26	A01M23/26		215
A01M23/28	10	Jaw trap setting-devices	A01M23/28	A01M23/28		65
A01M23/30	9	Break-back traps {, i.e. mouse-trap type}	A01M23/30	A01M23/30		1086
A01M23/32	9	Racket net traps	A01M23/32	A01M23/32		78
A01M23/34	9	with snares	A01M23/34	A01M23/34		353
A01M23/36	9	with arrangements for piercing the victim	A01M23/36	A01M23/36		309
A01M23/38	8	Electric traps	A01M23/38	A01M23/38		530
A01M25/00	7	Devices for dispensing poison for animals (A01M27/00 takes precedence; for insects A01M1/20)	A01M25/00	A01M25/00		236
A01M25/002	8	{Bait holders, i.e. stationary devices for holding poisonous bait at the disposal of the animal}	A01M25/00	A01M25/00		148
A01M25/004	9	{Bait stations, i.e. boxes completely enclosing the bait and provided with animal entrances}	A01M25/00	A01M25/00		516
A01M25/006	8	{Poison applicators, i.e. mobile devices for disposing poison wherever required, e.g. into holes, burrows, walls or ground}	A01M25/00	A01M25/00		193
A01M25/008	8	{Devices specially adapted for snails, e.g. bait stations therefor (protective devices against snails A01G13/105)}	A01M25/00	A01M25/00		211
A01M27/00	7	Apparatus having projectiles or killing implements projected to kill the animal, e.g. pierce or shoot, and triggered thereby	A01M27/00	A01M27/00		348
A01M29/00	7	Scaring or repelling devices, e.g. bird-scaring apparatus	A01M29/00	A01M29/00		851
A01M29/06	8	using visual means, e.g. scarecrows, moving elements, specific shapes, patterns or the like	A01M29/06	A01M29/06		1833
A01M29/08	9	using reflection, colours or films with specific transparency or reflectivity	A01M29/08	A01M29/08		1129
A01M29/10	9	using light sources, e.g. lasers or flashing lights	A01M29/10	A01M29/10		2044
A01M29/12	8	using odoriferous substances, e.g. aromas, pheromones or chemical agents	A01M29/12	A01M29/12		3379
A01M29/14	8	using thermal effects	A01M29/14	A01M29/14		71
A01M29/16	8	using sound waves	A01M29/16	A01M29/16		3201
A01M29/18	9	using ultrasonic signals	A01M29/18	A01M29/18		1769
A01M29/20	9	with generation of periodically explosive reports	A01M29/20	A01M29/20		182
A01M29/22	8	using vibrations (A01M29/16 takes precedence)	A01M29/22	A01M29/22		285
A01M29/24	8	using electric or magnetic effects, e.g. electric shocks, magnetic fields or microwaves	A01M29/24	A01M29/24		611
A01M29/26	9	specially adapted for birds, e.g. electrified rods, cords or strips	A01M29/26	A01M29/26		269
A01M29/28	9	specially adapted for insects	A01M29/28	A01M29/28		185
A01M29/30	8	preventing or obstructing access or passage, e.g. by means of barriers, spikes, cords, obstacles or sprinkled water	A01M29/30	A01M29/30		1496
A01M29/32	9	specially adapted for birds, e.g. spikes	A01M29/32	A01M29/32		1748
A01M29/34	9	specially adapted for insects	A01M29/34	A01M29/34		1322
A01M31/00	7	Hunting appliances	A01M31/00	A01M31/00		568
A01M31/002	8	{Detecting animals in a given area}	A01M31/00	A01M31/00		859
A01M31/004	8	{Game callers}	A01M31/00	A01M31/00		584
A01M31/006	8	{Game carriers}	A01M31/00	A01M31/00		206
A01M31/008	8	{Lure dispensing devices}	A01M31/00	A01M31/00		376
A01M31/02	8	Shooting stands	A01M31/02	A01M31/02		1220
A01M31/025	9	{Hunting blinds, i.e. camouflage}	A01M31/02	A01M31/02		448
A01M31/04	8	Beater rattles	A01M31/04	A01M31/04		14
A01M31/06	8	Decoys	A01M31/06	A01M31/06		1249
A01M99/00	7	Subject matter not provided for in other groups of this subclass	A01M99/00	A01M99/00		422
A01M2200/00	7	Kind of animal	CPCONLY	A01M2200/00		359
A01M2200/01	8	Insects	CPCONLY	A01M2200/01		875
A01M2200/011	9	Crawling insects	CPCONLY	A01M2200/011		2197
A01M2200/012	9	Flying insects	CPCONLY	A01M2200/012		6059
