A61G7/1046	10	{Mobile bases, e.g. having wheels}	A61G7/10	A61G7/10		2485
A61G7/1048	11	{having auxiliary drive means}	A61G7/10	A61G7/10		334
A61G7/1049	9	{Attachment, suspending or supporting means for patients}	A61G7/10	A61G7/10		227
A61G7/1051	10	{Flexible harnesses or slings}	A61G7/10	A61G7/10		1015
A61G7/1053	10	{Rigid harnesses}	A61G7/10	A61G7/10		108
A61G7/1055	10	{Suspended platforms, frames or sheets for patient in lying position}	A61G7/10	A61G7/10		571
A61G7/1057	10	{Supported platforms, frames or sheets for patient in lying position}	A61G7/10	A61G7/10		1025
A61G7/1059	10	{Seats}	A61G7/10	A61G7/10		1061
A61G7/1061	10	{Yokes}	A61G7/10	A61G7/10		527
A61G7/1063	9	{Safety means}	A61G7/10	A61G7/10		157
A61G7/1065	10	{with electronic monitoring}	A61G7/10	A61G7/10		175
A61G7/1067	10	{for adjustable bases}	A61G7/10	A61G7/10		348
A61G7/1069	10	{for quick release}	A61G7/10	A61G7/10		146
A61G7/1071	10	{using redundant drives}	A61G7/10	A61G7/10		19
A61G7/1073	9	{Parts, details or accessories}	A61G7/10	A61G7/10		675
A61G7/1074	10	{Devices foldable for storage}	A61G7/10	A61G7/10		333
A61G7/1076	10	{Means for rotating around a vertical axis}	A61G7/10	A61G7/10		739
A61G7/1078	10	{Clamps for flexible harnesses}	A61G7/10	A61G7/10		234
A61G7/108	10	{Weighing means}	A61G7/10	A61G7/10		109
A61G7/1082	10	{Rests specially adapted for}	A61G7/10	A61G7/10		39
A61G7/1084	11	{Head or neck}	A61G7/10	A61G7/10		109
A61G7/1086	11	{Upper body}	A61G7/10	A61G7/10		194
A61G7/1088	11	{Back}	A61G7/10	A61G7/10		174
A61G7/109	11	{Lower body, e.g. pelvis, buttocks}	A61G7/10	A61G7/10		189
A61G7/1092	11	{the arms}	A61G7/10	A61G7/10		204
A61G7/1094	11	{Hand or wrist}	A61G7/10	A61G7/10		193
A61G7/1096	11	{Knee, upper or lower leg}	A61G7/10	A61G7/10		394
A61G7/1098	11	{Ankle or foot}	A61G7/10	A61G7/10		227
A61G7/16	9	converting a lying surface into a chair	A61G7/16	A61G7/16		612
A61G7/165	10	{Chair detachable from bed}	A61G7/16	A61G7/16		189
A61G9/00	7	Bed-pans, urinals or other sanitary devices for bed-ridden persons; Cleaning devices therefor, e.g. combined with toilet-urinals (urinals worn by the patient A61F5/44)	A61G9/00	A61G9/00		816
A61G9/003	8	{Bed-pans}	A61G9/00	A61G9/00		1089
A61G9/006	8	{Urinals}	A61G9/00	A61G9/00		797
A61G9/02	8	Cleaning devices {(washing and rinsing machines for crockery and tableware A47L15/00)}	A61G9/02	A61G9/02		461
A61G10/00	7	Treatment rooms {or enclosures} for medical purposes (baby incubators, couveuses A61G11/00; devices for gas baths with ozone, hydrogen or the like A61H33/14{; for isolating individuals from external stimuli A61M21/0094} ; containers or portable cabins for affording breathing protection in general A62B31/00)	A61G10/00	A61G10/00		499
A61G10/005	8	{Isolators, i.e. enclosures generally comprising flexible walls for maintaining a germ-free environment}	A61G10/00	A61G10/00		1140
A61G10/02	8	with artificial climate; with means to maintain a desired pressure, e.g. for germ-free rooms (dust-free laboratory rooms B01L1/04; decompression arrangements B63C11/32; arrangements or adaptations in aircraft B64D13/00; air-conditioning in general F24F)	A61G10/02	A61G10/02		860
A61G10/023	9	{Rooms for the treatment of patients at over- or under-pressure or at a variable pressure}	A61G10/02	A61G10/02		553
A61G10/026	10	{for hyperbaric oxygen therapy}	A61G10/02	A61G10/02		760
A61G10/04	8	Oxygen tents {; Oxygen hoods}	A61G10/04	A61G10/04		344
A61G11/00	7	Baby-incubators; Couveuses	A61G11/00	A61G11/00		1288
A61G11/001	8	{with height-adjustable elements}	A61G11/00	A61G11/00		56
A61G11/002	9	{height-adjustable patient support}	A61G11/00	A61G11/00		220
A61G11/003	9	{height-adjustable heater}	A61G11/00	A61G11/00		80
A61G11/004	9	{height-adjustable light source}	A61G11/00	A61G11/00		19
A61G11/005	8	{with movable walls, e.g. for accessing the inside, removable walls}	A61G11/00	A61G11/00		181
A61G11/006	9	{by pivoting}	A61G11/00	A61G11/00		161
A61G11/007	9	{by translating}	A61G11/00	A61G11/00		24
A61G11/008	8	{tiltable about a horizontal axis, e.g. oscillating}	A61G11/00	A61G11/00		186
A61G11/009	8	{with hand insertion windows, e.g. in the walls}	A61G11/00	A61G11/00		372
A61G12/00	7	Accommodation for nursing, e.g. in hospitals, not covered by groups A61G1/00&#160;-&#160;A61G11/00, e.g. trolleys for transport of medicaments or food {(service or tea-tables, trolleys or wagons A47B31/00)}; Prescription lists	A61G12/00	A61G12/00		3231
