F28D7/1623	10	{with particular pattern of flow of the heat exchange media, e.g. change of flow direction}	F28D7/16	F28D7/16		330
F28D7/163	9	{with conduit assemblies having a particular shape, e.g. square or annular; with assemblies of conduits having different geometrical features; with multiple groups of conduits connected in series or parallel and arranged inside common casing (F28D7/1615 takes precedence)}	F28D7/16	F28D7/16		569
F28D7/1638	10	{with particular pattern of flow or the heat exchange medium flowing inside the conduits assemblies, e.g. change of flow direction from one conduit assembly to another one (F28D7/1661, F28D7/1676 take precedence)}	F28D7/16	F28D7/16		303
F28D7/1646	11	{with particular pattern of flow of the heat exchange medium flowing outside the conduit assemblies, e.g. change of flow direction}	F28D7/16	F28D7/16		190
F28D7/1653	10	{the conduit assemblies having a square or rectangular shape}	F28D7/16	F28D7/16		305
F28D7/1661	11	{with particular pattern of flow of the heat exchange media, e.g. change of flow direction}	F28D7/16	F28D7/16		111
F28D7/1669	10	{the conduit assemblies having an annular shape; the conduits being assembled around a central distribution tube}	F28D7/16	F28D7/16		527
F28D7/1676	11	{with particular pattern of flow of the heat exchange media, e.g. change of flow direction}	F28D7/16	F28D7/16		158
F28D7/1684	9	{the conduits having a non-circular cross-section}	F28D7/16	F28D7/16		803
F28D7/1692	10	{with particular pattern of flow of the heat exchange media, e.g. change of flow direction}	F28D7/16	F28D7/16		246
F28D9/00	7	Heat-exchange apparatus having stationary plate-like or laminated conduit assemblies for both heat-exchange media, the media being in contact with different sides of a conduit wall {(F28F3/083, F28F3/086 take precedence)}	F28D9/00	F28D9/00		2527
F28D9/0006	8	{the plate-like or laminated conduits being enclosed within a pressure vessel}	F28D9/00	F28D9/00		512
F28D9/0012	8	{the apparatus having an annular form}	F28D9/00	F28D9/00		449
F28D9/0018	9	{without any annular circulation of the heat exchange media}	F28D9/00	F28D9/00		267
F28D9/0025	8	{the conduits being formed by zig-zag bend plates}	F28D9/00	F28D9/00		612
F28D9/0031	8	{the conduits for one heat-exchange medium being formed by paired plates touching each other (F28D9/0012, F28D9/0025, F28D9/0081, F28D9/04 take precedence)}	F28D9/00	F28D9/00		931
F28D9/0037	9	{the conduits for the other heat-exchange medium also being formed by paired plates touching each other (F28D9/0043 takes precedence)}	F28D9/00	F28D9/00		1806
